GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,BARL,0.22296964151417722,0.17837186512792047,0.13941144654368687,0.1060872746821642,0.07514610925994919,0.05564431783378068,897.7624009280082,486.09710071060596,690.5355787592425,670.3348516671517,726.9511307058731,666.4969532776126,2.484e-4,3.669e-4,2.019e-4,1.583e-4,1.034e-4,8.349e-5
AGO,BARL,2.9680695042875267e-4,6.582695376218969e-4,5.930411354613088e-4,8.2687834789939e-4,7.558522709353589e-4,8.611494501071721e-4,0.03125594468915742,0.03160013671970689,0.03266738650019992,0.031841262005433774,0.032036261741780196,0.032172703608687694,0.009496,0.02083,0.01815,0.02597,0.02359,0.02677
ALA,BARL,0.16738676895346857,0.135409558040458,0.15754019641518335,0.14312355791664522,0.11723716469095982,0.10340989634980977,87.91622418833346,65.74991765839226,89.69785514697739,67.83781556968698,74.14238682291875,73.24742489573683,0.001904,0.002059,0.001756,0.00211,0.001581,0.001412
ALB,BARL,0.650045529475065,0.7253606909511002,0.7210588037398903,0.7230163100640314,0.7198493245023917,0.6533384609198432,314.52068292773004,372.7302263170071,455.0693574225939,505.7396392283137,563.4643851430083,514.8163260330055,0.002067,0.001946,0.001585,0.00143,0.001278,0.001269
ARE,BARL,0,0,0,0,0,0,5.01589074383572e-4,2.782649327462615e-4,4.012458239554183e-4,8.813418573727569e-5,9.182234069597844e-5,1.21143363384301e-4,0,0,0,0,0,0
ARG,BARL,199.62989719631912,190.11729077417334,175.56400551369384,158.37003534078133,139.69101108758335,121.76841527525836,307701.06461686845,343833.781828173,449642.9620291463,399896.83022520685,434050.9023826741,426421.49597437,6.488e-4,5.529e-4,3.905e-4,3.96e-4,3.218e-4,2.856e-4
ARM,BARL,0.7494186398987468,0.5388513921470371,0.3952413688411483,0.35720354373762203,0.31606533250646524,0.2769483192656128,309.39717463386955,228.08493030775412,286.96496305728573,299.66695177964027,281.50966222674884,279.5358133399603,0.002422,0.002363,0.001377,0.001192,0.001123,9.907e-4
AUS,BARL,625.1053180269629,597.8995756737187,550.305054652338,510.41368792407144,475.18027846335883,451.791551613958,558999.9681648695,548647.1167178908,514840.2037834523,418313.15355854924,506201.5771696728,470113.8201669774,0.001118,0.00109,0.001069,0.00122,9.387e-4,9.61e-4
AUT,BARL,0.047624279710074005,0.040827285695746396,0.03494890573391858,0.0299203858819721,0.024891866030025606,0.022582678203248722,3162.6938945302495,2728.453428456987,2817.072968494408,2840.2963389732145,2639.4025171660383,2728.484468907754,1.506e-5,1.496e-5,1.241e-5,1.053e-5,9.431e-6,8.277e-6
AZE,BARL,2.855103331500869,2.42405916027346,2.033645666355677,1.6791941239268342,1.3768341637069883,1.1206619508162095,17687.893070085756,19888.910197048648,19053.494951317767,18514.177805324107,19011.814010211645,19022.764805676074,1.614e-4,1.219e-4,1.067e-4,9.07e-5,7.242e-5,5.891e-5
BDI,BARL,0,0,0,0,0,0,0.495191640887849,0.5006447160734931,0.5175532809975563,0.5044648925898687,0.5075542965536395,0.509715961242762,0,0,0,0,0,0
BEL,BARL,0.19875311474781054,0.29100897290081706,0.2681739719798957,0.24653633564399186,0.24095355921945932,0.21913341503869263,14275.990990924169,13047.65746281416,16121.577151483369,16963.637496391504,13080.253044643094,14705.96769346681,1.392e-5,2.23e-5,1.663e-5,1.453e-5,1.842e-5,1.49e-5
BGD,BARL,0.009400955361168603,0.006397707495346493,0.0038280504202943405,0.001711824035118566,4.513229415902077e-4,1.1036449730356428e-4,4.874587291136699,6.840146682724078,6.761524307060583,6.250478865247863,7.665681627190776,7.041105474919969,0.001929,9.353e-4,5.662e-4,2.739e-4,5.888e-5,1.567e-5
BGR,BARL,1.0705296090038554,0.9003458234769876,0.7580822657684768,0.6283592901062057,0.5718922135686424,0.45928443977420297,7264.306470087606,9163.569447170865,8118.618945348912,10301.046977592181,14050.068846935388,12846.341573066311,1.474e-4,9.825e-5,9.338e-5,6.1e-5,4.07e-5,3.575e-5
BIH,BARL,0.2930720211307688,0.30274522779495683,0.28131772425707485,0.25169683952432265,0.22713066868205542,0.1979783192854528,1350.5548602052577,1307.3789281973582,1357.9925286855832,1163.7331549185776,1196.3621286059906,1196.6833634985514,2.17e-4,2.316e-4,2.072e-4,2.163e-4,1.899e-4,1.654e-4
BLR,BARL,17.280510100245706,15.1088868742901,13.073840164339543,11.059972372786211,9.055333887885668,7.071431837965625,12507.725535520201,9805.951700045942,13634.423692556587,10463.956668288487,10011.269805789398,10628.621407268602,0.001382,0.001541,9.589e-4,0.001057,9.045e-4,6.653e-4
BOL,BARL,769.3491340925136,801.2854615014548,873.3799789090731,914.5351455998156,955.8795166089097,938.1551468285637,2403.560552716918,2403.560552716918,2403.560552716918,2403.560552716918,2403.560552716918,2403.560552716918,0.3201,0.3334,0.3634,0.3805,0.3977,0.3903
BRA,BARL,1985.6242441938539,2229.8808490716233,2307.273869912927,2243.904986224802,2171.854983474248,2095.8728878657143,190559.85554219526,223060.4390005822,257032.90040546123,185084.85770242097,210798.58117664527,208626.56900390895,0.01042,0.009997,0.008977,0.01212,0.0103,0.01005
BTN,BARL,0.10109384391410588,0.09193498987933976,0.08169642525150717,0.0769009311406658,0.08271503072901566,0.07458755397628376,1.6604890106732948,1.2670468713797123,0.9089314550897986,0.7658508363971143,0.7784738579222745,0.8267610243894838,0.06088,0.07256,0.08988,0.1004,0.1063,0.09022
BWA,BARL,1.3334017846629634e-4,1.2267296418899264e-4,1.1200574991168894e-4,1.0133853563438522e-4,9.067132135708152e-5,8.000410707977781e-5,0.19126203201751688,0.18804604235402328,0.1890940658981272,0.1913437596705318,0.1894946226408941,0.18989020344699523,6.972e-4,6.524e-4,5.923e-4,5.296e-4,4.785e-4,4.213e-4
CAF,BARL,0.005956658899424919,0.00783125279774887,0.010278256767302815,0.01136571580892419,0.013800470798108864,0.031196082217698477,0.13622933237671872,0.13772949661739217,0.142381114942216,0.1387804434699157,0.13963035167650797,0.14022503485188129,0.04373,0.05686,0.07219,0.0819,0.09884,0.2225
CAN,BARL,5751.925480738725,5470.794067182246,5130.05395617886,4834.699924009078,4455.976407062981,4066.5830219691416,671677.7334030861,428276.7351843953,624555.4231039173,556982.0561856406,509313.1819808452,529779.7068668097,0.008564,0.01277,0.008214,0.00868,0.008749,0.007676
CHE,BARL,0.2893212163066015,0.2679261117260622,0.24653100714552284,0.22513590256498353,0.20379178848655577,0.18249866491023956,1438.3647122684124,1275.5243355877576,1374.1713411443538,1228.7581320318664,873.6041094710697,1001.3469969693415,2.011e-4,2.101e-4,1.794e-4,1.832e-4,2.333e-4,1.823e-4
CHL,BARL,303.27121214172473,313.0571494470253,343.55891421743,349.58363487015515,337.3925117832918,323.452679048605,44447.92954166726,36248.29139771738,25085.177993262772,34850.29372562769,43566.01898248473,36855.87032950372,0.006823,0.008636,0.0137,0.01003,0.007744,0.008776
