GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AGO,CASS,333.796861912595,360.97692028415327,369.31444126611063,401.3817593379196,527.8787739737144,568.8081364609789,770928.4856907876,792523.1573734191,846764.4132809279,901973.9305591843,956965.8212164225,916654.0693339973,4.33e-4,4.555e-4,4.361e-4,4.45e-4,5.516e-4,6.205e-4
ARG,CASS,1055.6798174304126,1114.2483068950783,1121.6352781555963,1085.7200973369386,1062.7093373562939,1049.5970061690273,42250.522384716,42715.03447932094,42269.336543828926,42765.35975656469,42992.616504787096,42761.4106052624,0.02499,0.02609,0.02654,0.02539,0.02472,0.02455
ATG,CASS,0.0018109467454133653,0.0014968316509156195,0.0012061974982090393,9.378484717125409e-4,6.917845714261241e-4,4.457206711397072e-4,14.251686938793286,14.433272139171734,39.676366282690736,17.492707636457087,13.894019119866043,20.569993509197882,1.271e-4,1.037e-4,3.04e-5,5.361e-5,4.979e-5,2.167e-5
BDI,CASS,1.2826546660583604,1.1768120302762282,1.3537977154770815,1.330158732644455,1.7026065854137447,2.1119916826128775,1055700.1274215106,1025451.4756799807,1047829.0053471088,1031576.9162103367,1007505.5179582372,1019755.8004667851,1.215e-6,1.148e-6,1.292e-6,1.289e-6,1.69e-6,2.071e-6
BEN,CASS,7.707019195417098,6.967123324698016,6.27071878081046,5.564303099519655,4.918558452419922,4.45746626777614,2557556.2931239014,2592750.749106137,2673757.8687150576,2734576.3029038985,2734213.2593470854,2716635.6993672084,3.013e-6,2.687e-6,2.345e-6,2.035e-6,1.799e-6,1.641e-6
BFA,CASS,9.094163887305455e-4,7.927605501467533e-4,7.303316387726155e-4,6.368435630261156e-4,5.763552460939076e-4,4.596297736529231e-4,1711.1383245427546,1678.9288081532425,1714.8211218920444,1694.3189055984737,1732.1003093263175,1721.3232434223307,5.315e-7,4.722e-7,4.259e-7,3.759e-7,3.327e-7,2.67e-7
BGD,CASS,0.06509844722101302,0.061434744728357436,0.054890475054322006,0.07655117488363902,0.09746893879822785,0.08801085293996533,489.8773932321183,560.9610650861617,502.0887232807962,479.8150823385831,507.7632328729076,503.9811585804804,1.329e-4,1.095e-4,1.093e-4,1.595e-4,1.92e-4,1.746e-4
BHS,CASS,0,0,0,0,0,0,7.1445786452814035,6.843971911977418,6.809021456631482,6.766112799011947,6.720988971687387,6.77147445319634,0,0,0,0,0,0
BLZ,CASS,8.25283707265703,8.254048448689105,7.888857968010274,8.644230045916249,19.825387407131345,19.541473814406125,377.4908978368287,339.9788553096135,442.32833489723987,405.08867581884715,215.94655065520303,279.90880601569205,0.02186,0.02428,0.01783,0.02134,0.09181,0.06981
BOL,CASS,361.30043408632883,361.6120209574291,354.24631874067796,435.38429820139766,511.4129303019231,497.01144585643874,74366.65745741787,74373.09614925415,74259.30362634419,74394.04993108955,74543.49171212461,74474.40224403971,0.004858,0.004862,0.00477,0.005852,0.006861,0.006674
BRA,CASS,49209.26866569457,50237.5922247599,50202.38486043045,51451.44788287094,58648.35924346915,61332.11707629006,9844121.492615169,9856688.605379274,9641740.276567904,9962968.321768656,10313229.754212867,10165173.70535662,0.004999,0.005097,0.005207,0.005164,0.005687,0.006034
BRB,CASS,0.0026841393210568195,0.0023744774862196733,0.002077287393865829,0.0017814641903092982,0.001485640986752757,0.0011898177831962313,142.90970882993938,114.38911719147951,101.04726886965409,80.78909587680398,83.22325240725334,88.78408300106481,1.878e-5,2.076e-5,2.056e-5,2.205e-5,1.785e-5,1.34e-5
BRN,CASS,0.0606938104275278,0.0529681750642259,0.04624092726274955,0.0387058407554322,0.05406916318018669,0.048124242532392045,20.185393681791865,22.27695489865061,24.77535375258236,24.467414588236842,28.060053121713704,26.32315261414805,0.003007,0.002378,0.001866,0.001582,0.001927,0.001828
BTN,CASS,4.193560064657277e-4,3.9284876366563323e-4,3.663415208655388e-4,3.398342780654443e-4,3.135124801375098e-4,2.8737612708173516e-4,11.493202503809917,13.164078973423207,11.783377418510067,11.261821199277769,11.916787706253551,11.828324434914279,3.649e-5,2.984e-5,3.109e-5,3.018e-5,2.631e-5,2.43e-5
