GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AGO,COWP,0.30587944813343204,0.26526168731520344,0.2338397556624325,0.20509031433550912,0.3391876913777519,2.9514487163380436,7.210021620909373,7.785277645411581,7.001962480204853,6.619722580745853,5.778674978976532,6.210570090447285,0.04242,0.03407,0.0334,0.03098,0.0587,0.4752
BDI,COWP,0,0,0,0,0,0,48.04395680675579,55.996136699831006,49.65852359687986,50.94167961829854,52.37833970201979,51.589891195846995,0,0,0,0,0,0
BEN,COWP,0.00514171140965592,0.004775091029459979,0.0043238582556553275,0.0038726254818506767,0.0034213927080460256,0.0029701599342413744,337.32783068616556,253.41374598801468,360.91717250830084,299.69552021518416,353.4372625701547,333.5118286082567,1.524e-5,1.884e-5,1.198e-5,1.292e-5,9.68e-6,8.906e-6
BFA,COWP,0.7876362225162509,0.7208272584132907,0.6423001788205535,0.5827309898296317,0.7734994878507627,0.7159490020016731,90144.33780588368,58379.067187613655,106105.80529992921,93900.44073524476,94288.47858182184,97308.11849152915,8.738e-6,1.235e-5,6.053e-6,6.206e-6,8.204e-6,7.358e-6
BGD,COWP,0.0044069156262656,0.00383345493227792,0.0032599942382902395,0.0026865335443025597,0.00211307285031488,0.0015463161819519898,0.6692123298192585,0.6572939129243348,0.6654531600643963,0.7014152267114184,0.7027799285839007,0.6991514451433208,0.006585,0.005832,0.004899,0.00383,0.003007,0.002212
BGR,COWP,1.0248395853984926e-5,8.93859844869189e-6,7.628801043398852e-6,6.319003638105815e-6,5.009206232812777e-6,3.69940882751974e-6,0.9210524231175206,0.9288799072740923,0.9401969885198586,0.9373610211822734,0.9345244585534755,0.9366992248289471,1.113e-5,9.623e-6,8.114e-6,6.741e-6,5.36e-6,3.949e-6
BIH,COWP,0.029220781511485484,0.034492531881822525,0.031143815835434577,0.025098844098284917,0.019143546370601595,0.01563068221328889,9.105866910040552,9.163829901603172,9.513271609180519,8.902819749411643,9.193447339758274,9.138315419809128,0.003209,0.003764,0.003274,0.002819,0.002082,0.00171
BOL,COWP,0.005066562411547106,0.006338452893923488,0.006797788817444563,0.006693842509244289,0.006516188703585955,0.008008792473349102,0.1819463494077305,0.28376277403440087,0.1986376225638315,0.3525700160098306,0.211848613023114,0.26079280932929305,0.02785,0.02234,0.03422,0.01899,0.03076,0.03071
BRA,COWP,0.0019587607381130363,0.0010267159353882453,4.094365459584519e-4,1.741502449313786e-4,7.451277846753787e-4,6.54143176915201e-4,0.11179652483319584,0.10771241474305812,0.10990794827595782,0.10913380671092959,0.107925255388239,0.10865039338889389,0.01752,0.009532,0.003725,0.001596,0.006904,0.006021
BWA,COWP,0,0,0,0,0,0,4.4751837498677193e-4,0.00053882937717118805,3.521734926036804e-4,2.4669717521827266e-4,4.68643236984084e-5,1.5507665112429926e-4,0,0,0,0,0,0
CAF,COWP,0.9073500930174835,1.056979071700295,1.253412093079113,1.3922615918107122,1.6167511585755847,3.28863237566239,63.75501535014691,66.76215955789498,72.9881817509093,74.82679691712275,76.95697441970175,75.12645377534551,0.01423,0.01583,0.01717,0.01861,0.02101,0.04377
CHN,COWP,4.1698382151121605,4.039276570539718,3.8492941340059237,3.842916534120637,4.2088194131834875,4.150021390241722,1009.9476844193209,1031.508304768312,1006.0046304452816,1015.8206369302244,1017.7780031298533,1016.0820118981303,0.004129,0.003916,0.003826,0.003783,0.004135,0.004084
CIV,COWP,0.023349919282464292,0.02144895865054792,0.01954799801863154,0.01764703738671517,0.01574607675479879,0.01384511612288241,787.9008125266704,566.0085413941093,890.361387639823,800.8751107916933,810.5474468238034,827.2348001551352,2.964e-5,3.79e-5,2.196e-5,2.203e-5,1.943e-5,1.674e-5
CMR,COWP,179.92743014326868,208.45268489801074,213.90186835939642,275.49929458394763,273.29631494647134,303.19719616860516,24771.228094437705,26021.149332293542,28870.419567813726,29662.788015123166,30523.51671539649,29743.695866037626,0.007264,0.008011,0.007409,0.009288,0.008954,0.01019
COD,COWP,1796.641542626086,2124.275094375749,2284.2304767417204,2486.75891259911,2887.966074988936,3221.232560433429,45450.813592494495,46608.46550989543,47796.03522718306,49014.05510198199,50263.28970823776,49373.60543113758,0.03953,0.04558,0.04779,0.05074,0.05746,0.06524
COG,COWP,20.523012507953805,20.669033538245234,22.308762304949358,22.23432394366354,21.38462525445296,20.00525625202235,13.33585427582848,13.678801714401084,14.038223890952095,14.396404617567168,14.764083416287226,14.50143694277056,1.539,1.511,1.589,1.544,1.448,1.38
COL,COWP,0.09739600140084569,0.08904421831871649,0.08358858216806409,0.07592680026953225,0.0850289078332114,0.09492618405952262,0.25289742493530876,0.3944177779845624,0.276097560655594,0.49005681866403156,0.294460256466052,0.3624905371045655,0.3851,0.2258,0.3028,0.1549,0.2888,0.2619
DOM,COWP,0.8033039402700692,0.7813317277413763,1.2025200585788343,1.4393558635086239,1.3596273816236244,1.3215742361211495,127.24212963629762,127.97587436658806,128.55146514937752,128.41157298666425,128.27163775370386,128.3299742212301,0.006313,0.006105,0.009354,0.01121,0.0106,0.0103
ECU,COWP,0.040308423596961886,0.03447441551610043,0.02913950250956451,0.030828359430877944,0.04062207880809351,0.03497855685745563,4.060887729986693,6.333343708485118,4.433422746919474,7.869062812395733,4.728280814870312,5.820673637704152,0.009926,0.005443,0.006573,0.003918,0.008591,0.006009
EGY,COWP,0.2440132215529172,0.23246166048763464,0.21714375002511188,0.3980407775958992,0.5087947084904328,0.527245651831656,546.6552489599247,548.5112688643437,546.4400473029843,547.6285645241217,548.8163266517258,548.1930110352101,4.464e-4,4.238e-4,3.974e-4,7.268e-4,9.271e-4,9.618e-4
ERI,COWP,0,0,0,0,0,0,6.371027970055587e-4,7.085124524929376e-4,7.890640288612815e-4,7.595068765991821e-4,7.830224908309288e-4,7.729267437846972e-4,0,0,0,0,0,0
ETH,COWP,0.00494998750187599,0.00424029212846506,0.00353059675505413,0.0028209013816432,0.00211120600823228,0.00140151063482135,2.6059776792737632,1.237502296118386,1.140488556062996,1.6948598314761167,0.7706859704309308,1.1131274726170386,0.001899,0.003426,0.003096,0.001664,0.002739,0.001259
