GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AGO,OFIB,4.600433952509134,4.052150780141863,3.5693802092794624,3.1698295991188066,4.600042929916597,4.186741091033029,869.8564079717615,869.8564079717615,869.8564079717615,869.8564079717615,869.8564079717615,869.8564079717615,0.005289,0.004658,0.004103,0.003644,0.005288,0.004813
ALB,OFIB,0,0,0,0,0,0,0.0032687246750269087,0.0032687246750269087,0.0032687246750269087,0.0032687246750269087,0.0032687246750269087,0.0032687246750269087,0,0,0,0,0,0
ARG,OFIB,29.192446313891672,29.663784117720876,28.031068457610154,31.102354420644186,52.55446576501079,51.91514155047683,334.9890343990063,334.9890343990063,334.9890343990063,334.9890343990063,334.9890343990063,334.9890343990063,0.08714,0.08855,0.08368,0.09285,0.1569,0.155
AUT,OFIB,0.0014246342211069452,0.0012929531110834264,0.0011612720010599072,0.0010295908910363883,0.0011302855874631068,0.0010576226619322547,37.180360281426324,37.180360281426324,37.180360281426324,37.180360281426324,37.180360281426324,37.180360281426324,3.832e-5,3.478e-5,3.123e-5,2.769e-5,3.04e-5,2.845e-5
BDI,OFIB,0,0,0,0,0,0,6.651691893481493,6.651691893481493,6.651691893481493,6.651691893481493,6.651691893481493,6.651691893481493,0,0,0,0,0,0
BEL,OFIB,0.07003337034033465,0.044740525825981044,0.029037558110169028,0.022674646044660154,0.017396703842306162,0.023909750910614844,3114.192769870746,3114.192769870746,3114.192769870746,3114.192769870746,3114.192769870746,3114.192769870746,2.249e-5,1.437e-5,9.324e-6,7.281e-6,5.586e-6,7.678e-6
BEN,OFIB,0,0,0,0,0,0,0.23977205612695238,0.23977205612695238,0.23977205612695238,0.23977205612695238,0.23977205612695238,0.23977205612695238,0,0,0,0,0,0
BFA,OFIB,3.751462439923201e-6,3.4735763332622224e-6,3.195690226601245e-6,9.404961844771736e-6,8.794400982991195e-6,8.183840121210656e-6,0.8828316132591032,0.8828316132591032,0.8828316132591032,0.8828316132591032,0.8828316132591032,0.8828316132591032,4.249e-6,3.935e-6,3.62e-6,1.065e-5,9.962e-6,9.27e-6
BGD,OFIB,13.500514075271866,11.552409697164281,9.865561299683472,10.197575220065112,9.562860513401901,8.01618788186041,30313.089188645255,30313.089188645255,30313.089188645255,30313.089188645255,30313.089188645255,30313.089188645255,4.454e-4,3.811e-4,3.255e-4,3.364e-4,3.155e-4,2.644e-4
BGR,OFIB,0.019242222758364902,0.01804856024499031,0.016867898092255723,0.015691576868258252,0.014519058685810113,0.013428680335409423,12.28801325743289,12.28801325743289,12.28801325743289,12.28801325743289,12.28801325743289,12.28801325743289,0.001566,0.001469,0.001373,0.001277,0.001182,0.001093
BLR,OFIB,7.550667108716323,7.055471279707624,6.49798100679229,5.876376347674559,5.261489844292286,4.651237209784288,466.5158223472313,466.5158223472313,466.5158223472313,466.5158223472313,466.5158223472313,466.5158223472313,0.01619,0.01512,0.01393,0.0126,0.01128,0.00997
BRA,OFIB,5879.348254488519,6019.885893418906,5934.807097148575,6654.923057852812,7696.533584349794,7848.234618238674,126832.72785087283,126832.72785087283,126832.72785087283,126832.72785087283,126832.72785087283,126832.72785087283,0.04636,0.04746,0.04679,0.05247,0.06068,0.06188
BTN,OFIB,0.8897787094678463,0.8661906859182931,0.8016535237171601,0.7842242016635524,0.985280202825968,1.1240423694244743,57.98259637758091,57.98259637758091,57.98259637758091,57.98259637758091,57.98259637758091,57.98259637758091,0.01535,0.01494,0.01383,0.01353,0.01699,0.01939
BWA,OFIB,1.5238877539005297e-4,1.4019767335884874e-4,1.280065713276445e-4,1.1581546929644024e-4,1.0362436726523604e-4,9.14332652340318e-5,0.06304661308057878,0.06304661308057878,0.06304661308057878,0.06304661308057878,0.06304661308057878,0.06304661308057878,0.002417,0.002224,0.00203,0.001837,0.001644,0.00145
CAF,OFIB,20.411681320574377,24.910716600244516,25.325051646456185,28.992852777124423,29.035964456267415,31.22508343198807,268.864128035008,268.864128035008,268.864128035008,268.864128035008,268.864128035008,268.864128035008,0.07592,0.09265,0.09419,0.10780000000000001,0.108,0.1161
CAN,OFIB,48.175436259104195,44.62692791136225,40.73210952461374,37.44191098733889,33.218755014673135,29.224244959435268,2325.6139294173627,2325.6139294173627,2325.6139294173627,2325.6139294173627,2325.6139294173627,2325.6139294173627,0.02072,0.01919,0.01751,0.0161,0.01428,0.01257
CHE,OFIB,0,0,0,0,0,0,0.02924290416760844,0.02924290416760844,0.02924290416760844,0.02924290416760844,0.02924290416760844,0.02924290416760844,0,0,0,0,0,0
CHL,OFIB,170.31341299380514,175.81500871631997,178.7332997636518,179.93468669948936,175.68562430595833,166.01752399009806,4141.741984534252,4141.741984534252,4141.741984534252,4141.741984534252,4141.741984534252,4141.741984534252,0.04112,0.04245,0.04315,0.04344,0.04242,0.04008
CHN,OFIB,84.70270990196654,73.1265771870038,63.00884802193691,53.07491445714991,44.202323943400025,37.575221118542224,15742.935591914682,15742.935591914682,15742.935591914682,15742.935591914682,15742.935591914682,15742.935591914682,0.00538,0.004645,0.004002,0.003371,0.002808,0.002387
CIV,OFIB,0.05759848028799705,0.05376419595629916,0.05451239601544003,0.0511558424152313,0.048091767664061945,0.09750699769791137,3.320513014923633,3.320513014923633,3.320513014923633,3.320513014923633,3.320513014923633,3.320513014923633,0.01735,0.01619,0.01642,0.01541,0.01448,0.02937
CMR,OFIB,0.07300542421496474,0.12807297336287704,0.1201494467325857,0.11443846112110082,0.10659344910293807,0.10003204817311435,21.662474831238278,21.662474831238278,21.662474831238278,21.662474831238278,21.662474831238278,21.662474831238278,0.00337,0.005912,0.005546,0.005283,0.004921,0.004618
COD,OFIB,233.19081367621692,265.50410241719214,288.64289212668433,329.02483908209837,377.19132683501823,414.90076929859214,6093.10436797498,6093.10436797498,6093.10436797498,6093.10436797498,6093.10436797498,6093.10436797498,0.03827,0.04357,0.04737,0.054,0.0619,0.06809
COG,OFIB,2.4210214839650734,2.430700241867815,2.7467327487097415,2.693952011820596,2.651464375612477,2.4905712993760782,3.0508794979991256,3.0508794979991256,3.0508794979991256,3.0508794979991256,3.0508794979991256,3.0508794979991256,0.7935,0.7967,0.9003,0.883,0.8691,0.8163
COL,OFIB,894.2418590086813,842.50827097685,775.8974562977183,726.3684706252423,672.6101750768439,628.4733801188853,14043.596102418729,14043.596102418729,14043.596102418729,14043.596102418729,14043.596102418729,14043.596102418729,0.06368,0.05999,0.05525,0.05172,0.04789,0.04475
CRI,OFIB,88.43644725208574,87.07769052882908,87.71255119798198,89.58045370681982,111.03290818896475,111.46080163481679,847.4774268803283,847.4774268803283,847.4774268803283,847.4774268803283,847.4774268803283,847.4774268803283,0.1044,0.1027,0.1035,0.1057,0.131,0.1315
CUB,OFIB,34.989283978233445,35.25881781240586,33.39551722331598,36.89167118246624,36.776937640305874,38.90227430947983,7433.232192184035,7433.232192184035,7433.232192184035,7433.232192184035,7433.232192184035,7433.232192184035,0.004707,0.004743,0.004493,0.004963,0.004948,0.005234
CZE,OFIB,8.622903984280457e-4,7.335448557043272e-4,5.910251478907111e-4,4.4337268806381576e-4,2.9572022823692054e-4,2.1247696982544965e-4,1.7438532779227356,1.7438532779227356,1.7438532779227356,1.7438532779227356,1.7438532779227356,1.7438532779227356,4.945e-4,4.206e-4,3.389e-4,2.542e-4,1.696e-4,1.218e-4
DEU,OFIB,0.500663176618004,0.4875669693953986,0.46098825815087024,0.43468081163757294,0.40630479667065345,0.37670586336272804,6.8854286566109595,6.8854286566109595,6.8854286566109595,6.8854286566109595,6.8854286566109595,6.8854286566109595,0.07271,0.07081,0.06695,0.06313,0.05901,0.05471
DOM,OFIB,17.05560738301692,15.210291354356976,13.639094258805219,12.642096219796704,10.691934398671982,8.910166769579972,81.73098864454907,81.73098864454907,81.73098864454907,81.73098864454907,81.73098864454907,81.73098864454907,0.2087,0.1861,0.1669,0.1547,0.1308,0.109
DZA,OFIB,0,0,0,0,0,0.00120490143184795,0.1262990982221087,0.1262990982221087,0.1262990982221087,0.1262990982221087,0.1262990982221087,0.1262990982221087,0,0,0,0,0,0.00954
ECU,OFIB,405.5760665207941,342.76547099749274,297.8397812883296,261.981670476477,232.12395121992765,214.7910594468233,28735.296539674913,28735.296539674913,28735.296539674913,28735.296539674913,28735.296539674913,28735.296539674913,0.01411,0.01193,0.01036,0.009117,0.008078,0.007475
EGY,OFIB,0.6241594526924733,0.5871859988832595,0.5435180516804587,0.9928317413545273,1.276544133116588,1.3310297849842354,794.0054187127046,794.0054187127046,794.0054187127046,794.0054187127046,794.0054187127046,794.0054187127046,7.861e-4,7.395e-4,6.845e-4,0.00125,0.001608,0.001676
ESP,OFIB,0.12714833426829336,0.12278706239456526,0.12509959057181166,0.12168662502241898,0.12656930501733088,0.12007632946966514,124.50968190187928,124.50968190187928,124.50968190187928,124.50968190187928,124.50968190187928,124.50968190187928,0.001021,9.862e-4,0.001005,9.773e-4,0.001017,9.644e-4
EST,OFIB,1.6892000987349043e-4,9.398567197793346e-5,4.4853233376465416e-5,1.5554075351013356e-5,1.6520417638637805e-6,7.576773910256888e-7,2.7045144506214835e-6,2.7045144506214835e-6,2.7045144506214835e-6,2.7045144506214835e-6,2.7045144506214835e-6,2.7045144506214835e-6,62.46,34.75,16.58,5.751,0.6108,0.2802
ETH,OFIB,16.155124357479895,16.094033650302677,23.791460168442935,26.10626430011391,25.91397251937195,25.69979338207183,4119.393021477002,4119.393021477002,4119.393021477002,4119.393021477002,4119.393021477002,4119.393021477002,0.003922,0.003907,0.005775,0.006337,0.006291,0.006239
FRA,OFIB,2.6674360834625888,2.6136987806344063,2.2262645910201186,1.8695685556975783,1.633799121325782,1.4613169216600632,19161.023131270682,19161.023131270682,19161.023131270682,19161.023131270682,19161.023131270682,19161.023131270682,1.392e-4,1.364e-4,1.162e-4,9.757e-5,8.527e-5,7.627e-5
GAB,OFIB,6.901653668513704e-6,5.981433179378543e-6,5.061212690243382e-6,4.140992201108222e-6,3.220771711973061e-6,2.300551222837901e-6,0.0020124515218928577,0.0020124515218928577,0.0020124515218928577,0.0020124515218928577,0.0020124515218928577,0.0020124515218928577,0.003429,0.002972,0.002515,0.002058,0.0016,0.001143
GBR,OFIB,0.28951216708020266,0.18824171865447464,0.14089998198858206,0.10881858525196426,0.08735686523285854,0.07644415420448897,696.7474399869557,696.7474399869557,696.7474399869557,696.7474399869557,696.7474399869557,696.7474399869557,4.155e-4,2.702e-4,2.022e-4,1.562e-4,1.254e-4,1.097e-4
GIN,OFIB,2.0529242394241205,2.3305463577209338,2.817286230034538,3.2159565791313893,3.290327571364453,3.236487784086014,213.33536892756499,213.33536892756499,213.33536892756499,213.33536892756499,213.33536892756499,213.33536892756499,0.009623,0.01092,0.01321,0.01507,0.01542,0.01517
GLP,OFIB,0,0,0,0,0,0,0.7128961660011082,0.7128961660011082,0.7128961660011082,0.7128961660011082,0.7128961660011082,0.7128961660011082,0,0,0,0,0,0
GNB,OFIB,0.0010070091192905008,9.836809536989221e-4,9.10532332511085e-4,8.373837113232478e-4,7.642350901354108e-4,6.910864689475737e-4,0.3394029172417008,0.3394029172417008,0.3394029172417008,0.3394029172417008,0.3394029172417008,0.3394029172417008,0.002967,0.002898,0.002683,0.002467,0.002252,0.002036
GNQ,OFIB,2.1461774687674406,2.489175406005379,2.559995679979898,2.9712566144385453,3.240616152259652,3.4005665614139557,72.97922694395045,72.97922694395045,72.97922694395045,72.97922694395045,72.97922694395045,72.97922694395045,0.02941,0.03411,0.03508,0.04071,0.0444,0.0466
GRC,OFIB,0.014323334832837323,0.013921116384204861,0.013483894938776154,0.013700574134188728,0.014310951849232796,0.02603417467890693,19.40238991281267,19.40238991281267,19.40238991281267,19.40238991281267,19.40238991281267,19.40238991281267,0.00073820000000000005,7.175e-4,6.95e-4,7.061e-4,7.376e-4,0.001342
GTM,OFIB,126.47995904810534,109.93401117101187,93.56422741689946,77.33938431457449,61.540914322444536,46.17993462679723,245.057333586466,245.057333586466,245.057333586466,245.057333586466,245.057333586466,245.057333586466,0.5161,0.4486,0.3818,0.3156,0.2511,0.1884
HND,OFIB,0.5168857191219984,0.3967593113779286,0.30435360111630005,0.22999744819650575,0.17284220368761816,0.12658002286971368,36.833373765711514,36.833373765711514,36.833373765711514,36.833373765711514,36.833373765711514,36.833373765711514,0.01403,0.01077,0.008263,0.006244,0.004693,0.003437
HRV,OFIB,0,0,0,0,0,0,0.002240827237594483,0.002240827237594483,0.002240827237594483,0.002240827237594483,0.002240827237594483,0.002240827237594483,0,0,0,0,0,0
