GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,SMIL,3.7980652294664346e-4,3.035948521138343e-4,2.519400513378534e-4,2.2499053420251116e-4,1.9852105959045104e-4,1.7205158497839086e-4,0.4659812042637083,0.4659812042637083,0.4659812042637083,0.4659812042637083,0.4659812042637083,0.4659812042637083,8.151e-4,6.515e-4,5.407e-4,4.828e-4,4.26e-4,3.692e-4
ARG,SMIL,264.1789566011948,260.7091190583675,257.2992707884104,259.0575086803694,258.15052084177506,248.02548098169078,585.9135976848636,585.9135976848636,585.9135976848636,585.9135976848636,585.9135976848636,585.9135976848636,0.4509,0.445,0.4391,0.4421,0.4406,0.4233
ARM,SMIL,3.325551280167277e-4,3.006543079571342e-4,2.687534878975408e-4,2.3685266783794737e-4,2.0495184777835385e-4,1.730510277187604e-4,0.3222544268019618,0.3222544268019618,0.3222544268019618,0.3222544268019618,0.3222544268019618,0.3222544268019618,0.001032,9.33e-4,8.34e-4,7.35e-4,6.36e-4,5.37e-4
AUS,SMIL,274.44228194701924,273.4713855570439,267.6252517298365,264.9148417478833,262.0527297771961,246.76298523219867,2117.9876850479995,2117.9876850479995,2117.9876850479995,2117.9876850479995,2117.9876850479995,2117.9876850479995,0.1296,0.1291,0.1264,0.1251,0.1237,0.1165
AZE,SMIL,1.6804282506310934e-5,1.37489584142544e-5,1.0693634322197869e-5,7.638310230141335e-6,4.5829861380848e-6,1.527662046028267e-6,0.905827920633943,0.905827920633943,0.905827920633943,0.905827920633943,0.905827920633943,0.905827920633943,1.855e-5,1.518e-5,1.181e-5,8.432e-6,5.059e-6,1.686e-6
BDI,SMIL,0.028217071617882797,0.023025901787435868,0.01984744286838438,0.01811902556160895,0.01652799192973389,0.015068908885378386,55.197786221906135,55.197786221906135,55.197786221906135,55.197786221906135,55.197786221906135,55.197786221906135,5.112e-4,4.172e-4,3.596e-4,3.283e-4,2.994e-4,2.73e-4
BEN,SMIL,0.011702509323810638,0.018581114861212843,0.0253737563006895,0.047052783814816874,0.04971665649485208,0.05163305260419897,7506.320903388502,7506.320903388502,7506.320903388502,7506.320903388502,7506.320903388502,7506.320903388502,1.559e-6,2.475e-6,3.38e-6,6.268e-6,6.623e-6,6.879e-6
BFA,SMIL,0,0,0,0,0,0,3.9034832913959816,3.9034832913959816,3.9034832913959816,3.9034832913959816,3.9034832913959816,3.9034832913959816,0,0,0,0,0,0
BGD,SMIL,28.227240311072283,24.69047530122908,21.187182437833787,17.77118754873504,14.327252720515636,10.909935498366686,375.74493880824883,375.74493880824883,375.74493880824883,375.74493880824883,375.74493880824883,375.74493880824883,0.07512,0.06571,0.05639,0.0473,0.03813,0.02904
BGR,SMIL,0.04004452828822796,0.030284830300039135,0.023676496037387106,0.018160532929864484,0.013022093464675982,0.00826770361337178,0.057178503718004016,0.057178503718004016,0.057178503718004016,0.057178503718004016,0.057178503718004016,0.057178503718004016,0.7003,0.5297,0.4141,0.3176,0.2277,0.1446
