GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AGO,ACOF,24.415121680526205,17.32713636435978,12.013277770983072,7.567463781982939,4.498998546100985,2.975829136528853,0.11145681380923063,0.11145681380923063,0.11145681380923063,0.11145681380923063,0.11145681380923063,0.11145681380923063,219.1,155.5,107.8,67.9,40.37,26.7
ARG,ACOF,106.66917782978449,92.39246481971686,78.2123136191855,64.10396882798713,50.0474511383702,36.060623631505074,0.0898672633152688,0.0898672633152688,0.0898672633152688,0.0898672633152688,0.0898672633152688,0.0898672633152688,1187,1028,870.3,713.3,556.9,401.3
BDI,ACOF,11751.291702147444,11637.5335792337,10960.691916845532,10590.360400670428,10996.538568765023,11953.999653797562,8169.977999326476,8169.977999326476,8169.977999326476,8169.977999326476,8169.977999326476,8169.977999326476,1.438,1.424,1.342,1.296,1.346,1.463
BGD,ACOF,118.58865926714822,129.06070521267455,133.3162442950257,137.86055030096415,147.42917988982254,146.4467997685283,0.1373678468548242,0.1373678468548242,0.1373678468548242,0.1373678468548242,0.1373678468548242,0.1373678468548242,863.3,939.5,970.5,1004,1073,1066
BLZ,ACOF,2289.4421059830624,2255.185757673163,2212.061251200845,2260.5036661996724,3777.7463570690807,3723.1776650048223,95.0090028790192,95.0090028790192,95.0090028790192,95.0090028790192,95.0090028790192,95.0090028790192,24.1,23.74,23.28,23.79,39.76,39.19
BOL,ACOF,49059.78954480856,36790.19841544174,27311.70922772711,20626.581668815506,16270.207228553278,14210.250581506409,792.7106744633204,792.7106744633204,792.7106744633204,792.7106744633204,792.7106744633204,792.7106744633204,61.89,46.41,34.45,26.02,20.52,17.93
BRA,ACOF,4354435.802182769,4300491.343068554,4310640.054432876,4443236.6223314805,4572857.254194379,4652594.160189949,1307009.2006626774,1307009.2006626774,1307009.2006626774,1307009.2006626774,1307009.2006626774,1307009.2006626774,3.332,3.29,3.298,3.4,3.499,3.56
BWA,ACOF,0,0,0,0,0,0,2.2375918749338597e-4,2.2375918749338597e-4,2.2375918749338597e-4,2.2375918749338597e-4,2.2375918749338597e-4,2.2375918749338597e-4,0,0,0,0,0,0
CAF,ACOF,267.9045956115397,267.92259656775127,243.21265916824225,223.13104192116782,320.8446966575673,518.6348287354697,30.551951720415314,30.551951720415314,30.551951720415314,30.551951720415314,30.551951720415314,30.551951720415314,8.769,8.769,7.961,7.303,10.5,16.98
CHN,ACOF,179722.60507576543,167592.30660241927,159129.22477485664,152680.93393091057,147665.96342482706,147315.4569793253,42557.10847691559,42557.10847691559,42557.10847691559,42557.10847691559,42557.10847691559,42557.10847691559,4.223,3.938,3.739,3.588,3.47,3.462
CMR,ACOF,22102.522763558503,20511.648998176686,19699.25223305464,18703.354395204304,18117.04016762191,18113.377083450156,2260.739700041063,2260.739700041063,2260.739700041063,2260.739700041063,2260.739700041063,2260.739700041063,9.777,9.073,8.714,8.273,8.014,8.012
COD,ACOF,516023.8837278035,524707.3833422312,538416.7330132126,546458.8639786143,557972.8726537959,571951.3869086306,5309.232998709965,5309.232998709965,5309.232998709965,5309.232998709965,5309.232998709965,5309.232998709965,97.19,98.83,101.4,102.9,105.1,107.7
COG,ACOF,69.95465691360816,67.27297139160288,65.7126020140576,63.76169525150935,63.991122639782986,61.00377310010111,0.6378304918855143,0.6378304918855143,0.6378304918855143,0.6378304918855143,0.6378304918855143,0.6378304918855143,109.7,105.5,103,99.97,100.3,95.64
COL,ACOF,4598912.405587404,4565307.569399946,4560664.052533392,4552399.170830098,4508359.306287775,4407158.032603,580545.8371084249,580545.8371084249,580545.8371084249,580545.8371084249,580545.8371084249,580545.8371084249,7.922,7.864,7.856,7.842,7.766,7.591
CRI,ACOF,540332.7083396828,527577.6363389537,519286.5248097805,510528.84077503474,506865.35865585564,498905.23626058176,64367.96855364113,64367.96855364113,64367.96855364113,64367.96855364113,64367.96855364113,64367.96855364113,8.394,8.196,8.067,7.931,7.874,7.751
CUB,ACOF,16851.931107504886,16805.56790348747,16164.14286606854,16452.70756379297,16025.568185505655,15789.271270691279,3801.9087944236417,3801.9087944236417,3801.9087944236417,3801.9087944236417,3801.9087944236417,3801.9087944236417,4.432,4.42,4.252,4.327,4.215,4.153
DMA,ACOF,3908.141674970782,3709.318874134733,3474.2893258143677,3261.4754243510197,3037.5479228114937,2810.0160671018516,35.09453334766276,35.09453334766276,35.09453334766276,35.09453334766276,35.09453334766276,35.09453334766276,111.4,105.7,99,92.93,86.55,80.07
DOM,ACOF,153144.21084309896,133657.11673960031,115062.94504107285,102509.13145745748,88293.34107588667,78286.63215122934,11712.199227781051,11712.199227781051,11712.199227781051,11712.199227781051,11712.199227781051,11712.199227781051,13.08,11.41,9.824,8.752,7.539,6.684
ECU,ACOF,439474.4695552131,405600.517290042,382994.37134648964,352636.8846208197,329664.6863746457,299721.95987511287,3726.393307680178,3726.393307680178,3726.393307680178,3726.393307680178,3726.393307680178,3726.393307680178,117.9,108.8,102.8,94.63,88.47,80.43
ETH,ACOF,239684.33961396926,216608.3515200441,198522.99399975952,181995.83361732913,170194.03921249424,155123.84588395103,96328.81057419644,96328.81057419644,96328.81057419644,96328.81057419644,96328.81057419644,96328.81057419644,2.488,2.249,2.061,1.889,1.767,1.61
GTM,ACOF,2765140.119765839,2782458.7504362743,2789922.259491479,2897564.9888763796,3016926.627158793,2972747.4488641173,147853.7257497973,147853.7257497973,147853.7257497973,147853.7257497973,147853.7257497973,147853.7257497973,18.7,18.82,18.87,19.6,20.4,20.11
GUY,ACOF,0.7159686928830644,0.5507866723970128,0.4064026097335738,1.242598718143725,1.3142925469672466,1.191830199132505,0.0017906952975910075,0.0017906952975910075,0.0017906952975910075,0.0017906952975910075,0.0017906952975910075,0.0017906952975910075,399.8,307.6,227,693.9,734,665.6
HND,ACOF,6162089.129461145,6412608.125987813,6554166.281487049,6896412.94116784,7082009.304214297,6887342.001156521,350422.0682140436,350422.0682140436,350422.0682140436,350422.0682140436,350422.0682140436,350422.0682140436,17.58,18.3,18.7,19.68,20.21,19.65
HTI,ACOF,29248.25807639751,27483.105872434007,26360.35412391203,25427.717104469415,25285.85537208102,24115.656473265317,10171.14624847499,10171.14624847499,10171.14624847499,10171.14624847499,10171.14624847499,10171.14624847499,2.876,2.702,2.592,2.5,2.486,2.371
