GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AGO,CNUT,62.65388488888904,61.836762613519724,62.17355719375034,78.27155781389409,77.26057819975975,73.70808901017597,2.5364038782822687,2.5364038782822687,2.5364038782822687,2.5364038782822687,2.397741848761425,2.441559050090018,24.7,24.38,24.51,30.86,32.22,30.19
BEN,CNUT,60932.52194570876,64944.57495641257,72140.35895462518,84801.92663473188,90304.14484042299,107309.92713322723,11641.452501185295,11872.63438038219,11251.078182782438,11999.132127207096,12112.879996302367,11879.306275971065,5.234,5.47,6.412,7.067,7.455,9.033
BFA,CNUT,4.404809241744583e-4,1.3433786240209844e-4,0,0,0,0,0.18139964617982057,0.18139130463665712,0.16943220664242312,0.18217905911915688,0.18443333683245192,0.18068280185480212,0.002428,7.406e-4,0,0,0,0
BGD,CNUT,10257.957547732582,9508.18604379663,8726.248864079575,8123.706082056142,7360.513044592971,6507.0859820429,15108.444580546042,14131.175916143846,14432.919645610791,14178.281477042741,14084.118412394067,14192.860696347507,0.679,0.6729,0.6046,0.573,0.5226,0.4585
BHS,CNUT,0.32104966664762014,0.29536569331581053,0.2696817199840009,0.24399774665219132,0.2183137733203817,0.1926297999885721,23.01716888158115,23.409907141284688,23.252844254923676,23.396453870316712,23.540063485709755,23.432872307060656,0.01395,0.01262,0.0116,0.01043,0.009274,0.00822
BLZ,CNUT,18381.907295699613,18395.42225735603,18322.531447158177,19216.586896580717,21356.17183739292,21244.359923592634,1256.951973502151,1256.951973502151,1263.6315718032117,1264.6184557042611,1329.4573957600542,1309.252442323664,14.62,14.63,14.5,15.2,16.06,16.23
BOL,CNUT,772.4888917059726,674.3281499816477,578.3510564199322,481.3197383697292,387.16180234969625,319.2745042332065,5.611754521465927,5.683419178524303,6.321104251515344,6.683290366606682,7.280742528329223,6.887576921705014,137.7,118.6,91.5,72.02,53.18,46.36
BRA,CNUT,4694835.490131551,4500695.679678505,4431250.674708987,4399687.845220535,4301032.697305799,4119141.437535992,1493934.8063493904,1513013.0456926418,1682774.534367358,1779194.0040237452,1938244.873417399,1833578.19452081,3.143,2.975,2.633,2.473,2.219,2.247
BRB,CNUT,6.956975771613996,5.61561128796705,4.271018300883317,3.158829484258334,2.294470669905407,1.8396380099093728,495.57373935609814,495.57373935609814,495.57373935609814,499.47431766294676,519.6338444018368,512.4506434624308,0.01404,0.01133,0.008618,0.006324,0.004416,0.00359
BRN,CNUT,566.659232465642,503.85999459412835,450.72203184324877,404.458339094373,359.95557011305,317.31115812792433,169.58592348535026,169.33092613070514,97.32012093172098,94.58914342364355,119.1131953472196,106.16796592650444,3.341,2.976,4.631,4.276,3.022,2.989
BTN,CNUT,0.7806035301780678,0.6874884524416857,0.6370643960153725,0.5513768214568902,0.4743292574316736,0.4033649343730612,10.726371433124477,10.952294578403052,10.198706866694177,10.846608496882904,11.263660325543643,11.024616520139986,0.07277,0.06277,0.06247,0.05083,0.04211,0.03659
