GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,MAIZ,111.13896508655583,97.49673248996928,85.76139305123301,90.52856082466427,87.49661809827008,78.27008406656283,1050.1364054951243,1135.543636038061,1209.9304397685428,1372.386263768047,1121.042059171478,1216.6279450874247,0.1058,0.08586,0.07088,0.06596,0.07805,0.06433
AGO,MAIZ,2068472.1202332585,2250669.6813652427,2362896.606142091,2484971.6054965393,2622453.3156918683,2832424.160275253,410084.11934277666,409874.63768724975,426382.0304390818,443547.2034797775,462334.25467092445,449960.9008825008,5.044,5.491,5.542,5.602,5.672,6.295
ALB,MAIZ,153.52411192983027,147.73381183297082,136.16151797260895,123.81095704391987,114.0126730773718,104.3005628918834,5002.538884075045,5191.4740248540575,5032.255556388304,5129.401363810148,5147.111587832621,5130.206450771423,0.03069,0.02846,0.02706,0.024140000000000002,0.02215,0.02033
ARE,MAIZ,0,0,0,0,0,0,0.3747084756809358,0.33235462624577095,0.30413696954826736,0.2699241481416957,0.2851992283134285,0.28599719941044366,0,0,0,0,0,0
ARG,MAIZ,3709377.762269913,3703915.6355774454,3657662.38189879,3653276.211002321,3645497.060647617,3503206.383416145,11757973.086028112,12179067.799768267,11888217.854246447,8358696.206611197,11580193.028297234,10206883.50338363,0.3155,0.3041,0.3077,0.4371,0.3148,0.3432
ARM,MAIZ,6.099748179331407,5.162592322461354,4.2695587840650635,3.5977928876243115,3.1911700989571283,2.814980474961637,97.24231331650384,95.92039249062438,87.33697521392939,97.38360088660315,95.97115674677771,94.91781909272524,0.06273,0.05382,0.04889,0.03694,0.03325,0.02966
ATG,MAIZ,7.896926063395489,6.514072203590083,5.263569878646788,4.080365158728064,3.019280927699638,2.0826092422585254,3.81740534302392,3.2832291687441226,3.533517106628752,3.544488632673009,3.4539735428078826,3.465416273038396,2.069,1.984,1.49,1.151,0.8741,0.601
AUS,MAIZ,28338.79458401345,28549.13697735119,27726.58578181952,27129.996744619737,26201.69632791853,26879.70911926177,23243.404871746017,26553.69730543065,37356.02997362747,33577.16348108596,38835.24188609481,36580.906988867675,1.219,1.075,0.7422,0.808,0.6747,0.7348
AUT,MAIZ,821.9698492913757,800.0737349915713,741.1354800642849,708.8203467230031,650.3841561866025,615.8311298493447,9835.930049699116,9901.236420330977,8541.885761123807,8550.572720921062,8365.318032537487,8489.278794440828,0.08357,0.08081,0.08676,0.0829,0.07775,0.07254
AZE,MAIZ,273.2065282827999,232.95899475143057,207.8531133906556,183.5738603999912,177.66282863430712,157.53314445822758,9008.459538146184,7998.721127909869,7722.457182426853,8220.717656404528,8669.926851821194,8280.341093275429,0.03033,0.02912,0.02692,0.02233,0.02049,0.01902
BDI,MAIZ,46444.22033353551,52386.680301444314,54931.07029236133,58737.50708776761,64049.67858196475,72402.84903447692,63349.954342353834,93817.71443401006,118920.36010126343,93121.93358512488,92253.9376095229,98688.49732932301,0.7331,0.5584,0.4619,0.6308,0.6943,0.7337
BEL,MAIZ,1538.570051560603,1795.2444824323206,1818.435366467724,1738.5946004731009,1621.6239692242098,1470.0195823173062,15776.568503951647,16842.693732425374,18689.6685824122,19324.274582778755,18754.75577130442,18896.940436800916,0.09752,0.1066,0.0973,0.08997,0.08646,0.07779
BEN,MAIZ,790324.011585853,828658.2561824439,853186.1022637095,876742.5880009268,891627.6434325252,918140.7487932511,347109.50125620567,350995.49394179415,349464.50766976073,442375.83840667433,449826.9336420736,440648.75756614184,2.277,2.361,2.441,1.982,1.982,2.084
BFA,MAIZ,102475.46089338251,97231.08074273547,90640.53934221825,85684.39259389356,84521.85446777112,81733.36114375429,353677.27971579845,341778.12359997834,334379.98321431177,367268.50591344986,341790.8501459802,351331.7521243713,0.2897,0.2845,0.2711,0.2333,0.2473,0.2326
BGD,MAIZ,17696.835620302398,18621.897467265888,18822.55049918353,19497.38591753908,20261.949944779768,19796.792296978958,103207.39146123102,105840.81873261437,109603.9113226516,118084.27946350303,118194.43547005662,117496.05926722653,0.1715,0.1759,0.1717,0.1651,0.1714,0.1685
BGR,MAIZ,2095.251164427137,2211.0620322863892,2457.484214794715,2657.343245143371,2548.901034900323,2605.0010876669126,24641.17090044505,28281.13976288077,20757.047945187933,20116.49626246322,13476.177315523924,16699.215913217715,0.08503,0.07818,0.1184,0.1321,0.1891,0.156
BHS,MAIZ,0.07247939444014453,0.06668104288493297,0.06088269132972141,0.05508433977450985,0.04928598821929828,0.04348763666408672,5.258382567454007,5.3427079311025425,5.260746829986208,5.287279109514253,5.296911290201001,5.294709461261285,0.01378,0.01248,0.01157,0.01042,0.009305,0.008213
BIH,MAIZ,2119.9285598573306,1985.1621530270318,1833.6673387212506,1677.2568557337859,1542.559603494534,1340.692279207397,17433.90390834953,11483.32856455531,12034.594174141188,9365.931347154112,9921.887348783468,10347.445435843258,0.1216,0.1729,0.1524,0.1791,0.1555,0.1296
BLR,MAIZ,5108.680001209716,5066.043467950899,4836.344103291251,4562.880338578683,4274.659225607265,3952.2723180370526,11778.571481191113,12586.56330724474,10693.512798387934,10970.202112063873,18540.733564632035,16373.569111256178,0.4337,0.4025,0.4523,0.4159,0.2306,0.2414
BLZ,MAIZ,285644.92522148316,277643.7785605205,268153.0957225491,275705.76132465893,307058.0780692209,300223.33420898934,66274.19801417434,86181.71804135398,87664.05860951643,89058.5460757713,83181.50587252267,85917.61469514883,4.31,3.222,3.059,3.096,3.691,3.494
BOL,MAIZ,2735248.2766424264,2728863.1805461724,2877946.01988133,2905934.69191458,2910749.0160575258,2893268.116177931,600624.5094742038,600349.6471031108,600666.2240990803,600910.7122785875,600710.2810302313,600780.5879273122,4.554,4.545,4.791,4.836,4.846,4.816
BRA,MAIZ,49704907.92568744,50317103.260359265,52161148.24680431,52741692.2280894,52535352.82696933,51738613.45745119,50245370.039054506,42651961.60697975,53022777.755272485,63743951.23329438,55537692.67290615,58472938.14612318,0.9892,1.18,0.9837,0.8274,0.9459,0.8848
BRB,MAIZ,0.8492379617278384,0.5942148762324809,0.3961686282495491,0.2302734882735343,0.10977358073629886,0.059547645110729984,13.08981674552074,7.5951378558312195,7.762565744436718,6.484025504176552,0.16742788860549784,2.967776017697255,0.06488,0.07824,0.05104,0.03551,0.6556,0.02006
BTN,MAIZ,1597.7785172756319,1675.511624079675,1686.0571232492628,1760.4313500728606,1743.3029922476233,1722.6696161543123,158.33969071019283,134.9638515438457,125.06699511485667,125.94158303923906,138.40158399231092,133.51088069150344,10.09,12.41,13.48,13.98,12.6,12.9
BWA,MAIZ,542.6083419203362,601.0925020594357,589.7310816397957,589.0022682326077,628.8491677151194,621.5508740115566,172.8509512245332,189.15729597673948,84.91039430085968,93.75130396723975,51.99071932583522,77.55018111581509,3.139,3.178,6.945,6.283,12.1,8.015
CAF,MAIZ,703177.8053097063,754628.1353782734,785841.2816273806,795946.1497552713,826045.5130209461,876454.847939365,20396.554628458958,20989.672107822433,21624.784107413303,22256.446875945636,20212.64983291047,20841.27992531388,34.48,35.95,36.34,35.76,40.87,42.05
CAN,MAIZ,148492.3573218281,155218.5661598323,156348.62631421833,151238.02105422903,148218.32142979672,142438.96175578295,1288470.7337484604,1387894.4114053748,1380465.781831101,1464613.202759252,1457213.357517154,1437629.33875419,0.1152,0.1118,0.1133,0.1033,0.1017,0.09908
CHE,MAIZ,84.38273110798394,76.99725270368363,78.80744852300472,72.69434941809068,64.97487701258693,58.01783046854865,1545.1292933099653,730.0707643688597,894.2858771675836,970.2140905543664,1122.4721012379491,966.6035222836808,0.05461,0.1055,0.08812,0.07493,0.05789,0.06002
