GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,POTA,7.666224170128652,6.4018471972303175,5.164583862480162,5.903879589851141,7.349265381227597,8.563081848445954,2882.6707392936755,2958.718436772924,3018.9227679919745,3050.831959381724,3173.7647777125776,3106.2378516117765,0.002659,0.002164,0.001711,0.001935,0.002316,0.002757
AGO,POTA,373169.7649401132,380631.50512912404,377412.9243900924,378551.8089409838,377500.72212563193,390046.7057277649,285921.4213678626,288778.8166478632,298788.6279694545,300822.29447132826,314297.54033674416,307970.51980871113,1.305,1.318,1.263,1.258,1.201,1.267
ALA,POTA,243.5847991079278,239.45601045055858,247.13899299302045,243.42975405309753,228.9983262145543,222.14047999533352,428.6134848309983,383.57611977692744,366.0718855309466,341.916042271493,379.67027299811843,367.18741093029405,0.5683,0.6243,0.6751,0.712,0.6032,0.605
ALB,POTA,82.11154638594952,87.19388034352914,83.82053680339503,78.80590795069577,77.72645819978806,74.75499778560301,4208.449206916056,4262.0001082584495,4348.2795526317495,4527.196202652845,4588.464013616173,4538.622401357187,0.01951,0.02046,0.01928,0.01741,0.01694,0.01647
ARE,POTA,0,0,0,0,0,0,0.01634786371723436,0.028822636981955533,0.020080962948572367,0.01577234425240308,0.016885896643950946,0.017970729110594368,0,0,0,0,0,0
ARG,POTA,19191.268524043182,16649.90685010004,14495.946575631428,12555.576309503544,10799.25563234446,9533.094668453352,535351.6178297657,556835.7248550471,419424.90413910476,398559.8888592405,392058.3679497529,403593.3996753191,0.03585,0.0299,0.03456,0.0315,0.02755,0.02362
ARM,POTA,20.1462495069921,14.668605398262107,10.312832237931788,7.754410777419034,7.58690730941464,8.017238610808283,1189.0766575965304,1026.1588101664695,998.0402985971836,1017.0281082377994,945.2808020970378,982.4278619313981,0.01694,0.01429,0.01033,0.007625,0.008026,0.008161
AUS,POTA,41303.36261445671,37673.302108885044,35128.299760834205,34638.52393459422,34964.94683904658,33855.985070600036,271955.6554732656,368488.2828441131,369264.91646950605,369494.49694608565,386463.75223808555,376347.4448745871,0.1519,0.1022,0.09513,0.09375,0.09047,0.08996
AUT,POTA,167.20405385392579,158.36101457546587,146.1089352252971,142.2821703398404,130.31005313649635,132.954675805973,4668.622457379061,4059.710760147339,3627.074297235245,3144.4161552849864,3669.727126895261,3529.5223097619755,0.03581,0.03901,0.04028,0.04525,0.03551,0.03767
AZE,POTA,1121.3159157502087,921.6270250363801,752.6001886321783,645.0282736930146,564.2552829841384,477.7494176876881,32981.302320896524,33729.71211574914,34110.44748683155,32132.931016764574,30376.293533577915,31355.85033417556,0.034,0.02732,0.02206,0.02007,0.01858,0.01524
BDI,POTA,7838.044852599934,8904.430389864045,9305.093231986502,9963.837327773024,10780.49732140001,11938.08446540693,31369.461613331856,34488.804018379626,36816.81739324895,36443.90182374081,36519.88803637335,36157.949857968844,0.2499,0.2582,0.2527,0.2734,0.2952,0.3302
