GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AGO,YAMS,82.20120210884988,76.43405856478603,72.83015728300921,85.56817504762996,82.11855732837056,77.09477171185935,7.655564497278221,7.642243943392397,7.705811241451155,7.765393616947865,7.80457885411774,7.770151920238107,10.74,10,9.451,11.02,10.52,9.922
ARG,YAMS,330.87875704173905,353.2405895849586,347.14088798470675,337.18943636741665,334.33748093712927,343.2863510238674,107.06125059994594,107.8330639701218,107.86170442553008,108.16045589768635,108.4592031443402,108.15000002223263,3.091,3.276,3.218,3.117,3.083,3.174
ATG,YAMS,87.30763330433771,103.58312996069347,110.57975269161379,101.79681558806946,114.76512786154896,110.03140493364894,34.474621287392836,33.939337219607765,34.12785030434946,34.18137871112797,34.08363118570634,34.09887436925401,2.533,3.052,3.24,2.978,3.367,3.227
BDI,YAMS,93.44443616496929,104.18441076229112,106.64823232967281,126.14426306102763,134.60983430255774,140.65919402890657,2242.8652325497715,2451.374238911694,2319.9518677236756,2785.2286070745463,3653.452694624484,3316.0066468629293,0.04166,0.0425,0.04597,0.04529,0.03684,0.04242
BEN,YAMS,174829.4708525551,168536.4893942038,175433.12585044443,193053.79090106726,199161.84828694392,219604.18513962263,2307833.0566968466,2346769.07160334,2355563.0135033764,2433014.157844702,2456865.3274549227,2437267.5091220974,0.07575,0.07182,0.07448,0.07935,0.08106,0.0901
BFA,YAMS,2291.2659685925855,2108.2261586585014,1921.9353757804208,1791.7091708726584,1812.077064139541,1687.6617358142973,23822.627753053705,25708.22233531133,24343.942330592658,24423.573229104622,24366.03199887055,24466.13697168555,0.09618,0.08201,0.07895,0.07336,0.07437,0.06898
BLZ,YAMS,616.1599316956863,629.1733940915813,623.5503473553098,632.2403755569414,781.8289117258698,756.7875688712963,52.755493548057046,53.23948890170894,23.231776975291176,24.199767682594974,21.29579556068358,23.09222498165487,11.68,11.82,26.84,26.13,36.71,32.77
BOL,YAMS,252.85017398034603,246.34243464768846,241.03081094067053,220.7802460405398,214.1454740642791,199.9751762049461,69.5290599558308,70.03030067354103,70.04890071725512,70.24291964476666,70.43693582809944,70.23612925900862,3.637,3.518,3.441,3.143,3.04,2.847
BRA,YAMS,1805974.5878800454,1833419.8794658685,1920087.4951283094,1953972.9534697304,1919488.168778398,1831549.2642203912,154495.3599929478,155609.0970859299,155650.42667542107,156081.55011222517,156512.70624238098,156066.49219794822,11.69,11.78,12.34,12.52,12.26,11.74
BRB,YAMS,2.5841651936050494,2.2482929985521674,1.8844868172299885,1.5480707641075164,1.2350352292604962,0.9662741723912605,53.65527461247131,86.49175517250158,270.7401356721129,120.42324133686799,90.8663025618245,143.96796560961238,0.04816,0.02599,0.006961,0.01286,0.01359,0.006712
CAF,YAMS,221058.87763951422,234586.0999738028,238536.64806264508,244132.5288170226,253789.0623375846,268763.2220166494,109788.39165123011,109932.11841236036,110342.09841032275,110635.24530030835,110928.71749825822,110685.80886763276,2.013,2.134,2.162,2.207,2.288,2.428
CIV,YAMS,2965299.3045888916,2945806.4678889043,2913390.029197415,2967468.231014802,2950175.877843485,2973714.673436004,6073052.518046997,6073252.7150980355,6073319.857740274,6073307.503450756,6073230.927859161,6073271.65605019,0.4883,0.485,0.4797,0.4886,0.4858,0.4896
CMR,YAMS,157480.91433656716,171030.3307397783,179296.92738293984,199988.76483315564,208655.71178480762,224936.14469491964,135637.530400761,135473.55096493676,142519.29565224415,142291.41298938426,143228.55423239694,142687.03027145047,1.161,1.262,1.258,1.405,1.457,1.576
COD,YAMS,146423.25768655541,148226.6234662211,148889.54130726957,150954.74972879796,154481.9602121526,159044.33889734623,38633.84853888139,39635.14733922258,40666.632248263995,41729.766246931744,42820.116323205424,42059.79622898453,3.79,3.74,3.661,3.617,3.608,3.781
COG,YAMS,16530.7567944927,16862.985151637105,16966.445980413748,17514.879474279995,18382.058658511487,18701.105153116463,5284.245281977771,5231.781003381591,5246.740076655671,5255.848730227486,5246.230599587295,5246.763879420928,3.128,3.223,3.234,3.332,3.504,3.564
COL,YAMS,34545.4003939613,34919.73045709451,35284.0596821796,35408.04490537666,34833.78608936239,34157.304519435216,32577.94937201296,31466.670134223394,30923.702353585835,31727.68771375075,31429.817192315186,31422.757060566582,1.06,1.11,1.141,1.116,1.108,1.087
CRI,YAMS,17318.813722404288,16046.009854422577,14999.27489266339,14035.004191736445,13026.137550376345,11892.521389903632,8400.728990436497,4708.688432577044,12066.05042111154,13551.222384541428,12360.021887941892,12562.163173919924,2.062,3.408,1.243,1.036,1.054,0.9467
CUB,YAMS,24090.790647677364,21019.39278429444,17964.791985359443,14948.012596301194,11919.370441025336,8905.519263834234,4535.629030153351,2960.4438535429704,2763.9681642211194,3062.203200977749,3166.4736548161586,3025.1130486021702,5.311,7.1,6.5,4.881,3.764,2.944
DMA,YAMS,1044.3378651973821,967.8992900760136,893.5306600242773,821.0182742402643,752.9186409204166,687.6278609849351,1893.2589586763193,1902.9986100305018,1907.4427587663495,1901.2334424910568,1903.8920563696975,1903.6184811996864,0.5516,0.5086,0.4684,0.4318,0.3955,0.3612
DOM,YAMS,1745.5554353651635,1680.0026926537341,1592.3956205553889,1596.5791751665827,1541.1246623283578,1481.3810085269515,6252.292644430609,6496.300040821834,7780.745734180208,9741.819720808848,10903.569215990581,10129.892328277308,0.2792,0.2586,0.2047,0.1639,0.1413,0.1462
ECU,YAMS,0.32352602993438645,0.31000659022524946,0.29180477332252763,0.29473024463588515,0.28039254091866994,0.3986535462338511,0.6377616043334128,0.6160054231827677,0.6053754510019184,0.6211154644723728,0.6152838622124115,0.6151456759167099,0.5073,0.5033,0.482,0.4745,0.4557,0.6481
ETH,YAMS,4184.30896420607,3817.294711710826,3324.5145854618654,2850.3515259357005,2326.4410795444737,1909.8400230012533,12057.876687826654,13875.541056174154,9595.415488535358,12430.904709733326,11944.73012262073,11617.976288124608,0.347,0.2751,0.3465,0.2293,0.1948,0.1644
