GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,BARL,50.89457477376486,44.12913522189506,38.23546249541772,34.32985535350405,28.901010728372846,24.302637545459113,897.7624009280082,486.09710071060596,690.5355787592425,670.3348516671517,726.9511307058731,666.4969532776126,0.05669,0.09078,0.05537,0.05121,0.03976,0.03646
AGO,BARL,2.2159934867420517,2.046798157326517,1.7466210379023412,1.6590475460243563,1.4217175064108392,1.3522961412177052,0.03125594468915742,0.03160013671970689,0.03266738650019992,0.031841262005433774,0.032036261741780196,0.032172703608687694,70.9,64.77,53.47,52.1,44.38,42.03
ALA,BARL,577.6934235320641,563.5530302438856,563.9689008115533,550.8663452988851,516.388072087025,493.52017231015407,87.91622418833346,65.74991765839226,89.69785514697739,67.83781556968698,74.14238682291875,73.24742489573683,6.571,8.571,6.287,8.12,6.965,6.738
ALB,BARL,128.76504740818132,132.97653236054555,128.46671879343398,127.39675888379222,124.03203383420609,118.09086146982959,314.52068292773004,372.7302263170071,455.0693574225939,505.7396392283137,563.4643851430083,514.8163260330055,0.4094,0.3568,0.2823,0.2519,0.2201,0.2294
ARE,BARL,0,0,0,0,0,0,5.01589074383572e-4,2.782649327462615e-4,4.012458239554183e-4,8.813418573727569e-5,9.182234069597844e-5,1.21143363384301e-4,0,0,0,0,0,0
ARG,BARL,51168.90387024537,48148.56563151258,44512.904440657934,40406.7058888676,37052.74415561035,34303.93745582877,307701.06461686845,343833.781828173,449642.9620291463,399896.83022520685,434050.9023826741,426421.49597437,0.1663,0.14,0.099,0.101,0.08536,0.08045
ARM,BARL,116.35356182544442,99.33387191903634,84.467140013435,82.84423166145255,72.44885738863239,62.375540623692565,309.39717463386955,228.08493030775412,286.96496305728573,299.66695177964027,281.50966222674884,279.5358133399603,0.3761,0.4355,0.2943,0.2765,0.2574,0.2231
AUS,BARL,79579.45293752005,77054.28463726905,71691.65114652856,66329.7658262966,61314.71033816725,56590.599884121366,558999.9681648695,548647.1167178908,514840.2037834523,418313.15355854924,506201.5771696728,470113.8201669774,0.1424,0.1404,0.1393,0.1586,0.1211,0.1204
AUT,BARL,756.6374440628614,723.4401482420116,665.1821686563725,631.8856129653127,577.9244960686287,567.7939136435622,3162.6938945302495,2728.453428456987,2817.072968494408,2840.2963389732145,2639.4025171660383,2728.484468907754,0.2392,0.2651,0.2361,0.2225,0.219,0.2081
AZE,BARL,1340.7077779256306,1142.0258674760132,961.0602229445186,879.424993897343,769.8242945652433,659.0458894810853,17687.893070085756,19888.910197048648,19053.494951317767,18514.177805324107,19011.814010211645,19022.764805676074,0.0758,0.05742,0.05044,0.0475,0.04049,0.03465
BDI,BARL,0.05723574445477233,0.05838393461473714,0.057907190557015695,0.051173252478616225,0.06659242028769259,0.06155358315297549,0.495191640887849,0.5006447160734931,0.5175532809975563,0.5044648925898687,0.5075542965536395,0.509715961242762,0.1156,0.1166,0.1119,0.1014,0.1312,0.1208
BEL,BARL,1064.3867638253942,1032.5157698991122,1009.0216736515325,948.8815361897547,925.470120732743,853.1682257112654,14275.990990924169,13047.65746281416,16121.577151483369,16963.637496391504,13080.253044643094,14705.96769346681,0.07456,0.07913,0.06259,0.05594,0.07075,0.05802
BGD,BARL,2.122848091063994,1.3809665921711407,0.8333715710497528,0.42802849734700055,0.14662936223494621,0.0405700542372182,4.874587291136699,6.840146682724078,6.761524307060583,6.250478865247863,7.665681627190776,7.041105474919969,0.4355,0.2019,0.1233,0.06848,0.01913,0.005762
BGR,BARL,251.11495461397828,241.46678634686285,247.7319373529296,229.4320582728923,234.1884102721358,232.01255854297776,7264.306470087606,9163.569447170865,8118.618945348912,10301.046977592181,14050.068846935388,12846.341573066311,0.03457,0.02635,0.03051,0.02227,0.01667,0.01806
BIH,BARL,341.29394306960774,328.3599774008851,312.14763731234666,296.38063866097184,324.71684676683236,298.1669298868553,1350.5548602052577,1307.3789281973582,1357.9925286855832,1163.7331549185776,1196.3621286059906,1196.6833634985514,0.2527,0.2512,0.2299,0.2547,0.2714,0.2492
BLR,BARL,3140.7745946962837,2864.583181803174,2572.0290135676255,2305.062153782893,2035.0059380043297,1770.435443869049,12507.725535520201,9805.951700045942,13634.423692556587,10463.956668288487,10011.269805789398,10628.621407268602,0.2511,0.2921,0.1886,0.2203,0.2033,0.1666
BOL,BARL,113573.99453238373,116567.56147293221,126412.10818481703,128827.08433584883,130757.30922496157,131633.1903882601,2403.560552716918,2403.560552716918,2403.560552716918,2403.560552716918,2403.560552716918,2403.560552716918,47.25,48.5,52.59,53.6,54.4,54.77
BRA,BARL,287823.59755348956,319520.1679038075,337460.7661156797,344396.3722926568,339547.70421700296,336918.79522112483,190559.85554219526,223060.4390005822,257032.90040546123,185084.85770242097,210798.58117664527,208626.56900390895,1.51,1.432,1.313,1.861,1.611,1.615
BTN,BARL,84.05749344176263,90.82311998564944,95.88841182343712,99.1079752431266,105.39674087603804,103.12232984642561,1.6604890106732948,1.2670468713797123,0.9089314550897986,0.7658508363971143,0.7784738579222745,0.8267610243894838,50.62,71.68,105.5,129.4,135.4,124.7
BWA,BARL,0.3367899525174528,0.30567373132105236,0.27455751012465196,0.6030656850849945,0.6650935622946096,0.6891578065532769,0.19126203201751688,0.18804604235402328,0.1890940658981272,0.1913437596705318,0.1894946226408941,0.18989020344699523,1.761,1.626,1.452,3.152,3.51,3.629
CAF,BARL,7.202966694690779,8.77116250204813,9.70363133244128,10.431790495737605,11.202760829847845,13.160006525781954,0.13622933237671872,0.13772949661739217,0.142381114942216,0.1387804434699157,0.13963035167650797,0.14022503485188129,52.87,63.68,68.15,75.17,80.23,93.85
CAN,BARL,350373.72409510985,351062.76270033646,341679.90088893473,321644.0151634782,301647.89937166387,281467.5316858547,671677.7334030861,428276.7351843953,624555.4231039173,556982.0561856406,509313.1819808452,529779.7068668097,0.5216,0.8197,0.5471,0.5775,0.5923,0.5313
CHE,BARL,73.79287026157989,68.10863633911761,62.25428582360391,62.13679930665702,58.314596940306465,57.20019418150544,1438.3647122684124,1275.5243355877576,1374.1713411443538,1228.7581320318664,873.6041094710697,1001.3469969693415,0.0513,0.0534,0.0453,0.05057,0.06675,0.05712
CHL,BARL,30632.252421743007,31938.66991200936,33888.04147226064,33950.91002027086,33292.213820785866,32143.136592786977,44447.92954166726,36248.29139771738,25085.177993262772,34850.29372562769,43566.01898248473,36855.87032950372,0.6892,0.8811,1.351,0.9742,0.7642,0.8721
CHN,BARL,238280.72491219695,231985.8976553312,232987.3998439943,239470.03006140172,250034.28131996517,270387.0523880889,188661.8798165661,183709.08234287382,185163.20037994455,185843.108377098,184902.5403743356,185013.31961523092,1.263,1.263,1.258,1.289,1.352,1.461
COD,BARL,29056.258531061652,30500.118960739524,31561.293641600583,32987.63196447354,34598.33605089272,36120.53862461345,580.0524752215424,586.4400421710387,606.2462224996526,590.9148811245676,594.5337152650864,597.065823745909,50.09,52.01,52.06,55.82,58.19,60.5
COG,BARL,12.529768036223292,12.81818832697082,13.94488324705462,14.23085638125217,14.211653000114028,13.562399368824297,0.2166046581683491,0.21898991952784017,0.2263859933366133,0.22066092517524702,0.22201227934656684,0.2229578256813606,57.85,58.53,61.6,64.49,64.01,60.83
COL,BARL,4644.564598157581,4042.118294736389,3503.073593515767,3023.657572950429,2600.321561908422,2187.2899181622215,3121.425639064831,3191.9634644314406,3529.428600178166,4197.254342498003,5322.307283776939,4848.429098300365,1.488,1.266,0.9925,0.7204,0.4886,0.4511
CYP,BARL,6.9345914394878445,6.103398944468211,5.456105516194797,4.992711154667604,5.669595561135147,5.194088685530502,287.97821963634635,281.40140518564726,263.61166117965814,213.36911144153103,71.05115939361747,120.38826507015486,0.02408,0.02169,0.0207,0.0234,0.0798,0.04314
CZE,BARL,253.9945147325033,247.6227056738038,227.41178826048892,207.49448323830882,185.8311044401252,179.09152540093325,8817.980241265139,8492.238435709822,9088.865678171182,8559.350798255029,8124.074809861646,8327.47892123913,0.0288,0.02916,0.02502,0.02424,0.02287,0.02151
DEU,BARL,4389.302405168094,4290.3858248312345,4106.97688932961,4029.979798130201,3925.0394819842577,3880.5866646420095,88618.3313893708,85695.28275191545,92226.35392123976,90539.27978467893,87302.65466095215,89360.60811889655,0.04953,0.05007,0.04453,0.04451,0.04496,0.04343
DNK,BARL,3538.4426145339567,3576.6463103335354,3646.6859579045695,3578.3667784004633,3603.512037679183,3547.2049216573905,130290.6721477424,108526.03305419207,129228.03440305134,79669.61923029041,98463.2611131676,91881.62893286486,0.02716,0.03296,0.02822,0.04492,0.0366,0.03861
DZA,BARL,21563.932383042848,22323.793629718028,22083.031658001437,21595.699830640184,21035.093956515964,20635.79229619835,18308.462928471297,8528.669387178581,15103.960590210641,12875.035533956943,15097.54482127881,13296.401802097644,1.178,2.618,1.462,1.677,1.393,1.552
ECU,BARL,538.7816640280407,466.5812237457344,428.55495392967117,400.46359309989396,390.7144852206719,394.8466255259072,113.2242603582168,117.80112338164096,89.9980486639787,69.39307505955315,85.29699461548422,81.98509386534288,4.759,3.961,4.762,5.771,4.581,4.816
EGY,BARL,82.53596756906288,78.3244409856107,73.5790406617435,143.649305717471,184.89730503648036,199.80572696316807,3456.570253548536,2778.291131794535,2912.4760886756253,3728.427137605288,2852.97569555826,3142.9787043452143,0.02388,0.02819,0.02526,0.03853,0.06481,0.06357
ERI,BARL,0.4066952307642386,0.38168251837621897,0.3742979491725923,0.7124432047717826,0.8029996710922491,0.7514826946296457,14.780918060776202,14.780918060776202,14.780918060776202,14.780918060776202,14.780918060776202,14.780918060776202,0.02751,0.02582,0.02532,0.0482,0.05433,0.05084
ESP,BARL,83567.90268931616,82402.14449368342,81237.03960383692,76663.80256366724,74143.62189758825,73416.01810461178,679025.5555085175,549360.4776932966,416316.09992209915,222557.23662798884,440697.3905586717,364877.76534183946,0.1231,0.15,0.1951,0.3445,0.1682,0.2012
EST,BARL,2109.8903050777344,2581.4265946176924,2623.832094508919,2620.352126838167,2520.55795016387,2355.1952023899134,2752.1617612013847,1944.1017000543677,2397.5473577084454,1626.861953938674,1545.9826304673386,1692.8650704743427,0.7666,1.328,1.094,1.611,1.63,1.391
ETH,BARL,13255.953755930661,12689.069315786084,12656.545536783267,12431.955411932975,12061.422324415274,11821.911418800697,35514.65492371497,33925.23496765304,29579.25567492897,33006.381900585475,34099.97344373572,32438.797069393808,0.3733,0.374,0.4279,0.3767,0.3537,0.3644
FIN,BARL,50535.87630655568,45969.85295922153,41790.4284068621,37714.736912824614,33104.64935507956,29336.732268599866,14713.867781161342,11003.996834963431,15012.014091792325,11353.212372157923,12408.634293523635,12258.722928731959,3.435,4.178,2.784,3.322,2.668,2.393
FRA,BARL,44589.1655621454,42497.77553917991,39863.90229980788,37506.24228371754,35373.6679593546,33269.09499276686,342653.0698753126,377175.41217848175,375845.84853218,404124.4703456687,322124.03420813166,344750.2933275533,0.1301,0.1127,0.1061,0.09281,0.1098,0.0965
