GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,RAPE,0.03672607151084537,0.02846213821975463,0.021216607242091363,0.014720783675087638,0.008882714916956167,0.004964904622063746,0.015625031318519264,0.013651202575889226,0.009996458783152954,0.010715833444427229,0.011068398253665613,0.010630196401932725,2.35,2.085,2.122,1.374,0.8025,0.4671
ALA,RAPE,50.49973283334601,47.28570038428613,45.39938601990253,42.10550212462731,37.639442473243854,33.891106606316455,2.5292307737736057,3.3492802116712816,4.613895598558084,3.2997033873781616,3.990527988183934,3.9009358938960608,19.97,14.12,9.84,12.76,9.432,8.688
ALB,RAPE,0.01724953732407721,0.014334953877191938,0.011420370430306656,0.00871769386850602,0.00622692419179001,0.003736154515074,0.12103825285096369,0.15996692919934039,0.2456126269621789,0.17343777456943713,0.10149090238466903,0.1353531367477654,0.1425,0.08961,0.0465,0.05026,0.06135,0.0276
ARG,RAPE,20638.09738598826,18759.54655913729,16890.808557067532,14778.908540482445,13024.695320593539,12358.537605133171,3938.1520146648018,2220.933924239498,6412.844815070995,4875.207655217527,5490.04572730866,5495.689820215307,5.241,8.447,2.634,3.031,2.372,2.249
AUS,RAPE,79148.85280111281,75295.57345938774,69578.60068632581,63279.50593321047,57778.40366418681,52181.83662933159,198349.49052103903,284417.57378340233,371890.0332068002,312957.3949267187,266724.09288130875,306085.23076316825,0.399,0.2647,0.1871,0.2022,0.2166,0.1705
AUT,RAPE,160.52395601388696,148.47720117087638,133.54583248910063,122.29553876727344,106.58446955348766,93.26860876507018,430.87123173293105,373.0231001531167,393.265729176687,382.45336453958566,309.57885354595913,337.8354465629435,0.3726,0.398,0.3396,0.3198,0.3443,0.2761
AZE,RAPE,0.5913131269757672,0.5058962092390737,0.4204792915023805,0.33597340471133436,0.25237854886593547,0.1687836930205366,21.48384579743232,21.48384579743232,21.48384579743232,21.48384579743232,21.48384579743232,21.48384579743232,0.02752,0.02355,0.01957,0.01564,0.01175,0.007856
BEL,RAPE,359.84275352462043,332.3722681319437,301.0735017139988,265.7165884783452,233.4809651471442,194.41192829425572,1192.7381007079039,1104.8775832003391,1459.234007855676,1789.4994366776532,1417.942567992124,1564.409910178904,0.3017,0.3008,0.2063,0.1485,0.1647,0.1243
BGD,RAPE,9263.60776905404,8035.283625294373,6896.216029948188,5896.4428271314155,4916.28464885955,3896.1098611188795,6285.484510783461,6961.64868987581,7235.674482247999,9563.289256414122,11094.650611612988,10072.98988928747,1.474,1.154,0.9531,0.6166,0.4431,0.3868
BGR,RAPE,1672.5954728270785,1542.224069218211,1617.9247666383621,1503.777759932099,1418.034898200643,1276.9576131449048,4381.120365099893,5959.90675490854,4781.019503554908,3509.935913517002,2669.364918856013,3266.845860652021,0.3818,0.2588,0.3384,0.4284,0.5312,0.3909
BIH,RAPE,154.2794702582614,145.71038553222243,139.23419110391484,134.15862884994954,220.95245831397935,209.3386255681892,188.5579215600472,86.18673220933285,96.90453636229422,90.8676888605222,84.16128319387052,89.43802505869671,0.8182,1.691,1.437,1.476,2.625,2.341
BLR,RAPE,7196.147009755843,6895.098763589545,6481.240179601825,6064.303576013849,5551.922704166618,5101.533022612072,7431.4235595675855,7254.747328832117,8182.887214932957,9113.09222816937,10537.859426874085,9755.243365671708,0.9683,0.9504,0.792,0.6654,0.5269,0.523
BOL,RAPE,528.7617445145639,517.3864817682497,512.645327236386,554.7526070479404,751.1807109362935,781.9684378922949,23.296374597636994,40.832863238225904,55.766780043996114,104.04568550401086,166.6296424203575,126.80639556891845,22.7,12.67,9.193,5.332,4.508,6.167
BRA,RAPE,455115.6245697869,492241.3530470819,532506.5841054018,560069.2102128733,561329.1770355859,583178.9804330061,24388.05050254999,42785.71134849152,58515.91476259873,109234.17901575465,174211.48669803212,132785.69365417192,18.66,11.5,9.1,5.127,3.222,4.392
BTN,RAPE,2317.9698477551706,2277.0889248996377,2266.1493468862427,2231.115111695351,2112.4682627234747,2005.6983461964965,93.43479971819045,98.96947290262533,107.9007991231295,111.36570210705077,114.50372990217821,111.35164542944476,24.81,23.01,21,20.03,18.45,18.01
CAN,RAPE,571946.0722738415,570627.8564081294,550336.4543055877,516474.673629633,486764.2287759917,453326.72293475573,1436777.047354206,1050650.5984838386,1389961.4558623228,1435219.9326126052,1418696.7748419673,1385726.660885465,0.3981,0.5431,0.3959,0.3599,0.3431,0.3271
CHE,RAPE,140.59432998812466,127.59155530449594,115.05024991029549,112.00200751116645,99.65924129175157,92.14201854141818,677.9105340731126,593.6233506067573,710.3957481305565,635.5256585961972,574.9943419555167,610.4760451763249,0.2074,0.2149,0.162,0.1762,0.1733,0.1509
CHL,RAPE,57989.318209286714,59469.14843721163,60857.109798972495,61528.35651887605,62935.3650776736,61136.50415395128,33477.62679440742,30654.5103983717,29428.31079417661,26824.969753267273,26834.677268556414,27632.987712814836,1.732,1.94,2.068,2.294,2.345,2.212
CHN,RAPE,764935.0263583629,759145.3270923616,768185.684659043,771483.2239269344,791021.2557796176,824068.8952744963,1555574.1489559645,1629138.6064368424,1719699.2711920056,1806727.5708919927,1867791.431592951,1809489.4536575316,0.4917,0.466,0.4467,0.427,0.4235,0.4554
CZE,RAPE,486.40897918918256,466.61708599167747,425.7273219741777,386.5060971633891,341.7939741304347,316.6216898167958,5703.984096906766,4720.83751791149,5371.5596426952825,6016.1979593696,4373.271331256705,4829.6383553138485,0.08528,0.09884,0.07926,0.06424,0.07816,0.06556
DEU,RAPE,2703.109640594896,2403.6330593420166,2161.283383447155,1969.132252666702,1740.553407288557,1531.1870423113428,23476.445680381414,23326.53656612362,28594.07650035551,28079.593405356893,24182.673960771266,26684.112945568195,0.1151,0.103,0.07559,0.07013,0.07198,0.05738
DNK,RAPE,2675.1697681958904,2642.032394574735,2467.316605366651,2308.7566414519924,2138.700853485925,2020.7886005029682,23500.27967971314,27305.12681814581,37301.76488968391,34512.10298554088,29234.817759357527,33333.537950725346,0.1138,0.09676,0.06614,0.0669,0.07316,0.06062
DZA,RAPE,242.6964856365023,235.3464201211963,230.89437263577332,228.0881650852612,233.18330576112632,253.1782655066811,609.5027618586731,608.8353184959368,611.49197517722655,609.9484028247134,610.0837731248664,610.4405121885841,0.3982,0.3866,0.3776,0.3739,0.3822,0.4147
ESP,RAPE,12536.380511311416,12509.790086707115,12659.287541418744,12250.074600669635,12176.847630471864,12219.147409002297,12194.15910494918,14831.925615236212,15831.502252857668,10624.774536828914,13978.364659420786,12852.186738877379,1.028,0.8434,0.7996,1.153,0.8711,0.9507
EST,RAPE,1159.1164563607697,1296.6829490903872,1276.4019553688881,1233.5149824315383,1153.960398142056,1046.4702056121234,973.0334777173264,1035.9362303388793,1048.401246704383,661.2986818763171,460.6029947465853,591.3380645070746,1.191,1.252,1.217,1.865,2.505,1.77
ETH,RAPE,13524.36458635002,11947.28465482845,10351.919241932743,8734.690524167436,7211.621405177661,5665.498559935514,4400.663879337141,1717.3647069344925,1807.3158254601205,1800.9674153211135,1981.064156853225,1857.79664135001,3.073,6.957,5.728,4.85,3.64,3.05
FIN,RAPE,9815.05070786503,8974.311367921997,8162.169881015,7223.189347322919,6358.462649584698,5483.781896132416,214.10442044930758,283.52323800501176,390.57544822966554,279.3264611260247,337.8061389479756,330.22198979747117,45.84,31.65,20.9,25.86,18.82,16.61
FRA,RAPE,20630.909037304053,18310.991763307487,16049.746918128953,13937.951622373657,12035.15322719275,10211.50601382838,91129.77298429405,91597.30171870692,125099.26497796747,118449.35046016722,109163.49732608012,116907.52994141047,0.2264,0.1999,0.1283,0.1177,0.1102,0.08735
GBR,RAPE,4124.730382656577,3471.1654788603014,2981.0090504743575,2506.8020038689283,2061.0219455647025,1647.6051227420135,45104.189611019116,42617.045957610855,59155.80023325636,52843.49757615873,35788.08871347148,41692.46278947421,0.09145,0.08145,0.05039,0.04744,0.05759,0.03952
GRC,RAPE,205.66209663249174,197.6133785178179,196.69730659588396,196.57267692327477,185.227372281436,177.32032087454644,662.4537790857529,671.4662962848582,1238.3173635324474,861.05278589368,416.1907709991876,616.9173859612293,0.3105,0.2943,0.1588,0.2283,0.4451,0.2874
HRV,RAPE,2240.7944682799093,2136.704711682339,2127.3770321063785,2070.339485461433,1900.4985748274146,1742.0008128858756,828.5791793001698,512.5579888501311,405.92520738193383,310.66112652202963,371.00355270237054,386.90766775256776,2.704,4.169,5.241,6.664,5.123,4.502
HUN,RAPE,4364.920150573758,4396.108706997403,4237.267005447199,4080.569609023661,3787.35577351465,3601.3373063395984,9259.818292996593,7786.184097646027,5401.247505491178,6698.1245958808,4819.900922190376,5571.16718991733,0.4714,0.5646,0.7845,0.6092,0.7858,0.6464
IND,RAPE,684056.4617213601,707886.6708369447,709121.5156594155,702867.1900228844,693949.9545829179,683662.9898705697,112741.8539494037,126127.0593023963,147690.8092550298,156176.7270803772,163822.8086137199,156166.2826134146,6.067,5.612,4.801,4.5,4.236,4.378
IRL,RAPE,1954.80767698229,1688.911327436522,1431.7880404444054,1170.2106406296275,923.9611954098326,664.7802682985968,6258.823606596591,7255.43419257188,10904.204981874043,13345.394890049434,9305.284836014971,10873.5186169736,0.3123,0.2328,0.1313,0.08769,0.09929,0.06114
IRN,RAPE,390.72661344092137,333.8660951813859,287.18108300896955,258.1006690420443,277.9658588663127,293.87609354105854,4978.585116321565,4978.585116321565,4978.585116321565,4978.585116321565,4978.585116321565,4978.585116321565,0.07848,0.06706,0.05768,0.05184,0.05583,0.05903
ITA,RAPE,2079.199119155993,1847.7997230724216,1619.129680279186,1390.3144476085147,1145.4338922034387,901.4049255568549,3661.0490528243145,4147.5182385100015,4058.046066265589,6279.155298884214,6078.403829730229,6020.780108413996,0.5679,0.4455,0.399,0.2214,0.1884,0.1497
JPN,RAPE,1923.9727493936493,1718.1306959424899,1528.0663291572614,1319.980568739894,1116.6284532631125,901.9739757907624,222.26496048016153,200.5351459080787,228.47347892932808,228.47347892932808,194.94747930382886,206.60335184029407,8.656,8.568,6.688,5.777,5.728,4.366
KAZ,RAPE,937.5668767777411,825.9150826164873,762.1555083595072,868.7123395292671,832.9760096765558,885.8893623021248,794.7030848486924,758.2707137101569,986.9082895194198,652.6076217343934,1483.0813351908712,1247.4775162579517,1.18,1.089,0.7723,1.331,0.5617,0.7101
KEN,RAPE,0,0,0,0,0,0,0.009991518001136415,0.0038992026781279566,0.004103432822627551,0.00408901903054488,0.004497920933599368,0.004218047343187539,0,0,0,0,0,0
KGZ,RAPE,4.000125324894498,2.289934327455988,1.305719073453373,0.7436363726361273,0.42674125120161055,0.33132323494547117,0.9775542444614014,0.5764716302014036,1.0665875815952341,0.6685908902918296,0.2854581689740412,0.4858731285020154,4.092,3.972,1.224,1.112,1.495,0.6819
KOR,RAPE,131.90066614559038,129.77573714330234,149.9659142833105,148.45288342077,145.5392355403529,151.25894911628833,26.376018580923223,26.376018580923223,26.376018580923223,26.376018580923223,26.376018580923223,26.376018580923223,5.001,4.92,5.686,5.628,5.518,5.735
LAO,RAPE,1626.1754093241616,1395.5992787190464,1167.5001176733745,952.2637156593981,738.1276023570294,530.017679521226,6.108638860051486,6.3679844856597185,6.6872481563309645,6.994059786880046,7.209335386907331,7.003796427536624,266.2,219.2,174.6,136.2,102.4,75.68
LKA,RAPE,540.7487670722547,482.5453922598915,421.3306837282579,364.49024523463476,310.5655807379999,262.1470144385259,137.05775231149335,137.05775231149335,137.05775231149335,137.05775231149335,137.05775231149335,137.05775231149335,3.945,3.521,3.074,2.659,2.266,1.913
LTU,RAPE,1746.0076257873122,1810.704004785344,1882.177077569993,1919.290745038853,1894.7244040436808,1828.9721702504032,4466.366347511821,4177.790586341196,4140.00697958114,3769.3066764307655,3991.1422402678236,3927.065850354069,0.3909,0.4334,0.4546,0.5092,0.4747,0.4657
LUX,RAPE,5.500142096120508,4.760537643749336,4.112378202350524,3.546957415339423,2.9996576456295276,2.5249173989606093,118.0932358457294,88.3013151592827,122.79343599762434,125.04990110135688,122.19251780318852,121.25692787301757,0.04657,0.05391,0.03349,0.02836,0.02455,0.02082
LVA,RAPE,3619.003208943794,3429.800168792739,3318.505953307475,3167.048148832188,2947.1103597524843,2721.515073959662,2828.1107626335765,2656.6573637942774,2232.5570121428796,2171.602019803053,1559.6031664927348,1852.556295664018,1.28,1.291,1.486,1.458,1.89,1.469
MAR,RAPE,106.0102055772517,109.56982586136584,115.60227611070475,117.3770223747828,116.15317990233666,118.96055216906606,260.5772966724503,260.5771404500927,173.76577894337638,173.76541980376166,173.76545361307785,176.1962706140473,0.4068,0.4205,0.6653,0.6755,0.6684,0.6752
MDA,RAPE,342.62478541024456,323.96186745482436,326.0981450793334,303.56025490503885,278.68202207121436,277.7157572195825,1236.9713659570393,2331.3015437676618,1991.7250443000894,5195.797576736608,2219.828946757664,3504.2296202720354,0.277,0.139,0.1637,0.05842,0.1255,0.07925
MEX,RAPE,5266.040581619957,4499.000997363108,3747.5961855698906,3013.3329107414143,2338.1932011281856,1729.6172528514483,35.0162871006752,35.0162871006752,17.5081435503376,17.5081435503376,35.0162871006752,25.699036707970556,150.4,128.5,214,172.1,66.77,67.3
MKD,RAPE,35.782266153179314,31.28896046157001,27.748121569541286,23.415208235389464,18.98419436138368,14.592747021201923,5.474573344898213,14.64833081811764,10.493039893843193,9.508958983518523,11.590008917684179,10.99706046617327,6.536,2.136,2.644,2.462,1.638,1.327
MMR,RAPE,487618.66617930145,485737.76700722537,473151.10059123975,471687.80437282927,460971.12424699333,444913.93961180886,19777.504057993705,19793.142971585778,19813.10127368924,19830.574494767232,19843.07035884485,19831.087652232454,24.66,24.54,23.88,23.79,23.23,22.44
MNG,RAPE,296.32543894210625,244.34541542896085,195.93448865601403,149.3265783403181,104.8138306358,63.984678362170065,34.72592967454837,77.17222799957155,73.60811205873121,82.48290403708322,88.49051791345153,82.28645632964528,8.533,3.166,2.662,1.81,1.184,0.7776
NLD,RAPE,32.38952405587157,31.958089297215093,29.557781694487975,27.200998057682703,24.631661993092944,23.40112862562915,180.78017186106783,180.38332012973356,193.60012190024167,192.42107652103743,182.57786433098514,188.86677377054028,0.1792,0.1772,0.1527,0.1414,0.1349,0.1239
NOR,RAPE,2236.01189452917,2135.3860643835183,2047.4703334716253,1846.2561133065255,1623.877045405487,1501.8738884956879,335.2101072366967,420.1798001574192,443.523122388387,233.43322230967738,280.1198667716128,271.2727476460761,6.67,5.082,4.616,7.909,5.797,5.536
NPL,RAPE,22918.704766155228,21864.588768505608,20124.78708386713,18892.05842498677,17760.757577434888,16918.025188541113,29454.970051686276,29459.885506250273,29467.817596686353,29470.894846709718,29473.68179230406,29470.88236269164,0.7781,0.7422,0.6829,0.641,0.6026,0.5741
NZL,RAPE,2686.7234547214657,2774.9547641861855,2712.9468364161044,2609.178836351959,2501.218071019857,2525.345669863474,621.1512580523206,617.0423394366611,624.3048108170141,620.8328027686653,630.8063713426152,627.515257637833,4.325,4.497,4.346,4.203,3.965,4.024
