GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,SUNF,2.935945298543635,1.6455653280750195,0.9483285440717687,0.43199454574669977,0.13502111449918391,0.07212343392679094,11.344101604272675,14.362931118619755,14.833118228424441,17.855847768566186,17.838400105276573,17.383446220231118,0.2588,0.1146,0.06393,0.02419,0.007569,0.004149
AGO,SUNF,227143.60685705853,247667.59361794053,256264.68678806082,268927.0337923322,278047.47429242043,294047.6187875795,8519.946926957651,8564.437680993336,8602.722156200867,8643.837922549184,8687.927930704005,8654.796573131109,26.66,28.92,29.79,31.11,32,33.98
ALB,SUNF,19.876169217951695,20.222488456485642,19.485692725963503,19.29422505879588,18.59853242362591,17.67395448136098,46.259782976402256,35.25117087500902,31.077655960526574,28.57845146062031,41.73396020058129,35.36971448569336,0.4297,0.5737,0.627,0.6751,0.4456,0.4997
ARG,SUNF,675138.3159197558,652354.8103870264,652275.0984999605,681285.361651413,695715.8936585763,665566.3976181952,609272.2612701632,692422.976594707,863621.1651452284,1070138.9422607915,830534.2730046214,926067.5523762109,1.108,0.9421,0.7553,0.6366,0.8377,0.7187
ARM,SUNF,0.7469576484603369,0.6758188247974476,0.6046800011345584,0.5335411774716693,0.46240235380878,0.3912635301458907,7.533462416090079,7.576198220004503,7.682785540424394,7.676195594540527,7.700652961368687,7.681726923751189,0.09915,0.0892,0.07871,0.06951,0.06005,0.05093
AUS,SUNF,78999.2815081964,92430.96832461072,94398.3482645188,92172.26853037244,90651.65643318574,89011.31348724077,498.71636356107007,1178.6063203421095,1355.5041621780272,1685.0554257679535,1456.9395407571212,1467.3876046032328,158.4,78.42,69.64,54.7,62.22,60.66
AUT,SUNF,84.10858232593786,83.75758157063883,79.75094203697387,78.2073943678379,72.87964493420662,70.25721052928368,308.3422471881511,406.3578343058297,310.02025326816926,357.31357470084623,293.6157511756506,318.68095974855373,0.2728,0.2061,0.2572,0.2189,0.2482,0.2205
AZE,SUNF,198.26699737391664,158.30855351219193,122.67248147876404,100.47485730315061,79.82205231295129,64.20828954284546,242.98436772641764,255.86259991927906,287.35342674993353,285.8962598474814,297.6870419455692,290.288565524851,0.816,0.6187,0.4269,0.3514,0.2681,0.2212
BDI,SUNF,35.55850599294368,35.0516817230295,37.53535582004908,42.44335655857822,50.59857305423971,54.572705639352385,51.15915847267625,53.30070464129991,54.72840208704901,55.68020038421509,57.10789782996419,55.90030374043472,0.6951,0.6576,0.6858,0.7623,0.886,0.9763
BEL,SUNF,17.4645629325076,15.36879428202277,13.7570607928881,12.016256424915575,9.906073495919749,7.795890566923924,4.803954686979719,6.264966190518587,8.057132258684499,7.4998351629976066,7.654698671292094,7.443100260345352,3.635,2.453,1.707,1.602,1.294,1.047
BGD,SUNF,89.63535533745977,107.47542663924987,116.15847272834073,124.81397406220948,130.7505925837883,134.34929837917403,6.198683524998961,5.95137728285878,6.039764074188366,6.098688601741422,5.892452755305722,5.96572049494065,14.46,18.06,19.23,20.47,22.19,22.52
BGR,SUNF,1815.4938629381854,1787.4258710990775,2058.19284293045,2038.3150840116418,1967.6155353453507,1913.624557996562,16206.436620828821,18727.731634864416,19859.34072157161,16597.482844822673,15281.349836214597,16296.453383083592,0.112,0.09544,0.1036,0.1228,0.1288,0.1174
BIH,SUNF,99.65829101268518,90.98998192574022,86.79019993942208,83.1557583354652,138.90733108263933,130.15147787544882,151.40522298759095,154.22939641652954,190.37442097175978,197.48749080612995,248.25098789018145,222.35588734956818,0.6582,0.59,0.4559,0.4211,0.5595,0.5853
BLR,SUNF,135.24031974018064,124.05600326996598,113.19519854594063,102.44822808893844,92.00489417692938,81.7280013793173,36.85282954722146,38.5153488468554,33.45975542732309,44.22069850369397,59.418420722336954,53.65018186726977,3.67,3.221,3.383,2.317,1.548,1.523
BOL,SUNF,1164043.9819653225,1102146.9232596615,1082140.4294826866,1021575.9669407468,953888.8864775266,860906.7245442115,136027.6308607524,136027.6165247902,136026.9963290105,136027.70243028674,136027.4180268522,136027.4099707031,8.557,8.102,7.955,7.51,7.012,6.329
