GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,TEMF,31.75602926225777,25.404049372824677,20.923196342823715,21.252791381085768,24.409402579997398,21.03819333193182,1009.928436418066,1009.928436418066,1009.928436418066,1009.928436418066,1009.928436418066,1009.928436418066,0.03144,0.02515,0.02072,0.02104,0.02417,0.02083
AGO,TEMF,62196.7446420895,66649.49738346,67883.68725099016,69813.66422644159,72013.8756383734,80544.5102353178,23008.972615882947,23008.972615882947,23008.972615882947,23008.972615882947,23008.972615882947,23008.972615882947,2.703,2.897,2.95,3.034,3.13,3.501
ALA,TEMF,10.640327762640254,7.524247895483735,5.126917999599267,2.911637110160677,1.2295267711320335,0.4753885196309513,2.725341290566511,2.725341290566511,2.725341290566511,2.725341290566511,2.725341290566511,2.725341290566511,3.904,2.761,1.881,1.068,0.4511,0.1744
ALB,TEMF,522.759356428294,544.9609570961401,520.9763782396464,484.60949079781636,473.57662322949204,449.7398404293671,13115.405745086506,13115.405745086506,13115.405745086506,13115.405745086506,13115.405745086506,13115.405745086506,0.03986,0.04155,0.03972,0.03695,0.03611,0.03429
ARE,TEMF,0,0,0,0,0,0,0.7869756344307356,0.7869756344307356,0.7869756344307356,0.7869756344307356,0.7869756344307356,0.7869756344307356,0,0,0,0,0,0
ARG,TEMF,32638.467914654088,32200.00253637519,31201.929363246825,29618.454908521995,28032.752044042023,26729.226932110363,328736.8918261111,328736.8918261111,328736.8918261111,328736.8918261111,328736.8918261111,328736.8918261111,0.09928,0.09795,0.09491,0.0901,0.08527,0.08131
ARM,TEMF,38.983546541743195,31.832920733930827,24.45324663860989,25.968321088661313,27.191295014023904,59.424760379719174,1762.1428472928135,1762.1428472928135,1762.1428472928135,1762.1428472928135,1762.1428472928135,1762.1428472928135,0.02212,0.01806,0.01388,0.01474,0.01543,0.03372
AUS,TEMF,101802.27446417004,104144.18190838191,102065.92129761253,101273.13806467962,103904.27113838901,103375.15409573753,252048.87627134685,252048.87627134685,252048.87627134685,252048.87627134685,252048.87627134685,252048.87627134685,0.4039,0.4132,0.4049,0.4018,0.4122,0.4101
AUT,TEMF,161.1265445650899,150.33476384226955,136.80580976370305,128.6380318502732,118.8650093400213,108.79968600149,2973.027368916857,2973.027368916857,2973.027368916857,2973.027368916857,2973.027368916857,2973.027368916857,0.0542,0.05057,0.04602,0.04327,0.03998,0.0366
AZE,TEMF,2348.584754623648,2641.569417178294,2262.4866708987606,2002.6878246736676,1799.4597104465079,1636.083196284141,19336.46908276797,19336.46908276797,19336.46908276797,19336.46908276797,19336.46908276797,19336.46908276797,0.1215,0.1366,0.117,0.1036,0.09306,0.08461
BDI,TEMF,33439.42410731752,38343.85794051373,40074.41538252201,42120.24662138323,45525.31574847267,50031.228436242745,70549.35559295201,70549.35559295201,70549.35559295201,70549.35559295201,70549.35559295201,70549.35559295201,0.474,0.5435,0.568,0.597,0.6453,0.7092
BEL,TEMF,684.1215666855896,667.2176026707203,672.8023888881017,669.2647686468569,637.1691821971916,591.0240505939561,21179.43383626424,21179.43383626424,21179.43383626424,21179.43383626424,21179.43383626424,21179.43383626424,0.0323,0.0315,0.03177,0.0316,0.03008,0.02791
BEN,TEMF,73084.52794652799,71004.06616647016,69313.33968581205,69570.22898376014,67276.9764153765,67255.51286617856,86926.74797515146,86926.74797515146,86926.74797515146,86926.74797515146,86926.74797515146,86926.74797515146,0.8408,0.8168,0.7974,0.8003,0.774,0.7737
BFA,TEMF,21374.023734002865,21902.86982044721,23619.10835703719,25520.208779197204,27810.472541935702,29323.285661526224,395734.94724500104,395734.94724500104,395734.94724500104,395734.94724500104,395734.94724500104,395734.94724500104,0.05401,0.05535,0.05968,0.06449,0.07028,0.0741
BGD,TEMF,19390.17571607769,20414.32982692821,21081.428054899647,22585.172800968576,23324.340521516267,23380.421524371115,32800.037504763866,32800.037504763866,32800.037504763866,32800.037504763866,32800.037504763866,32800.037504763866,0.5912,0.6224,0.6427,0.6886,0.7111,0.7128
BGR,TEMF,174.79406151003218,141.6080848337152,119.35826769910909,100.31641620537972,89.62073026835377,83.89148097100389,5078.88500106915,5078.88500106915,5078.88500106915,5078.88500106915,5078.88500106915,5078.88500106915,0.03442,0.02788,0.0235,0.01975,0.01765,0.01652
BHR,TEMF,0,0,0,0,0,0,26.21519955004387,26.21519955004387,26.21519955004387,26.21519955004387,26.21519955004387,26.21519955004387,0,0,0,0,0,0
BIH,TEMF,1627.8615185027497,1529.2086536983663,1397.7276279654109,1275.8945552521668,1115.1731424885447,946.478258447622,4814.31286829122,4814.31286829122,4814.31286829122,4814.31286829122,4814.31286829122,4814.31286829122,0.3381,0.3176,0.2903,0.265,0.2316,0.1966
BLR,TEMF,770.5712835062284,757.1176472525857,740.9471375371494,696.8339481610756,657.1347372557275,620.2614444346309,6031.245703277141,6031.245703277141,6031.245703277141,6031.245703277141,6031.245703277141,6031.245703277141,0.1278,0.1255,0.1229,0.1155,0.109,0.1028
BLZ,TEMF,3725.1002057752125,3581.9447057105635,3485.3670964002727,3513.8297118059418,3433.5638184364293,3370.6254075366637,5342.201390957285,5342.201390957285,5342.201390957285,5342.201390957285,5342.201390957285,5342.201390957285,0.6973,0.6705,0.6524,0.6577,0.6427,0.6309
BOL,TEMF,67328.55710249997,68241.17412779367,72618.29140732223,75105.4902009913,75422.38108202595,77169.01151257726,36746.17603526924,36746.17603526924,36746.17603526924,36746.17603526924,36746.17603526924,36746.17603526924,1.832,1.857,1.976,2.044,2.053,2.1
BRA,TEMF,154653.95137249786,160526.56899231373,162606.44207881615,159903.2736138804,172354.21284362278,171344.3430718498,1429612.1065352089,1429612.1065352089,1429612.1065352089,1429612.1065352089,1429612.1065352089,1429612.1065352089,0.1082,0.1123,0.1137,0.1119,0.1206,0.1199
BRB,TEMF,51.49310592204095,45.82365886162514,38.989089775126914,32.270265522242866,25.481793729146535,18.737299674095638,261.0437917341719,261.0437917341719,261.0437917341719,261.0437917341719,261.0437917341719,261.0437917341719,0.1973,0.1755,0.1494,0.1236,0.09762,0.07178
BRN,TEMF,3465.4639528853095,3190.172487028199,2938.4677441458775,2701.1219464740198,2470.12343280423,2219.487981992985,2410.6031998277117,2410.6031998277117,2410.6031998277117,2410.6031998277117,2410.6031998277117,2410.6031998277117,1.438,1.323,1.219,1.121,1.025,0.9207
