GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
ALB,CHIC,0.00127051558369348,0.00116003596772013,0.00104955635174678,9.39076735773442e-4,8.28597119800096e-4,7.181175038267497e-4,0.0334316339093935,0.03447659338223474,0.03430725339386225,0.03438694280015519,0.034472737443220554,0.03441008941295544,0.038,0.03365,0.03059,0.02731,0.02404,0.02087
ARG,CHIC,3853.1633244496034,3863.2530798945854,3768.3249708100925,3613.9164450938474,3377.2320089624395,3090.3425553948277,42262.892821470676,20219.288200190666,24370.127211409257,15737.86195317347,27923.28359559557,23221.202064548914,0.09117,0.1911,0.1546,0.2296,0.1209,0.1331
ARM,CHIC,0.005972128483199211,0.0054047253473219915,0.004797770657267962,0.004375045167721922,0.0037889926773026885,0.003171033933328096,2.693399392851378,2.693399392851378,2.693399392851378,2.693399392851378,2.693399392851378,2.693399392851378,0.002217,0.002007,0.001781,0.001624,0.001407,0.001177
AUS,CHIC,107.00381055089704,97.69478364736973,87.13373964541114,77.53377869248023,67.48999077967827,58.28720574008514,23885.772889755244,28948.7562452984,25491.529399190083,14873.406307110163,61780.96531710187,46725.06165391686,0.00448,0.003375,0.003418,0.005213,0.001092,0.001247
AZE,CHIC,7.211838084897141e-5,5.58665570681142e-5,3.961473328725698e-5,2.9729308575603938e-5,2.6210282933155062e-5,2.2691257290706176e-5,1.8403068972136543,1.8403068972136543,1.8403068972136543,1.8403068972136543,1.8403068972136543,1.8403068972136543,3.919e-5,3.036e-5,2.153e-5,1.615e-5,1.424e-5,1.233e-5
BDI,CHIC,0.032727623618473145,0.030516772747782635,0.03289471783723839,0.0338006668282579,0.0312197111325285,0.028462603663587712,22.48439271730233,16.324954184554525,12.306969003427904,10.359534259105374,15.339726342905617,13.357823292334317,0.001456,0.001869,0.002673,0.003263,0.002035,0.002131
BEN,CHIC,0.04897299203814111,0.046117783717102186,0.044024623096637745,0.041218662462133834,0.03723395804046953,0.03276406408802261,8.74523928578918,8.90320779005795,8.824847231834289,8.889213180054378,8.953520829661747,8.910783575876362,0.0056,0.00518,0.004989,0.004637,0.004159,0.003677
BFA,CHIC,0,0,0,0,0,0,0.03525045236400948,0.035881719560733834,0.035573642860251706,0.035828564707615244,0.036083202672405806,0.03591316679302161,0,0,0,0,0,0
BGD,CHIC,13.968403321764493,12.270362833599233,10.508641023591794,8.719383327908943,6.907637049001469,5.077937188539597,65.51475427625972,66.60009968152215,65.06571421067983,100.63029705010256,66.83473959608567,81.95738156733596,0.2132,0.1842,0.1615,0.08665,0.1034,0.06196
BGR,CHIC,0.01987704796174973,0.016819353258682827,0.014902739455154664,0.013374445101547292,0.012049106781659191,0.010510985682348374,2.929237735783996,2.929826807711393,2.9297313461782633,2.929776269252677,2.9298246340142438,2.92978931762457,0.006786,0.005741,0.005087,0.004565,0.004113,0.003588
