GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AGO,COCO,301.34585640507663,318.37946039027156,309.6604375681029,297.7568561797769,279.9945390432107,261.7162973065336,191.70994363569818,193.3492946332249,192.55453589618264,192.95625980035967,195.7406048342807,194.4157983695354,1.572,1.647,1.608,1.543,1.43,1.346
ARG,COCO,0.00873224437117925,0.00951622624642337,0.01030082362924767,0.00965392950390884,0.00917859390666063,0.00876597234285076,0.2731438446926424,0.305938523102281,0.3048246422200911,0.2998506577716213,0.30126326125403485,0.302355233111891,0.03197,0.03111,0.03379,0.0322,0.03047,0.02899
BEN,COCO,7.642320235720189,6.3303290856689785,5.1234353116465865,4.028638207774195,3.0262985261721274,2.0889263410711334,721.125316920541,556.2835852326856,842.7404933017431,1045.4335147571528,1278.8195369013501,1131.2935591633961,0.0106,0.01138,0.006079,0.003854,0.002366,0.001846
BFA,COCO,10.790846195087665,10.356658727993489,9.806205597713442,9.278207416784351,8.774376055149029,7.936549509188816,2144.8454313840352,2144.9478640615566,2144.7971103723867,2144.784854143211,2144.733634698987,2144.7686098378167,0.005031,0.004828,0.004572,0.004326,0.004091,0.0037
BLZ,COCO,69.68861882581766,68.5063873252816,64.88245582735678,63.15504116049787,102.81906716145937,97.13850518024377,124.877342185953,182.7739280173101,372.19331596480066,238.1767990790866,230.6330293581007,272.81427093429176,0.5581,0.3748,0.1743,0.2652,0.4458,0.3561
BOL,COCO,200.66605494988957,184.83231682387273,170.3144988079813,166.4877886785893,164.01915316694414,149.18429319601924,614.527652687983,614.544289414687,614.6727453859717,614.6119169981278,614.5098233160126,614.5558312345444,0.3265,0.3008,0.2771,0.2709,0.2669,0.2428
BRA,COCO,28900.577303999034,27090.062357373565,25311.10045839424,23615.85100094013,22901.17484041347,22153.872717527538,208588.61856906593,233629.45775390745,232778.9195724598,228980.9540173877,230059.59212968597,230893.374116875,0.1386,0.116,0.1087,0.1031,0.09954,0.09595
BRN,COCO,0.16069781652383275,0.09891249902487069,0.05641333466648698,0.026581233456834115,0.010470809445176041,0.005503356859525155,0.23534787820384775,0.17901106316638282,0.16434349002053392,0.08967220855075786,0.14834250113415334,0.12818103290135702,0.6828,0.5525,0.3433,0.2964,0.07059,0.04293
CAF,COCO,320.0629626420088,341.0522078264429,333.6537683917341,338.3724181643067,321.3503360242013,308.5515714752896,169.11947046731578,165.93387344565693,168.23680945434177,170.48677568517738,178.41580079254535,174.85830449081567,1.893,2.055,1.983,1.985,1.801,1.765
CIV,COCO,70858.99117296436,67650.73181788402,63886.18239985487,59877.793185775154,55130.28772806988,49793.32785726156,2088664.3818728528,2089540.8772799561,2088253.2781334575,2088152.2367069714,2087714.9310793278,2088013.217885128,0.03393,0.03238,0.03059,0.02868,0.02641,0.02385
CMR,COCO,3886.290011373724,3250.479843695202,2687.3259802512907,2169.0117070064043,1693.1936719484681,1253.0986472705226,93601.72433788175,89017.71053586558,89028.27376776178,90562.37198289929,96587.23053035344,94536.74091124145,0.04152,0.03651,0.03019,0.02395,0.01753,0.01326
COD,COCO,5346.425780948028,5262.805161232189,5081.760408684592,4889.153309104933,4668.034627683424,4382.40527679984,22252.180464357152,18303.55726810462,33751.57738002027,35416.62861903901,42211.19203748183,37282.8534499369,0.2403,0.2875,0.1506,0.138,0.1106,0.1175
COG,COCO,3046.6117373139236,3127.977782092563,3084.291501281149,3059.1911095822043,3139.3086455155635,2946.5136695542137,5293.254049415244,11281.465276949186,7059.09150408861,7059.7016386052055,10585.486054384759,9321.641563129442,0.5756,0.2773,0.4369,0.4333,0.2966,0.3161
COL,COCO,9254.973377267861,8923.117276227355,8557.981763841368,8022.946218398279,7442.920626684753,6774.489070544122,58428.68837771845,63601.18082229443,57272.56705982771,55134.78133124012,62357.30046969649,59985.19177322661,0.1584,0.1403,0.1494,0.1455,0.1194,0.1129
CRI,COCO,450.25449409637844,429.2836890032909,407.8437992386714,382.4464480506331,354.7957715038977,321.009166637317,722.8381777480045,637.2068943320564,726.5934323061061,724.832920006854,894.5090735414801,837.0974614956722,0.6229,0.6737,0.5613,0.5276,0.3966,0.3835
CUB,COCO,15.053573113952227,12.689010309686404,10.5870043031479,8.884522697615097,7.310441754514816,5.9676314870444385,778.7042696561277,726.8564901292455,705.623589942046,823.6390119127592,722.476587230165,756.139457621525,0.01933,0.01746,0.015,0.01079,0.01012,0.007892
DMA,COCO,110.7826747479013,103.73723896799872,96.82204069042135,89.80427941189299,82.78975439110454,75.76144748110741,147.39812904227827,147.39812904227827,147.39812904227827,73.69906452113914,147.39812904227827,116.2971238143576,0.7516,0.7038,0.6569,1.219,0.5617,0.6514
DOM,COCO,3613.5577070049876,3379.398047110709,3099.620006161006,3004.591158901181,2746.9926966091152,2495.7958894981143,57149.976175811935,51961.2450004885,55842.58446041029,44008.24853160056,42282.49549814128,43917.57279545781,0.06323,0.06504,0.05551,0.06827,0.06497,0.05683
ECU,COCO,11109.930640301933,10546.311190969853,10129.506830891574,9526.325605614667,9018.940834086807,8489.189251742177,230142.5287684885,212072.31725150926,236624.51871158442,263650.7350432013,283289.6143385733,270083.7672355433,0.04827,0.04973,0.04281,0.03613,0.03184,0.03143
FJI,COCO,0.027912689361099162,0.02702060586313439,0.024531273438687547,0.022126387667959338,0.019897340813725437,0.01791082572145615,3.1491319567922362,27.802336418537173,45.4409359611416,40.83489790126197,74.71402082103778,58.30154445727176,0.008864,9.719e-4,5.398e-4,5.418e-4,2.663e-4,3.072e-4
GAB,COCO,1094.1675402582346,1042.0934697139417,1038.071122065013,979.6000903473498,914.9335115892364,829.3058701915793,30.67027388261174,30.67027388261174,30.67027388261174,30.67027388261174,30.67027388261174,30.67027388261174,35.68,33.98,33.85,31.94,29.83,27.04
GHA,COCO,8974.500977373806,7732.231919719692,6683.480471357022,5835.4617917944815,4985.260708799516,4169.949084319694,705190.6501263056,920840.5963763173,603468.2244201051,577681.5923197654,469865.67196785385,543489.2455357801,0.01273,0.008397,0.01108,0.0101,0.01061,0.007673
GIN,COCO,9852.483172276141,9882.398987079989,9616.609837860491,9216.650816934174,8615.038196053709,7892.638839546555,17579.276611122707,18155.968736381343,18917.881659868694,18489.501711550238,19064.771890332744,18839.865437275144,0.5605,0.5443,0.5083,0.4985,0.4519,0.4189
GNB,COCO,1.175535639645075,1.0092029299654022,0.8462023592426634,0.6869939753513192,0.5313971178735962,0.37704806661276513,22.102584670801914,22.990634947753776,23.949058275541425,23.42336211326182,23.89996882967658,23.69727191639422,0.05319,0.0439,0.03533,0.02933,0.02223,0.01591
GNQ,COCO,263.4233338667658,230.70310726414849,200.76538012673436,182.47623391977558,165.28281194791168,146.4004667550644,328.3439574435469,197.00989716984532,328.3439574435469,164.17638210141993,197.00989716984532,196.3586991209884,0.8023,1.171,0.6114,1.111,0.839,0.7456
