GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,OPUL,0.4118636181010061,0.3332985187165158,0.2667109008897038,0.20658362931674223,0.15234209030217533,0.10743327364774997,119.74949194602817,119.74949194602817,119.74949194602817,119.74949194602817,119.74949194602817,119.74949194602817,0.0034390000000000002,0.002783,0.002227,0.001725,0.001272,8.972e-4
AGO,OPUL,3.671659542667733,3.301807283935835,2.883581693268202,2.564873713984898,2.195363672166883,1.953866067013601,1580.550979594966,1580.550979594966,1580.550979594966,1580.550979594966,1580.550979594966,1580.550979594966,0.002323,0.002089,0.001824,0.001623,0.001389,0.001236
ALA,OPUL,0.21618444821143853,0.19704645897289808,0.19682280996709023,0.17594526639214092,0.15473423207263376,0.13626942120381885,3.9431334321232967,3.9431334321232967,3.9431334321232967,3.9431334321232967,3.9431334321232967,3.9431334321232967,0.05483,0.04997,0.04992,0.04462,0.03924,0.03456
ALB,OPUL,0.24375012230603874,0.20086027596557413,0.16239703481881368,0.12832378611126602,0.09988199118322585,0.07290523468803357,45.73410636254378,45.73410636254378,45.73410636254378,45.73410636254378,45.73410636254378,45.73410636254378,0.00533,0.004392,0.003551,0.002806,0.002184,0.001594
ARG,OPUL,77.91150373669456,59.74520914286645,42.952558466482635,29.040203615133052,20.016913504004776,15.963830186499205,7017.140029920631,7017.140029920631,7017.140029920631,7017.140029920631,7017.140029920631,7017.140029920631,0.0111,0.008514,0.006121,0.004138,0.002853,0.002275
ARM,OPUL,0.0022939107683478915,0.0017900886299307196,0.0013453848249109959,0.001141792735192552,9.574658267695901e-4,7.911982686316072e-4,3.007570485203388,3.007570485203388,3.007570485203388,3.007570485203388,3.007570485203388,3.007570485203388,7.627e-4,5.952e-4,4.473e-4,3.796e-4,3.184e-4,2.631e-4
AUS,OPUL,434.80165176901164,440.30484724471813,411.535056825019,380.4248428037102,348.5662792874072,318.3015108106561,71887.23357519766,71887.23357519766,71887.23357519766,71887.23357519766,71887.23357519766,71887.23357519766,0.006048,0.006125,0.005725,0.005292,0.004849,0.004428
AUT,OPUL,0.9431659064715137,0.7739996266665625,0.6135748090186164,0.4701931371758379,0.35352277413333,0.2755258955970657,228.13544765668166,228.13544765668166,228.13544765668166,228.13544765668166,228.13544765668166,228.13544765668166,0.004134,0.003393,0.00269,0.002061,0.00155,0.001208
AZE,OPUL,4.240875009748081,3.571217703171311,2.98369913161175,2.51610525525964,2.0915550995774845,1.6981811804385292,305.20398170332913,305.20398170332913,305.20398170332913,305.20398170332913,305.20398170332913,305.20398170332913,0.0139,0.0117,0.009776,0.008244,0.006853,0.005564
BDI,OPUL,15.826918879459422,12.065356024089375,9.060530804438997,6.823731303275218,5.0400346724539435,3.6444008459878954,6410.450354798675,6410.450354798675,6410.450354798675,6410.450354798675,6410.450354798675,6410.450354798675,0.002469,0.001882,0.001413,0.001064,7.862e-4,5.685e-4
