GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,REST,1.3562524006196928,1.0579899592966835,0.815268403963317,0.6237289593013783,0.48593782900761234,0.37645550687319423,2316.9375553971113,2316.9375553971113,2316.9375553971113,2316.9375553971113,2316.9375553971113,2316.9375553971113,5.854e-4,4.566e-4,3.519e-4,2.692e-4,2.097e-4,1.625e-4
AGO,REST,491.80220260807107,439.1994060474476,383.5199168074726,333.2667474482489,286.89693828881144,248.23619078297494,286333.34167660103,286333.34167660103,286333.34167660103,286333.34167660103,286333.34167660103,286333.34167660103,0.001718,0.001534,0.001339,0.001164,0.001002,8.669e-4
ALB,REST,4.161477534650846,3.5597797844281347,2.99597528802641,2.4627718380314394,1.9689060023448182,1.4857095154312856,7037.086266775087,7037.086266775087,7037.086266775087,7037.086266775087,7037.086266775087,7037.086266775087,5.914e-4,5.059e-4,4.257e-4,3.5e-4,2.798e-4,2.111e-4
ARE,REST,0,0,0,0,0,0,15.352672798153174,15.352672798153174,15.352672798153174,15.352672798153174,15.352672798153174,15.352672798153174,0,0,0,0,0,0
ARG,REST,14665.905870879025,14079.63439866127,13454.686138876981,12351.234877200613,11305.408307485655,10321.86476886509,1610391.437755621,1610391.437755621,1610391.437755621,1610391.437755621,1610391.437755621,1610391.437755621,0.009107,0.008743,0.008355,0.00767,0.00702,0.00641
ARM,REST,3.1027903824059706,2.6233248223783634,2.1421746867047844,1.674945312812029,1.1955294963779302,0.7139724449170358,1056.6363346596997,1056.6363346596997,1056.6363346596997,1056.6363346596997,1056.6363346596997,1056.6363346596997,0.002936,0.002483,0.002027,0.001585,0.001131,6.757e-4
ATG,REST,0,0,0,0,0,0,195.29865033614126,195.29865033614126,195.29865033614126,195.29865033614126,195.29865033614126,195.29865033614126,0,0,0,0,0,0
AUS,REST,3409.4958986167967,3293.846181396212,3164.9954522383755,3092.6097387964273,2880.0879656050856,2661.9781728740795,217656.94218532214,217656.94218532214,217656.94218532214,217656.94218532214,217656.94218532214,217656.94218532214,0.01566,0.01513,0.01454,0.01421,0.01323,0.01223
AUT,REST,0.2604359081875239,0.20293528197334562,0.1510413626231639,0.10404992299662377,0.06504274545283906,0.04418714522227,1061.2233676702297,1061.2233676702297,1061.2233676702297,1061.2233676702297,1061.2233676702297,1061.2233676702297,2.454e-4,1.912e-4,1.423e-4,9.805e-5,6.129e-5,4.164e-5
AZE,REST,14.130547067522667,12.116194146810964,10.311240851025897,9.505390118163133,8.209422700650766,6.809306233414343,32844.25378486791,32844.25378486791,32844.25378486791,32844.25378486791,32844.25378486791,32844.25378486791,4.302e-4,3.689e-4,3.139e-4,2.894e-4,2.5e-4,2.073e-4
BDI,REST,0.9479427512028136,0.9236619162583819,0.8714638929718386,0.8275146127624556,0.7611348935751113,0.687883614448928,544.7483945667892,544.7483945667892,544.7483945667892,544.7483945667892,544.7483945667892,544.7483945667892,0.00174,0.001696,0.0016,0.001519,0.001397,0.001263
BEL,REST,0.07497289901414003,0.04246051136291253,0.022914772146302102,0.012501832410421597,0.004321819936878267,0.0011195057575124187,13015.68324353852,13015.68324353852,13015.68324353852,13015.68324353852,13015.68324353852,13015.68324353852,5.76e-6,3.262e-6,1.761e-6,9.605e-7,3.32e-7,8.601e-8
BEN,REST,4938.298140526383,4542.061911924236,4358.229247234066,4067.7970430846053,3664.0509171863646,3181.779702610857,390566.7294078009,390566.7294078009,390566.7294078009,390566.7294078009,390566.7294078009,390566.7294078009,0.01264,0.01163,0.01116,0.01042,0.009381,0.008147
BFA,REST,1419.7901616180156,1239.5149923394608,1058.9588681286637,878.7985650273449,698.4561916309982,516.6576255053542,100685.2128140302,100685.2128140302,100685.2128140302,100685.2128140302,100685.2128140302,100685.2128140302,0.0141,0.01231,0.01052,0.008728,0.006937,0.005131
BGD,REST,13496.317928386638,13440.621650602145,12961.96658777909,12393.114208514222,11530.090579243939,10461.153212804087,255945.12399812436,255945.12399812436,255945.12399812436,255945.12399812436,255945.12399812436,255945.12399812436,0.05273,0.05251,0.05064,0.04842,0.04505,0.04087
BGR,REST,3.799343949286747,3.0036691181168207,2.379599221324984,1.8151351587796671,1.333704641958889,0.9002867361928406,1991.698519006657,1991.698519006657,1991.698519006657,1991.698519006657,1991.698519006657,1991.698519006657,0.001908,0.001508,0.001195,9.114e-4,6.696e-4,4.52e-4
BHR,REST,0,0,0,0,0,0,28.643838755390927,28.643838755390927,28.643838755390927,28.643838755390927,28.643838755390927,28.643838755390927,0,0,0,0,0,0
