GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,SESA,0.02882858886027149,0.018404007401562703,0.011980858348108964,0.007353431088399109,0.0044528490617626445,0.004021488912389674,83.29407432350783,38.065486962674456,83.41142177725631,28.177542908583785,57.492526211294646,49.40276080586097,3.461e-4,4.835e-4,1.436e-4,2.61e-4,7.745e-5,8.14e-5
AGO,SESA,361.13853051993897,344.6032083186488,320.8691535384042,295.003588993079,267.3647823556138,233.4020900320782,2332.4965883508416,2383.065755207245,2376.374310205119,2388.6504481006336,2400.926581433973,2390.8836638445878,0.1548,0.1446,0.135,0.1235,0.1114,0.09762
ALB,SESA,1.2859899982611164e-4,1.1551976042143876e-4,1.0244052101676589e-4,8.966743531540423e-5,7.720050331735376e-5,6.473357131930327e-5,0.001966566674695977,0.002036227074617088,0.00202794576833276,0.002010408884436536,0.002025022954350056,0.0020226041634008166,0.06539,0.05673,0.05051,0.0446,0.03812,0.03201
ARG,SESA,7.103091693043362,7.039695265335824,7.178957626572832,6.693048161041661,6.315257222618531,5.888213394626879,21.994131293162916,22.24073807253428,22.080072141992332,38.50404432901045,36.82981799136472,36.1127278625236,0.323,0.3165,0.3251,0.1738,0.1715,0.1631
ARM,SESA,1.2339914242928107e-4,1.116468431503019e-4,9.989454387132276e-5,8.814224459234362e-5,7.638994531336447e-5,6.463764603438531e-5,0.07395879460165632,0.07395879460165632,0.07395879460165632,0.07395879460165632,0.07395879460165632,0.07395879460165632,0.001668,0.00151,0.001351,0.001192,0.001033,8.74e-4
AZE,SESA,0.0018814805674881123,0.0015697338388132914,0.0012579871101384705,9.472687997748286e-4,6.37578907722366e-4,3.2788901566990335e-4,0.008983174912764208,0.008983174912764208,0.008983174912764208,0.008983174912764208,0.008983174912764208,0.008983174912764208,0.2094,0.1747,0.14,0.1054,0.07097,0.0365
BEN,SESA,18.794874587723967,17.920280267135645,17.304689631373847,16.583975637337513,15.225237453996934,13.746334954671944,5289.62822613303,5618.914953740356,5593.938956769298,5634.676723709506,5635.745020475403,5624.310347837314,0.003553,0.003189,0.003093,0.002943,0.002702,0.002444
BFA,SESA,306.96309259855036,288.78314174706105,265.6950275397924,240.5291133462389,214.46896967231848,185.38059607598254,60640.75205994426,29451.41504682681,32981.681566469786,39022.61131759016,42973.8394444134,37671.41676691288,0.005062,0.009805,0.008056,0.006164,0.004991,0.004921
BGD,SESA,136.18934060166754,133.21544498421287,126.79400851329298,119.20552582459618,109.98749435633754,99.53786878823048,1373.9725106579067,1399.1165423929444,1302.7698069257406,1331.0212970106961,1309.1756687437992,1320.370531996251,0.09912,0.09521,0.09733,0.08956,0.08401,0.07539
BGR,SESA,0.003089153127525588,0.0028181024771645217,0.0025524785657944733,0.002295754515463271,0.0020528230169725536,0.001859084522633299,0.9853554239187035,0.9853554239187035,0.9853554239187035,0.9853554239187035,0.9853554239187035,0.9853554239187035,0.003135,0.00286,0.00259,0.00233,0.0020830000000000002,0.001887
