GID_0,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,SUNF,0.03477482646900815,0.019922212868266405,0.011142937259290006,0.004945954803529544,0.0014412500046562385,3.193381789129133e-4,11.344101604272675,14.362931118619755,14.833118228424441,17.855847768566186,17.838400105276573,17.383446220231118,0.003065,0.001387,7.512e-4,2.77e-4,8.079e-5,1.837e-5
AGO,SUNF,558.0686904964969,543.1103455169678,510.77577076767255,478.2067075712651,440.36628004308307,393.6766453947883,8519.946926957651,8564.437680993336,8602.722156200867,8643.837922549184,8687.927930704005,8654.796573131109,0.0655,0.06341,0.05937,0.05532,0.05069,0.04549
ALB,SUNF,0.13258879040403296,0.1292800992094194,0.12066730373796655,0.1133543996357689,0.10494204704364836,0.09476873771285811,46.259782976402256,35.25117087500902,31.077655960526574,28.57845146062031,41.73396020058129,35.36971448569336,0.002866,0.003667,0.003883,0.003966,0.002515,0.002679
ARG,SUNF,2929.2291642765836,2653.8239988952605,2403.6636987844186,2144.6240642396715,1900.013119131222,1658.7012950351184,609272.2612701632,692422.976594707,863621.1651452284,1070138.9422607915,830534.2730046214,926067.5523762109,0.004808,0.003833,0.002783,0.002004,0.002288,0.001791
ARM,SUNF,0.00455034337707974,0.00411697734116738,0.00368361130525502,0.00325024526934267,0.00281687923343031,0.00238351319751795,7.533462416090079,7.576198220004503,7.682785540424394,7.676195594540527,7.700652961368687,7.681726923751189,6.04e-4,5.434e-4,4.795e-4,4.234e-4,3.658e-4,3.103e-4
AUS,SUNF,392.6860702968116,396.8140279987374,386.52476406940247,375.1173324187169,358.4037387985883,335.10344712313065,498.71636356107007,1178.6063203421095,1355.5041621780272,1685.0554257679535,1456.9395407571212,1467.3876046032328,0.7874,0.3367,0.2852,0.2226,0.246,0.2284
AUT,SUNF,0.36164319363777564,0.32132763950153587,0.2795640224628539,0.24168417500797984,0.20450546256580301,0.1769960465593556,308.3422471881511,406.3578343058297,310.02025326816926,357.31357470084623,293.6157511756506,318.68095974855373,0.001173,7.908e-4,9.018e-4,6.764e-4,6.965e-4,5.554e-4
AZE,SUNF,2.0894592065181032,1.6293568416925186,1.2179905731074816,0.9138233529769184,0.6921252549295975,0.5139148537497339,242.98436772641764,255.86259991927906,287.35342674993353,285.8962598474814,297.6870419455692,290.288565524851,0.008599,0.006368,0.004239,0.003196,0.002325,0.00177
BDI,SUNF,0.11174344506824915,0.10463535316701114,0.099536281020224035,0.09370205328321404,0.0865832101203046,0.076905546883975745,51.15915847267625,53.30070464129991,54.72840208704901,55.68020038421509,57.10789782996419,55.90030374043472,0.002184,0.001963,0.001819,0.001683,0.001516,0.001376
BEL,SUNF,0.11633696305291219,0.10102950336558021,0.08573364676510949,0.07056197390817401,0.055526682911730456,0.0404913919152869,4.803954686979719,6.264966190518587,8.057132258684499,7.4998351629976066,7.654698671292094,7.443100260345352,0.02422,0.01613,0.01064,0.009408,0.007254,0.00544
BGD,SUNF,0.33001286970190574,0.30415094336660137,0.26339675105005417,0.22642843341402333,0.19379354245942634,0.1704516350184885,6.198683524998961,5.95137728285878,6.039764074188366,6.098688601741422,5.892452755305722,5.96572049494065,0.05324,0.05111,0.04361,0.03713,0.03289,0.02857
BGR,SUNF,12.957071118695811,11.581705949416989,10.678982993173413,9.520861402138365,8.40946159116301,7.422007555817186,16206.436620828821,18727.731634864416,19859.34072157161,16597.482844822673,15281.349836214597,16296.453383083592,7.995e-4,6.184e-4,5.377e-4,5.736e-4,5.503e-4,4.554e-4
BIH,SUNF,0.9837156530550255,0.8910089899422734,0.8085264091196895,0.7304218936523552,0.6839202261650748,0.5976163303728669,151.40522298759095,154.22939641652954,190.37442097175978,197.48749080612995,248.25098789018145,222.35588734956818,0.006497,0.005777,0.004247,0.003699,0.002755,0.002688
BLR,SUNF,1.189541421105892,1.0471602538490303,0.9012710725203794,0.760386425064038,0.6244195055444041,0.4934705345554409,36.85282954722146,38.5153488468554,33.45975542732309,44.22069850369397,59.418420722336954,53.65018186726977,0.03228,0.02719,0.02694,0.0172,0.01051,0.009198
BOL,SUNF,3809.094224382028,3408.881856982468,3041.547915904213,2638.0991197410794,2291.272999905021,1870.6483178650624,136027.6308607524,136027.6165247902,136026.9963290105,136027.70243028674,136027.4180268522,136027.4099707031,0.028,0.02506,0.02236,0.01939,0.01684,0.01375
BRA,SUNF,1456.322105840814,1307.6751535640494,1151.0175208682695,1001.7465989798513,880.5229869594491,758.5862152659822,42319.656524575315,34555.84201939023,32047.925551334625,46312.470299859575,47949.943991796834,45808.813395316436,0.03441,0.03784,0.03592,0.02163,0.01836,0.01656
BTN,SUNF,0.010454239868835672,0.010268287577053932,0.009703773914787406,0.01140158407218609,0.010572883073878441,0.009641779071139655,0.903876430377542,0.39716910638899666,0.3198421868895225,0.43315185697112374,0.21795818931337277,0.31099386674377544,0.01157,0.02585,0.03034,0.02632,0.04851,0.031
BWA,SUNF,1.42386315002323,1.1695288833892776,0.9337351344881779,0.7112185614220036,0.5073743755817981,0.34498366985331796,14.126874640469175,5.421880190901877,4.145677722775092,91.76001998698298,28.521135139752843,56.34168812581438,0.1008,0.2157,0.2252,0.007751,0.01779,0.006123
CAF,SUNF,1.4665900074208218,1.3990338448071673,1.335989095157275,1.2733334822042177,1.1875784062869217,1.0756787341420715,6.872278769117669,6.917150821333847,6.87308867727693,6.887506089242816,6.8925827348937485,6.890622916556778,0.2134,0.2023,0.1944,0.1849,0.1723,0.1561
CAN,SUNF,72.17777986102237,64.87772394568174,56.2417712325065,47.87167467252431,40.27074362680482,33.17976031195463,7248.071004425731,5358.809197242419,6014.388708127081,6615.748021614364,3625.892426106902,4437.499777100701,0.009958,0.01211,0.009351,0.007236,0.01111,0.007477
CHE,SUNF,0.6549299638784659,0.6104466004483423,0.5664237645073068,0.5234227818511279,0.47909997984910846,0.4349874041152713,147.8211557468161,134.36049874245583,170.96105285510626,215.10366416457046,190.47197725153742,198.27601921632245,0.004431,0.004543,0.003313,0.002433,0.002515,0.002194
CHL,SUNF,93.73424018074599,91.62999547746064,87.64753917222856,83.18493845527607,79.1682813293678,73.1010869562241,919.1748839725751,577.7324131432317,801.8547442364392,1253.4202963262387,589.2423156492813,812.277730079519,0.102,0.1586,0.1093,0.06637,0.1344,0.09
CHN,SUNF,311.0235579263512,272.49115502436223,234.18249072001657,196.5086835560576,158.65268006309938,121.2505538909593,39062.506394568736,32737.743705946898,26470.16696020366,32490.58377918791,35692.24686338391,32485.926225038405,0.007962,0.008323,0.008847,0.006048,0.004445,0.003732
COD,SUNF,24.450481097182656,24.31132371996539,23.54825982256906,22.524159639907587,21.047397659311624,19.204591488453588,1239.9254383835867,1262.2208426849927,1277.1265523919628,1336.2006395992942,1125.8062285213605,1191.4980801322827,0.01972,0.01926,0.01844,0.01686,0.0187,0.01612
COG,SUNF,0.9785405035826797,0.776062680624754,0.6063250716008002,0.46039551368241743,0.3273184106440051,0.2209723092617076,2.0565399375764217,2.0672790804560743,2.0765203287023954,2.0864453616174914,2.0970880299275394,2.089090553271349,0.4758,0.3754,0.292,0.2207,0.1561,0.1058
COL,SUNF,1.403010705152796,1.6721397232944042,1.6806123872696346,1.5893529138448115,1.5021884929840605,1.448097941775448,7.776249438256537,7.776249438256537,7.776249438256537,7.776249438256537,7.776249438256537,7.776249438256537,0.1804,0.215,0.2161,0.2044,0.1932,0.1862
CZE,SUNF,0.20460494430348844,0.1476572709326546,0.10417145057949347,0.06732418374864532,0.039617782848075704,0.028130931107058294,216.18600620844893,382.18296909154424,433.0601475840563,361.6888701850879,301.5407067303552,355.23553156811784,9.464e-4,3.864e-4,2.405e-4,1.861e-4,1.314e-4,7.919e-5
DEU,SUNF,3.1365556697623758,2.9526788090922276,2.7041911799060063,2.4617475128210082,2.228069729370955,2.0192694067620542,514.9903171700345,882.0072006624544,1421.1135962473718,1500.0235656052773,1182.7339186676013,1341.9632738861596,0.006091,0.003348,0.001903,0.001641,0.001884,0.001505
DZA,SUNF,0.04950658987424757,0.047006835788368916,0.049814163175067906,0.047931993131599654,0.04748141599425749,0.04866380204299223,4.430614224033159,4.479713637646598,4.529483872071158,4.526379976138332,4.6225979564974,4.592736533867632,0.01117,0.01049,0.011,0.01059,0.01027,0.0106
ECU,SUNF,2.4083486211313527,2.1080092896002136,1.8615117604960703,1.6420878711101854,1.416093289062589,1.2328453928581704,159.77522964144057,160.3662172184433,160.8737712551633,160.33840603834906,160.52613150398523,160.5245254083346,0.01507,0.01314,0.01157,0.01024,0.008822,0.00768
EGY,SUNF,0.44605046813091737,0.39721683779991196,0.35135618564441173,0.40145667199047397,0.4190919593976802,0.40814345783723033,1577.8720272847925,1588.120822228371,4385.59944779904,7856.696710812413,8676.139479187943,7917.093483067616,2.827e-4,2.501e-4,8.012e-5,5.11e-5,4.83e-5,5.155e-5
ERI,SUNF,0,0,0,0,0,0,0.0017089080586986122,0.0020639733836703943,0.0020527382238740618,0.0025319442928459007,0.0025933251711798186,0.0025254201177865782,0,0,0,0,0,0
ESP,SUNF,62.980951681810666,58.363409555740994,53.793626922032715,47.79721877551897,42.66504483457468,37.56863231635359,47765.95674064384,41112.955122887,44373.62183131466,45446.31156861626,44488.28821745151,44181.39770161234,0.001319,0.00142,0.001212,0.001052,9.59e-4,8.503e-4
ETH,SUNF,2244.183697092618,2266.3249095465703,2269.124886139668,2204.27143135182,2073.4909735859046,1906.2824936654056,1119.9891481204122,1351.4926192507824,1344.154560340513,1656.558873539417,1696.577079295728,1652.3081164644464,2.004,1.677,1.688,1.331,1.222,1.154
FRA,SUNF,188.20162496184318,165.47055569846623,143.22440607031953,121.67058807407506,103.40376103322916,89.06512675883664,59253.982523886545,70468.46007281738,66255.1516330874,75941.90688229528,54523.418356601804,60452.72308389749,0.003176,0.002348,0.002162,0.001602,0.001897,0.001473
GEO,SUNF,0.7695851193540538,0.622014764762204,0.4972064509189726,0.3988558977697557,0.29934767412977586,0.21516878349076832,39.26607655789482,43.397834598351096,57.85736706653257,53.72697174684364,26.881939118641082,36.253217212127026,0.0196,0.01433,0.008594,0.007424,0.01114,0.005935
GLP,SUNF,0,0,0,0,0,0,0.05337474916175881,0.0634875381167877,0.059687027899392356,0.06841748124570136,0.04911257535931442,0.05445712568756358,0,0,0,0,0,0
GRC,SUNF,3.4965642967269712,3.5034053910025116,3.2479787451094047,3.1992896537573214,2.970032019129726,2.635387408453595,9523.260295401346,9031.406046430096,8993.27366753239,6641.054049682026,7671.459967054551,7306.475901103519,3.672e-4,3.879e-4,3.612e-4,4.817e-4,3.872e-4,3.607e-4
HRV,SUNF,6.3275058389885945,5.973549787828766,5.681824188572039,5.309767872697444,4.860879109748731,4.41438449085016,1049.545539285757,1085.947281099202,1314.1015568787448,1368.9688034030846,1556.08193952812,1428.9893901781004,0.006029,0.005501,0.004324,0.003879,0.003124,0.003089
HUN,SUNF,48.32392434912381,45.75532374131854,43.62749380827734,40.457204359629074,36.847393267570396,33.26341771966525,25243.528279539285,26163.950877023086,19159.240249581784,29280.618061915004,26730.154260869323,27151.23481497528,0.001914,0.001749,0.002277,0.001382,0.001378,0.001225
IND,SUNF,143.3814412172214,132.20474093401978,120.20648166028865,109.62334929564472,99.02878906099403,88.55041585785129,4693.869443070325,6172.028900665932,8096.516162385036,5176.4383490554455,4194.815641504902,5030.181269883313,0.03055,0.02142,0.01485,0.02118,0.02361,0.0176
IRN,SUNF,0.276827248478121,0.18967240815456685,0.12317927356297392,0.08430099941810479,0.0669736959452754,0.05187318324576157,57.882585048911885,57.88303232618791,57.88412604239317,57.88407543314548,57.8844849419057,57.88422798347145,0.004783,0.003277,0.002128,0.001456,0.001157,8.962e-4
IRQ,SUNF,8.846609277287652e-4,3.976971369139563e-4,1.5616838047923724e-4,3.996739564605976e-5,2.8181106157839904e-5,1.958615254685238e-5,2.5687534772586913,2.178356631185833,1.875073130930885,1.6857898116228323,1.7524691627427145,1.7852474411851622,3.444e-4,1.826e-4,8.329e-5,2.3710000000000002e-05,1.608e-5,1.097e-5
ISR,SUNF,0.06007105269650971,0.04257090527645738,0.03158704418027093,0.024219998625958514,0.01824564848483133,0.01443112558963599,499.8008299392953,160.239130480862,200.8795026573384,161.98138759974935,280.88707961012966,216.3281478916237,1.202e-4,2.657e-4,1.572e-4,1.495e-4,6.496e-5,6.671e-5
ITA,SUNF,21.35387121061503,21.045537103836818,19.941115029070986,18.273560910453284,16.680614175890515,14.952226154883396,16501.750721660017,15539.869722132049,14639.0675842495,16911.162871001216,15830.418103943726,16094.25441494611,0.001294,0.001354,0.001362,0.001081,0.001054,9.29e-4
JOR,SUNF,0,0,0,0,0,0,0.46899238559064216,0.1500775633890055,0.18759695423625686,0.1500775633890055,0.2626357359307596,0.20164171287674476,0,0,0,0,0,0
KAZ,SUNF,16.369853595403903,13.22849715300276,10.71133484472425,8.232504980666553,6.0378407995322005,3.9719767362434695,2431.0858212431613,2969.6283488815798,3748.746016213414,3557.6396876041103,5262.363951468773,4743.151974484894,0.006734,0.004455,0.002857,0.002314,0.001147,8.374e-4
KEN,SUNF,24.12770185400229,20.981977039573156,18.17191904038672,15.931097790169726,13.7669221192724,11.83361045392975,2599.784967413642,2609.812165106781,3087.4150724908845,3111.5767179586715,3029.4914074623257,3047.5389933064553,0.009281,0.00804,0.005886,0.00512,0.004544,0.003883
KGZ,SUNF,0.11650970086593015,0.055404641528592785,0.028332305464992456,0.013027447928571021,0.004154980590103304,0.0018092829023755065,34.413200518388805,27.69391007956042,21.64690412168437,18.970051211263126,16.503655892356605,19.144452670162185,0.003386,0.002001,0.001309,6.867e-4,2.518e-4,9.451e-5
LAO,SUNF,97.02205003229474,83.86463610379614,70.76876954361498,57.85074459910033,45.085841036558215,32.37595398634847,207.88359393989148,207.72408342565043,224.10919119400904,224.22287836905323,207.7608877076296,216.57892128164568,0.4667,0.4037,0.3158,0.258,0.217,0.1495
LBN,SUNF,0,0,0,0,0,0,0.7426915383200624,0.2437552452726965,0.316376115062329,0.27881124880509733,0.43600041827496655,0.34830102631731547,0,0,0,0,0,0
LSO,SUNF,0,0,0,0,0,0,12.44315445889175,10.699376947531523,13.343448640096282,11.362170209767989,9.973460517463014,10.743252809438781,0,0,0,0,0,0
