GID_0,GID_1,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
ALB,ALB.2_1,CHIC,0.00147942985911956,0.00135078378441351,0.00122213770970746,0.00109349163500141,9.648455602953666e-4,8.361994855893177e-4,0.0334316339093935,0.03447659338223474,0.03430725339386225,0.03438694280015519,0.034472737443220554,0.03441008941295544,0.04425,0.03918,0.03562,0.0318,0.02799,0.0243
ARG,ARG.10_1,CHIC,0.5021034450132015,0.43539718559714036,0.36900264371925046,0.30323104801951184,0.23824640774548417,0.1738908010941084,0.29817355412429253,0.14265130997969455,0.17193634793961485,0.11103390988208078,0.19700460987586405,0.16383044056812315,1.684,3.052,2.146,2.731,1.209,1.061
ARG,ARG.11_1,CHIC,0,0,0,0,0,0,0.07262945071948859,0.03474716702716668,0.04188044961346127,0.027045765039950983,0.04798660513845157,0.0399060035506522,0,0,0,0,0,0
ARG,ARG.12_1,CHIC,0.006312322494738944,0.006263174833603937,0.005973510647202754,0.008469283987557912,0.008213578212657476,0.007549760805968372,0.37905108872038346,0.18134450090316312,0.2185729048591301,0.1411510975521982,0.25044076117244374,0.20826832562421335,0.01665,0.03454,0.02733,0.06,0.0328,0.03625
ARG,ARG.16_1,CHIC,0.0049234589746724195,0.004498621206274868,0.0040737834378773066,0.003648945669479755,0.0032241079010821936,0.0027992701326846423,2.0971612235740054,1.0033176706769444,1.2092898140509902,0.7809411904096808,1.385603863865024,1.15227806909158,0.002348,0.004484,0.003369,0.004672,0.002327,0.002429
ARG,ARG.17_1,CHIC,302.2964352225945,301.6051589872137,304.0087812297373,294.03911057193676,276.03769794538385,259.39627799972374,13149.484620409716,6290.937545310863,7582.410752561048,4896.606926212403,8687.923700411895,7224.939397903401,0.02299,0.04794,0.04009,0.06005,0.03177,0.0359
ARG,ARG.19_1,CHIC,2.523203128733512,2.4739789974615696,2.2952444866375488,2.116450136320242,1.9376557860029353,1.7718569429261422,333.9997627719231,159.79117877255203,192.59487848397205,124.37487848032022,220.67514725362122,183.5150285050539,0.007555,0.01548,0.01192,0.01702,0.008781,0.009655
ARG,ARG.1_1,CHIC,0.011520612526069712,0.011438879837430825,0.01090232735287834,0.03403041550978469,0.031680506921589746,0.032478310738676026,88.31791572631202,42.25279606045468,50.92691715138134,32.887837838364504,58.352044613114195,48.52597704714166,1.304e-4,2.707e-4,2.141e-4,0.001035,5.429e-4,6.693e-4
ARG,ARG.21_1,CHIC,0.020958661829069237,0.018536985140959476,0.017764613165136126,0.019943525551453487,0.01840201527107899,0.01770186791714816,12.761390635448048,6.105266768730374,7.358623426325449,4.752088433690263,8.431508256972963,7.0117024838355455,0.001642,0.003036,0.002414,0.004197,0.002183,0.002525
ARG,ARG.22_1,CHIC,2985.8472858941477,3175.8297086900216,3228.77064180915,3143.8355032622135,2998.847867553062,2889.3329297568816,10459.546765074503,5004.025431476701,6031.307092851287,3894.927490573431,6910.669646688094,5746.962233782606,0.2855,0.6347,0.5353,0.8072,0.4339,0.5028
ARG,ARG.24_1,CHIC,91.45602378762274,98.14333781358926,103.97411098698689,101.7637057584086,111.68836562755571,108.67986914019515,4541.918311046555,2172.93112661988,2619.01445061048,1691.3201773430826,3000.8658802208342,2495.541497999536,0.02014,0.04517,0.0397,0.06017,0.03722,0.04355
ARG,ARG.2_1,CHIC,9.312859928105409,8.88466437641183,9.28704952959547,9.474934970583554,11.847090372169152,11.13848441572987,1116.7760458309006,534.2846932203578,643.9685617007084,415.86522049358473,737.858962287166,613.608782783385,0.008339,0.01663,0.01442,0.02278,0.01606,0.01815
ARG,ARG.3_1,CHIC,56.58238202201634,73.66462711772199,71.91894964505497,83.47735338433219,89.09968339007752,83.36900332714309,693.9392751511268,331.9923758409633,400.1474410155534,258.40920455557347,458.4888038786326,381.2825638055833,0.08154,0.2219,0.1797,0.323,0.1943,0.2187
ARG,ARG.6_1,CHIC,4.843688819220664,4.687374509835087,4.459678847849542,4.184656580580366,3.950591309143498,3.9864683525300793,11790.0611405962,5640.56618430238,6798.5239685403985,4390.384620238618,7789.746485858809,6478.008811552133,4.108e-4,8.31e-4,6.56e-4,9.531e-4,5.072e-4,6.154e-4
ARG,ARG.8_1,CHIC,0.05611522741645598,0.06256075657572066,0.06498578070112802,0.06771021236636009,0.06659355371367656,0.09642549719662326,73.24057891085359,35.03954116919873,42.23284555164175,27.27333704151801,48.390380286377045,40.241785847405424,7.662e-4,0.001785,0.001539,0.002483,0.001376,0.002396
ARM,ARM.10_1,CHIC,8.125441734835441e-5,7.418881583980185e-5,6.712321433124928e-5,6.0057612822696734e-5,5.2992011314144185e-5,4.592640980559162e-5,0.020574452562264995,0.020574452562264995,0.020574452562264995,0.020574452562264995,0.020574452562264995,0.020574452562264995,0.003949,0.003606,0.003262,0.002919,0.002576,0.002232
ARM,ARM.11_1,CHIC,0,0,0,0,0,0,0.0043144218351127825,0.0043144218351127825,0.0043144218351127825,0.0043144218351127825,0.0043144218351127825,0.0043144218351127825,0,0,0,0,0,0
ARM,ARM.1_1,CHIC,3.0031904624562787e-5,2.74204346572095e-5,2.4808964689856213e-5,2.219749472250293e-5,1.9586024755149646e-5,1.6974554787796358e-5,0.05591672802097446,0.05591672802097446,0.05591672802097446,0.05591672802097446,0.05591672802097446,0.05591672802097446,5.371e-4,4.904e-4,4.437e-4,3.97e-4,3.503e-4,3.036e-4
ARM,ARM.2_1,CHIC,0.00456051820087014,0.00411267785088906,0.00366483750090797,0.00321699715092689,0.00276915680094581,0.00232131645096473,2.447580786717931,2.447580786717931,2.447580786717931,2.447580786717931,2.447580786717931,2.447580786717931,0.001863,0.00168,0.001497,0.001314,0.001131,9.484e-4
ARM,ARM.3_1,CHIC,0,0,0,0,0,0,0.09356448306314433,0.09356448306314433,0.09356448306314433,0.09356448306314433,0.09356448306314433,0.09356448306314433,0,0,0,0,0,0
ARM,ARM.4_1,CHIC,0,0,0,0,0,0,0.005651941798485775,0.005651941798485775,0.005651941798485775,0.005651941798485775,0.005651941798485775,0.005651941798485775,0,0,0,0,0,0
ARM,ARM.5_1,CHIC,0,0,0,4.4582857443119727e-4,4.229655706142127e-4,4.0010256679722835e-4,0.021691484754812303,0.021691484754812303,0.021691484754812303,0.021691484754812303,0.021691484754812303,0.021691484754812303,0,0,0,0.02055,0.0195,0.01845
ARM,ARM.6_1,CHIC,0,0,0,0,0,0,0.00297648303233674,0.00297648303233674,0.00297648303233674,0.00297648303233674,0.00297648303233674,0.00297648303233674,0,0,0,0,0,0
ARM,ARM.7_1,CHIC,0.00231840761346058,0.00214452333593671,0.00197063905841283,0.00179675478088895,0.00162287050336507,0.00144898622584119,0.038253356133387074,0.038253356133387074,0.038253356133387074,0.038253356133387074,0.038253356133387074,0.038253356133387074,0.06061,0.05606,0.05152,0.04697,0.04242,0.03788
ARM,ARM.9_1,CHIC,0,0,0,0,0,0,0.0028752549329280914,0.0028752549329280914,0.0028752549329280914,0.0028752549329280914,0.0028752549329280914,0.0028752549329280914,0,0,0,0,0,0
AUS,AUS.10_1,CHIC,20.439518580492383,17.869043211189616,15.297011321253903,12.827470116891014,10.258062787181224,7.828882800153855,925.7140861880625,1121.9344484930323,987.9465886334643,576.4319116504558,2394.375518694944,1810.8707618830479,0.02208,0.01593,0.01548,0.02225,0.004284,0.004323
AUS,AUS.11_1,CHIC,6.918407045162024,6.345737608453838,5.784186312484806,6.876506676618438,6.622980781326698,6.16715658046344,286.3404354420323,347.03501147075224,305.5900959092746,178.30101869179387,740.6244961206828,560.1357160092907,0.02416,0.01829,0.01893,0.03857,0.008942,0.01101
AUS,AUS.5_1,CHIC,115.64967961796103,106.44515223534799,94.92354655914947,83.97506422704622,73.64929803490472,65.54500162281562,13638.035667191525,16528.842169622523,14554.872842591869,8492.253805025535,35275.01548461686,26678.561348172094,0.00848,0.00644,0.006522,0.009888,0.002088,0.002457
AUS,AUS.7_1,CHIC,35.090264458213646,32.436360408873945,28.739810314682444,25.456103836700454,22.157599149967904,19.378522728053095,8747.9700494312,10602.246524363974,9336.065310825905,5447.264089303416,22626.77606093964,17112.673799289372,0.004011,0.003059,0.003078,0.004673,9.793e-4,0.001132
AUS,AUS.8_1,CHIC,1.584802530506058,1.4020550811323742,1.2183736797320048,1.0365775644785784,0.9111121107388966,0.7221479546810882,287.712651502425,348.69809134811425,307.0545612295718,179.15548243896097,744.1737567297482,562.8200285630554,0.005508,0.004021,0.003968,0.005786,0.001224,0.001283
AZE,AZE.10_1,CHIC,0,0,0,0,0,0,0.1855082191579705,0.1855082191579705,0.1855082191579705,0.1855082191579705,0.1855082191579705,0.1855082191579705,0,0,0,0,0,0
AZE,AZE.2_1,CHIC,0,0,0,0,0,0,1.5359805641594346,1.5359805641594346,1.5359805641594346,1.5359805641594346,1.5359805641594346,1.5359805641594346,0,0,0,0,0,0
AZE,AZE.4_1,CHIC,5.810436204862484e-5,5.3051808827005295e-5,4.799925560538574e-5,4.294670238376619e-5,3.789414916214664e-5,3.284159594052708e-5,0.010576531058395386,0.010576531058395386,0.010576531058395386,0.010576531058395386,0.010576531058395386,0.010576531058395386,0.005494,0.005016,0.004538,0.004061,0.003583,0.003105
AZE,AZE.5_1,CHIC,0,0,0,0,0,0,0.04143400235646049,0.04143400235646049,0.04143400235646049,0.04143400235646049,0.04143400235646049,0.04143400235646049,0,0,0,0,0,0
AZE,AZE.6_1,CHIC,0,0,0,0,0,0,0.06680758048139318,0.06680758048139318,0.06680758048139318,0.06680758048139318,0.06680758048139318,0.06680758048139318,0,0,0,0,0,0
BDI,BDI.11_1,CHIC,0,0,0,0,0,0,16.29851518170936,11.833653546396292,8.921091339453458,7.509432365835546,11.119480335829628,9.682835932551834,0,0,0,0,0,0
BDI,BDI.16_1,CHIC,0,0,0,0,0,0,0.5430974001617984,0.39431975267757097,0.2972676626702979,0.25022851156116277,0.37052214844186543,0.3226504354865176,0,0,0,0,0,0
BDI,BDI.17_1,CHIC,0,0,0,0,0,0,2.734344595135159,1.9852904546546015,1.496660132213547,1.2598310688508958,1.8654761257705355,1.6244553447093106,0,0,0,0,0,0
BDI,BDI.5_1,CHIC,0,0,0,0,0,0,2.9084355402960136,2.111690430826061,1.5919498690906018,1.3400423128577692,1.9842477328635866,1.727881579586655,0,0,0,0,0,0
BEN,BEN.12_1,CHIC,0,0,0,0,0,0,0.1947851555191515,0.19830775571741732,0.19655654902859465,0.1979935983215118,0.19942938593814022,0.19847580742433332,0,0,0,0,0,0
BEN,BEN.1_1,CHIC,0,0,0,0,0,0,0.04643526618441372,0.047089889513613675,0.046935515653891896,0.04712506330443637,0.04731265685549069,0.04716074581249301,0,0,0,0,0,0
BEN,BEN.2_1,CHIC,0,0,0,0,0,0,0.19697696795927877,0.20053920608023734,0.198768294005778,0.20022151364036675,0.20167345740170298,0.20070914878249546,0,0,0,0,0,0
BEN,BEN.5_1,CHIC,4.972659445079947e-6,4.387640686835248e-6,3.802621928590548e-6,3.217603170345848e-6,2.632584412101148e-6,2.0475656538564485e-6,1.802320332021825,1.834914468582167,1.8187107932434299,1.832007613280045,1.8452927591989807,1.836469427980374,2.759e-6,2.391e-6,2.091e-6,1.756e-6,1.427e-6,1.115e-6
BEN,BEN.6_1,CHIC,0,0,0,0,0,0,2.9062785111143223,2.9588372250069757,2.932708466094726,2.954149861196349,2.9755724315437124,2.961344628937549,0,0,0,0,0,0
BEN,BEN.7_1,CHIC,0,0,0,0,0,0,3.5984430529901887,3.663519245157539,3.631167613807868,3.657715530311669,3.6842401387237196,3.6666238169391177,0,0,0,0,0,0
BFA,BFA.8_1,CHIC,0,0,0,0,0,0,0.03525045236400948,0.035881719560733834,0.035573642860251706,0.035828564707615244,0.036083202672405806,0.03591316679302161,0,0,0,0,0,0
BGD,BGD.1_1,CHIC,0,0,0,1.2933386874209609e-4,5.838262926456937e-4,5.535463542490253e-4,6.711395612903882,6.801025744520971,6.581024512369934,10.46635491474104,6.855347036410117,8.462505379113582,0,0,0,1.236e-5,8.516e-5,6.541e-5
BGD,BGD.2_1,CHIC,1.343239102462579,1.1626250773092994,0.9817765543932216,0.8017142066274922,0.6210936128921165,0.4410971054710551,10.481021777153037,10.620994953456579,10.277424429802434,16.345049541990786,10.705827181519332,13.215686912753364,0.1282,0.1095,0.09553,0.04905,0.05801,0.03338
BGD,BGD.3_1,CHIC,0.004233005989741881,0.0032276050929157638,0.002343484335374364,0.0077143862123756355,0.006676142827524681,0.017303590821684357,10.731890659972327,10.875214169393244,10.52342010081463,16.73627707737894,10.96207690237562,13.532011473658198,3.944e-4,2.968e-4,2.227e-4,4.609e-4,6.09e-4,0.001279
BGD,BGD.4_1,CHIC,0.002734368956411204,0.004397833892396166,0.003935723929095807,0.003992917389358039,0.008233885965944,0.008789106384993015,10.302557631585708,10.512204863911952,10.384492405347592,15.53955857475843,10.494346653227526,12.767633636508481,2.654e-4,4.184e-4,3.79e-4,2.57e-4,7.846e-4,6.884e-4
BGD,BGD.5_1,CHIC,0.013874254030143045,0.009062025749310155,0.0048728322006647475,0.0018154215891913513,4.2089238479334304e-4,1.0585285006567926e-5,17.2237464610184,17.480110568398626,16.992285521347867,26.667538716809894,17.58250465660871,21.63616322837306,8.055e-4,5.184e-4,2.868e-4,6.808e-5,2.394e-5,4.892e-7
BGD,BGD.6_1,CHIC,2.368727331736203e-4,4.136409050880694e-4,5.263329514966736e-4,6.11988883482237e-4,0.0013910173437194984,0.0013073145268549609,5.186520326193359,5.268718288776549,5.136393758798558,7.993712453069539,5.292526419877775,6.499738775405052,4.567e-5,7.851e-5,1.025e-4,7.656e-5,2.628e-4,2.011e-4
BGD,BGD.7_1,CHIC,1.6784043699319705e-4,1.7210669389180504e-4,1.6050562256219922e-4,2.699035344835416e-4,3.771921581603034e-4,3.5297089430139154e-4,1.670663750448945,1.7919261427248934,2.0255488326002977,1.8814514919966594,1.6664151610448505,1.8003037335637073,1.005e-4,9.605e-5,7.924e-5,1.435e-4,2.263e-4,1.961e-4
BGD,BGD.8_1,CHIC,0.011892711520542679,0.0107294040355302,0.009280011270409354,0.009378076591512395,0.007893890441457597,0.006486912870370382,3.2069580569840688,3.249904950339333,3.1451246495985177,5.000354279357274,3.2756955850217486,4.043338427960514,0.003708,0.003301,0.002951,0.001875,0.00241,0.001604
BGR,BGR.1_1,CHIC,7.409853092734376e-4,6.860975085865162e-4,6.312097078995949e-4,5.763219072126737e-4,5.214341065257523e-4,4.66546305838831e-4,0.014559931003424512,0.015015025057971105,0.014941275191198025,0.014975981010855946,0.015013345744116688,0.014986061675362143,0.05089,0.04569,0.04225,0.03848,0.03473,0.03113
BGR,BGR.28_1,CHIC,4.141001398284434e-4,3.3199305765348376e-4,2.583862482739726e-4,1.8905070625113433e-4,1.2787984551841213e-4,7.161614979025161e-5,0.4568555845955029,0.4568555845955029,0.4568555845955029,0.4568555845955029,0.4568555845955029,0.4568555845955029,9.064e-4,7.267e-4,5.656e-4,4.138e-4,2.799e-4,1.568e-4
BGR,BGR.2_1,CHIC,0.0020598516358596073,0.001739842207797845,0.0014377031912445539,0.0011410314330481234,8.710352718081298e-4,6.246474394075902e-4,0.16095526705275426,0.16095526705275426,0.16095526705275426,0.16095526705275426,0.16095526705275426,0.16095526705275426,0.0128,0.01081,0.008932,0.007089,0.005412,0.003881
BGR,BGR.6_1,CHIC,0.0010605122670804832,7.170577511316207e-4,5.393913293432806e-4,3.881620011958774e-4,2.3693267304847408e-4,8.589486762595502e-5,2.292580567570483,2.292580567570483,2.292580567570483,2.292580567570483,2.292580567570483,2.292580567570483,4.626e-4,3.128e-4,2.353e-4,1.693e-4,1.033e-4,3.747e-5
BGR,BGR.8_1,CHIC,0,0,0,0,0,0,0.004286385561831615,0.004420363434681776,0.0043986517683250615,0.004408869023081162,0.0044198690513871245,0.00441183673046816,0,0,0,0,0,0
BIH,BIH.1_1,CHIC,0,0,0,0,0,0,4.067527475546761,4.046100562021179,4.031666532407711,4.048431523325217,4.042066205918036,4.042501184216253,0,0,0,0,0,0
BIH,BIH.2_1,CHIC,0.0042126346314200055,0.006799740420727174,0.006923855805255798,0.006277612420995345,0.005635239800637569,0.005098844259441723,16.612115913536922,16.524606640816287,16.46565687969485,16.53412647801602,16.508129999509052,16.509906486564955,2.536e-4,4.115e-4,4.205e-4,3.797e-4,3.414e-4,3.088e-4
BIH,BIH.3_1,CHIC,0.0010252656041084692,7.713958390829732e-4,5.175260740574771e-4,2.63656309031981e-4,6.83607132596165e-5,0,48.31819199578432,48.0636615155773,47.892199560291395,48.09135102388434,48.01573736658434,48.02090447733002,2.122e-5,1.605e-5,1.081e-5,5.482e-6,1.424e-6,0
BLR,BLR.4_1,CHIC,0,0,0,0,0,0,0.37636618921097564,0.4095999247631621,0.6049277780300653,0.5631172113514127,0.535368299378517,0.5651714492885731,0,0,0,0,0,0
BOL,BOL.1_1,CHIC,13.342242707158267,13.817455895464448,15.95010416959628,18.19494811498187,18.89891967325112,18.79125399537011,0.3379525031652735,0.3379525031652735,0.3379525031652735,0.3379525031652735,0.3379525031652735,0.3379525031652735,39.48,40.89,47.2,53.84,55.92,55.6
BOL,BOL.4_1,CHIC,2.0388165135409047,1.732077723023592,1.4254346021494182,1.1188495645733527,0.8122276732485578,0.5055874397710424,0.02137813383170619,0.019003991738543405,0.01573276198966888,0.05501504413759599,0.026204729040699773,0.0391818500705212,95.37,91.14,90.6,20.34,31,12.9
BOL,BOL.8_1,CHIC,33.967236791882705,41.38213479263392,51.301334405133495,53.255627130507165,56.45421754501521,55.75884377850457,1.8070062915665317,1.8070062915665317,1.8070062915665317,1.8070062915665317,1.8070062915665317,1.8070062915665317,18.8,22.9,28.39,29.47,31.24,30.86
BOL,BOL.9_1,CHIC,11.971847589884682,11.4786179979377,11.062058159178946,10.862079194268544,10.115299028264957,9.529611108346945,3.0664438325869736,1.5691485168222739,1.851091144390146,1.2647509991347061,2.092436627654973,1.773051265245445,3.904,7.315,5.976,8.588,4.834,5.375
BTN,BTN.11_1,CHIC,0,0,0,0,0,0,0.19982473029576756,0.2148439166858637,0.2442886863723127,0.22126712332796297,0.19910785688882524,0.21373600184495148,0,0,0,0,0,0
BTN,BTN.12_1,CHIC,0,0,0,0,0,0,0.01606139027711294,0.017268593278958532,0.019635287015283217,0.017784873864232446,0.016003769863707943,0.017179541975712143,0,0,0,0,0,0
BTN,BTN.13_1,CHIC,0,9.451987673684054e-4,0.00148967757787434,0.00141079812610335,0.00237543819558804,0.0022430449222142,0.17678424029898096,0.19007166199074027,0.21612134679247977,0.19575425045126849,0.17615002490207157,0.18909149360429117,0,0.004973,0.006893,0.007207,0.01349,0.01186
BTN,BTN.3_1,CHIC,0,0,0,0,0,0,7.923461212624067e-4,8.519002818665301e-4,9.686548448177252e-4,8.773696162247013e-4,7.895035708804486e-4,8.475071718366229e-4,0,0,0,0,0,0
BTN,BTN.9_1,CHIC,0,0,0,0,0,0,0.09236645913325232,0.09930888845049532,0.11291936154812385,0.1022779346387912,0.09203509345019574,0.09879676880081648,0,0,0,0,0,0
CAN,CAN.12_1,CHIC,0.16912135074841672,0.14550861390503717,0.12589720445592986,0.10729146093772395,0.09290518239709442,0.07322103792051805,450.7383449663872,191.91698710490465,306.72912560912266,334.479807295486,602.8793549875044,501.20771086611563,3.752e-4,7.582e-4,4.105e-4,3.208e-4,1.541e-4,1.461e-4
CAN,CAN.1_1,CHIC,0.08300893460332714,0.08105813467568881,0.07003456941823603,0.06274271477773774,0.05774119951532746,0.05225762428689951,228.54620763426965,97.3112229595019,155.52654707947733,169.5974889674081,305.68908055440414,254.13662457327987,3.632e-4,8.33e-4,4.503e-4,3.7e-4,1.889e-4,2.056e-4
CAN,CAN.2_1,CHIC,0,0,0,0,0,0,0.0486958988235038,0.03393582462514002,0.04391772210757148,0.05552299133846153,0.06710461923320898,0.06027505970104451,0,0,0,0,0,0
CAN,CAN.3_1,CHIC,0,0,0,0,0,0,0.001636933728860255,0.0011407674421806903,0.0014763132491538787,0.001866429400524286,0.002255750838141336,0.002026172236625449,0,0,0,0,0,0
CHL,CHL.12_1,CHIC,1.0046005912157043,0.9238429035107151,0.8500699215267389,0.8240018395817046,0.7762215277559076,0.7094754196019292,72.46344753085994,122.03627952818769,25.31912026159344,6.490374732899184,6.9917434509505405,13.228712202186593,0.01386,0.00757,0.03357,0.127,0.111,0.05363
CHL,CHL.13_1,CHIC,0.5624666740695566,0.4574030627676989,0.3729063927499661,0.30944947477181095,0.25835715995075553,0.22132098964174113,2.17687746592788,3.6660969907269747,0.7606127535004227,0.1949776195158106,0.2100392581989872,0.3974042979934305,0.2584,0.1248,0.4903,1.587,1.23,0.5569
CHL,CHL.14_1,CHIC,0.15981786068206105,0.10491313194464578,0.06304457255254332,0.03379509515596129,0.010925379597959734,0.0010643076367470648,1.037282217336081,1.7468953926120507,0.3624320136681312,0.09290684508788573,0.10008371664567052,0.18936316712976214,0.1541,0.06006,0.1739,0.3638,0.1092,0.00562
CHL,CHL.3_1,CHIC,0.11187706018463213,0.09943936335185206,0.10346193488338916,0.12865993115027283,0.11340479443080781,0.0981496577113428,0.006062163676025662,0.010209338999473272,0.0021181527568556696,5.42973254658082e-4,5.849168736057189e-4,0.0011066906326605646,18.45,9.74,48.85,237,193.9,88.69
CHL,CHL.6_1,CHIC,0.6818671615244556,0.6579532158404011,0.6271101138147034,0.6127400919969666,0.554172509604921,0.5297266699366819,1.090958691339838,1.8372923776964318,0.38118686382814665,0.09771451630000598,0.10526277102927617,0.19916218512875333,0.625,0.3581,1.645,6.271,5.265,2.66
