GID_0,GID_1,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,AFG.19_1,RAPE,2.835909645719865e-4,2.1970213097605908e-4,1.5693009355432794e-4,9.415805613259676e-5,3.138601871086559e-5,0,0.002311359668381535,0.0020193776521535084,0.0014787433821417592,0.001585158117871234,0.001637311874491125,0.0015724901108697582,0.1227,0.1088,0.1061,0.0594,0.01917,0
AFG,AFG.31_1,RAPE,0,0,0,0,0,0,0.013313671650137731,0.011631824923735717,0.008517715401011193,0.009130675326555995,0.009431086379174489,0.009057706291062966,0,0,0,0,0,0
ALA,ALA.2_2,RAPE,0.024967444530252018,0.02203882406765229,0.023012342418521493,0.021221510891553705,0.01825504700887931,0.015569962706844062,2.5292307737736057,3.3492802116712816,4.613895598558084,3.2997033873781616,3.990527988183934,3.9009358938960608,0.009872,0.00658,0.004988,0.006431,0.004575,0.003991
ALB,ALB.2_1,RAPE,5.055584038191987e-4,4.2413757322959866e-4,3.4271674263999867e-4,2.6425553642704885e-4,1.887539545907492e-4,1.132523727544495e-4,0.015732533397567815,0.05300491117838283,0.02924772987333077,0.029775667235665253,0.04360762612882891,0.038777069655116646,0.03213,0.008002,0.01172,0.008875,0.004328,0.002921
ALB,ALB.7_1,RAPE,0,0,0,0,0,0,0.10530571945339587,0.10696201802095756,0.2163648970888481,0.14366210733377185,0.05788327625584012,0.09657606709264874,0,0,0,0,0,0
ARG,ARG.11_1,RAPE,0.01720457232076452,0.013468547149676078,0.010106193958806908,0.007045090851132039,0.004502659227976379,0.002684406570923862,0.40719221984204323,0.2237716240431084,0.662686114072145,0.48840774379097757,0.5655906696348144,0.560946742598034,0.04225,0.06019,0.01525,0.01442,0.007961,0.004785
ARG,ARG.14_1,RAPE,0.8069271305572083,0.8282869579587671,0.8564130114118921,0.7969250987899593,0.7440353732022023,0.7767028708002011,29.382417131739672,27.63541170283902,22.21654119096565,32.826672134867124,41.27145575021148,36.67562484865619,0.02746,0.02997,0.03855,0.02428,0.01803,0.02118
ARG,ARG.16_1,RAPE,3.163193807109655e-4,2.807156589611149e-4,2.4511193721126433e-4,2.095082154614137e-4,1.7390449371156312e-4,1.3830077196171252e-4,0.6498800430300149,0.3571402044922281,1.0576490889134909,0.7795002705950529,0.902684459104433,0.8952727371818927,4.867e-4,7.86e-4,2.318e-4,2.688e-4,1.927e-4,1.545e-4
ARG,ARG.17_1,RAPE,0.1608593696061842,0.14231063441379715,0.12376189922141011,0.10539153944328034,0.08743542458600438,0.06981448925587765,0.046537108223660875,0.04257393551008632,0.032775590931040516,0.047060075011556436,0.05690211575457759,0.051910240319206206,3.457,3.343,3.776,2.24,1.537,1.345
ARG,ARG.19_1,RAPE,0.007369583147128391,0.006566316533867364,0.005763049920606339,0.004959783307345303,0.004156516694084276,0.0033532500808232495,0.233177912303071,0.12814242901615527,0.37948604384317536,0.27968584000453545,0.32388450745621244,0.3212251707632268,0.0316,0.05124,0.01519,0.01773,0.01283,0.01044
ARG,ARG.1_1,RAPE,14.799912654660407,20.56176306301256,20.891614156458765,20.726224247227318,21.47756794543871,26.297860160446586,1866.1211071998569,1025.5229114672768,3037.0240015833315,2238.3237085466944,2592.0453171975128,2570.762665316311,0.007931,0.02005,0.006879,0.00926,0.008286,0.01023
ARG,ARG.21_1,RAPE,4.819091430479441,5.04186858442674,9.011242051832971,9.305036834236358,9.803368019431288,10.127253785111296,92.8952099979007,51.05036637271604,151.1825686485488,111.42339591278001,129.0316009695882,127.97215396575305,0.05188,0.09876,0.05961,0.08351,0.07598,0.07914
ARG,ARG.22_1,RAPE,0.19439352462863232,0.13775171635844977,0.08256314752298201,0.03376286898671777,0.006202021789265611,0,0.05427709608743948,0.029827863470823914,0.08833341143713049,0.06510280095694324,0.07539097661010463,0.07477195968955501,3.582,4.618,0.9347,0.5186,0.08226,0
ARG,ARG.3_1,RAPE,0.27627458782611997,0.19925887780599444,0.12957640913211735,0.06098873914722367,0.017137351047216285,0.01536626935286129,0.6022935158861028,0.5510012607625009,0.42418892472275227,0.609061867367236,0.7364397287959918,0.6718337762218551,0.4587,0.3616,0.3055,0.1001,0.02327,0.02287
ARG,ARG.6_1,RAPE,0.7335089968915408,0.7742197378321867,0.7078747875584243,0.6352246606423819,0.5619693702995889,0.5906450040102614,148.45057102374682,81.58069763954936,241.59629592549555,178.05941500138715,206.19808970211147,204.50504748074957,0.004941,0.00949,0.00293,0.003567,0.002725,0.002888
ARG,ARG.7_1,RAPE,0.12628468688504252,0.11699531419387747,0.11305263873558266,0.15671855026351866,0.14872557504095962,0.13845280404711688,18.44225130644236,29.18572101480184,47.13642855581235,92.66575699964689,36.52935569029852,60.802975970914524,0.006848,0.004009,0.002398,0.001691,0.004071,0.002277
ARG,ARG.8_1,RAPE,67.69453765503609,59.159651041015216,50.602497400990856,42.42774624328818,35.369575373863064,27.948425825675663,1772.2031058553398,996.7002037333099,2904.941900882217,2210.878531011171,2471.7153275626974,2482.7310608726207,0.0382,0.05936,0.01742,0.01919,0.01431,0.01126
ARG,ARG.9_1,RAPE,2.529519729218568,2.0003609040644554,1.610543326225955,1.2677250669416182,0.997867955846182,0.7383126953250451,8.663994254403345,7.926154991710178,6.101959110704514,8.761357013253651,10.593687978884738,9.664331133528252,0.292,0.2524,0.2639,0.1447,0.09419,0.0764
AUS,AUS.10_1,RAPE,57.43713630363344,53.650156958885766,48.31899200220034,42.986589800971295,38.16608608734861,36.01246736935955,52091.598266007015,74695.25610778359,97667.73868716245,82190.53574614311,70048.5000376874,80385.73143893089,0.001103,7.183e-4,4.947e-4,5.23e-4,5.449e-4,4.48e-4
AUS,AUS.11_1,RAPE,261.66010964060536,238.21691894676516,208.75973777851536,182.24554990526565,156.86850517565682,140.5471976950833,94171.41576872357,135034.40579721276,176564.1587753272,148584.40461894998,126633.98015432316,145321.67161683022,0.002779,0.001764,0.001182,0.001227,0.001239,9.671e-4
AUS,AUS.2_1,RAPE,0.0063126897371443705,0.00526612544251131,0.004235329884092278,0.0035291326376361,0.00313176496692874,0.00273439729622139,0.6782474608375113,0.9725535302834396,1.2716618029655866,1.070144208093413,0.9120514414517618,1.0466451414603568,0.009307,0.005415,0.003331,0.003298,0.003434,0.002613
AUS,AUS.5_1,RAPE,136.88198478251357,136.8805904192374,134.11249422940347,124.55632899560568,115.22960640986913,106.13370591936813,36576.355701688735,52447.61818740128,68577.85266174882,57710.46331525298,49184.87700578294,56443.21165644542,0.003742,0.00261,0.001956,0.002158,0.002343,0.00188
AUS,AUS.7_1,RAPE,1.6978698769143352,2.0556155433096177,2.202927924416478,2.078597662831579,1.9848022737026245,1.901896846343247,109.29959723989158,156.727028543467,204.92833503256048,172.4537689957302,146.97711523998206,168.66689375209145,0.01553,0.01312,0.01075,0.01205,0.0135,0.01128
