GID_0,GID_1,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,AFG.19_1,SMIL,3.067991706551023e-4,2.793696109964779e-4,2.519400513378534e-4,2.2499053420251116e-4,1.9852105959045104e-4,1.7205158497839086e-4,0.27202320823557896,0.27202320823557896,0.27202320823557896,0.27202320823557896,0.27202320823557896,0.27202320823557896,0.001128,0.001027,9.262e-4,8.271e-4,7.298e-4,6.325e-4
AFG,AFG.22_1,SMIL,0,0,0,0,0,0,0.006085050307193323,0.006085050307193323,0.006085050307193323,0.006085050307193323,0.006085050307193323,0.006085050307193323,0,0,0,0,0,0
AFG,AFG.29_1,SMIL,7.267572335206946e-5,2.422524111735649e-5,0,0,0,0,6.106902810590259e-4,6.106902810590259e-4,6.106902810590259e-4,6.106902810590259e-4,6.106902810590259e-4,6.106902810590259e-4,0.119,0.03967,0,0,0,0
AFG,AFG.31_1,SMIL,3.3162893947171156e-7,0,0,0,0,0,0.15719590600179179,0.15719590600179179,0.15719590600179179,0.15719590600179179,0.15719590600179179,0.15719590600179179,2.11e-6,0,0,0,0,0
AFG,AFG.3_1,SMIL,0,0,0,0,0,0,0.030066349438085213,0.030066349438085213,0.030066349438085213,0.030066349438085213,0.030066349438085213,0.030066349438085213,0,0,0,0,0,0
ARG,ARG.10_1,SMIL,0.0417044724923301,0.038945405793150645,0.03615169055999292,0.03340142870149008,0.03060036848506926,0.027821257440056035,0.42534015671146425,0.42534015671146425,0.42534015671146425,0.42534015671146425,0.42534015671146425,0.42534015671146425,0.09805,0.09156,0.08499,0.07853,0.07194,0.06541
ARG,ARG.11_1,SMIL,0.011733750565527983,0.008821081104984895,0.0060550794512668924,0.0033881067083171555,0.6011181301913175,0.5695212862620411,0.08852480028627986,0.08852480028627986,0.08852480028627986,0.08852480028627986,0.08852480028627986,0.08852480028627986,0.1325,0.09965,0.0684,0.03827,6.79,6.433
ARG,ARG.15_1,SMIL,3.6151245460285376e-4,3.3302500951280594e-4,3.045375644227581e-4,7.767499572425517e-4,7.225855973878965e-4,6.684212375332414e-4,0.22638619642568897,0.22638619642568897,0.22638619642568897,0.22638619642568897,0.22638619642568897,0.22638619642568897,0.001597,0.001471,0.001345,0.003431,0.003192,0.002953
ARG,ARG.16_1,SMIL,0.9720562355962413,1.0838867662113392,1.0080307594072608,0.9778093145840717,0.9078972115125374,0.844644170617661,27.25533363268979,27.25533363268979,27.25533363268979,27.25533363268979,27.25533363268979,27.25533363268979,0.03566,0.03977,0.03698,0.03588,0.03331,0.03099
ARG,ARG.17_1,SMIL,59.65563871095359,58.33502126013536,59.36940031570678,62.73330174783863,61.087614612082234,57.12544303852327,230.42204636512594,230.42204636512594,230.42204636512594,230.42204636512594,230.42204636512594,230.42204636512594,0.2589,0.2532,0.2577,0.2723,0.2651,0.2479
