GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,AFG.13_1,BARL,0,0,0,0,0,0
AFG,AFG.14_1,BARL,0,0,0,0,0,0
AFG,AFG.16_1,BARL,0,0,0,0,0,0
AFG,AFG.19_1,BARL,0.09346,0.1526,0.09361,0.08298,0.064,0.05873
AFG,AFG.1_1,BARL,0,0,0,0,0,0
AFG,AFG.20_1,BARL,0,0,0,0,0,0
AFG,AFG.21_1,BARL,0,0,0,0,0,0
AFG,AFG.22_1,BARL,0,0,0,0,0,0
AFG,AFG.23_1,BARL,0,0,0,0,0,0
AFG,AFG.29_1,BARL,0.07664,0.04882,0,0,0,0
AFG,AFG.2_1,BARL,1.652,0.01576,0.003279,0,0,0
AFG,AFG.30_1,BARL,0,0,0,0.2245,0.1951,0.204
AFG,AFG.31_1,BARL,0.0145,0.02026,0.01171,0.009427,0.006727,0.005336
AFG,AFG.32_1,BARL,0,0,0,0,0,0
AFG,AFG.34_1,BARL,0,0,0,0,0,0
AFG,AFG.3_1,BARL,4.193e-4,7.131e-4,4.148e-4,3.554e-4,2.5e-4,1.974e-4
AFG,AFG.4_1,BARL,0,0,0,0,2.316e-4,3.287e-4
AGO,AGO.17_1,BARL,24.92,32.8,31.07,38.73,35.93,35.06
AGO,AGO.18_1,BARL,36.53,21.42,12.58,5.114,1.231,0.8056
ALA,ALA.2_2,BARL,6.527,8.52,6.248,8.076,6.93,6.707
ALB,ALB.10_1,BARL,0.007131,0.006058,0.005789,0.00544,0.005593,0.01526
ALB,ALB.11_1,BARL,0.7442,0.6242,0.5086,0.4398,0.4051,0.4201
ALB,ALB.12_1,BARL,0.2798,0.2467,0.2062,0.2088,0.1873,0.2012
ALB,ALB.1_1,BARL,0.4712,0.419,0.3265,0.2825,0.2532,0.2721
ALB,ALB.2_1,BARL,0.2209,0.1957,0.1932,0.1636,0.144,0.1267
ALB,ALB.3_1,BARL,0.6427,0.6379,0.4892,0.4084,0.3497,0.3946
ALB,ALB.4_1,BARL,0.3884,0.3513,0.2727,0.2295,0.2033,0.2229
ALB,ALB.5_1,BARL,0.4357,0.3746,0.2901,0.2626,0.2255,0.2377
ALB,ALB.6_1,BARL,0.2009,0.171,0.1274,0.1052,0.08542,0.08494
ALB,ALB.7_1,BARL,0.3682,0.2988,0.2172,0.1594,0.1154,0.0882
ALB,ALB.8_1,BARL,0.05425,0.04091,0.02981,0.02394,0.01881,0.01793
ALB,ALB.9_1,BARL,0.1458,0.193,0.2636,0.2234,0.187,0.1926
ARE,ARE.1_1,BARL,0,0,0,0,0,0
ARG,ARG.11_1,BARL,0.003028,0.002466,0.001754,0.002394,0.002003,0.002096
ARG,ARG.14_1,BARL,7.342,6.752,5.783,7.818,6.807,7.059
ARG,ARG.15_1,BARL,35.17,29.53,21.08,25.36,21.66,20.32
ARG,ARG.16_1,BARL,12.6,10.58,7.74,8.848,8.618,8.542
ARG,ARG.17_1,BARL,6.383,5.391,3.993,4.113,3.445,3.2
ARG,ARG.19_1,BARL,0.9114,0.7584,0.5339,0.5812,0.4816,0.4388
ARG,ARG.1_1,BARL,0.02961,0.0239,0.01619,0.01611,0.01286,0.01147
ARG,ARG.21_1,BARL,0.296,0.2278,0.1468,0.1351,0.09822,0.07382
ARG,ARG.22_1,BARL,1.075,0.9751,0.7321,0.7902,0.7329,0.7744
ARG,ARG.24_1,BARL,1.286,1.11,1.065,1.168,1.029,0.9922
ARG,ARG.4_1,BARL,527.2,440.7,316.4,380,343.2,354.6
ARG,ARG.6_1,BARL,0.06206,0.05067,0.03539,0.0365,0.02988,0.02684
ARG,ARG.7_1,BARL,0.357,0.2723,0.2586,0.3137,0.6173,0.5484
ARG,ARG.8_1,BARL,6.586,5.045,3.296,3.024,2.193,1.603
ARM,ARM.10_1,BARL,6.271,9.41,2.002,0.5318,0.6066,0.6024
ARM,ARM.11_1,BARL,0,0,0,0,0,0
ARM,ARM.1_1,BARL,0.1019,0.222,0.09926,0.07954,0.08089,0.07055
ARM,ARM.2_1,BARL,0.1946,0.1732,0.1437,0.1178,0.09327,0.06822
ARM,ARM.3_1,BARL,0.02189,0.01077,0,0,0,0
ARM,ARM.4_1,BARL,0.0104,0.01783,0.005319,0.001599,0,0
ARM,ARM.5_1,BARL,1.905,3.374,1.697,1.876,1.98,1.822
ARM,ARM.6_1,BARL,0,0,0,0,0,0
ARM,ARM.7_1,BARL,1.919,3.989,1.737,1.332,1.304,1.184
ARM,ARM.8_1,BARL,0,0,0,0,0,0
ARM,ARM.9_1,BARL,13.49,16.92,4.928,3.743,3.649,3.036
AUS,AUS.10_1,BARL,0.1733,0.1587,0.149,0.1602,0.1135,0.1025
AUS,AUS.11_1,BARL,0.1214,0.1209,0.1201,0.1372,0.1057,0.1051
AUS,AUS.2_1,BARL,225.6,214.4,212.1,241,182.8,179.1
AUS,AUS.5_1,BARL,0.1044,0.1035,0.107,0.1259,0.1007,0.1052
AUS,AUS.6_1,BARL,2.668,2.56,2.574,3.083,2.432,2.575
AUS,AUS.7_1,BARL,0.1027,0.1117,0.1196,0.1416,0.1103,0.1167
AUS,AUS.8_1,BARL,0.05796,0.05125,0.04876,0.04974,0.03377,0.02914
AUS,AUS.9_1,BARL,1.877,1.943,1.907,2.203,1.686,1.689
AUT,AUT.1_1,BARL,0.03152,0.03244,0.0292,0.02489,0.02516,0.02113
AUT,AUT.2_1,BARL,1.359,1.529,1.346,1.254,1.242,1.174
AUT,AUT.3_1,BARL,0.1601,0.184,0.1687,0.1637,0.1618,0.1478
AUT,AUT.4_1,BARL,0.1581,0.1643,0.1415,0.1253,0.1193,0.1007
AUT,AUT.5_1,BARL,1.753,1.782,1.404,1.1,0.9486,0.7463
AUT,AUT.6_1,BARL,0.4206,0.4524,0.397,0.3928,0.3876,0.4913
AUT,AUT.7_1,BARL,1.531,1.541,1.26,1.034,0.8804,0.642
AUT,AUT.8_1,BARL,0.5462,0.5291,0.4095,0.3638,0.383,0.2408
AUT,AUT.9_1,BARL,3.421e-4,1.328e-4,0,0,0,0
AZE,AZE.10_1,BARL,0.1059,0.07639,0.06197,0.04611,0.03016,0.01866
AZE,AZE.1_1,BARL,1.07,0.6512,0.4589,0.3207,0.2264,0.1962
AZE,AZE.2_1,BARL,0.0284,0.02135,0.0187,0.0159,0.01284,0.009882
AZE,AZE.3_1,BARL,0.3979,0.2413,0.1668,0.1276,0.09123,0.07128
AZE,AZE.4_1,BARL,0.1146,0.07398,0.04913,0.06963,0.05885,0.05879
AZE,AZE.5_1,BARL,0.1158,0.1942,0.1075,0.08814,0.09082,0.07895
AZE,AZE.6_1,BARL,0.2762,0.2239,0.2113,0.1942,0.1665,0.1439
AZE,AZE.7_1,BARL,0,0,0,0,0,0
AZE,AZE.8_1,BARL,0.06458,0.05039,0.04568,0.06489,0.06706,0.06673
AZE,AZE.9_1,BARL,0.1005,0.08094,0.07336,0.06543,0.05313,0.04284
BDI,BDI.1_1,BARL,0,0,0,0,0,0
BDI,BDI.6_1,BARL,0.08632,0.1024,0.1088,0.1052,0.1463,0.1374
BEL,BEL.2_1,BARL,0.06434,0.07141,0.06324,0.05985,0.08153,0.07165
BEL,BEL.3_1,BARL,0.08077,0.0837,0.0617,0.05295,0.0631,0.04858
BGD,BGD.3_1,BARL,0.4758,0.221,0.1311,0.06733,0.01466,0.00235
BGD,BGD.5_1,BARL,0.1082,0.05727,0.04168,0.03169,0.01839,0.01254
BGD,BGD.8_1,BARL,0.5054,0.2408,0.1491,0.08932,0.02312,0
BGR,BGR.10_1,BARL,0.007872,0.03756,0.0403,0.03076,0.02295,0.02321
BGR,BGR.11_1,BARL,0.07245,0.05375,0.05556,0.06001,0.04186,0.04313
BGR,BGR.12_1,BARL,0.0342,0.02591,0.02739,0.02005,0.01348,0.01363
BGR,BGR.13_1,BARL,0.01633,0.02026,0.02138,0.01589,0.02347,0.03833
BGR,BGR.14_1,BARL,0.01627,0.01169,0.01324,0.009811,0.007486,0.007451
BGR,BGR.15_1,BARL,0.01298,0.01839,0.01958,0.01444,0.009814,0.01113
BGR,BGR.16_1,BARL,0.169,0.1146,0.1752,0.1332,0.1058,0.1093
BGR,BGR.17_1,BARL,0.01733,0.01991,0.02099,0.01587,0.01094,0.01116
BGR,BGR.18_1,BARL,0.02522,0.01796,0.02495,0.01817,0.01231,0.01218
BGR,BGR.19_1,BARL,0.07663,0.0562,0.0572,0.04001,0.02604,0.02471
BGR,BGR.1_1,BARL,0.1322,0.08613,0.07494,0.04642,0.04708,0.04142
BGR,BGR.20_1,BARL,0,0,0,0,0,0
BGR,BGR.21_1,BARL,0.0948,0.06459,0.05965,0.03682,0.02042,0.01845
BGR,BGR.22_1,BARL,0.03691,0.02644,0.0322,0.02302,0.01498,0.0148
BGR,BGR.23_1,BARL,0,0,0,0,0,0
BGR,BGR.24_1,BARL,0.006613,0.01034,0.01285,0.009864,0.006676,0.006813
BGR,BGR.25_1,BARL,0.01361,0.009518,0.0126,0.008963,0.01204,0.02117
BGR,BGR.26_1,BARL,0.3055,0.2428,0.268,0.2031,0.1605,0.1566
BGR,BGR.27_1,BARL,0.05475,0.03847,0.04016,0.0293,0.02006,0.01988
BGR,BGR.28_1,BARL,0.026,0.01903,0.01945,0.01377,0.01236,0.01241
BGR,BGR.2_1,BARL,0.02389,0.01696,0.01778,0.0128,0.008313,0.009099
BGR,BGR.3_1,BARL,4.664e-4,3.089e-4,2.872e-4,1.867e-4,1.101e-4,9.186e-5
BGR,BGR.4_1,BARL,0.003739,9.95e-4,0,0,0,0
BGR,BGR.5_1,BARL,0.009207,0.006957,0.007336,0.01185,0.01017,0.208
BGR,BGR.6_1,BARL,0.05447,0.03793,0.03666,0.02838,0.02453,0.02401
BGR,BGR.7_1,BARL,2.749,2.071,2.164,1.565,1.043,1.043
BGR,BGR.8_1,BARL,0.5992,0.4218,0.4112,0.275,0.1648,0.1399
BGR,BGR.9_1,BARL,0.01594,0.01037,0.009247,0.005811,0.003096,0.00234
BIH,BIH.1_1,BARL,0.2412,0.2754,0.253,0.3096,0.2781,0.255
BIH,BIH.2_1,BARL,0.3095,0.2999,0.2695,0.2895,0.3785,0.3603
BIH,BIH.3_1,BARL,0.2148,0.21560000000000001,0.2005,0.2248,0.1995,0.1752
BLR,BLR.1_1,BARL,0.2096,0.2663,0.1761,0.2193,0.215,0.1888
BLR,BLR.2_1,BARL,0.1029,0.1106,0.06731,0.07242,0.06214,0.04695
BLR,BLR.3_1,BARL,0.2755,0.3125,0.2,0.2296,0.2077,0.1666
BLR,BLR.4_1,BARL,0.0781,0.08814,0.05831,0.06639,0.06067,0.0508
BLR,BLR.5_1,BARL,0.1327,0.1446,0.08709,0.09274,0.07374,0.04923
BLR,BLR.6_1,BARL,0.6019,0.7014,0.4594,0.54,0.5043,0.4175
BLR,BLR.7_1,BARL,0.02744,0.02639,0.01684,0.01616,0.01291,0.01024
BOL,BOL.1_1,BARL,47.83,49.86,56.8,57.73,58.26,57.34
BOL,BOL.2_1,BARL,79.17,84.84,90.06,92.79,96.01,102.1
BOL,BOL.3_1,BARL,138.4,145.3,167,176,186.2,194.5
BOL,BOL.4_1,BARL,29.52,26.31,24.08,23.97,23.6,22.36
BOL,BOL.7_1,BARL,2.225,2.059,1.894,1.73,1.571,1.47
BOL,BOL.8_1,BARL,33.2,33.18,36,35.67,35.42,34.75
BOL,BOL.9_1,BARL,24.67,26.88,33.17,35.46,36.85,38.67
BRA,BRA.13_1,BARL,4.498,3.937,3.662,5.775,4.915,4.978
BRA,BRA.16_1,BARL,1.963,1.885,1.745,2.461,2.138,2.15
BRA,BRA.21_1,BARL,0.6126,0.57,0.4986,0.6915,0.5894,0.583
BRA,BRA.24_1,BARL,8.405,6.795,6.083,10.7,9.149,9.07
BRA,BRA.25_1,BARL,0.4737,0.4585,0.4114,0.5967,0.5255,0.5242
BRA,BRA.7_1,BARL,0.4436,0.3681,0.4444,0.626,0.6175,0.714
BRA,BRA.9_1,BARL,17.82,11.35,7.091,7.208,4.637,4.922
BTN,BTN.10_1,BARL,9.934,17.91,35.06,39,36.32,32.75
BTN,BTN.12_1,BARL,23.84,35.16,47.24,56.07,60.87,71.02
BTN,BTN.14_1,BARL,0.5974,0.7204,260.4,293.1,272.7,242.1
BTN,BTN.17_1,BARL,118.4,144.2,185.5,202.2,187.1,159.1
BTN,BTN.18_1,BARL,31.84,40.69,52.13,56.18,49.66,41
BTN,BTN.2_1,BARL,47.56,72.93,115.8,148.1,186.6,200.7
BTN,BTN.3_1,BARL,68.01,99.28,139.1,166.9,177.9,159
BTN,BTN.4_1,BARL,72.67,88.89,130.1,144.3,130.7,112.4
BTN,BTN.5_1,BARL,0,0,0,0,0,0
BTN,BTN.8_1,BARL,54.8,68.23,116.4,179.7,167.8,147.2
BWA,BWA.11_1,BARL,0.8672,0.7938,0.7016,3.48,3.712,4.086
BWA,BWA.1_1,BARL,3.895,3.585,3.19,2.781,4.179,3.708
BWA,BWA.2_1,BARL,2.948,2.759,2.505,2.24,2.023,1.782
CAF,CAF.3_1,BARL,5.505,5.939,7.513,7.758,13.72,16.66
CAF,CAF.6_1,BARL,10.6,9.949,8.828,10.56,10.86,21.15
CAF,CAF.7_1,BARL,89.88,109.9,118,130,136.9,155.7
CAN,CAN.10_1,BARL,0.2065,0.3305,0.21,0.225,0.2274,0.2087
CAN,CAN.11_1,BARL,0.7118,0.9702,0.5697,0.5355,0.4787,0.3584
CAN,CAN.12_1,BARL,0.2313,0.4062,0.2856,0.3104,0.3344,0.309
CAN,CAN.1_1,BARL,0.715,1.107,0.7348,0.7728,0.785,0.7015
CAN,CAN.2_1,BARL,0.6585,1.046,0.6921,0.7566,0.7762,0.7041
CAN,CAN.3_1,BARL,0.1475,0.2677,0.1961,0.2201,0.2489,0.2406
CAN,CAN.4_1,BARL,0.9882,1.404,0.8827,0.8403,0.8965,0.7904
CAN,CAN.7_1,BARL,1.901,2.689,1.62,1.518,1.497,1.324
CAN,CAN.9_1,BARL,0.5521,0.8098,0.5202,0.5228,0.5136,0.4328
CHE,CHE.10_1,BARL,0,0,0,0,0,0
CHE,CHE.11_1,BARL,0.2572,0.2163,0.2256,0.1999,0.2343,0.2031
CHE,CHE.12_1,BARL,0.01341,0.01418,0.01225,0.01272,0.0166,0.0134
CHE,CHE.13_1,BARL,0.03942,0.01193,0,0,0.2729,0.2418
CHE,CHE.16_1,BARL,0.1143,0.1168,0.09682,0.09568,0.1168,0.08619
CHE,CHE.1_1,BARL,0.0545,0.05597,0.04665,0.04643,0.05714,0.04265
CHE,CHE.20_1,BARL,0.01961,0.01961,0.01601,0.01551,0.01858,0.01361
CHE,CHE.21_1,BARL,1.026,0.979,0.8506,0.7553,0.8907,1.445
CHE,CHE.23_1,BARL,0.1106,0.1153,0.09792,0.1784,0.2315,0.2365
CHE,CHE.24_1,BARL,0.04753,0.05034,0.04374,0.04631,0.06022,0.04811
CHE,CHE.25_1,BARL,0.02878,0.03428,0.02864,0.02858,0.0536,0.04582
CHE,CHE.6_1,BARL,0.07485,0.07695,0.06424,0.06405,0.079,0.05904
CHE,CHE.7_1,BARL,0.03224,0.03349,0.02831,0.02867,0.03607,0.03237
CHE,CHE.8_1,BARL,0,0,0,0,0,0
CHL,CHL.10_1,BARL,1.33,1.604,2.332,1.677,1.343,1.521
CHL,CHL.12_1,BARL,0.1472,0.1852,0.263,0.1881,0.1469,0.1631
CHL,CHL.13_1,BARL,0.1786,0.2106,0.2808,0.2075,0.1514,0.1579
CHL,CHL.14_1,BARL,0.3447,0.4025,0.5646,0.3848,0.2866,0.331
CHL,CHL.16_1,BARL,3.994,5.409,9.038,6.707,5.286,6.034
CHL,CHL.1_1,BARL,0,0,0,0,0,0
CHL,CHL.3_1,BARL,0.2016,0.2424,0.3395,0.2303,0.1755,0.1971
CHL,CHL.6_1,BARL,0.4014,0.4748,0.6739,0.4859,0.3704,0.4173
CHL,CHL.7_1,BARL,56.84,43.72,33.56,10.64,2.528,2.369e-16
CHL,CHL.8_1,BARL,0.3522,0.3853,0.5074,0.3505,0.2655,0.3051
CHL,CHL.9_1,BARL,0.8529,1.125,1.734,1.241,0.9719,1.128
CHN,CHN.10_1,BARL,0.06622,0.09227,0.0969,0.09308,0.09065,0.09211
CHN,CHN.11_1,BARL,0.9551,0.7258,0.4784,0.3078,0.1899,0.1357
CHN,CHN.12_1,BARL,0.0144,0.02596,0.03114,0.03698,0.04313,0.05568
CHN,CHN.13_1,BARL,0.4474,0.4657,0.5028,0.5883,0.766,0.9628
CHN,CHN.14_1,BARL,1.801,1.835,1.823,1.765,1.815,1.827
CHN,CHN.15_1,BARL,0.008111,0.007119,0.006073,0.005199,0.004904,0.004565
