GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,AFG.13_1,RICE,0,0,0,0,0,0
AFG,AFG.14_1,RICE,0,0,0,0,0,0
AFG,AFG.19_1,RICE,0.03528,0.02745,0.0221,0.01609,0.01023,0.006971
AFG,AFG.1_1,RICE,0,0,0,0,0,0
AFG,AFG.20_1,RICE,0,0,0,0,0,0
AFG,AFG.22_1,RICE,0,0,0,0.001161,0.002866,0.002832
AFG,AFG.2_1,RICE,0.1697,0.01119,0.003084,0.001136,9.207e-4,6.884e-4
AFG,AFG.30_1,RICE,0,0,0,0.3682,0.3248,0.3204
AFG,AFG.31_1,RICE,0.0392,0.03254,0.02677,0.02009,0.01363,0.01047
AFG,AFG.32_1,RICE,0,0,0,0,0.07854,0.0777
AFG,AFG.3_1,RICE,0.002981,0.002179,0.001394,6.054e-4,9.913e-5,0
AFG,AFG.4_1,RICE,0,0,0,0,2.753e-4,4.095e-4
AGO,AGO.10_1,RICE,403.1,356.1,305.6,68.07,45.4,41.02
AGO,AGO.12_1,RICE,15.45,15.26,14.49,3.759,3.035,3.816
AGO,AGO.13_1,RICE,36.37,32.8,28.67,6.625,4.659,4.576
AGO,AGO.14_1,RICE,18.83,18.74,18.03,4.779,4.117,5.307
AGO,AGO.15_1,RICE,21.66,21.62,21.86,5.827,4.838,5.866
AGO,AGO.17_1,RICE,17.58,18.86,18.46,4.991,4.001,4.72
AGO,AGO.18_1,RICE,3.434,3.116,2.822,1.384,1.014,0.9714
AGO,AGO.1_1,RICE,67.2,57.76,48.71,10.62,6.922,6.101
AGO,AGO.3_1,RICE,26.19,25.52,24.54,6.165,4.831,5.511
AGO,AGO.4_1,RICE,75.59,58.9,44.49,35.04,27.46,25.82
AGO,AGO.5_1,RICE,11.76,12.67,13.2,3.656,3.167,3.935
AGO,AGO.6_1,RICE,11.52,12.13,12.9,3.549,2.756,3.995
AGO,AGO.7_1,RICE,0.1177,0.3829,0.4326,0.1075,0.1348,0.1491
AGO,AGO.8_1,RICE,0,0,0,0,0,0
AGO,AGO.9_1,RICE,413.3,373.3,327.4,75.01,51.86,49.95
ALB,ALB.2_1,RICE,0.4214,0.3945,0.3548,0.3005,0.2849,0.2415
ARG,ARG.14_1,RICE,11.89,11.04,12.24,10.95,8.988,8.222
ARG,ARG.17_1,RICE,16.97,13.04,9.509,6.544,4.25,2.833
ARG,ARG.21_1,RICE,0.435,0.3159,0.318,0.2738,0.1986,0.1528
