GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,AFG.19_1,SORG,1.124,0.6902,0.6841,0.3496,0.1152,0
AFG,AFG.31_1,SORG,0.3288,0.1857,0.1647,0.08845,0.05934,0.04059
AGO,AGO.10_1,SORG,53.28,57.59,55.13,54.35,50.91,53.32
AGO,AGO.11_1,SORG,2.456,2.54,2.888,2.61,2.253,2.214
AGO,AGO.12_1,SORG,1.299,0.7324,0.3287,0.08662,0.02013,0
AGO,AGO.13_1,SORG,14.5,15.19,15.15,16.23,15.94,16.78
AGO,AGO.14_1,SORG,45.21,41.17,35.46,30.11,23.8,19.57
AGO,AGO.15_1,SORG,111.3,120.3,126.2,131,130.3,141.7
AGO,AGO.16_1,SORG,10.09,11.61,12.16,12.35,12.41,13.24
AGO,AGO.18_1,SORG,110.8,79.29,55.76,36.7,24.57,21.38
AGO,AGO.1_1,SORG,54.09,56.26,53.09,52.25,52.61,65.87
AGO,AGO.2_1,SORG,21.86,22.85,21.77,21.75,21.99,24.51
AGO,AGO.3_1,SORG,29.68,31.53,31.6,31.32,30.07,31.8
AGO,AGO.5_1,SORG,44.9,48.36,48.51,48.01,47.33,51.18
AGO,AGO.6_1,SORG,58520,52150,43460,35740,27250,21100
AGO,AGO.7_1,SORG,118.7,117.9,110.6,103.6,93.24,91.23
AGO,AGO.8_1,SORG,45.34,54.71,54.3,64.16,68.29,83.61
AGO,AGO.9_1,SORG,134.2,120.1,100.6,83.55,64.69,51.45
ALB,ALB.2_1,SORG,1.91,1.741,1.566,1.407,1.241,1.075
ALB,ALB.7_1,SORG,0,0,0,0,0,0
ARE,ARE.1_1,SORG,0,0,0,0,0,0
ARG,ARG.10_1,SORG,4.954,2.676,3.284,6.202,4.032,4.338
ARG,ARG.11_1,SORG,0.01656,0.007725,0.007333,0.01031,0.004879,0.0035
ARG,ARG.14_1,SORG,12.47,11.38,24.56,17.72,13.44,12.28
ARG,ARG.16_1,SORG,0.374,0.2784,0.3743,0.7103,0.5418,0.5565
ARG,ARG.17_1,SORG,12.13,6.692,7.71,13.62,8.661,9.85
ARG,ARG.19_1,SORG,0.0433,0.02023,0.01913,0.02748,0.01445,0.01288
ARG,ARG.1_1,SORG,0.1421,0.06561,0.06216,0.08994,0.04432,0.03515
ARG,ARG.21_1,SORG,0.1268,0.05667,0.05296,0.07654,0.03907,0.03363
ARG,ARG.22_1,SORG,1.277,0.6158,0.6061,0.9046,0.4777,0.4187
ARG,ARG.24_1,SORG,0.9799,0.4832,0.4885,0.747,0.407,0.3652
ARG,ARG.2_1,SORG,0.6024,0.3249,0.3805,0.6238,0.394,0.4105
ARG,ARG.3_1,SORG,1.079,0.5689,0.6438,1.165,0.7327,0.7396
ARG,ARG.6_1,SORG,0.1395,0.06765,0.06672,0.1009,0.05307,0.04585
ARG,ARG.7_1,SORG,5.419,2.881,3.321,6.083,4.058,5.571
ARG,ARG.8_1,SORG,0.2147,0.1038,0.1037,0.1632,0.08881,0.08145
ARG,ARG.9_1,SORG,4.605,2.549,2.995,5.017,3.037,3.225
AUS,AUS.10_1,SORG,4.747,1.189,0.701,0.7605,0.7076,0.7096
AUS,AUS.11_1,SORG,0.1847,0.04838,0.03537,0.08302,0.1758,0.294
AUS,AUS.5_1,SORG,0.2773,0.06381,0.04077,0.04351,0.04066,0.04217
AUS,AUS.6_1,SORG,0.3133,0.06948,0.03916,0.04119,0.03554,0.03429
AUS,AUS.7_1,SORG,0.09175,0.02257,0.01453,0.01627,0.01454,0.01469
AUS,AUS.8_1,SORG,0.2995,0.06417,0.03418,0.03236,0.02464,0.01955
AUT,AUT.1_1,SORG,0.2039,0.2079,0.2737,0.1775,0.1671,0.1619
AUT,AUT.2_1,SORG,0.5306,0.5374,0.6993,0.4471,0.5705,0.5541
AUT,AUT.3_1,SORG,0.2689,0.2912,0.3939,0.2763,0.2565,0.288
AUT,AUT.4_1,SORG,0.224,0.2217,0.2807,0.1735,0.1553,0.1408
AUT,AUT.6_1,SORG,1.283,1.38,1.871,1.227,1.285,1.377
AUT,AUT.9_1,SORG,2.208,2.231,2.896,1.845,1.716,1.634
AZE,AZE.2_1,SORG,0.02112,0.04477,0.05218,0.09045,0.06689,0.04795
AZE,AZE.3_1,SORG,0,0,0,0,0,0
AZE,AZE.9_1,SORG,1.67,3.64,4.875,18.67,26.48,20.88
BDI,BDI.10_1,SORG,0.2379,0.1822,0.1529,0.1265,0.08507,0.06873
BDI,BDI.11_1,SORG,0.8086,0.7159,0.6708,0.6587,0.5208,0.5083
BDI,BDI.12_1,SORG,4.926,3.814,3.238,2.671,1.762,1.396
BDI,BDI.13_1,SORG,0.3415,0.2528,0.209,0.1683,0.1096,0.08645
BDI,BDI.14_1,SORG,4.767,3.656,3.095,2.551,1.683,1.319
BDI,BDI.15_1,SORG,0.2077,0.1997,0.1974,0.194,0.1502,0.1496
