GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,AFG.14_1,SUNF,0,0,0,0,0,0
AFG,AFG.16_1,SUNF,0,0,0,0,0,0
AFG,AFG.19_1,SUNF,0.3431,0.1492,0.08318,0.03144,0.008483,0.003535
AFG,AFG.1_1,SUNF,0,0,0,0,0,0
AFG,AFG.20_1,SUNF,0,0,0,0,0,0
AFG,AFG.21_1,SUNF,0,0,0,0,0,0
AFG,AFG.22_1,SUNF,0,0,0,0,0,0
AFG,AFG.23_1,SUNF,0,0,0,0,0,0
AFG,AFG.27_1,SUNF,0,0,0,0,0,0
AFG,AFG.28_1,SUNF,0,0,0,0,0,0
AFG,AFG.29_1,SUNF,2.682,0.4917,0,0,0,0
AFG,AFG.30_1,SUNF,0,0,0,0,0,0
AFG,AFG.31_1,SUNF,0.1886,0.09663,0.05555,0.02208,0.007503,0.004515
AFG,AFG.32_1,SUNF,0,0,0,0,0,0
AFG,AFG.34_1,SUNF,0,0,0,0,0,0
AFG,AFG.3_1,SUNF,0,0.01087,0.009478,0.006401,0.005573,0.005933
AFG,AFG.4_1,SUNF,0,0,0,2.058e-4,0.007109,0.009694
AFG,AFG.9_1,SUNF,0,0,0,0,0,0
AGO,AGO.10_1,SUNF,11.24,11.82,11.64,11.64,11.51,11.96
AGO,AGO.11_1,SUNF,0.8883,0.8829,1.012,0.9197,0.8353,0.8018
AGO,AGO.12_1,SUNF,20.21,21.69,22.23,23.85,25.52,29.91
AGO,AGO.13_1,SUNF,13.9,14.07,13.84,14.34,14.57,15.52
AGO,AGO.14_1,SUNF,19.55,19.73,19.29,19.59,20.39,22.16
AGO,AGO.15_1,SUNF,57.84,61.05,65.62,69.01,72.25,77.44
AGO,AGO.16_1,SUNF,24.68,19.04,14.13,9.725,6.55,5.766
AGO,AGO.17_1,SUNF,48.47,57.89,60.98,65.77,68.53,71.95
AGO,AGO.18_1,SUNF,28.5,27.99,28.63,29.07,28.65,29.48
AGO,AGO.1_1,SUNF,13.52,13.35,12.74,12.83,13.38,16.56
AGO,AGO.2_1,SUNF,11.78,11.87,11.51,11.52,12.05,13.07
AGO,AGO.3_1,SUNF,22.09,23.64,25.08,25.97,26.96,28.82
AGO,AGO.4_1,SUNF,20.06,20.24,19.77,21.01,20.29,20.8
AGO,AGO.5_1,SUNF,42.32,44.64,45.99,45.95,47.45,49.98
AGO,AGO.6_1,SUNF,41.55,45.35,45.54,45.44,46.46,55.76
AGO,AGO.7_1,SUNF,16.49,15.7,14.97,14.39,13.99,14.16
AGO,AGO.8_1,SUNF,2.468,3.054,3.038,3.234,3.311,3.629
AGO,AGO.9_1,SUNF,9.187,9.325,9.362,9.438,9.44,9.82
ALB,ALB.12_1,SUNF,0.3283,0.465,0.5633,0.6343,0.4244,0.4973
ALB,ALB.1_1,SUNF,0.4864,0.7286,0.8278,0.8222,0.5444,0.6265
ALB,ALB.2_1,SUNF,1.269,1.272,0.6474,0.9573,0.941,0.6841
ALB,ALB.4_1,SUNF,0,0,0,0,0,0
ALB,ALB.5_1,SUNF,0.4858,0.6655,0.7461,0.7599,0.4812,0.5523
ALB,ALB.6_1,SUNF,0.2516,0.365,0.3966,0.374,0.2267,0.2462
ALB,ALB.7_1,SUNF,0.29,0.3059,0.2975,0.3516,0.2377,0.2299
ARG,ARG.10_1,SUNF,46.57,38.49,28.87,21.69,25.88,21.35
ARG,ARG.11_1,SUNF,0.01151,0.009819,0.00671,0.004564,0.004849,0.003707
