GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,AFG.19_1,TOBA,2.958,1.56,1.17,0.06239,0,0
AFG,AFG.31_1,TOBA,1.057,0.4812,0.3357,0.02021,0.003935,0
AGO,AGO.10_1,TOBA,9.573,9.572,9.841,10.37,10.53,10.84
AGO,AGO.12_1,TOBA,56.21,46.66,38.33,31.01,25.17,22.19
AGO,AGO.13_1,TOBA,31.3,23.49,16.71,11.3,7.606,6.44
AGO,AGO.14_1,TOBA,15.49,15.66,15.45,15.86,16.7,18.32
AGO,AGO.15_1,TOBA,36.47,39.24,43.35,46.1,48.89,52.43
AGO,AGO.17_1,TOBA,13.91,9.524,6.914,4.713,3.135,2.165
AGO,AGO.18_1,TOBA,93.86,54.91,33.64,13.69,3.191,1.85
AGO,AGO.1_1,TOBA,3.3,2.989,2.887,2.596,2.328,2.248
AGO,AGO.2_1,TOBA,9.697,10.06,10.17,10.23,10.5,11.1
AGO,AGO.3_1,TOBA,16.62,16.45,16.42,16.18,16.31,17.1
AGO,AGO.4_1,TOBA,209,192.9,191.3,232.9,226.2,215.6
AGO,AGO.5_1,TOBA,15.4,16.06,16.48,16.42,16.93,17.76
AGO,AGO.6_1,TOBA,22.27,24.7,25.09,24.94,25.39,30.57
AGO,AGO.7_1,TOBA,9.125,8.422,7.718,6.989,6.361,5.879
AGO,AGO.8_1,TOBA,2.219,0.299,0.2421,0.1823,0.1236,0.07068
AGO,AGO.9_1,TOBA,6.337,6.538,6.796,7.065,7.269,7.673
ALB,ALB.10_1,TOBA,0.05779,0.05081,0.04504,0.03911,0.033,0.02701
ALB,ALB.11_1,TOBA,0.007045,0.004052,0.001766,4.696e-4,2.118e-5,0
ALB,ALB.2_1,TOBA,0.6945,0.6779,0.5718,0.5576,0.481,0.4131
ALB,ALB.3_1,TOBA,0.1563,0.09907,0.05432,0.01993,6.931e-4,0
ALB,ALB.9_1,TOBA,0,0,0.03651,0.0362,0.03155,0.03093
ARE,ARE.1_1,TOBA,0,0,0,0,0,0
ARG,ARG.10_1,TOBA,6.458,6.402,6.72,6.909,8.501,8.408
ARG,ARG.12_1,TOBA,0,0,0,0,0,0
ARG,ARG.14_1,TOBA,75.29,76.93,81.74,81.25,84.16,77.34
ARG,ARG.17_1,TOBA,4.385,4.107,4.279,4.123,4.087,3.7
ARG,ARG.21_1,TOBA,4.095,3.691,3.389,2.939,2.517,1.759
ARG,ARG.22_1,TOBA,5.308,3.876,2.539,1.27,0.4458,0.08164
ARG,ARG.24_1,TOBA,0.2479,0.2011,0.1651,0.1281,0.1065,0.09737
ARG,ARG.2_1,TOBA,2.458,1.757,1.17,0.6433,0.2963,0.1158
ARG,ARG.3_1,TOBA,0.3688,0.3427,0.3293,0.2944,0.2639,0.1965
ARG,ARG.7_1,TOBA,7.796,7.578,7.432,7.669,7.753,8.183
ARG,ARG.9_1,TOBA,0.8341,0.7372,0.6901,0.5786,0.4752,0.3071
ARM,ARM.1_1,TOBA,2.798,1.737,1.62,1.263,1.137,0.9201
ARM,ARM.2_1,TOBA,0,0,0,0.01063,0.01073,0.01004
ARM,ARM.3_1,TOBA,0,0,0,0,0,0
AUS,AUS.10_1,TOBA,263,219.4,179.5,142.7,108.7,77.74
AUS,AUS.7_1,TOBA,507.1,437.3,367.6,298.2,229,160
AUT,AUT.8_1,TOBA,0.2013,0.196,0.1881,0.1748,0.1742,0.154
AZE,AZE.10_1,TOBA,0,0,0,0,0,0
AZE,AZE.2_1,TOBA,0.03961,0.03809,0.04224,0.02908,0.04272,0.0464
AZE,AZE.3_1,TOBA,0,0,0,0,0,0
AZE,AZE.4_1,TOBA,0,0,0,0,0,0
AZE,AZE.5_1,TOBA,0,0,0,0,0,0
AZE,AZE.6_1,TOBA,1.485,1.004,0.5187,0.1031,0.07584,0.07313
