GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,AFG.13_1,TROF,0,0,0,0,0,0
AFG,AFG.14_1,TROF,0,0,0,0,0,0
AFG,AFG.16_1,TROF,0,0,0,0,0,0.2972
AFG,AFG.18_1,TROF,0,0,0,0,0,0
AFG,AFG.19_1,TROF,0.009328,0.008004,0.006722,0.005439,0.004157,0.003
AFG,AFG.1_1,TROF,0,0,0,0,0.3552,0.3369
AFG,AFG.20_1,TROF,0,0,0,3.664e-4,3.476e-4,0.005841
AFG,AFG.21_1,TROF,0,0,0,0,0.02008,0.02479
AFG,AFG.24_1,TROF,0.7002,0.6081,0.5161,0.4241,0.3321,0.2401
AFG,AFG.28_1,TROF,0,0,0,0,0,0
AFG,AFG.29_1,TROF,2.759,2.392,2.024,1.656,1.288,0.9198
AFG,AFG.2_1,TROF,0.03829,0.008079,0.005922,0.004756,0.003807,0.002858
AFG,AFG.30_1,TROF,0,0,0,0,0.009055,0.008591
AFG,AFG.31_1,TROF,0.005692,0.004997,0.004305,0.003636,0.003424,0.002801
AFG,AFG.32_1,TROF,0,0,0,0,0,0
AFG,AFG.34_1,TROF,0,0,0,0,0,0
AFG,AFG.3_1,TROF,5.259e-5,5.954e-4,5.604e-4,5.254e-4,0.008769,0.008343
AFG,AFG.8_1,TROF,0,0,0,0,0,0
AFG,AFG.9_1,TROF,0,0,0,0,0,0
AGO,AGO.10_1,TROF,2.064,2.199,2.194,2.219,2.203,2.251
AGO,AGO.11_1,TROF,0.2737,0.2369,0.201,0.1659,0.1312,0.09666
AGO,AGO.12_1,TROF,6.119,6.373,6.52,7.277,8.089,9.516
AGO,AGO.13_1,TROF,1.947,1.948,1.955,2.029,2.09,2.224
AGO,AGO.14_1,TROF,1.333,1.369,1.372,1.411,1.494,1.611
AGO,AGO.15_1,TROF,7.894,7.315,6.813,6.256,5.704,5.228
AGO,AGO.16_1,TROF,1.022,1.365,1.647,1.676,1.712,1.897
AGO,AGO.17_1,TROF,3.568,4.145,4.366,4.687,4.866,5.089
AGO,AGO.18_1,TROF,0.9582,0.9508,0.9868,1.016,1.009,1.033
AGO,AGO.1_1,TROF,1.448,1.471,1.45,1.551,1.636,1.873
AGO,AGO.2_1,TROF,0.5571,0.5872,0.5718,0.5753,0.6013,0.632
AGO,AGO.3_1,TROF,1.334,1.408,1.464,1.517,1.592,1.732
AGO,AGO.4_1,TROF,1.26,1.288,1.292,1.434,1.409,1.447
AGO,AGO.5_1,TROF,6.029,6.642,7.106,7.542,8.11,8.639
AGO,AGO.6_1,TROF,1.014,0.9931,0.9289,0.8576,0.7762,0.7834
AGO,AGO.7_1,TROF,0.1953,0.2126,0.2278,0.2488,0.2749,0.3188
AGO,AGO.8_1,TROF,1.57,1.446,1.264,1.1,0.9341,0.777
AGO,AGO.9_1,TROF,0.4688,0.5145,0.5557,0.6057,0.6463,0.7131
ALB,ALB.10_1,TROF,0.003399,0.003149,0.002902,0.002656,0.00241,0.00685
ALB,ALB.11_1,TROF,0.05829,0.05854,0.05819,0.05514,0.05639,0.05287
ALB,ALB.12_1,TROF,0.02064,0.02118,0.02153,0.02449,0.0248,0.02409
ALB,ALB.1_1,TROF,0.0366,0.03991,0.03856,0.03729,0.03758,0.03631
ALB,ALB.2_1,TROF,0.003908,0.003485,0.003063,0.002711,0.00243,0.002801
ALB,ALB.3_1,TROF,0.07674,0.09399,0.0893,0.08271,0.07924,0.08183
ALB,ALB.4_1,TROF,0.0362,0.03821,0.03594,0.03312,0.03338,0.03334
ALB,ALB.5_1,TROF,0.0269,0.02785,0.02669,0.02706,0.02621,0.02508
ALB,ALB.6_1,TROF,0.006831,0.007525,0.006975,0.006425,0.005876,0.005326
ALB,ALB.7_1,TROF,0.03484,0.02824,0.02305,0.0184,0.01458,0.0125
ALB,ALB.8_1,TROF,0.004184,0.002751,0.002397,0.002044,0.00175,0.001517
ALB,ALB.9_1,TROF,0.01371,0.02218,0.0373,0.0352,0.03311,0.03101
ARE,ARE.1_1,TROF,0,0,0,0,0,0
ARE,ARE.4_1,TROF,0,0,0,0,0,0
ARG,ARG.10_1,TROF,4.283,3.936,3.795,3.576,3.532,3.361
ARG,ARG.11_1,TROF,0.02115,0.01944,0.01773,0.0404,0.0393,0.03625
ARG,ARG.12_1,TROF,0.005127,0.004686,0.003894,0.003196,0.002589,0.002024
ARG,ARG.13_1,TROF,0.02443,0.02082,0.01729,0.01387,0.01058,0.007487
ARG,ARG.14_1,TROF,7.767,8.024,7.972,7.867,7.811,7.876
ARG,ARG.15_1,TROF,1.761,1.271,0.8461,0.5276,0.2794,0.1154
ARG,ARG.16_1,TROF,0.1845,0.16,0.1363,0.1139,0.0904,0.06741
ARG,ARG.17_1,TROF,4.355,3.92,3.464,2.967,2.539,2.215
ARG,ARG.18_1,TROF,0.04431,0.03331,0.02238,0.01216,0.006452,0.004734
ARG,ARG.19_1,TROF,0.04324,0.03856,0.03299,0.02745,0.02197,0.01657
ARG,ARG.1_1,TROF,3.389,3.374,3.148,2.894,2.729,3.292
ARG,ARG.21_1,TROF,4.701,4.493,4.862,5.264,5.619,7.091
ARG,ARG.22_1,TROF,1.947,1.71,1.451,1.204,1.004,0.8254
ARG,ARG.24_1,TROF,7.351,6.646,6.117,5.443,4.774,4.321
ARG,ARG.2_1,TROF,0.6247,0.5614,0.5283,0.4823,0.4237,0.371
ARG,ARG.3_1,TROF,5.135,4.302,3.493,2.706,1.997,1.39
ARG,ARG.6_1,TROF,2.912,2.754,2.555,2.355,2.149,1.951
ARG,ARG.7_1,TROF,52.18,51.38,49.98,49.67,51.78,49.19
ARG,ARG.8_1,TROF,72.79,71.93,71.53,75.69,76.35,76.84
ARG,ARG.9_1,TROF,1.825,1.728,1.612,1.527,1.4,1.324
ARM,ARM.10_1,TROF,0.8908,0.772,0.6626,0.5667,0.5199,0.4657
ARM,ARM.11_1,TROF,0,0,0,0,0,0
ARM,ARM.1_1,TROF,0.005817,0.005154,0.00452,0.003918,0.003315,0.002712
ARM,ARM.2_1,TROF,0,0,0,0,0,0
ARM,ARM.3_1,TROF,3.23e-4,6.626e-5,0,0,0,0
ARM,ARM.4_1,TROF,0,0,0,0,0,0
ARM,ARM.5_1,TROF,0.3863,0.346,0.3057,0.3159,0.3127,0.2725
ARM,ARM.6_1,TROF,0,0,0,0,0,0
ARM,ARM.7_1,TROF,1.01,1.005,0.9171,0.8297,0.7449,0.6978
ARM,ARM.8_1,TROF,0,0,0,0,0,0
ARM,ARM.9_1,TROF,0.01325,0.004721,2.291e-4,0,0,0
ATG,ATG.1_1,TROF,0.4742,0.4419,0.3747,0.3075,0.2403,0.173
ATG,ATG.3_1,TROF,0.05908,0.05144,0.0438,0.03616,0.02852,0.02088
ATG,ATG.4_1,TROF,0.2114,0.1814,0.1573,0.1347,0.1138,0.09442
ATG,ATG.5_1,TROF,0.1703,0.1412,0.1132,0.1497,0.1275,0.1118
ATG,ATG.6_1,TROF,1.105,1.079,1.549,1.462,1.399,1.302
ATG,ATG.7_1,TROF,1.458,1.413,1.319,1.418,1.32,1.254
ATG,ATG.8_1,TROF,0.07418,0.06369,0.0532,0.04271,0.03223,0.02174
AUS,AUS.10_1,TROF,0.8478,0.7606,0.67490000000000006,0.5934,0.5392,0.4899
AUS,AUS.11_1,TROF,1.616,1.616,1.631,1.617,1.755,1.699
AUS,AUS.2_1,TROF,115.5,108.8,102,95.28,88.53,81.78
AUS,AUS.5_1,TROF,14.41,15.98,16.64,16.58,17.38,17.52
AUS,AUS.6_1,TROF,0.9841,0.8723,0.7369,0.6282,0.5343,0.4602
AUS,AUS.7_1,TROF,0.3399,0.3259,0.29,0.2538,0.2165,0.1836
AUS,AUS.8_1,TROF,3.859,3.591,3.83,3.605,3.337,3.327
AUS,AUS.9_1,TROF,212.1,220.9,215.1,220.7,235.3,261.7
AUT,AUT.1_1,TROF,0.02119,0.0174,0.01496,0.01428,0.01315,0.01202
AUT,AUT.2_1,TROF,4.36,3.312,2.309,1.369,0.5084,0.09616
AUT,AUT.3_1,TROF,0.06292,0.06041,0.05701,0.0597,0.05569,0.05704
AUT,AUT.4_1,TROF,0.02852,0.02663,0.02989,0.02774,0.02559,0.024140000000000002
AUT,AUT.6_1,TROF,0.1378,0.1433,0.1469,0.1399,0.1627,0.1717
AUT,AUT.7_1,TROF,0,0,0,0,0,0
AUT,AUT.8_1,TROF,0,0,0,0,0,0
AUT,AUT.9_1,TROF,1.037,0.961,0.8854,0.8098,0.7342,0.6586
AZE,AZE.10_1,TROF,0.08004,0.06911,0.05878,0.04874,0.03929,0.03052
AZE,AZE.1_1,TROF,0.861,0.7189,0.6111,0.5356,0.4715,0.4149
AZE,AZE.2_1,TROF,0.04033,0.03226,0.02567,0.02001,0.0151,0.01094
AZE,AZE.3_1,TROF,0.06037,0.04815,0.038,0.03019,0.02352,0.01898
AZE,AZE.4_1,TROF,0.07933,0.06643,0.05433,0.0469,0.0367,0.03116
AZE,AZE.5_1,TROF,0.1346,0.1195,0.1043,0.08955,0.1015,0.08494
AZE,AZE.6_1,TROF,0.4521,0.3678,0.2951,0.2351,0.1784,0.1255
AZE,AZE.7_1,TROF,0,0,0,0,0,0
AZE,AZE.8_1,TROF,0.2113,0.1837,0.1585,0.1423,0.1238,0.1044
AZE,AZE.9_1,TROF,0.1434,0.1228,0.1024,0.09333,0.07351,0.05495
BDI,BDI.10_1,TROF,6.931e-5,6.377e-5,5.822e-5,5.268e-5,4.713e-5,0.002436
BDI,BDI.11_1,TROF,0.228,0.1963,0.1647,0.1331,0.1015,0.07001
BDI,BDI.13_1,TROF,0.09042,0.07986,0.0696,0.05951,0.04986,0.04154
BDI,BDI.15_1,TROF,0.009805,0.009135,0.008465,0.01693,0.02783,0.02608
BDI,BDI.16_1,TROF,0.9826,0.8547,0.7269,0.5991,0.4713,0.3435
BDI,BDI.17_1,TROF,0.09317,0.08099,0.0688,0.05661,0.04442,0.03223
BDI,BDI.1_1,TROF,0.01741,0.0128,0.00834,0.005303,0.003797,0.002662
BDI,BDI.5_1,TROF,0.02676,0.02311,0.01948,0.01588,0.01233,0.008839
BDI,BDI.6_1,TROF,0.08699,0.11,0.1231,0.1657,0.1788,0.1866
BDI,BDI.9_1,TROF,7075,9531,11080,14300,17590,18970
BEN,BEN.10_1,TROF,0.4197,0.3609,0.3035,0.248,0.1888,0.1324
BEN,BEN.11_1,TROF,0.5859,0.4983,0.4155,0.334,0.2542,0.177
BEN,BEN.12_1,TROF,0.04408,0.03701,0.05217,0.04781,0.04556,0.05107
BEN,BEN.1_1,TROF,1.369,1.617,1.979,2.095,2.34,3.01
BEN,BEN.2_1,TROF,7.134,5.98,4.927,4.022,3.165,2.346
BEN,BEN.3_1,TROF,0.336,0.3419,0.3404,0.3511,0.3512,0.3539
BEN,BEN.4_1,TROF,25.78,22.96,22.85,23.3,24,24
BEN,BEN.5_1,TROF,6.028,4.382,3.314,2.611,1.981,1.621
BEN,BEN.6_1,TROF,43.02,38.94,36.31,33.49,32.45,29.2
BEN,BEN.7_1,TROF,0.5112,0.655,0.6626,0.6467,0.6332,0.6347
BEN,BEN.9_1,TROF,0.4431,0.4861,0.5159,0.5915,0.6326,0.6692
BFA,BFA.10_1,TROF,0.003461,0.002981,0.002502,0.002022,0.001542,0.001194
BFA,BFA.11_1,TROF,0,0,0,0,0,0
BFA,BFA.12_1,TROF,0,0,0,0,0,0
BFA,BFA.13_1,TROF,0.2594,0.2383,0.2133,0.1938,0.1758,0.1656
BFA,BFA.1_1,TROF,0.01815,0.01686,0.01566,0.01457,0.01347,0.01247
BFA,BFA.2_1,TROF,0.1703,0.1561,0.1462,0.1426,0.1427,0.1287
BFA,BFA.3_1,TROF,0.006475,0.006952,0.00715,0.01802,0.05618,0.06328
BFA,BFA.4_1,TROF,0,0,0,0,4.023e-4,3.817e-4
BFA,BFA.5_1,TROF,0.02153,0.02019,0.02049,0.02625,0.0357,0.04787
BFA,BFA.6_1,TROF,0.01734,0.01585,0.01439,0.01295,0.01152,0.01031
BFA,BFA.7_1,TROF,0,0,0,0,0,0
BFA,BFA.8_1,TROF,0.02268,0.02331,0.02406,0.025,0.03464,0.05244
BFA,BFA.9_1,TROF,0.2072,0.1833,0.1602,0.1366,0.1139,0.09077
BGD,BGD.1_1,TROF,3.901e-4,0.006522,0.01129,0.01976,0.02616,0.02736
BGD,BGD.2_1,TROF,3.958,4.171,4.288,4.578,4.798,4.719
BGD,BGD.3_1,TROF,0.01576,0.01422,0.01353,0.0153,0.01628,0.0173
BGD,BGD.4_1,TROF,0.002538,0.003608,0.003624,0.007936,0.01208,0.01279
BGD,BGD.5_1,TROF,0.001679,0.001603,0.001904,0.001953,0.003382,0.003477
BGD,BGD.6_1,TROF,0.006634,0.005822,0.005349,0.004874,0.004537,0.004083
BGD,BGD.7_1,TROF,0.1913,0.2041,0.2258,0.2394,0.247,0.2601
BGD,BGD.8_1,TROF,0.05873,0.06324,0.06144,0.06576,0.06393,0.07044
BGR,BGR.10_1,TROF,0.00716,0.008856,0.007597,0.006454,0.005529,0.004907
BGR,BGR.11_1,TROF,0.03739,0.02973,0.02252,0.01705,0.01311,0.01143
BGR,BGR.12_1,TROF,0.001885,0.001741,0.001598,0.001472,0.001365,0.001257
BGR,BGR.13_1,TROF,0.006695,0.007396,0.007071,0.007284,0.006842,0.006804
BGR,BGR.14_1,TROF,0.005704,0.004913,0.004748,0.004424,0.00473,0.004443
BGR,BGR.15_1,TROF,0.03541,0.04352,0.04088,0.03883,0.03661,0.03893
BGR,BGR.16_1,TROF,0.02223,0.02108,0.02471,0.02314,0.02357,0.0216
BGR,BGR.17_1,TROF,0.0123,0.01415,0.01317,0.0304,0.02904,0.03534
BGR,BGR.18_1,TROF,0.0283,0.02558,0.02332,0.022,0.01901,0.01651
BGR,BGR.19_1,TROF,0.03569,0.03353,0.03072,0.02802,0.02506,0.02213
BGR,BGR.1_1,TROF,0.0424,0.03172,0.06099,0.08058,0.08236,0.07666
BGR,BGR.21_1,TROF,0.04212,0.03278,0.02349,0.01459,0.007035,0.003639
BGR,BGR.22_1,TROF,0.01223,0.01029,0.009909,0.008801,0.007894,0.0071590000000000004
BGR,BGR.23_1,TROF,0.01415,0.01327,0.0125,0.0117,0.01156,0.01165
BGR,BGR.24_1,TROF,0.006987,0.007986,0.00718,0.005993,0.00565,0.005259
BGR,BGR.25_1,TROF,0.01344,0.01273,0.01229,0.01212,0.01307,0.01616
BGR,BGR.26_1,TROF,0.002913,0.003243,0.002583,0.001923,0.001263,9.039e-4
BGR,BGR.27_1,TROF,0.02831,0.02591,0.02367,0.02177,0.01982,0.01779
BGR,BGR.28_1,TROF,0.005179,0.004145,0.003342,0.002586,0.002335,0.00193
BGR,BGR.2_1,TROF,0.005459,0.004518,0.004243,0.004888,0.00448,0.004106
BGR,BGR.3_1,TROF,0.02826,0.03715,0.07457,0.07912,0.0745,0.07204
BGR,BGR.4_1,TROF,0.06945,0.06362,0.05843,0.05292,0.05072,0.04613
BGR,BGR.5_1,TROF,0.005925,0.004287,0.002649,0.003112,0.003434,0.0636
BGR,BGR.6_1,TROF,0.04943,0.04479,0.0416,0.0385,0.03908,0.03808
BGR,BGR.7_1,TROF,0.001772,0.001266,7.595e-4,2.532e-4,0,0
BGR,BGR.8_1,TROF,0.06586,0.04762,0.03344,0.01926,0.008225,0.00357
BGR,BGR.9_1,TROF,0.01281,0.01104,0.009645,0.008649,0.007456,0.01105
BHR,BHR.4_1,TROF,0,0,0,0,0,0
BHS,BHS.16_1,TROF,0.02599,0.02391,0.02183,0.01975,0.01767,0.0156
BIH,BIH.1_1,TROF,0.059,0.06508,0.06205,0.05744,0.05283,0.04823
BIH,BIH.2_1,TROF,0.4567,0.4319,0.4114,0.3925,0.3577,0.326
BIH,BIH.3_1,TROF,0.06441,0.06703,0.0663,0.06765,0.06601,0.06093
BLR,BLR.1_1,TROF,0,0,0,0,0,0
BLR,BLR.2_1,TROF,0.1205,0.07465,0.02881,0.004411,0.00147,0
