GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,AFG.14_1,VEGE,0,0,0,0,0,0
AFG,AFG.16_1,VEGE,0,0,0,0,0,0
AFG,AFG.19_1,VEGE,0.05394,0.02934,0.01646,0.006876,0.001469,5.433e-6
AFG,AFG.1_1,VEGE,0,0,0,0,0,0
AFG,AFG.20_1,VEGE,0,0,0,0.002806,0.002662,0.04473
AFG,AFG.21_1,VEGE,0,0,0,0,0.02358,0.03811
AFG,AFG.23_1,VEGE,0,0,0,0,0,0
AFG,AFG.27_1,VEGE,0,0,0,0,0,0
AFG,AFG.28_1,VEGE,0,0,0,0,0,0
AFG,AFG.29_1,VEGE,0.0599,0.01944,0,0,0,0
AFG,AFG.30_1,VEGE,0,0,0,0.04525,0.04348,0.04113
AFG,AFG.31_1,VEGE,0.01062,0.007327,0.005201,0.003507,0.002478,0.002009
AFG,AFG.32_1,VEGE,0,0,0,0,0.02563,0.02431
AFG,AFG.34_1,VEGE,0,0,0,0,0,0
AFG,AFG.3_1,VEGE,0.003291,0.002875,0.001949,0.001138,6.817e-4,5.506e-4
AFG,AFG.4_1,VEGE,0,6.834e-4,6.483e-4,6.661e-4,0.00367,0.006766
AFG,AFG.9_1,VEGE,0,0,0,0,0,0
AGO,AGO.10_1,VEGE,74.91,72.79,68.35,64.57,59.74,55.22
AGO,AGO.11_1,VEGE,3.688,3.209,2.747,2.289,1.836,1.504
AGO,AGO.12_1,VEGE,2.62,2.077,1.6,1.235,0.9705,0.923
AGO,AGO.13_1,VEGE,1.513,1.194,0.9042,0.6891,0.5394,0.4964
AGO,AGO.14_1,VEGE,1.204,1.147,1.066,1.002,0.9596,0.9445
AGO,AGO.15_1,VEGE,1.82,1.917,2.059,2.171,2.277,2.43
AGO,AGO.16_1,VEGE,0.1316,0.129,0.1242,0.1165,0.1185,0.1146
AGO,AGO.17_1,VEGE,2.281,2.379,2.317,2.283,2.211,2.152
AGO,AGO.18_1,VEGE,1.722,1.583,1.52,1.481,1.43,1.491
AGO,AGO.1_1,VEGE,0.6123,0.5058,0.4458,0.4241,0.4311,0.4895
AGO,AGO.2_1,VEGE,208.3,195.7,180,167.9,160.3,157.1
AGO,AGO.3_1,VEGE,3.076,2.776,2.473,2.154,1.838,1.535
AGO,AGO.4_1,VEGE,62.42,50.2,41.42,39.57,34.67,32.8
AGO,AGO.5_1,VEGE,4.005,3.733,3.496,3.265,3.263,3.463
AGO,AGO.6_1,VEGE,67.75,60.73,53.25,45.65,38.31,31.72
AGO,AGO.7_1,VEGE,99.38,109.5,118.3,128.1,140.6,158.8
AGO,AGO.8_1,VEGE,3.652,3.111,2.585,2.096,1.641,1.204
AGO,AGO.9_1,VEGE,54.74,58.34,61.91,66.36,69.98,76.06
ALB,ALB.10_1,VEGE,0.0149,0.01338,0.0119,0.01042,0.008935,0.01173
ALB,ALB.11_1,VEGE,0.3346,0.2955,0.2566,0.2183,0.1808,0.1439
ALB,ALB.12_1,VEGE,0.001838,0.001531,0.001327,0.001181,0.001124,9.88e-4
ALB,ALB.1_1,VEGE,0.01206,0.01078,0.009328,0.008109,0.007256,0.00643
ALB,ALB.2_1,VEGE,0.03157,0.02827,0.02498,0.02179,0.01871,0.01563
ALB,ALB.3_1,VEGE,0.007398,0.005285,0.003215,0.001144,6.22e-5,9.931e-6
ALB,ALB.4_1,VEGE,0.04806,0.0321,0.01636,0.007455,0.005617,0.004066
ALB,ALB.5_1,VEGE,0.003078,0.002001,0.001505,0.001126,9.06e-4,0.001449
ALB,ALB.6_1,VEGE,0,0.001569,0.001488,0.001408,0.001327,0.001247
ALB,ALB.7_1,VEGE,0.2272,0.1664,0.1154,0.07111,0.0359,0.01898
ALB,ALB.8_1,VEGE,0.04818,0.03179,0.02772,0.02365,0.02026,0.01756
ALB,ALB.9_1,VEGE,0,0,0.004123,0.003912,0.0037,0.003489
ARE,ARE.1_1,VEGE,0,0,0,0,0,0
ARE,ARE.4_1,VEGE,0,0,0,0,0,0
ARG,ARG.10_1,VEGE,0.3663,0.3469,0.3372,0.3189,0.299,0.2786
ARG,ARG.11_1,VEGE,0.003202,0.002076,0.001514,0.001193,9.765e-4,0.001084
ARG,ARG.12_1,VEGE,0.5047,0.426,0.3483,0.2851,0.2198,0.1434
ARG,ARG.13_1,VEGE,0.06243,0.05087,0.04021,0.03059,0.02176,0.01453
ARG,ARG.14_1,VEGE,0.8155,0.8453,0.8352,0.8294,0.8304,0.8372
ARG,ARG.15_1,VEGE,0.2657,0.218,0.1731,0.1336,0.1007,0.08087
ARG,ARG.16_1,VEGE,0.1054,0.09121,0.08033,0.08111,0.06859,0.06062
ARG,ARG.17_1,VEGE,0.4338,0.3857,0.3437,0.296,0.2484,0.2015
ARG,ARG.18_1,VEGE,0.0182,0.01603,0.01247,0.009068,0.006286,0.004376
ARG,ARG.19_1,VEGE,0.02282,0.01964,0.01644,0.01357,0.01211,0.009633
ARG,ARG.1_1,VEGE,0.1677,0.1265,0.09439,0.06753,0.04622,0.03099
ARG,ARG.20_1,VEGE,0.07695,0.03893,0.01947,0.01793,0.0164,0.01486
ARG,ARG.21_1,VEGE,1.213,1.045,0.8826,0.7256,0.5743,0.4289
ARG,ARG.22_1,VEGE,0.2323,0.2016,0.1703,0.1421,0.1238,0.1208
ARG,ARG.24_1,VEGE,0.4592,0.404,0.3512,0.2969,0.2419,0.1873
ARG,ARG.2_1,VEGE,0.6059,0.4138,0.232,0.1068,0.05264,0.03204
ARG,ARG.3_1,VEGE,0.6758,0.6644,0.6814,0.7297,0.755,0.7154
ARG,ARG.4_1,VEGE,0.1353,0.1257,0.1167,0.1365,0.1572,0.1544
ARG,ARG.6_1,VEGE,0.1036,0.08863,0.07403,0.05982,0.04599,0.03248
ARG,ARG.7_1,VEGE,0.3699,0.3352,0.3038,0.2798,0.3237,0.3072
ARG,ARG.8_1,VEGE,2.579,2.241,1.912,1.585,1.26,0.9329
ARG,ARG.9_1,VEGE,1.026,1.007,0.9661,0.9178,0.857,0.8188
ARM,ARM.10_1,VEGE,0.1736,0.111,0.04922,0.01593,0.3339,0.6001
ARM,ARM.11_1,VEGE,0,0,0,0,0,0
ARM,ARM.1_1,VEGE,0.001938,6.459e-4,0,0,0,0
ARM,ARM.2_1,VEGE,0.002583,0.002156,0.001852,0.002468,0.002172,0.001903
ARM,ARM.3_1,VEGE,2.689e-4,5.515e-5,0,0,1.501e-4,1.424e-4
ARM,ARM.4_1,VEGE,0.1585,0.1132,0.06793,0.02264,0,0
ARM,ARM.5_1,VEGE,0.4745,0.4026,0.3341,0.269,0.2096,0.1464
ARM,ARM.6_1,VEGE,0,0,0,0,0,0
ARM,ARM.7_1,VEGE,0.5865,0.4984,0.3966,0.3277,0.284,0.2758
ARM,ARM.8_1,VEGE,0,0,0,0,0,0
ARM,ARM.9_1,VEGE,0.713,0.2904,0.06439,0.04613,0.03903,0.8612
ATG,ATG.1_1,VEGE,3.416,2.939,2.463,1.986,1.509,1.033
ATG,ATG.3_1,VEGE,0.09572,0.1279,0.3913,0.6373,0.6157,2.006
ATG,ATG.4_1,VEGE,0.07899,0.06195,0.04557,0.03243,0.02291,0.01662
ATG,ATG.5_1,VEGE,0.1402,0.09849,0.05929,0.02639,0.006245,0
ATG,ATG.6_1,VEGE,0.03096,0.02192,0.01506,0.009223,0.005597,0.003172
ATG,ATG.7_1,VEGE,4.633,4.662,4.402,4.131,4.106,3.771
ATG,ATG.8_1,VEGE,0.1278,0.1097,0.09166,0.07359,0.05552,0.03745
AUS,AUS.10_1,VEGE,0.2719,0.2423,0.2124,0.1865,0.1646,0.15
AUS,AUS.11_1,VEGE,0.4663,0.3443,0.2459,0.1844,0.1542,0.1391
AUS,AUS.5_1,VEGE,0.6436,0.6468,0.8212,0.8363,0.818,0.7997
AUS,AUS.6_1,VEGE,2.17,2.208,1.925,1.772,1.516,1.339
AUS,AUS.7_1,VEGE,0.05578,0.04987,0.04472,0.03899,0.03445,0.03431
AUS,AUS.8_1,VEGE,0.03733,0.03118,0.02571,0.02204,0.02062,0.01913
AUS,AUS.9_1,VEGE,593.5,488.3,394.5,334.9,281.1,230.7
AUT,AUT.1_1,VEGE,0.01363,0.01179,0.01001,0.008331,0.006719,0.005273
AUT,AUT.2_1,VEGE,0.4113,0.4116,0.3806,0.3601,0.3513,0.3447
AUT,AUT.3_1,VEGE,0.01243,0.01134,0.01025,0.01171,0.01107,0.01411
AUT,AUT.4_1,VEGE,0.05486,0.04958,0.04577,0.04056,0.0355,0.03126
AUT,AUT.5_1,VEGE,0.1576,0.148,0.1496,0.1345,0.129,0.1153
AUT,AUT.6_1,VEGE,0.2261,0.205,0.1813,0.1613,0.1443,0.1254
AUT,AUT.7_1,VEGE,0.2764,0.2242,0.1845,0.1586,0.1345,0.1157
