GID_0,GID_1,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,AFG.19_1,GROU,0.05099243238810035,0.03919192946477043,0.0289012323304187,0.01861053519606697,0.008319838061715242,0.0026362853888174187,2.8128422627437,2.8460840885595626,2.804716029487762,2.821213446512251,2.82400588235604,2.8207688191459477,0.01813,0.01377,0.0103,0.0065970000000000004,0.002946,9.346e-4
AFG,AFG.31_1,GROU,0.1136047213957309,0.09441069946637476,0.07646029667906033,0.06040610479326189,0.045995254154064205,0.0321139965628996,3.4512141007729533,3.49200012688991,3.4412436267188173,3.46148511662224,3.4649112930869626,3.4609395815040784,0.03292,0.02704,0.02222,0.01745,0.01327,0.009279
AGO,AGO.10_1,GROU,6929.289287061289,6995.330901080939,7099.879298072248,7485.604007837762,7485.146859046795,7640.718117464326,779.1527084363381,773.4336713400897,786.7920061634436,812.2250233232202,865.8601291321972,847.0001084521165,8.893,9.045,9.024,9.216,8.645,9.021
AGO,AGO.11_1,GROU,2.4102288754866366,2.3244405066832803,2.359306892690793,2.1546526831960175,1.9553674645788035,2.362505649646002,2.000611512243763,1.985926879398598,2.02022675173767,2.0855304930582323,2.223248053402976,2.1748216357249217,1.205,1.17,1.168,1.033,0.8795,1.086
AGO,AGO.12_1,GROU,5531.434649565275,5955.09342741599,6195.511035306817,6941.400808031554,7616.098264311947,9063.859488491948,359.5602322118314,356.9211704508576,363.0857463025736,374.8224284817419,399.5735316627515,390.8701149062706,15.38,16.68,17.06,18.52,19.06,23.19
AGO,AGO.13_1,GROU,1097.0323660784327,1125.5865890719354,1120.3449829049007,1173.3639909952572,1209.5857896583677,1283.7645911741145,144.127730327252,143.06982238774955,145.54084823184286,150.24544978032372,160.16687594288388,156.67814780895966,7.612,7.867,7.698,7.81,7.552,8.194
AGO,AGO.14_1,GROU,28680.840943707728,29001.1271391314,28706.8273135818,29936.11434718187,31955.94311496462,35445.59645439336,1702.5615195502555,1690.0645951559427,1719.254491551418,1774.829317735616,1892.0297923776573,1850.817915527137,16.85,17.16,16.7,16.87,16.89,19.15
AGO,AGO.15_1,GROU,46531.19503613558,49521.81286861202,53717.1017402178,56951.392797198576,60084.894179614,64245.34400432239,992.1535162022246,984.8801978440416,1001.8927248719905,1034.286168402062,1102.5545565874352,1078.547488693185,46.9,50.28,53.62,55.06,54.5,59.57
AGO,AGO.16_1,GROU,269.4157422982605,260.6798596404146,246.88680158964948,219.90409253755126,197.93925897970712,211.6294793232529,24.269188629747543,24.091051034168977,24.507138848659057,25.29933103921557,26.96996695687392,26.38251164228687,11.1,10.82,10.07,8.692,7.339,8.022
AGO,AGO.17_1,GROU,233503.11219126004,279708.2650518439,296951.15234660427,321322.76401475683,335881.80351909756,349261.90349346714,3226.608762245689,3203.1802588957667,3258.547514785133,3363.788829057291,3585.51212815149,3507.463921075997,72.37,87.32,91.13,95.52,93.68,99.58
AGO,AGO.18_1,GROU,9865.101483004759,10052.878520564203,10496.74974893752,11014.523895453225,11139.1848035777,11656.105904122202,529.6748582971386,527.9147586606773,537.3966291530593,554.0079852161281,587.2231149018904,574.8562972419575,18.62,19.04,19.53,19.88,18.97,20.28
AGO,AGO.1_1,GROU,9049.786644209433,9094.210833171292,8824.278833825647,8971.300862743763,9607.310839417865,11883.693714828802,1349.181432469628,1339.2783434110677,1362.409646321573,1406.4494785035279,1499.3240691999272,1466.6660428053012,6.708,6.79,6.477,6.379,6.408,8.103
AGO,AGO.2_1,GROU,3241.664540465253,3482.000436926131,3429.00266955621,3409.4643395042513,3473.871344076024,3704.899340681665,292.97047974123234,290.82005528193946,295.8429445299228,305.4060547622163,325.5734783104997,318.4818911970291,11.06,11.97,11.59,11.16,10.67,11.63
AGO,AGO.3_1,GROU,91366.14256843914,97176.45148531852,102701.24553768423,104319.51494194024,110675.69416324327,116359.39703077528,2183.7631362507777,2167.734157270904,2205.174108172799,2276.456264694612,2426.781567560609,2373.921816879972,41.84,44.83,46.57,45.83,45.61,49.02
AGO,AGO.4_1,GROU,45129.250267255426,46075.17206599689,45436.752552817125,48639.8431432453,47193.635205864324,48210.594293469796,3026.8206362729375,3009.1951772072057,3061.642610934972,3158.670926413869,3359.6922852076523,3287.6212576553676,14.91,15.31,14.84,15.4,14.05,14.66
AGO,AGO.5_1,GROU,27680.26201734384,29595.240077285333,30836.172588594007,31152.925526493713,32592.282336001783,34429.735521162664,837.458111803693,831.9980287916674,846.7476093636755,874.5543869002884,929.9981453963442,910.4497997592606,33.05,35.57,36.42,35.62,35.05,37.82
AGO,AGO.6_1,GROU,53806.5559790242,60962.591260559486,62365.685494614976,63136.43326276389,65186.816904976244,80566.80091888829,2805.8527508309844,2785.257589195961,2833.3630762266735,2924.9514136437424,3118.099955060288,3050.1820227564463,19.18,21.89,22.01,21.59,20.91,26.41
AGO,AGO.7_1,GROU,16858.233620484712,18996.363864914685,20551.417773617603,22340.48518484391,24497.60011668755,27425.665749263557,1963.871801543796,1949.4568408259602,1983.1268220647007,2047.231309782522,2182.419791745778,2134.882688442274,8.584,9.744,10.36,10.91,11.22,12.85
AGO,AGO.8_1,GROU,456.8909559947156,406.5090732170371,348.32944490022373,293.5683424961427,237.53068908261997,183.2229953748117,11.99033702569866,11.902327086820168,12.107897746974304,12.499285011658392,13.324672625787683,13.034436832704648,38.1,34.15,28.77,23.49,17.83,14.06
AGO,AGO.9_1,GROU,20175.529309183974,20604.437793276964,21081.603233359736,22561.232211583065,22622.38969764316,22854.36032442495,3267.0007436050464,3243.020722430962,3299.0324507207933,3405.6735302851066,3630.566453923812,3551.486061955611,6.176,6.353,6.39,6.625,6.231,6.435
ARG,ARG.10_1,GROU,2402.8576221197172,2123.2749143483984,1858.2844119633496,1621.2501368822475,1500.801299626996,1330.4944689663334,207.7001823546971,204.7612003192167,217.5137550593483,155.5490456882755,239.59546510117494,214.69990298340528,11.57,10.37,8.543,10.42,6.264,6.197
ARG,ARG.11_1,GROU,30.91671389902971,26.524978330430187,22.215758222123192,19.147152005739486,14.940502686685893,10.823661931731497,4346.693596004522,4285.187369830012,4552.069408127721,3255.2886236912427,5014.189501328813,4493.181868117195,0.007113,0.00619,0.00488,0.005882,0.00298,0.002409
ARG,ARG.14_1,GROU,2589.704715613397,2568.363785659857,2495.932939030991,2385.81712952683,2251.849560666079,2154.5270105318973,39.570657267916516,46.71059041381787,44.33720566513967,48.24365550528221,44.104525944673725,45.073365804048805,65.45,54.98,56.29,49.45,51.06,47.8
ARG,ARG.17_1,GROU,34722.0228112198,29132.17062239607,24397.674950085966,19900.770486626407,15627.766765289372,11896.74457435895,2650.069445544881,2613.329241726439,2772.7488825075015,1998.1282742969277,3048.7922600451434,2737.5729278616286,13.1,11.15,8.799,9.96,5.126,4.346
ARG,ARG.19_1,GROU,1508.837412528642,1348.5832385689046,1180.7837982103874,1042.7303965043122,880.6503879228958,716.5889354512136,6774.257033783476,6678.400499136741,7094.332168852445,5073.3186890159595,7814.539430458773,7002.556817471526,0.2227,0.2019,0.1664,0.2055,0.1127,0.1023
ARG,ARG.1_1,GROU,310.93146396237387,324.22953725280956,336.0592768690385,346.54541989604763,346.05200613709735,341.21321343081985,9382.776956918593,9250.009558225554,9826.101381550061,7026.869139008356,10823.634257067652,9698.986681317161,0.03314,0.03505,0.0342,0.04932,0.03197,0.03518
ARG,ARG.21_1,GROU,47.70157215460933,43.00600191341828,38.863094842847126,32.80266319562339,28.882601542845286,25.031597295285447,3109.3519985372686,3065.3543016547487,3256.2649745205467,2328.629328092964,3586.836707637378,3214.1405214905526,0.01534,0.01403,0.01193,0.01409,0.008052,0.007788
