GID_0,GID_1,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,AFG.14_1,MAIZ,0,0,0,0,0,0,0.1480404826973032,0.14397581884954888,0.16940638657887852,0.1977315701869225,0.14162591804021998,0.16222901219878413,0,0,0,0,0,0
AFG,AFG.16_1,MAIZ,0,0,0,0,0,0,10.422500529756086,10.136335824436118,11.92672518822171,13.920904319371317,9.97089565574805,11.421416188171046,0,0,0,0,0,0
AFG,AFG.19_1,MAIZ,97.619879531818,88.27975445547197,79.55813733446479,70.96834560686023,62.17146676033289,54.86078626610307,442.60635212463745,489.68620636118135,510.75430698514447,575.4931885770677,483.784441186192,519.1661537122071,0.2206,0.1803,0.1558,0.1233,0.1285,0.1057
AFG,AFG.20_1,MAIZ,0,0,0,0,0,0,5.41536037430633,5.266673885752985,6.196930841609519,7.233073618984743,5.180713886876125,5.934380570890677,0,0,0,0,0,0
AFG,AFG.21_1,MAIZ,0,0,0,0,0,0,4.449105390509805,4.3269488188331895,5.0912213604164815,5.942486668267469,4.256326539254935,4.8755175578999905,0,0,0,0,0,0
AFG,AFG.22_1,MAIZ,0,0,0,16.74984527316278,23.658264888192797,22.400970974733433,466.5098164921216,453.70112017359384,533.8387235408934,623.097931335512,446.2960389730941,511.2211560759226,0,0,0,0.02688,0.05301,0.04382
AFG,AFG.23_1,MAIZ,0,0,0,0,0,0,3.54200222034281,3.4447514676339686,4.053200762858435,4.730906356648268,3.388527968949173,3.88147560006964,0,0,0,0,0,0
AFG,AFG.27_1,MAIZ,0,0,0,0,0,0,10.701747899245994,10.407916056757426,12.246274861155895,14.293883519612825,10.238043292284669,11.727427247349263,0,0,0,0,0,0
AFG,AFG.28_1,MAIZ,0,0,0,0,0,0,0.04156983518741668,0.040428475721648906,0.047569390760356274,0.05552311526048015,0.03976862250061939,0.04555398075477712,0,0,0,0,0,0
AFG,AFG.30_1,MAIZ,0,0,0,0,0,0,2.178242287893714,2.1184355207315555,2.49261653543707,2.9093884320374803,2.083859483002052,2.3870098790285432,0,0,0,0,0,0
AFG,AFG.31_1,MAIZ,8.994084554171678,5.499399743637131,3.13134059538483,1.3247041030921254,0.3147005624123261,0.13571363533201194,62.462658935708966,115.75564257046153,75.44202944382458,68.86902531231321,115.80788528982266,100.1539241635017,0.144,0.04751,0.04151,0.01924,0.002717,0.001355
AFG,AFG.32_1,MAIZ,0,0,0,0,0.7349938290985285,0.6973018378627065,11.340454181037238,11.029085741223199,12.977162259738098,15.146977171334179,10.849074557980403,12.427348561386152,0,0,0,0,0.06775,0.05611
AFG,AFG.34_1,MAIZ,0,0,0,0,0,0,0.0012917889613007255,0.001256321042024461,0.0014782260647169937,0.0017253892652484522,0.0012358160026572935,0.0014155968917610644,0,0,0,0,0,0
AFG,AFG.3_1,MAIZ,5.103067348416946,4.492067276417753,3.881330721471328,3.2708576835776704,2.661039303633901,2.0521297342492297,0.0808983615616057,0.07867718097916757,0.0925739964001949,0.1080526067307741,0.07739305165289606,0.08865184066897436,63.08,57.09,41.93,30.27,34.38,23.15
AFG,AFG.4_1,MAIZ,0,0,0,0,0.00719552199796063,0.00923264850804529,29.597987897987284,28.785332675691052,33.86970974726998,39.53281234166881,28.31551297199419,32.43472496357589,0,0,0,0,2.541e-4,2.847e-4
AFG,AFG.9_1,MAIZ,0,0,0,0,0,0,0.6383766931694334,0.6208491451724419,0.7305102421688957,0.8526534337855598,0.610715958083321,0.6995601369076734,0,0,0,0,0,0
AGO,AGO.10_1,MAIZ,85682.99060569795,86889.2114076831,84329.43240234349,83008.66057517439,80167.92075799961,78313.8410418981,26998.545723016134,26980.659797471115,28067.931494873625,29201.548541250577,30452.93654988816,29632.681150695862,3.174,3.22,3.004,2.843,2.633,2.643
AGO,AGO.11_1,MAIZ,198.24840695676428,182.99852030533808,168.41944811650367,152.69176330661347,137.15638154494468,197.89674914011619,91.02740372903419,90.96710013407922,94.63290942536403,98.45497516228635,102.67411358005738,99.90856760772209,2.178,2.012,1.78,1.551,1.336,1.981
AGO,AGO.12_1,MAIZ,39269.14386573399,41098.56555672806,42283.58365642661,45710.23833429441,49599.7324114264,56806.411890342904,2859.1797222419045,2857.2858171707403,2972.4290556111346,3092.4803562132656,3225.003711286869,3138.137760476914,13.73,14.38,14.23,14.78,15.38,18.1
AGO,AGO.13_1,MAIZ,45606.71964918391,44414.4167619572,42165.78097204236,41046.65678523682,39518.818256190236,38886.800370333985,3762.9713076770545,3760.478424344462,3912.0188903736043,4070.0188235245787,4244.4332982738615,4130.108713394591,12.12,11.81,10.78,10.09,9.311,9.415
AGO,AGO.14_1,MAIZ,116027.59098356884,118924.21003721595,118140.67930924013,122515.08783684704,129921.90250663078,142751.544397028,15397.785520823145,15387.584836378544,16007.676620996153,16654.200041995857,17367.890488807778,16900.083191383863,7.535,7.729,7.38,7.356,7.481,8.447
AGO,AGO.15_1,MAIZ,179505.19209138493,194871.57492773683,215653.2177743278,232388.64889805313,249002.19156499114,269235.33587989985,7499.934683092436,7495.206576717382,7796.742431328956,8111.688330601662,8458.508930094365,8230.958652861651,23.93,26,27.66,28.65,29.44,32.71
AGO,AGO.16_1,MAIZ,3849.804135350388,5013.894781067926,5757.0974773949565,6091.574024594409,6318.132824827169,7105.421516663745,1061.8028692644414,1061.099448892915,1103.8598338342354,1148.4428956346344,1197.657671562427,1165.3985437809795,3.626,4.725,5.215,5.304,5.275,6.097
AGO,AGO.17_1,MAIZ,211996.66952319015,251244.38450349862,265681.7005396924,285742.63134877314,298362.45987330156,311717.8145281291,6835.353322597371,6830.992775464039,7106.126170959843,7393.015571598592,7709.69501134312,7502.112475366457,31.01,36.78,37.39,38.65,38.7,41.55
AGO,AGO.18_1,MAIZ,18328.211038350175,18418.228217612766,19109.897875387316,19879.77027254697,19996.507830082406,20867.666088071564,1107.6948319180108,1107.3363466056549,1151.639451981103,1197.8944254956923,1248.9217515449031,1215.4597395420078,16.55,16.63,16.59,16.6,16.01,17.17
AGO,AGO.1_1,MAIZ,21552.440505602255,22394.39691581964,22276.952884580533,23038.29455109307,25526.056622926215,33000.468416337004,3835.1967129901104,3832.6559819610106,3987.105072767056,4148.137611877046,4325.899748646905,4209.3808500710875,5.62,5.843,5.587,5.554,5.901,7.84
AGO,AGO.2_1,MAIZ,255457.1374292249,282875.6001635273,282640.8249186395,279927.9022259061,292849.0254569435,312629.46692622703,27018.51390026275,27000.614746252202,28088.690591929648,29223.146063692326,30475.45960134977,29654.597539659182,9.455,10.48,10.06,9.579,9.609,10.54
AGO,AGO.3_1,MAIZ,493650.0367713599,534839.5538807947,571936.4808842083,600111.571809408,633406.8558164772,686727.880435045,94117.4607427684,94055.11005497204,97845.36055019656,101797.17184234185,106159.53502238951,103300.10858792375,5.245,5.686,5.845,5.895,5.967,6.648
AGO,AGO.4_1,MAIZ,35897.37550634167,36482.02120585597,36428.32291374169,39650.24008608645,38960.53778831234,40061.60098972028,953.7542594614778,955.6238898312876,991.975806228871,1030.2999251963881,1072.385248372441,1044.7006857207741,37.64,38.18,36.72,38.48,36.33,38.35
AGO,AGO.5_1,MAIZ,59186.6842563185,63482.03882964162,66788.63389538269,67818.98082534516,72415.14469052597,78572.20902278215,6399.833394316782,6454.498246969956,6707.919791176319,6925.218752417193,7004.801896382029,6894.090876453338,9.248,9.835,9.957,9.793,10.34,11.4
AGO,AGO.6_1,MAIZ,17458.136623892962,16235.843205416584,14683.592744660467,13108.388593842117,11733.511593440475,10984.714390663225,3039.1517500315063,3037.1383807752973,3159.5295538340592,3287.1376948690413,3428.002987964335,3335.669102372753,5.744,5.346,4.647,3.988,3.423,3.293
AGO,AGO.7_1,MAIZ,206910.06845104962,231301.12572918797,251273.1833350511,271864.56391355454,297861.55306986393,333434.8552212002,72776.36206595534,72728.149373068,75658.96200001534,78714.70157420049,82087.90055076483,79876.84798035606,2.843,3.18,3.321,3.454,3.629,4.174
AGO,AGO.8_1,MAIZ,4847.588188972686,4308.058705909237,3687.519375748569,3104.7392720556686,2527.7456664400916,1964.2926571937455,247.8585663725417,247.69436568153725,257.67599976436446,268.0831046067166,279.5713988644434,272.0410922550092,19.56,17.39,14.31,11.58,9.042,7.221
AGO,AGO.9_1,MAIZ,277910.652367113,302480.2669297083,324476.5268461252,354176.3322859048,378343.0735835942,413021.488156596,136081.69256625822,135991.54152455952,141471.75421378552,147185.56294909932,153492.97668980865,149358.6153725788,2.042,2.224,2.294,2.406,2.465,2.765
ALB,ALB.10_1,MAIZ,1.635415760005229,1.2076858524267227,1.0888736548171063,0.9700614572074897,0.8512492595978731,1.7993940220844484,33.76121806945713,34.986810000243466,35.06042461489601,37.04598176329179,38.427221881336386,37.55307691095022,0.04844,0.03452,0.03106,0.02619,0.02215,0.04792
ALB,ALB.11_1,MAIZ,53.61793993193568,54.55269338549219,52.76851930284811,51.86861595443403,51.139829828044164,48.087627317111405,861.2127354749255,893.8936145202272,866.1626183817328,882.7706191425896,885.6231671821707,882.8227408989319,0.06226,0.06103,0.06092,0.05876,0.05774,0.05447
ALB,ALB.12_1,MAIZ,17.70701771562058,15.31831964959826,13.418452940751983,11.769425844989744,11.133640711826477,9.138225458251698,807.6334313239673,838.281109179643,812.2753632787615,827.8501174473989,830.5251976759246,827.8989965119871,0.02192,0.01827,0.01652,0.01422,0.01341,0.01104
ALB,ALB.1_1,MAIZ,7.498395869459635,6.187418734521558,5.008917817950438,4.074401045839057,3.3880877252835875,2.716108982575967,347.8799989685895,361.0811787703519,349.8794645937294,356.5881337175911,357.74039769162556,356.6091878843443,0.02155,0.01714,0.01432,0.01143,0.009471,0.007616
ALB,ALB.2_1,MAIZ,0.05621765010186517,0.0337305900611191,0.01124353002037303,0,0,0,20.78819608739208,20.733864162710805,20.76673208636199,20.507802526391153,20.44783039140392,20.506335343510493,0.002704,0.001627,5.414e-4,0,0,0
ALB,ALB.3_1,MAIZ,18.549590161798296,22.09283894243726,20.779371475660003,19.025778663371355,18.091643247175313,18.698004255813125,374.47446128906944,388.6848347204305,376.6267805228863,383.8483088187731,385.0886601819404,383.8709725182561,0.04953,0.05684,0.05517,0.04957,0.04698,0.04871
ALB,ALB.4_1,MAIZ,16.21348546901628,16.661526630358217,15.338896286111995,14.170564340696936,13.25327582345621,12.170747884808929,378.5536455755108,392.9188138941016,380.72941021804195,388.02960327693364,389.2834659000488,388.0525138541516,0.04283,0.0424,0.04029,0.03652,0.03405,0.03136
ALB,ALB.5_1,MAIZ,6.075458599497632,4.665501507958104,3.7926437755199327,2.955419661767559,2.29256374431309,2.9206025142884458,1886.100309505026,1957.673120197669,1896.9408083713076,1933.31318662932,1939.5604139620243,1933.4273359639963,0.003221,0.002383,0.001999,0.001529,0.001182,0.001511
ALB,ALB.6_1,MAIZ,0,0,0,0,0,0,8.437571610207806,8.75775644476812,8.486067167423759,8.64878096617505,8.676728275085026,8.649291619389373,0,0,0,0,0,0
ALB,ALB.7_1,MAIZ,3.1572377347933407,2.8320091904670712,2.7484252042275834,2.576595881360934,2.310022078674155,2.0434482759873767,66.56846448947891,69.09457197326155,66.9510715863505,68.23480679293756,68.45529789235526,68.23883560619507,0.04743,0.04099,0.04105,0.03776,0.03374,0.02995
ALB,ALB.8_1,MAIZ,32.179239251782406,27.00518030369882,21.90208510046958,16.79898989724035,11.699825827742572,6.604592891976257,15.22584223807491,15.803625041380727,15.313353875016077,15.606975635422563,15.657407363424404,15.60789712393121,2.113,1.709,1.43,1.076,0.7472,0.4232
ALB,ALB.9_1,MAIZ,0,0,1.7171157650497415,1.6290585463292422,1.5410013276087426,1.452944108888243,201.9030094433454,209.56472594926967,203.06346169179653,206.95704709332355,207.62579943528186,206.96926653577896,0,0,0.008456,0.007871,0.007422,0.00702
ARE,ARE.1_1,MAIZ,0,0,0,0,0,0,0.3266618621089506,0.28963974019600075,0.26514469981775907,0.23510968658241552,0.2484135909737078,0.24912950435025524,0,0,0,0,0,0
ARE,ARE.4_1,MAIZ,0,0,0,0,0,0,0.04804661357198521,0.042714886049770175,0.03899226973050828,0.034814461559280176,0.036785637339720685,0.036867695060188395,0,0,0,0,0,0
ARG,ARG.10_1,MAIZ,27754.63118310247,27972.193921339058,26822.839045800687,26588.107536295942,27447.471065651273,26788.320665461928,17094.38798709263,17717.907777684788,17282.1376432196,12121.91693755802,16830.544405383756,14823.854554471081,1.624,1.579,1.552,2.193,1.631,1.807
ARG,ARG.11_1,MAIZ,112.51996863103273,104.45076220962709,99.02390350935089,123.03880370914787,122.94276826831124,124.96235429139156,133269.10410702223,138130.11018386792,134732.81421394946,94503.35464176229,131212.16016815297,115567.85872526349,8.443e-4,7.562e-4,7.35e-4,0.001302,9.37e-4,0.001081
ARG,ARG.12_1,MAIZ,5.2455185034416605,4.827390354740112,4.301006972392197,4.444742231143508,4.069842842426093,3.4858465411270085,2.408532948282347,2.4963844677799307,2.4349861464402416,1.7079310685176465,2.3713584112226718,2.0886235963491395,2.178,1.934,1.766,2.602,1.716,1.669
ARG,ARG.13_1,MAIZ,1.768093520434156,1.6264260143522802,1.440999452194512,1.2555728900367438,1.1049936902710147,0.9617789583475018,0.7571928038927723,0.7848114995066543,0.7655091407315071,0.5369381039809851,0.7455059004731179,0.6566199388403866,2.335,2.072,1.882,2.338,1.482,1.465
ARG,ARG.14_1,MAIZ,138616.6617444503,145060.61544348905,143567.8101687333,141432.81795064057,139466.57180331857,139612.82318865854,83998.73465459229,79647.33463028842,86177.38485900417,80119.74550853237,86604.26536616805,83444.74176970813,1.65,1.821,1.666,1.765,1.61,1.673
ARG,ARG.15_1,MAIZ,205.50430943122626,193.5972033118615,180.09998722692131,165.54132041028257,156.57852584894488,146.19248171541005,0.08489482225404292,0.08799137077243196,0.08582723198390232,0.06020034087030717,0.08358451187680348,0.07361880977966759,2421,2200,2098,2750,1873,1986
ARG,ARG.16_1,MAIZ,400.8169925526718,372.83375623072163,355.55734547513384,346.0127240290904,317.0242152463858,316.67378109321896,10.688886809979598,11.078765199919856,10.806284099924643,7.579668728904819,10.52390902998799,9.269153334999904,37.5,33.65,32.9,45.65,30.12,34.16
ARG,ARG.17_1,MAIZ,838802.187704599,831022.1370309471,807343.3224810396,752663.8706459594,708920.3707266236,675835.8830707351,1208462.996405348,1252529.1584051785,1221731.7505227902,857039.6506520996,1189815.8477082646,1047995.6285839078,0.6941,0.6635,0.6608,0.8782,0.5958,0.6449
ARG,ARG.18_1,MAIZ,2.4442481554860116,2.286400533054722,2.0770736658458384,1.827446414864739,1.6711666241267578,1.424497989803292,0.16942808574823204,0.1756079948871807,0.1712889341659408,0.12014429436609683,0.1668130454777266,0.1469240842357533,14.43,13.02,12.13,15.21,10.02,9.695
ARG,ARG.19_1,MAIZ,2560.1961282561474,2364.6350095563803,2153.0845283437975,2186.1653155930126,2175.072780084591,2038.9059572413596,217067.4716557163,224985.0329380118,219451.54900264932,153926.18110944395,213717.1405858133,188235.84855806144,0.01179,0.01051,0.009811,0.0142,0.01018,0.01083
ARG,ARG.1_1,MAIZ,15020.363506475867,16151.672515828075,16702.550859076327,17603.236200004834,17518.29050440686,17796.475402337874,1220466.1120008337,1264982.7554252243,1233870.6335909483,865452.96888951,1201628.8099232314,1058359.7462876013,0.01231,0.01277,0.01354,0.02034,0.01458,0.01682
ARG,ARG.21_1,MAIZ,13684.66835268261,12410.726427261532,11496.90854303646,10804.976021872984,10328.062788917156,9891.811618725582,656103.6687437065,680035.1263923054,663309.7318261219,465254.10450163524,645977.0270608115,568957.798632822,0.02086,0.01825,0.01733,0.02322,0.01599,0.01739
ARG,ARG.22_1,MAIZ,1212903.7984890733,1199034.292683224,1135044.6265896815,1087459.4947411236,1074984.5678188761,1034053.8323416571,3374123.703562814,3497195.2581961863,3411182.0975545794,2392647.6515284935,3322045.74185111,2925961.3779782536,0.3595,0.3429,0.3327,0.4545,0.3236,0.3534
ARG,ARG.24_1,MAIZ,98488.65957006412,90315.03381742978,82982.23933769314,74020.71800142288,67320.0905817604,60201.344135097315,271854.4869028253,281770.4109401864,274840.2964252907,192776.57157581433,267658.5448438158,235745.8703330418,0.3623,0.3205,0.3019,0.384,0.2515,0.2554
