GID_0,GID_1,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AGO,AGO.12_1,PLNT,0.00797789032947979,0.00490489066518491,0.0024564236088394815,9.143502659324899e-4,2.609745193240136e-4,0,0.023052090201253296,0.02313444078170455,0.023150199460018207,0.02319941750220554,0.023248735013056708,0.023208793908697265,0.3461,0.212,0.1061,0.03941,0.01123,0
AGO,AGO.17_1,PLNT,71.19448807351897,82.03358658536463,76.85827296228005,85.9645934015642,77.82397514283326,73.66402470453468,22.295282155191043,22.374929137775926,22.39017045326309,22.43777265020543,22.48547105022118,22.44684122604865,3.193,3.666,3.433,3.831,3.461,3.282
AGO,AGO.18_1,PLNT,23.179553535082132,14.629871057790634,9.848930958925717,4.822612022279792,2.1523428767081603,1.7301213094408252,10.205679136184202,10.242137591509797,10.249114313059794,10.270904248024033,10.292738220004368,10.275055394200782,2.271,1.428,0.961,0.4695,0.2091,0.1684
AGO,AGO.4_1,PLNT,396.7446397059386,385.3289665570333,381.5310127128722,471.15589705137575,461.98783920400473,438.9405340519307,32.529894786119385,32.50823870300359,32.51444319004902,32.52239401132795,32.530344832606865,32.52383935870178,12.2,11.85,11.73,14.49,14.2,13.5
ARG,ARG.17_1,PLNT,29.619538455060578,25.73750742232006,21.855476389579543,17.97344535683903,14.09141432409851,10.209383291357994,0.10001041181059181,0.10001041181059181,0.10001041181059181,0.10001041181059181,0.10001041181059181,0.10001041181059181,296.2,257.3,218.5,179.7,140.9,102.1
BDI,BDI.10_1,PLNT,99.3698978844253,99.79748901525721,107.03147289962781,123.02349625962685,144.66481260844637,194.88467351442796,9611.42030885496,9611.42030885496,9611.42030885496,9611.42030885496,9611.42030885496,9611.42030885496,0.01034,0.01038,0.01114,0.0128,0.01505,0.02028
BDI,BDI.11_1,PLNT,406.00083200262924,382.25467942080024,346.6681940705681,315.309405737029,280.7854440817852,241.78588399850784,5669.502075121122,5669.605190174057,5669.716213405855,5669.6997400122455,5669.6832666186365,5669.6926542919,0.07161,0.06742,0.06114,0.05561,0.04952,0.04265
BDI,BDI.12_1,PLNT,9.97236780462502,10.490599265611555,12.028361384311014,12.24501302416644,14.018656410789813,14.998419355666229,1163.0409334292356,1163.0409334292356,1163.0409334292356,1163.0409334292356,1163.0409334292356,1163.0409334292356,0.008574,0.00902,0.01034,0.01053,0.01205,0.0129
BDI,BDI.13_1,PLNT,233.7551571993682,284.5839406077148,348.3503552984973,450.40849252986783,867.8221501754247,1149.6608606167981,11928.381807934193,11928.396467554181,11928.412251461006,11928.409909478112,11928.407567495216,11928.40890211823,0.0196,0.02386,0.0292,0.03776,0.07275,0.09638
BDI,BDI.14_1,PLNT,44.84641279755056,54.743504867257826,60.90796464069726,61.48431579576619,60.48459642925563,75.66189454232865,2717.0993600738366,2717.0993600738366,2717.0993600738366,2717.0993600738366,2717.0993600738366,2717.0993600738366,0.01651,0.02015,0.02242,0.02263,0.02226,0.02785
BDI,BDI.15_1,PLNT,403.47789298811404,566.4969441350742,667.0403014679263,708.6114748606783,742.8366899639504,848.6577242925146,20069.526929439307,20069.526929439307,20069.526929439307,20069.526929439307,20069.526929439307,20069.526929439307,0.0201,0.02823,0.03324,0.03531,0.03701,0.04229
BDI,BDI.16_1,PLNT,152.89676716050047,141.07807367529088,125.31557328114395,115.22520133521648,102.97562395852697,96.1248020986533,1378.7404885775,1378.7427010463239,1378.7450831955066,1378.7447297372216,1378.7443762789364,1378.74457770379,0.1109,0.1023,0.09089,0.08357,0.07469,0.06972
BDI,BDI.17_1,PLNT,127.87292656749672,135.70229925258425,143.31575889381958,161.01587321190888,196.83483122414748,253.05201402200993,6224.356153689246,6224.432546980993,6224.514799085764,6224.502594691467,6224.490390297168,6224.497345200862,0.02054,0.0218,0.02302,0.02587,0.03162,0.04065
BDI,BDI.1_1,PLNT,25.20483256935071,29.218789078383153,30.812313769665945,30.530416306684774,33.05053573887043,35.19532997768367,1006.9373169193402,1006.9584470913417,1006.9624905793348,1006.9751193390995,1006.987773621331,1006.9775252126324,0.02503,0.02902,0.0306,0.03032,0.03282,0.03495
BDI,BDI.2_1,PLNT,3.8669100178748943,3.6799467856734567,3.4306903922594634,3.181433998845469,2.932177605431474,2.8202273693842757,80.67008248535551,80.67008248535551,80.67008248535551,80.67008248535551,80.67008248535551,80.67008248535551,0.04793,0.04562,0.04253,0.03944,0.03635,0.03496
BDI,BDI.3_1,PLNT,35.91427271280564,37.16929565095459,35.82338091955146,38.52402768238754,44.40209315636894,52.922945566813695,3175.8155112952322,3175.8155112952322,3175.8155112952322,3175.8155112952322,3175.8155112952322,3175.8155112952322,0.01131,0.0117,0.01128,0.01213,0.01398,0.01666
BDI,BDI.4_1,PLNT,513.8907212257991,610.7350149871305,594.4662289186965,634.5703541928108,605.1235041181711,573.8604508950802,5090.217612133222,5090.217612133222,5090.217612133222,5090.217612133222,5090.217612133222,5090.217612133222,0.101,0.12,0.1168,0.1247,0.1189,0.1127
BDI,BDI.5_1,PLNT,407.4404833369251,433.32666712782276,423.8434377538962,454.20305643095935,586.5352304744389,691.0292701714617,6161.443409555922,6161.5513988435205,6161.667670128534,6161.650418039827,6161.633165951121,6161.642997378435,0.06613,0.07033,0.06879,0.07371,0.09519,0.1122
BDI,BDI.6_1,PLNT,1802.5333931886494,2379.0182396119485,2694.964044469001,3257.7061900685712,3751.0493707313526,4137.267195264884,14410.202978394753,14411.758261130459,14412.055881380182,14412.985419106326,14413.916835409338,14413.162503020727,0.1251,0.1651,0.187,0.226,0.2602,0.287
BDI,BDI.7_1,PLNT,170.28170023401023,228.18363539916965,246.07417996054548,266.3556954410843,281.8724816835395,315.0440906417575,9698.779984500283,9698.779984500283,9698.779984500283,9698.779984500283,9698.779984500283,9698.779984500283,0.01756,0.02353,0.02537,0.02746,0.02906,0.03248
BDI,BDI.8_1,PLNT,227.12722908060104,272.2729433002864,305.59852987565836,351.62283714482015,377.1301229744569,501.78336626509457,10457.211230649888,10457.211230649888,10457.211230649888,10457.211230649888,10457.211230649888,10457.211230649888,0.02172,0.02604,0.02922,0.03362,0.03606,0.04798
BDI,BDI.9_1,PLNT,119.74910149790412,143.12773891998398,152.20435591410117,150.25343173910252,152.56751197837568,203.77107390919429,13782.710975599344,13782.710975599344,13782.710975599344,13782.710975599344,13782.710975599344,13782.710975599344,0.008688,0.01038,0.01104,0.0109,0.01107,0.01478
BEN,BEN.11_1,PLNT,32.06855452586876,27.88950696299946,23.733044312048165,19.58460334806984,15.440913121628451,11.305958801052984,611.2020155462891,611.2020155462891,611.2020155462891,611.2020155462891,611.2020155462891,611.2020155462891,0.05247,0.04563,0.03883,0.03204,0.02526,0.0185
BEN,BEN.5_1,PLNT,2.9772616246670407,3.71164988135191,5.290760683412272,6.338626456965801,6.679102883847116,10.454328024781953,70.73523194586087,70.73523194586087,70.73523194586087,70.73523194586087,70.73523194586087,70.73523194586087,0.04209,0.05247,0.0748,0.08961,0.09442,0.1478
