GID_0,GID_1,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,AFG.19_1,RAPE,0.016644892142467532,0.012541879331018928,0.009005043690437153,0.005468208049855368,0.0019313724092735827,1.2221594173701753e-4,0.002311359668381535,0.0020193776521535084,0.0014787433821417592,0.001585158117871234,0.001637311874491125,0.0015724901108697582,7.201,6.211,6.09,3.45,1.18,0.07772
AFG,AFG.31_1,RAPE,0.02008117936837784,0.0159202588887357,0.01221156355165421,0.00925257562523227,0.006951342507682584,0.0048426886803267285,0.013313671650137731,0.011631824923735717,0.008517715401011193,0.009130675326555995,0.009431086379174489,0.009057706291062966,1.508,1.369,1.434,1.013,0.7371,0.5346
ALA,ALA.2_2,RAPE,50.49973283334601,47.28570038428613,45.39938601990253,42.10550212462731,37.639442473243854,33.891106606316455,2.5292307737736057,3.3492802116712816,4.613895598558084,3.2997033873781616,3.990527988183934,3.9009358938960608,19.97,14.12,9.84,12.76,9.432,8.688
ALB,ALB.2_1,RAPE,0.01724953732407721,0.014334953877191938,0.011420370430306656,0.00871769386850602,0.00622692419179001,0.003736154515074,0.015732533397567815,0.05300491117838283,0.02924772987333077,0.029775667235665253,0.04360762612882891,0.038777069655116646,1.096,0.2704,0.3905,0.2928,0.1428,0.09635
ALB,ALB.7_1,RAPE,0,0,0,0,0,0,0.10530571945339587,0.10696201802095756,0.2163648970888481,0.14366210733377185,0.05788327625584012,0.09657606709264874,0,0,0,0,0,0
ARG,ARG.11_1,RAPE,1.0910273975364668,0.8593697222144933,0.6503291238631332,0.4658092656220505,0.31129424357950575,0.1929819459193389,0.40719221984204323,0.2237716240431084,0.662686114072145,0.48840774379097757,0.5655906696348144,0.560946742598034,2.679,3.84,0.9814,0.9537,0.5504,0.344
ARG,ARG.14_1,RAPE,167.96665880315,171.82942425445668,163.5386162443338,151.72114469535967,140.97143119504761,146.86031735219208,29.382417131739672,27.63541170283902,22.21654119096565,32.826672134867124,41.27145575021148,36.67562484865619,5.717,6.218,7.361,4.622,3.416,4.004
ARG,ARG.16_1,RAPE,0.013612883635405179,0.011964417416946151,0.01031595119848713,0.00866748498002809,0.00701901876156906,0.00537055254311003,0.6498800430300149,0.3571402044922281,1.0576490889134909,0.7795002705950529,0.902684459104433,0.8952727371818927,0.02095,0.0335,0.009754,0.01112,0.007776,0.005999
ARG,ARG.17_1,RAPE,13.320572815392886,12.68466030395978,11.291225136474182,9.719315915352043,8.274548867323979,7.502107406226537,0.046537108223660875,0.04257393551008632,0.032775590931040516,0.047060075011556436,0.05690211575457759,0.051910240319206206,286.2,297.9,344.5,206.5,145.4,144.5
ARG,ARG.19_1,RAPE,0.6517804367357372,0.5762570023146706,0.5007335678936039,0.42521013347253717,0.34968669905147043,0.27416326463040375,0.233177912303071,0.12814242901615527,0.37948604384317536,0.27968584000453545,0.32388450745621244,0.3212251707632268,2.795,4.497,1.32,1.52,1.08,0.8535
ARG,ARG.1_1,RAPE,2306.369838645364,2569.5601859487683,2583.4353958582105,2503.7520208955543,2570.482947882586,3605.916347328353,1866.1211071998569,1025.5229114672768,3037.0240015833315,2238.3237085466944,2592.0453171975128,2570.762665316311,1.236,2.506,0.8506,1.119,0.9917,1.403
ARG,ARG.21_1,RAPE,2433.2070401149367,2363.6544138058393,2572.497247724017,2536.419262981928,2648.1440494066164,2868.3648626629133,92.8952099979007,51.05036637271604,151.1825686485488,111.42339591278001,129.0316009695882,127.97215396575305,26.19,46.3,17.02,22.76,20.52,22.41
ARG,ARG.22_1,RAPE,80.0436861908071,56.995396778733564,35.19326324760294,16.566282021057155,4.328906933782317,5.653107943064964e-4,0.05427709608743948,0.029827863470823914,0.08833341143713049,0.06510280095694324,0.07539097661010463,0.07477195968955501,1475,1911,398.4,254.5,57.42,0.00756
