GID_0,GID_1,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,AFG.14_1,SUGB,0,0,0,0,0,0,0.6513833587653116,0.6726128640986802,0.747692821984984,0.7766892195134876,0.8337525764711433,0.7887246778612031,0,0,0,0,0,0
AFG,AFG.16_1,SUGB,0,0,0,0,0,0,0.10485702648172497,0.1082744653416222,0.12036052960223438,0.12502825097185014,0.13421407657075193,0.12696566978629176,0,0,0,0,0,0
AFG,AFG.19_1,SUGB,0.28500499613705804,0.18054988331276725,0.12337022295336643,0.07772394727660373,0.04474254663302058,0.025720517087227758,13.98396570085399,14.439722929578164,16.051547275066106,16.67404495332352,17.899087036044193,16.93242342502339,0.02038,0.0125,0.007686,0.004661,0.0025,0.001519
AFG,AFG.1_1,SUGB,0,0,0,0,0,0,0.1523422312022344,0.1573072800728954,0.17486659924962356,0.18164812941442893,0.194993817482507,0.1844629212778685,0,0,0,0,0,0
AFG,AFG.20_1,SUGB,0,0,0,0,0,0,0.14981466490192974,0.15469733681049821,0.17196532282860622,0.17863433811835824,0.19175860293991398,0.18140242872896556,0,0,0,0,0,0
AFG,AFG.21_1,SUGB,0,0,0,0,0,0,0.21261545728287648,0.21954489587476672,0.24405144699242737,0.2535160460447653,0.27214186994767414,0.2574444922443412,0,0,0,0,0,0
AFG,AFG.22_1,SUGB,0,0,0,0,0,0,1.3192760953563936,1.3622731700063235,1.514335994987784,1.573063706704762,1.6886366972363605,1.5974396633225287,0,0,0,0,0,0
AFG,AFG.23_1,SUGB,0,0,0,0,0,0,0.218989724859735,0.22612690985118894,0.2513681738453556,0.26111652407758545,0.2803007551015656,0.2651627461320187,0,0,0,0,0,0
AFG,AFG.27_1,SUGB,0,0,0,0,0,0,0.06467615783724782,0.06678404533432823,0.07423876940936872,0.07711783525903955,0.08278368261552116,0.07831284153800855,0,0,0,0,0,0
AFG,AFG.28_1,SUGB,0,0,0,0,0,0,0.0011128366297104958,0.0011491055500746693,0.0012773736830699173,0.001326911720640496,0.0014243999247559528,0.0013474733434152624,0,0,0,0,0,0
AFG,AFG.29_1,SUGB,0.00142086001435328,4.6203718358430146e-4,0,0,0,0,0.09980869077991178,0.10306159723617281,0.1145657786058765,0.1190087727900379,0.12775234732692195,0.12085291468352836,0.01424,0.004483,0,0,0,0
