GID_0,GID_1,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AGO,AGO.12_1,PLNT,1.5415369104694807e-4,1.0000173925936755e-4,4.881447926765594e-5,1.6118704777837128e-5,4.508280141937061e-6,0,0.023052090201253296,0.02313444078170455,0.023150199460018207,0.02319941750220554,0.023248735013056708,0.023208793908697265,0.006687,0.004323,0.002109,6.948e-4,1.939e-4,0
AGO,AGO.17_1,PLNT,0.4171269754812901,0.4112976146342212,0.3671865032303406,0.3435817308487791,0.3003369392232688,0.26557859370374964,22.295282155191043,22.374929137775926,22.39017045326309,22.43777265020543,22.48547105022118,22.44684122604865,0.01871,0.01838,0.0164,0.01531,0.01336,0.01183
AGO,AGO.18_1,PLNT,0.23351275965631327,0.13680040214824454,0.08014926781106847,0.03136331826842633,0.0061958226779131745,0.0033159073348621258,10.205679136184202,10.242137591509797,10.249114313059794,10.270904248024033,10.292738220004368,10.275055394200782,0.02288,0.01336,0.00782,0.003054,6.02e-4,3.227e-4
AGO,AGO.4_1,PLNT,1.2600180992934533,1.1850520219016236,1.090961810628678,1.0468255031515092,0.952794845570392,0.8732993449750539,32.529894786119385,32.50823870300359,32.51444319004902,32.52239401132795,32.530344832606865,32.52383935870178,0.03873,0.03645,0.03355,0.03219,0.02929,0.02685
ARG,ARG.17_1,PLNT,0.1940505813423322,0.16855844508620887,0.14306630883008556,0.11757417257396223,0.09208203631783893,0.06658990006171561,0.10001041181059181,0.10001041181059181,0.10001041181059181,0.10001041181059181,0.10001041181059181,0.10001041181059181,1.94,1.685,1.431,1.176,0.9207,0.6658
BDI,BDI.10_1,PLNT,0.3032228530451949,0.28419540482257505,0.26981857313251845,0.25863319065239226,0.24381049554919182,0.22703417677765503,9611.42030885496,9611.42030885496,9611.42030885496,9611.42030885496,9611.42030885496,9611.42030885496,3.155e-5,2.957e-5,2.807e-5,2.691e-5,2.537e-5,2.362e-5
BDI,BDI.11_1,PLNT,1.9828725558066334,1.7394100545691085,1.4970953612258957,1.2485336158011222,1.005270027193385,0.7545453627254831,5669.502075121122,5669.605190174057,5669.716213405855,5669.6997400122455,5669.6832666186365,5669.6926542919,3.497e-4,3.068e-4,2.641e-4,2.202e-4,1.773e-4,1.331e-4
BDI,BDI.12_1,PLNT,0.02330903474458705,0.022729556205085984,0.022604668896191088,0.021336436781779298,0.020179534112875475,0.01842558615713036,1163.0409334292356,1163.0409334292356,1163.0409334292356,1163.0409334292356,1163.0409334292356,1163.0409334292356,2.004e-5,1.954e-5,1.944e-5,1.835e-5,1.735e-5,1.584e-5
BDI,BDI.13_1,PLNT,0.8045373850028417,0.7830586126256565,0.754043282547521,0.7255436787030598,0.7439440617187406,0.6706885438638265,11928.381807934193,11928.396467554181,11928.412251461006,11928.409909478112,11928.407567495216,11928.40890211823,6.745e-5,6.565e-5,6.321e-5,6.082e-5,6.237e-5,5.623e-5
BDI,BDI.14_1,PLNT,0.07455104708902931,0.07855177670102835,0.07972826271907185,0.07589613601044928,0.07084553301564457,0.06528316771345337,2717.0993600738366,2717.0993600738366,2717.0993600738366,2717.0993600738366,2717.0993600738366,2717.0993600738366,2.744e-5,2.891e-5,2.934e-5,2.793e-5,2.607e-5,2.403e-5
