GID_0,GID_1,GID_2,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AGO,AGO.10_1,AGO.10.11_1,COCO,0,0,0,0,0,0,0.09805775257338666,0.09682074717099481,0.09724701254614335,0.09737447425145739,0.09714880434696699,0.09718282304030072,0,0,0,0,0,0
AGO,AGO.10_1,AGO.10.6_1,COCO,0,0,0,0,0,0,0.0010024873205465397,9.898408729296893e-4,9.941987704192795e-4,9.955018672176375e-4,9.931947450172662e-4,9.9354253300785e-4,0,0,0,0,0,0
AGO,AGO.10_1,AGO.10.8_1,COCO,0,0,0,0,0,0,0.024752105563814724,0.02443985602209596,0.024547455526336883,0.024579629887899128,0.024522665444477457,0.024531252570598974,0,0,0,0,0,0
AGO,AGO.11_1,AGO.11.9_1,COCO,0,0,0,0,0,0,0.006686142958095369,0.006601796797355673,0.006630862028421378,0.006639553102416516,0.006624165627146437,0.006626485217805083,0,0,0,0,0,0
AGO,AGO.12_1,AGO.12.4_1,COCO,2.8197901628651444e-6,0,0,0,0,0,0.002305209054475621,0.0018818390352441754,0.0035010958795240474,0.00367615067350025,0.004376369849405059,0.0038647722140096093,0.001223,0,0,0,0,0
AGO,AGO.17_1,AGO.17.16_1,COCO,0.0011399812641038397,0.007675254110631798,0.007249917951070167,0.006824581791508546,0.011494022021403295,0.010807415277766982,0.03431003941680011,0.03387721587148078,0.03402636452561108,0.03407096289767946,0.03399200184549283,0.034003904858549504,0.03323,0.2266,0.2131,0.2003,0.3381,0.3178
AGO,AGO.17_1,AGO.17.7_1,COCO,10.292335247251522,13.362121119515596,16.381226103263984,20.36416107503304,21.785060012937194,23.883868490241994,1.4997638777540045,1.2434168798066851,2.218961803787701,2.3245187774978993,2.7459092173516333,2.4378818292406743,6.863,10.75,7.382,8.761,7.934,9.797
AGO,AGO.18_1,AGO.18.1_1,COCO,0.0020896852261265398,0.0016414892054909898,0.0012631505114459366,9.641290938691196e-4,7.466139234145247e-4,5.332956595818034e-4,0.7203759654525425,0.5880919860684626,1.0940316731992656,1.1487279468553004,1.36751221662446,1.2076628127681386,0.002901,0.002791,0.001155,8.393e-4,5.46e-4,4.416e-4
AGO,AGO.1_1,AGO.1.1_1,COCO,0.009663527957908076,0.007494981509844224,0.006358399780786965,0.005226117849206125,0.0042497415054026455,0.0035359733448076767,0.3631080302025135,0.358527397022325,0.36010585845603854,0.3605778493749432,0.35974219332180063,0.3598681646030335,0.02661,0.0209,0.01766,0.01449,0.01181,0.009826
AGO,AGO.1_1,AGO.1.2_1,COCO,0.2986684688158816,0.26794108614577983,0.23134314756409236,0.2120911790176655,0.3875904665079546,0.36306106782290093,13.128163667297896,12.962550965051044,13.019620207041513,13.036685029401408,13.006471901288807,13.011026390476175,0.02275,0.02067,0.01777,0.01627,0.0298,0.0279
AGO,AGO.1_1,AGO.1.3_1,COCO,0.9825278203945046,0.8787220583057905,0.771498591907625,0.6673400601788112,1.1937498940949791,1.0638220446637991,49.54053725590592,48.91557991582119,49.1309368370666,49.19533277920371,49.081320291485554,49.09850714617342,0.01983,0.01796,0.0157,0.01357,0.02432,0.02167
AGO,AGO.1_1,AGO.1.4_1,COCO,0.7652229763113505,0.7286459335286226,0.6661036341870578,0.6039905204917513,0.54174304994933,0.4795364795401685,40.38111789713047,39.871707272447956,40.047247420142604,40.099737366266986,40.00680434689923,40.020813569323415,0.01895,0.01827,0.01663,0.01506,0.01354,0.01198
AGO,AGO.1_1,AGO.1.5_1,COCO,0.006518608391393555,0.0016072654008949321,0.0011243270772369968,8.193369620057588e-4,6.921637181742668e-4,6.165310854211766e-4,0.017165939828980924,0.016949390298236874,0.017024012095993267,0.017046325476694938,0.0170068198190592,0.017012775114051207,0.3797,0.09483,0.06604,0.04807,0.0407,0.03624
AGO,AGO.4_1,AGO.4.1_1,COCO,0.3663974441750057,0.5969036243680853,0.5570936428973379,0.5426932471689779,0.5543139522797769,0.7032132345449144,4.036071758807082,8.403959815075929,5.319924113584563,5.320158152434329,7.890425779229354,6.9696699536092,0.09078,0.07103,0.1047,0.102,0.07025,0.1009
AGO,AGO.4_1,AGO.4.2_1,COCO,0.01534018391548882,0.012714083448425426,0.010457563732798738,0.01035332407832487,0.009088784891650513,0.008686085862331178,5.375051622862311,5.3072449709544,5.330610776679423,5.337597610744258,5.325227478301599,5.327092218498192,0.002854,0.002396,0.001962,0.00194,0.001707,0.001631
