GID_0,GID_1,GID_2,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,AFG.13_1,AFG.13.4_1,TEMF,0,0,0,0,0,0,0.17144917327845302,0.17144917327845302,0.17144917327845302,0.17144917327845302,0.17144917327845302,0.17144917327845302,0,0,0,0,0,0
AFG,AFG.14_1,AFG.14.10_1,TEMF,0,0,0,0,0,0,12.717367145307147,12.717367145307147,12.717367145307147,12.717367145307147,12.717367145307147,12.717367145307147,0,0,0,0,0,0
AFG,AFG.14_1,AFG.14.1_1,TEMF,0,0,0,0,0,0,88.98218586936348,88.98218586936348,88.98218586936348,88.98218586936348,88.98218586936348,88.98218586936348,0,0,0,0,0,0
AFG,AFG.14_1,AFG.14.9_1,TEMF,0,0,0,0,0,0,363.0472553123495,363.0472553123495,363.0472553123495,363.0472553123495,363.0472553123495,363.0472553123495,0,0,0,0,0,0
AFG,AFG.18_1,AFG.18.5_1,TEMF,0,0,0,0,0,0,1.6319439056715916,1.6319439056715916,1.6319439056715916,1.6319439056715916,1.6319439056715916,1.6319439056715916,0,0,0,0,0,0
AFG,AFG.19_1,AFG.19.1_1,TEMF,0,0,0,0,0,0,1.2646435778357359,1.2646435778357359,1.2646435778357359,1.2646435778357359,1.2646435778357359,1.2646435778357359,0,0,0,0,0,0
AFG,AFG.19_1,AFG.19.2_1,TEMF,0,0,0,0,0,0,0.8676021390743681,0.8676021390743681,0.8676021390743681,0.8676021390743681,0.8676021390743681,0.8676021390743681,0,0,0,0,0,0
AFG,AFG.19_1,AFG.19.3_1,TEMF,0.01286781728388935,0.01174887665050767,0.01062993601712598,0.0095109953837443,0.00839205475036262,0.00727311411698093,16.00335084121677,16.00335084121677,16.00335084121677,16.00335084121677,16.00335084121677,16.00335084121677,8.041e-4,7.342e-4,6.642e-4,5.943e-4,5.244e-4,4.545e-4
AFG,AFG.19_1,AFG.19.4_1,TEMF,0.05467425080231962,0.04448669612617458,0.034551649621761486,0.024760618243918633,0.015047682848376757,0.009361153070430799,105.30546488508092,105.30546488508092,105.30546488508092,105.30546488508092,105.30546488508092,105.30546488508092,5.192e-4,4.225e-4,3.281e-4,2.351e-4,1.429e-4,8.89e-5
AFG,AFG.19_1,AFG.19.5_1,TEMF,0,0,0,0,0,0,3.145860201591219,3.145860201591219,3.145860201591219,3.145860201591219,3.145860201591219,3.145860201591219,0,0,0,0,0,0
AFG,AFG.19_1,AFG.19.6_1,TEMF,0,0,0,0,0,0,1.6479328444506416,1.6479328444506416,1.6479328444506416,1.6479328444506416,1.6479328444506416,1.6479328444506416,0,0,0,0,0,0
AFG,AFG.1_1,AFG.1.5_1,TEMF,0,0,0,0,0,0,0.32765739567519614,0.32765739567519614,0.32765739567519614,0.32765739567519614,0.32765739567519614,0.32765739567519614,0,0,0,0,0,0
AFG,AFG.1_1,AFG.1.7_1,TEMF,0,0,0,0,0,0,3.9113356513494844,3.9113356513494844,3.9113356513494844,3.9113356513494844,3.9113356513494844,3.9113356513494844,0,0,0,0,0,0
AFG,AFG.1_1,AFG.1.9_1,TEMF,0,0,0,0,0,0,5.574056947099484,5.574056947099484,5.574056947099484,5.574056947099484,5.574056947099484,5.574056947099484,0,0,0,0,0,0
AFG,AFG.20_1,AFG.20.5_1,TEMF,0,0,0,0,0,0,0.0014013303636311236,0.0014013303636311236,0.0014013303636311236,0.0014013303636311236,0.0014013303636311236,0.0014013303636311236,0,0,0,0,0,0
AFG,AFG.21_1,AFG.21.4_1,TEMF,0,0,0,0,0,0,6.7158872231013795,6.7158872231013795,6.7158872231013795,6.7158872231013795,6.7158872231013795,6.7158872231013795,0,0,0,0,0,0
AFG,AFG.22_1,AFG.22.14_1,TEMF,0,0,0,0,0,0,3.6353858989576877,3.6353858989576877,3.6353858989576877,3.6353858989576877,3.6353858989576877,3.6353858989576877,0,0,0,0,0,0
AFG,AFG.22_1,AFG.22.2_1,TEMF,0,0,0,0,0,0,35.1429583198331,35.1429583198331,35.1429583198331,35.1429583198331,35.1429583198331,35.1429583198331,0,0,0,0,0,0
AFG,AFG.22_1,AFG.22.8_1,TEMF,0,0,0,0.12822592472609393,0.12165023627860193,0.11507454783110994,5.408221481790644,5.408221481790644,5.408221481790644,5.408221481790644,5.408221481790644,5.408221481790644,0,0,0,0.02371,0.02249,0.02128
AFG,AFG.23_1,AFG.23.3_1,TEMF,0,0,0,0,0,0,0.7568588841446332,0.7568588841446332,0.7568588841446332,0.7568588841446332,0.7568588841446332,0.7568588841446332,0,0,0,0,0,0
AFG,AFG.24_1,AFG.24.2_1,TEMF,0.00332321474099509,0.00288851833445023,0.00245382192790537,0.00201912552136051,0.00158442911481566,0.0011497327082708,1.3613938872210345,1.3613938872210345,1.3613938872210345,1.3613938872210345,1.3613938872210345,1.3613938872210345,0.002441,0.002122,0.001802,0.001483,0.001164,8.445e-4
AFG,AFG.28_1,AFG.28.3_1,TEMF,0,0,0,0,0,0,0.6015779792830716,0.6015779792830716,0.6015779792830716,0.6015779792830716,0.6015779792830716,0.6015779792830716,0,0,0,0,0,0
AFG,AFG.2_1,AFG.2.5_1,TEMF,0.01595668679779365,0.00788262691151803,0.00695525903957473,0.00602789116763144,0.00510052329568814,0.00417315542374484,55.560652617240436,55.560652617240436,55.560652617240436,55.560652617240436,55.560652617240436,55.560652617240436,2.872e-4,1.419e-4,1.252e-4,1.085e-4,9.18e-5,7.511e-5
AFG,AFG.30_1,AFG.30.2_1,TEMF,0,0,0,0,0,0,0.7086834416064475,0.7086834416064475,0.7086834416064475,0.7086834416064475,0.7086834416064475,0.7086834416064475,0,0,0,0,0,0
AFG,AFG.30_1,AFG.30.4_1,TEMF,0,0,0,0,0,0,5.153067380772238,5.153067380772238,5.153067380772238,5.153067380772238,5.153067380772238,5.153067380772238,0,0,0,0,0,0
AFG,AFG.31_1,AFG.31.10_1,TEMF,0,0,0,0,0,0,2.0425491263860955,2.0425491263860955,2.0425491263860955,2.0425491263860955,2.0425491263860955,2.0425491263860955,0,0,0,0,0,0
AFG,AFG.31_1,AFG.31.12_1,TEMF,0,0,0,0,0,0,3.1111113901852177,3.1111113901852177,3.1111113901852177,3.1111113901852177,3.1111113901852177,3.1111113901852177,0,0,0,0,0,0
AFG,AFG.31_1,AFG.31.2_1,TEMF,0,0,0,0,0,0,2.8832358022896125,2.8832358022896125,2.8832358022896125,2.8832358022896125,2.8832358022896125,2.8832358022896125,0,0,0,0,0,0
AFG,AFG.31_1,AFG.31.3_1,TEMF,0,0,0,0,8.107166177979099e-4,7.691414066287863e-4,2.754181658728384,2.754181658728384,2.754181658728384,2.754181658728384,2.754181658728384,2.754181658728384,0,0,0,0,2.944e-4,2.793e-4
AFG,AFG.31_1,AFG.31.4_1,TEMF,0.0020484737047764957,0.001598217102220765,0.001205218255194243,8.747130710437228e-4,6.414110362058683e-4,4.8360212339341806e-4,35.09528456922518,35.09528456922518,35.09528456922518,35.09528456922518,35.09528456922518,35.09528456922518,5.837e-5,4.554e-5,3.434e-5,2.492e-5,1.828e-5,1.378e-5
AFG,AFG.31_1,AFG.31.6_1,TEMF,0,0,0,0,0,0,5.471765237129079,5.471765237129079,5.471765237129079,5.471765237129079,5.471765237129079,5.471765237129079,0,0,0,0,0,0
