GID_0,GID_1,GID_2,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,AFG.13_1,AFG.13.4_1,WHEA,0,0,0,0,0,0,0.0024269307787538486,0.0021307082454297996,0.002048757928297884,0.0018029069769021381,0.002179878435708949,0.0020427236532797387,0,0,0,0,0,0
AFG,AFG.14_1,AFG.14.10_1,WHEA,0,0,0,0,0,0.38537218216437547,134.69481726786745,104.36983133268438,98.79079018589908,113.0205637578119,135.08448404877737,124.80458097229527,0,0,0,0,0,0.003088
AFG,AFG.14_1,AFG.14.13_1,WHEA,0,0,0,0,0,0,75.99723028854417,58.887329652725455,55.73953463416647,63.768227950167436,76.21708727105683,70.41698168946148,0,0,0,0,0,0
AFG,AFG.14_1,AFG.14.1_1,WHEA,0,0,0,0,0,0,45.41733989777903,35.192149192225884,33.31096910521974,38.10906361318247,45.54873046643219,42.08248089862354,0,0,0,0,0,0
AFG,AFG.14_1,AFG.14.9_1,WHEA,0,0,0,0,0,0,32.942654250769166,25.525995265030375,24.161514973380676,27.641726909924763,33.037956047058756,30.523773989804834,0,0,0,0,0,0
AFG,AFG.16_1,AFG.16.5_1,WHEA,0,0,0,0,0,0,18.677478505714063,14.472459452426548,13.698840814269525,15.672014655858623,18.731511712577266,17.30604729867942,0,0,0,0,0,0
AFG,AFG.19_1,AFG.19.1_1,WHEA,0,0,0,0,0,0,66.23858438592242,51.32573042009487,48.582137197358236,55.57988274284012,66.43020999166761,61.37488387576735,0,0,0,0,0,0
AFG,AFG.19_1,AFG.19.2_1,WHEA,0,0,0,0,0,0,2292.8509081009,1776.641948097963,1681.6723730303513,1923.8995790819822,2299.4840351253,2124.4937453561915,0,0,0,0,0,0
AFG,AFG.19_1,AFG.19.3_1,WHEA,0,0,0,0,0,0,723.790775866113,585.2544266185021,569.8549639887059,626.0420665477658,729.8972250076849,683.71374499377,0,0,0,0,0,0
AFG,AFG.19_1,AFG.19.4_1,WHEA,0.6304114260597834,0.4258210894048325,0.247100771562367,0.143566643323814,0.0902473193341008,0.04696861576162397,11060.38168371706,8600.641988622074,8160.661770149517,9303.902960841191,11097.371083489603,10264.510328928754,5.7e-5,4.951e-5,3.028e-5,1.543e-5,8.132e-6,4.576e-6
AFG,AFG.19_1,AFG.19.5_1,WHEA,0,0,0,0,0,0,253.59103985095499,196.49793951677304,185.99423288215957,212.78474457474167,254.3246687029828,234.97061066563603,0,0,0,0,0,0
AFG,AFG.19_1,AFG.19.6_1,WHEA,0,0,0,0,0,0,168.38578444573244,130.47566549255313,123.50114903370368,141.29018972579348,168.8729178626439,156.02172151618672,0,0,0,0,0,0
AFG,AFG.19_1,AFG.19.7_1,WHEA,0.02335253702103409,0.019714111405498093,0.01607568578996208,0.012437260174426078,0.008798834558890082,0.005160408943354074,236.12293641194077,182.96257827116466,173.18239812271696,198.12749986033694,236.80603073135813,218.78513765110037,9.89e-5,1.077e-4,9.283e-5,6.277e-5,3.716e-5,2.359e-5
AFG,AFG.1_1,AFG.1.5_1,WHEA,0,0,0,0,0,0,41.704464652078975,32.31518502231006,30.58779172672476,34.993641194241704,41.82511401944275,38.64223094215735,0,0,0,0,0,0
AFG,AFG.1_1,AFG.1.7_1,WHEA,0,0,0,0,0,0,85.80941663013851,66.49041531147395,62.93620085933859,72.00149820152588,86.05765987979176,79.5086886283364,0,0,0,0,0,0
AFG,AFG.20_1,AFG.20.5_1,WHEA,0,0,0,0,0,0,91.63259263930517,71.0025703462783,67.2071607300001,76.88764489051201,91.89768210692128,84.90428629492413,0,0,0,0,0,0
AFG,AFG.21_1,AFG.21.4_1,WHEA,0,0,0,0,0,0.05655747465537246,132.68408353883376,102.81179113179948,97.316034304612,111.3333848133519,133.06793334656425,122.94148938800777,0,0,0,0,0,4.6e-4
AFG,AFG.22_1,AFG.22.14_1,WHEA,0,0,0,0,0,0,31.904388493496306,24.721483078421386,23.400007614267043,26.770532430451617,31.99668662800015,29.56174497189076,0,0,0,0,0,0
AFG,AFG.22_1,AFG.22.17_1,WHEA,0,0,0,0,0,0,539.790261582628,418.26270452830795,395.90466476784343,452.930564905998,541.3518534676308,500.15508225361253,0,0,0,0,0,0
AFG,AFG.22_1,AFG.22.18_1,WHEA,0,0,0,0,0,0,54.878565853283064,42.52328915147612,40.250226362704126,46.04784784423842,55.03732737455582,50.848997419542236,0,0,0,0,0,0
AFG,AFG.22_1,AFG.22.19_1,WHEA,0,0,0,0,0,0,41.65476050898251,32.27667119425982,30.55133663757127,34.951935133178566,41.775266084225464,38.59617642515685,0,0,0,0,0,0
