GID_0,GID_1,GID_2,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AGO,AGO.12_1,AGO.12.4_1,ORTS,0,0,0,0,0,0,0.02881511275156662,0.02881511275156662,0.02881511275156662,0.02881511275156662,0.02881511275156662,0.02881511275156662,0,0,0,0,0,0
AGO,AGO.17_1,AGO.17.12_1,ORTS,5.69740598742688,5.003363519456138,4.344165983083931,3.6924332373985678,3.0435286722840535,2.3972657454525463,0.016639643524741683,0.016639643524741683,0.016639643524741683,0.016639643524741683,0.016639643524741683,0.016639643524741683,342.4,300.7,261.1,221.9,182.9,144.1
AGO,AGO.17_1,AGO.17.7_1,ORTS,24.661301609300093,26.4120991001222,23.617572744076014,25.805731730865237,22.969319022272952,22.033841251103038,13.325914609804736,13.325914609804736,13.325914609804736,13.325914609804736,13.325914609804736,13.325914609804736,1.851,1.982,1.772,1.937,1.724,1.653
AGO,AGO.18_1,AGO.18.1_1,ORTS,3.267296593471399,2.28184063236613,1.8293291918936665,1.1676092632582113,0.7648748309787542,0.6239559318015336,6.373428780717445,6.373428780717445,6.373428780717445,6.373428780717445,6.373428780717445,6.373428780717445,0.5126,0.358,0.287,0.1832,0.12,0.0979
AGO,AGO.4_1,AGO.4.1_1,ORTS,94.4677084776048,92.66660143969226,92.69782830198886,115.88560254151876,113.94512459017831,108.39972227721482,7.417034886715577,7.417034886715577,7.417034886715577,7.417034886715577,7.417034886715577,7.417034886715577,12.74,12.49,12.5,15.62,15.36,14.61
AGO,AGO.5_1,AGO.5.1_1,ORTS,9.37180506333903,8.131633795406257,6.9609852447657286,6.153511511996441,4.979900346361818,3.8307700572289365,384.3533426264337,384.3533426264337,384.3533426264337,384.3533426264337,384.3533426264337,384.3533426264337,0.02438,0.02116,0.01811,0.01601,0.01296,0.009967
AGO,AGO.5_1,AGO.5.2_1,ORTS,186.7188736921313,161.0318118219984,135.37789024788907,109.72507543168334,84.0986448472706,58.72772964727961,396.33979676848986,396.33979676848986,396.33979676848986,396.33979676848986,396.33979676848986,396.33979676848986,0.4711,0.4063,0.3416,0.2768,0.2122,0.1482
AGO,AGO.5_1,AGO.5.5_1,ORTS,39.51532432543407,34.69785920700252,29.9202605075741,25.115490581113978,20.363906870217793,15.55914772032383,166.72140511302982,166.72140511302982,166.72140511302982,166.72140511302982,166.72140511302982,166.72140511302982,0.237,0.2081,0.1795,0.1506,0.1221,0.09332
ARG,ARG.17_1,ARG.17.18_1,ORTS,0.21009781879650535,0.18481312304914285,0.16313255946249822,0.1359448576735927,0.11826507204142585,0.09502960162766252,0.1034878396966772,0.1034878396966772,0.1034878396966772,0.1034878396966772,0.1034878396966772,0.1034878396966772,2.03,1.786,1.576,1.314,1.143,0.9183
ARG,ARG.17_1,ARG.17.23_1,ORTS,0.20730265885603355,0.1768954213210801,0.14648818378612666,0.11608094625117318,0.08567370871621972,0.05526647118126627,0.002391882700389806,0.002391882700389806,0.002391882700389806,0.002391882700389806,0.002391882700389806,0.002391882700389806,86.67,73.96,61.24,48.53,35.82,23.11
ARG,ARG.17_1,ARG.17.8_1,ORTS,6.7254167052016545,5.841833985099325,5.026980183640657,4.187261233280494,3.309803117058669,2.4289918455474906,1.2597362511113468,1.2597362511113468,1.2597362511113468,1.2597362511113468,1.2597362511113468,1.2597362511113468,5.339,4.637,3.991,3.324,2.627,1.928
ATG,ATG.1_1,NA,ORTS,0.03118942955183597,0.02683736383947661,0.02248529812711724,0.01813323241475788,0.01378116670239852,0.00942910099003916,0.01996642673450949,0.01996642673450949,0.01996642673450949,0.01996642673450949,0.01996642673450949,0.01996642673450949,1.562,1.344,1.126,0.9082,0.6902,0.4722
ATG,ATG.3_1,NA,ORTS,0.0964608741708519,0.0839884154752858,0.0715159567797197,0.05904349808415358,0.04657103938858747,0.03409858069302136,0.5152696137119669,0.5152696137119669,0.5152696137119669,0.5152696137119669,0.5152696137119669,0.5152696137119669,0.1872,0.163,0.1388,0.1146,0.09038,0.06618
ATG,ATG.4_1,NA,ORTS,0.04477703230246712,0.02600125832167336,0.01610259189662078,0.00858031110798442,0.0037013362056162397,0.00118030244580716,0.7749584641811166,0.7749584641811166,0.7749584641811166,0.7749584641811166,0.7749584641811166,0.7749584641811166,0.05778,0.03355,0.02078,0.01107,0.004776,0.001523
ATG,ATG.5_1,NA,ORTS,0.3036789614906454,0.2133593299625285,0.1284452584478434,0.05715645402307722,0.01352689569787278,0,2.3786962484373175,2.3786962484373175,2.3786962484373175,2.3786962484373175,2.3786962484373175,2.3786962484373175,0.1277,0.0897,0.054,0.02403,0.005687,0
