GID_0,GID_1,GID_2,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,AFG.19_1,AFG.19.2_1,SMIL,0,0,0,0,0,0,0.00111361997400962,0.00111361997400962,0.00111361997400962,0.00111361997400962,0.00111361997400962,0.00111361997400962,0,0,0,0,0,0
AFG,AFG.19_1,AFG.19.3_1,SMIL,0.010710995103468186,0.009744381452981577,0.00877776780249496,0.007811154152008342,0.006844540501521725,0.0058779268510351064,0.027853368440426574,0.027853368440426574,0.027853368440426574,0.027853368440426574,0.027853368440426574,0.027853368440426574,0.3845,0.3498,0.3151,0.2804,0.2457,0.211
AFG,AFG.19_1,AFG.19.4_1,SMIL,0.13126797131790408,0.11931488311104252,0.10738339940424681,0.09556744653407594,0.08387684773296569,0.07221175488363576,0.24305621982114278,0.24305621982114278,0.24305621982114278,0.24305621982114278,0.24305621982114278,0.24305621982114278,0.5401,0.4909,0.4418,0.3932,0.3451,0.2971
AFG,AFG.22_1,AFG.22.17_1,SMIL,0,0,0,0,0,0,0.005244367107753175,0.005244367107753175,0.005244367107753175,0.005244367107753175,0.005244367107753175,0.005244367107753175,0,0,0,0,0,0
AFG,AFG.22_1,AFG.22.2_1,SMIL,0,0,0,0,0,0,8.406831994401477e-4,8.406831994401477e-4,8.406831994401477e-4,8.406831994401477e-4,8.406831994401477e-4,8.406831994401477e-4,0,0,0,0,0,0
AFG,AFG.29_1,AFG.29.3_1,SMIL,0,0,0,0,0,0,6.106902810590259e-4,6.106902810590259e-4,6.106902810590259e-4,6.106902810590259e-4,6.106902810590259e-4,6.106902810590259e-4,0,0,0,0,0,0
AFG,AFG.31_1,AFG.31.12_1,SMIL,0,0,0,0,0,0,0.011370508893131672,0.011370508893131672,0.011370508893131672,0.011370508893131672,0.011370508893131672,0.011370508893131672,0,0,0,0,0,0
AFG,AFG.31_1,AFG.31.2_1,SMIL,0,0,0,0,0,0,5.028904892590344e-4,5.028904892590344e-4,5.028904892590344e-4,5.028904892590344e-4,5.028904892590344e-4,5.028904892590344e-4,0,0,0,0,0,0
AFG,AFG.31_1,AFG.31.4_1,SMIL,0.005816766328569864,0.005007503570565283,0.004386433720517207,0.0037831754547632533,0.003216527594730845,0.0026867795727213315,0.13086155617987566,0.13086155617987566,0.13086155617987566,0.13086155617987566,0.13086155617987566,0.13086155617987566,0.04445,0.03827,0.03352,0.02891,0.02458,0.02053
AFG,AFG.31_1,AFG.31.6_1,SMIL,0,0,0,0,0,0,0.003380470602929647,0.003380470602929647,0.003380470602929647,0.003380470602929647,0.003380470602929647,0.003380470602929647,0,0,0,0,0,0
AFG,AFG.31_1,AFG.31.8_1,SMIL,0,0,0,0,0,0,0.009647347305131962,0.009647347305131962,0.009647347305131962,0.009647347305131962,0.009647347305131962,0.009647347305131962,0,0,0,0,0,0
AFG,AFG.31_1,AFG.31.9_1,SMIL,0,0,0,0,0,0,0.0014331325314638139,0.0014331325314638139,0.0014331325314638139,0.0014331325314638139,0.0014331325314638139,0.0014331325314638139,0,0,0,0,0,0
AFG,AFG.3_1,AFG.3.11_1,SMIL,0,0,0,0,0,0,0.01950588487622458,0.01950588487622458,0.01950588487622458,0.01950588487622458,0.01950588487622458,0.01950588487622458,0,0,0,0,0,0
AFG,AFG.3_1,AFG.3.2_1,SMIL,0,0,0,0,0,0,2.875380241840934e-4,2.875380241840934e-4,2.875380241840934e-4,2.875380241840934e-4,2.875380241840934e-4,2.875380241840934e-4,0,0,0,0,0,0
AFG,AFG.3_1,AFG.3.3_1,SMIL,0,0,0,0,0,0,0.005461855644265589,0.005461855644265589,0.005461855644265589,0.005461855644265589,0.005461855644265589,0.005461855644265589,0,0,0,0,0,0
AFG,AFG.3_1,AFG.3.4_1,SMIL,0,0,0,0,0,0,0.004811070893410947,0.004811070893410947,0.004811070893410947,0.004811070893410947,0.004811070893410947,0.004811070893410947,0,0,0,0,0,0
ARG,ARG.10_1,ARG.10.10_1,SMIL,0.43083313044439575,0.40940778758077223,0.3874826614827496,0.36433457102255745,0.3404217282667865,0.3180707626765325,0.09622285237575048,0.09622285237575048,0.09622285237575048,0.09622285237575048,0.09622285237575048,0.09622285237575048,4.477,4.255,4.027,3.786,3.538,3.306
ARG,ARG.10_1,ARG.10.3_1,SMIL,0.11677554356774043,0.11247528890587077,0.10813306811022341,0.10169067257495011,0.09852786386666715,0.09167181972113153,0.16744191198561587,0.16744191198561587,0.16744191198561587,0.16744191198561587,0.16744191198561587,0.16744191198561587,0.6974,0.6717,0.6458,0.6073,0.5884,0.5475
