GID_0,GID_1,GID_2,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AGO,AGO.12_1,AGO.12.4_1,PLNT,0,0,0,0,0,0,0.023052090201253296,0.02313444078170455,0.023150199460018207,0.02319941750220554,0.023248735013056708,0.023208793908697265,0,0,0,0,0,0
AGO,AGO.17_1,AGO.17.7_1,PLNT,69.6425259467356,80.67738489188659,75.68420165982862,84.96980685911083,77.00747941528701,73.02493068569805,22.295282155191043,22.374929137775926,22.39017045326309,22.43777265020543,22.48547105022118,22.44684122604865,3.124,3.606,3.38,3.787,3.425,3.253
AGO,AGO.18_1,AGO.18.1_1,PLNT,2.823908771568945,2.5401326701767624,2.900262769468347,2.3020883068920917,1.9022652710077226,1.7026619782963826,10.205679136184202,10.242137591509797,10.249114313059794,10.270904248024033,10.292738220004368,10.275055394200782,0.2767,0.248,0.283,0.2241,0.1848,0.1657
AGO,AGO.4_1,AGO.4.1_1,PLNT,373.0191061298494,367.6312988712267,368.87486664087663,462.3232518566448,455.7683770792441,434.35707436309684,32.529894786119385,32.50823870300359,32.51444319004902,32.52239401132795,32.530344832606865,32.52383935870178,11.47,11.31,11.34,14.22,14.01,13.36
ARG,ARG.17_1,ARG.17.18_1,PLNT,0.23138992301561936,0.20354605376808718,0.175702184520555,0.14785831527302284,0.12001444602549066,0.09217057677795848,0.008568800316837641,0.008568800316837641,0.008568800316837641,0.008568800316837641,0.008568800316837641,0.008568800316837641,27,23.75,20.5,17.26,14.01,10.76
ARG,ARG.17_1,ARG.17.8_1,PLNT,29.38814853204496,25.533961368551974,21.67977420505899,17.825587041566006,13.971399878073019,10.117212714580036,0.09144161149375417,0.09144161149375417,0.09144161149375417,0.09144161149375417,0.09144161149375417,0.09144161149375417,321.4,279.2,237.1,194.9,152.8,110.6
BDI,BDI.10_1,BDI.10.1_1,PLNT,2.778694394123738,2.135379126436699,2.4238253633787803,4.162110589713017,4.880280781848734,5.0592496100988456,1867.5299837757639,1867.5299837757639,1867.5299837757639,1867.5299837757639,1867.5299837757639,1867.5299837757639,0.001488,0.001143,0.0012979999999999999,0.002229,0.002613,0.002709
BDI,BDI.10_1,BDI.10.2_1,PLNT,18.605650735165987,19.590781074885935,19.22125641480529,24.177107130923716,35.18484761199636,61.216795320515395,1793.9799789450606,1793.9799789450606,1793.9799789450606,1793.9799789450606,1793.9799789450606,1793.9799789450606,0.01037,0.01092,0.01071,0.01348,0.01961,0.03412
BDI,BDI.10_1,BDI.10.3_1,PLNT,8.86707823181164,8.694032624278554,8.088239177288203,8.57226749922344,12.045379664531,12.35078033082552,545.1158052252948,545.1158052252948,545.1158052252948,545.1158052252948,545.1158052252948,545.1158052252948,0.01627,0.01595,0.01484,0.01573,0.0221,0.02266
BDI,BDI.10_1,BDI.10.4_1,PLNT,23.813424426589325,22.065989133593476,20.93593664635297,19.15684069665172,18.666262455721785,21.360671428954,892.0161186480724,892.0161186480724,892.0161186480724,892.0161186480724,892.0161186480724,892.0161186480724,0.0267,0.02474,0.02347,0.02148,0.02093,0.02395
BDI,BDI.10_1,BDI.10.5_1,PLNT,19.241322659075315,21.177532158308505,26.452888701197494,29.475403548073206,29.36952156127193,43.41517338347865,2062.5887432728537,2062.5887432728537,2062.5887432728537,2062.5887432728537,2062.5887432728537,2062.5887432728537,0.009329,0.01027,0.01283,0.01429,0.01424,0.02105
BDI,BDI.10_1,BDI.10.6_1,PLNT,14.55001585286247,14.709036857344381,14.321077103674108,20.813992541427094,20.54110786336716,21.371333723875487,1229.207949093156,1229.207949093156,1229.207949093156,1229.207949093156,1229.207949093156,1229.207949093156,0.01184,0.01197,0.01165,0.01693,0.01671,0.01739
BDI,BDI.10_1,BDI.10.7_1,PLNT,11.51371158479682,11.424738040409661,15.588249492930967,16.665774253614657,23.97741266970941,30.11066971668006,1220.9817298947587,1220.9817298947587,1220.9817298947587,1220.9817298947587,1220.9817298947587,1220.9817298947587,0.00943,0.009357,0.01277,0.01365,0.01964,0.02466
BDI,BDI.11_1,BDI.11.1_1,PLNT,165.9009312080174,143.76133585826057,121.81136209831675,99.22043076707543,76.49623612386543,55.21358393290172,599.2311257233853,599.2680888618969,599.3078868058265,599.3019816706167,599.2960765354069,599.2994416878,0.2769,0.2399,0.2033,0.1656,0.1276,0.09213
BDI,BDI.11_1,BDI.11.2_1,PLNT,20.918022547439744,18.42754202077478,15.808719788717102,13.180851085613938,10.78150257152024,8.060924055054702,362.60055840160044,362.6315719068846,362.66496392374387,362.66000928651863,362.65505464929333,362.6578781425282,0.05769,0.05082,0.04359,0.03634,0.02973,0.02223
BDI,BDI.11_1,BDI.11.3_1,PLNT,0,0,0,0,0,0,40.02104483733916,40.02104483733916,40.02104483733916,40.02104483733916,40.02104483733916,40.02104483733916,0,0,0,0,0,0
BDI,BDI.11_1,BDI.11.4_1,PLNT,63.613281285246785,56.76659976007048,51.07816775377335,45.77483531584778,45.34579875416314,38.12952036869414,1049.6429556880048,1049.678094097144,1049.7159273681536,1049.7103137469792,1049.7047001258047,1049.7078991534406,0.0606,0.05408,0.04866,0.04361,0.0432,0.03632
BDI,BDI.11_1,BDI.11.5_1,PLNT,4.227899981236379,4.350314890273,5.084239372688304,6.145368248881165,8.202736356013407,9.89101437750266,304.71267166392556,304.71267166392556,304.71267166392556,304.71267166392556,304.71267166392556,304.71267166392556,0.01388,0.01428,0.01669,0.02017,0.02692,0.03246
BDI,BDI.11_1,BDI.11.6_1,PLNT,83.68635750659882,90.59468335716537,83.57634311388216,84.06734123768719,75.62106985759223,69.41996041634718,1770.986578876522,1770.986578876522,1770.986578876522,1770.986578876522,1770.986578876522,1770.986578876522,0.04725,0.05115,0.04719,0.04747,0.0427,0.0392
BDI,BDI.11_1,BDI.11.7_1,PLNT,67.65433947409012,68.35420353425607,69.30936194319042,66.92057908192353,64.33810041863076,61.070880848007434,1542.3071399303446,1542.3071399303446,1542.3071399303446,1542.3071399303446,1542.3071399303446,1542.3071399303446,0.04387,0.04432,0.04494,0.04339,0.04172,0.0396
BDI,BDI.12_1,BDI.12.1_1,PLNT,0.05698021958138549,0.2864366763353807,0.2698774959832029,0.2533183156310251,0.2367591352788473,0.22019995492666944,57.05379600698292,57.05379600698292,57.05379600698292,57.05379600698292,57.05379600698292,57.05379600698292,9.987e-4,0.00502,0.00473,0.00444,0.00415,0.00386
BDI,BDI.12_1,BDI.12.2_1,PLNT,4.744255382762107,4.460077187695707,4.934124584289911,4.8345281536317595,4.830690115427211,4.596951765692374,257.3621345972124,257.3621345972124,257.3621345972124,257.3621345972124,257.3621345972124,257.3621345972124,0.01843,0.01733,0.01917,0.01878,0.01877,0.01786
BDI,BDI.12_1,BDI.12.3_1,PLNT,4.011901847994695,4.615340829748728,5.708628746111751,5.359775232833841,5.0905307630978145,6.2004101293759994,611.5065825806169,611.5065825806169,611.5065825806169,611.5065825806169,611.5065825806169,611.5065825806169,0.006561,0.007547,0.009335,0.008765,0.008325,0.01014
BDI,BDI.12_1,BDI.12.4_1,PLNT,0,0,0,0,1.365391160233141,1.2953711007340054,30.450552075519067,30.450552075519067,30.450552075519067,30.450552075519067,30.450552075519067,30.450552075519067,0,0,0,0,0.04484,0.04254
BDI,BDI.12_1,BDI.12.5_1,PLNT,1.159230354286832,1.1287445718317397,1.115730557926149,1.7973913220698141,2.4952852367527996,2.68548640493718,206.6678681689043,206.6678681689043,206.6678681689043,206.6678681689043,206.6678681689043,206.6678681689043,0.005609,0.005462,0.005399,0.008697,0.012070000000000001,0.01299
BDI,BDI.13_1,BDI.13.1_1,PLNT,7.410780432301999,7.743768301636798,7.158406283472651,11.54050629969466,11.339818205668744,16.159220100559196,1361.967722750731,1361.9677239570844,1361.9677252559568,1361.967725063233,1361.967724870509,1361.9677249803365,0.005441,0.005686,0.005256,0.008473,0.008326,0.01186
BDI,BDI.13_1,BDI.13.2_1,PLNT,56.130004906513044,85.05019485783497,79.7795768778145,101.08944983072516,119.13225620442242,143.19379471772731,1387.786861048553,1387.786861048553,1387.786861048553,1387.786861048553,1387.786861048553,1387.786861048553,0.04045,0.06128,0.05749,0.07284,0.08584,0.1032
BDI,BDI.13_1,BDI.13.3_1,PLNT,28.881109740750787,32.730669680040265,33.14916488649464,38.56824788848395,47.40389684907582,55.81458988494491,911.9053809515833,911.9053809515833,911.9053809515833,911.9053809515833,911.9053809515833,911.9053809515833,0.03167,0.03589,0.03635,0.04229,0.05198,0.06121
