GID_0,GID_1,GID_2,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AFG,AFG.19_1,AFG.19.1_1,OOIL,0,0,0,0,0,0,0.24143194480447597,0.24143194480447597,0.24143194480447597,0.24143194480447597,0.24143194480447597,0.24143194480447597,0,0,0,0,0,0
AFG,AFG.19_1,AFG.19.2_1,OOIL,0,0,1.5920012375226323e-4,2.0732025046716265e-4,1.9626977049908392e-4,1.852192905310052e-4,10.210113012780248,10.210113012780248,10.210113012780248,10.210113012780248,10.210113012780248,10.210113012780248,0,0,1.559e-5,2.031e-5,1.922e-5,1.814e-5
AFG,AFG.19_1,AFG.19.3_1,OOIL,0.006837277843882466,0.006202327871979888,0.005597940187101129,0.004993552502222368,0.004397131733090193,0.003808677879704584,2.8475977962281105,2.8475977962281105,2.8475977962281105,2.8475977962281105,2.8475977962281105,2.8475977962281105,0.002401,0.002178,0.001966,0.001754,0.001544,0.001338
AFG,AFG.19_1,AFG.19.4_1,OOIL,0.041490360392567274,0.037843173464271844,0.03419598653597643,0.030548799607681018,0.02690161267938558,0.023254425751090158,24.906504702225135,24.906504702225135,24.906504702225135,24.906504702225135,24.906504702225135,24.906504702225135,0.001666,0.001519,0.001373,0.001227,0.00108,9.337e-4
AFG,AFG.19_1,AFG.19.5_1,OOIL,0,0,0,8.723874665890982e-6,8.276496477896573e-6,7.829118289902165e-6,0.7406046225503335,0.7406046225503335,0.7406046225503335,0.7406046225503335,0.7406046225503335,0.7406046225503335,0,0,0,1.178e-5,1.118e-5,1.057e-5
AFG,AFG.19_1,AFG.19.6_1,OOIL,0,0,0,0,0,0,0.7989703920348048,0.7989703920348048,0.7989703920348048,0.7989703920348048,0.7989703920348048,0.7989703920348048,0,0,0,0,0,0
AFG,AFG.19_1,AFG.19.7_1,OOIL,0,0,0,8.049816130332091e-5,7.637005046725317e-5,7.224193963118543e-5,0.6252231814098039,0.6252231814098039,0.6252231814098039,0.6252231814098039,0.6252231814098039,0.6252231814098039,0,0,0,1.288e-4,1.221e-4,1.155e-4
AFG,AFG.1_1,AFG.1.7_1,OOIL,0,0,0,0,0,0,0.6180370497446642,0.6180370497446642,0.6180370497446642,0.6180370497446642,0.6180370497446642,0.6180370497446642,0,0,0,0,0,0
AFG,AFG.20_1,AFG.20.5_1,OOIL,0,0,0,3.219179678467783e-6,3.0540935411104606e-6,2.889007403753139e-6,0.8682881797474123,0.8682881797474123,0.8682881797474123,0.8682881797474123,0.8682881797474123,0.8682881797474123,0,0,0,3.708e-6,3.517e-6,3.327e-6
AFG,AFG.22_1,AFG.22.14_1,OOIL,0,0,0,0,0,0,0.01722931732638713,0.01722931732638713,0.01722931732638713,0.01722931732638713,0.01722931732638713,0.01722931732638713,0,0,0,0,0,0
AFG,AFG.22_1,AFG.22.17_1,OOIL,0,0,0,0,1.630127090537592e-4,1.546530829484382e-4,0.5443231490480709,0.5443231490480709,0.5443231490480709,0.5443231490480709,0.5443231490480709,0.5443231490480709,0,0,0,0,2.995e-4,2.841e-4
AFG,AFG.22_1,AFG.22.18_1,OOIL,0,0,0,0,0,0,0.04453729167413927,0.04453729167413927,0.04453729167413927,0.04453729167413927,0.04453729167413927,0.04453729167413927,0,0,0,0,0,0
AFG,AFG.22_1,AFG.22.19_1,OOIL,0,0,0,0,0,0,0.08396256571799868,0.08396256571799868,0.08396256571799868,0.08396256571799868,0.08396256571799868,0.08396256571799868,0,0,0,0,0,0
AFG,AFG.22_1,AFG.22.20_1,OOIL,0,0,0,0.0021496655974206,0.00203942633601442,0.00192918707460823,0.0876491124203573,0.0876491124203573,0.0876491124203573,0.0876491124203573,0.0876491124203573,0.0876491124203573,0,0,0,0.02453,0.02327,0.02201
