GID_0,GID_1,GID_2,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AGO,AGO.12_1,AGO.12.4_1,ORTS,0,0,0,0,0,0,0.02881511275156662,0.02881511275156662,0.02881511275156662,0.02881511275156662,0.02881511275156662,0.02881511275156662,0,0,0,0,0,0
AGO,AGO.17_1,AGO.17.12_1,ORTS,0.03408415188971147,0.02977636705401834,0.025800655107281422,0.02188597418887316,0.01800021512566688,0.014140136371937794,0.016639643524741683,0.016639643524741683,0.016639643524741683,0.016639643524741683,0.016639643524741683,0.016639643524741683,2.048,1.789,1.551,1.315,1.082,0.8498
AGO,AGO.17_1,AGO.17.7_1,ORTS,0.16722037699797096,0.1466626452952362,0.12004847178035202,0.1033911206685677,0.08554906690851191,0.07601018109558662,13.325914609804736,13.325914609804736,13.325914609804736,13.325914609804736,13.325914609804736,13.325914609804736,0.01255,0.01101,0.009009,0.007759,0.00642,0.005704
AGO,AGO.18_1,AGO.18.1_1,ORTS,0.04112152803306404,0.023925555436270573,0.014024340602339687,0.006601177203965059,0.002353492116650406,0.00117600225897378,6.373428780717445,6.373428780717445,6.373428780717445,6.373428780717445,6.373428780717445,6.373428780717445,0.006452,0.003754,0.0022,0.001036,3.693e-4,1.845e-4
AGO,AGO.4_1,AGO.4.1_1,ORTS,0.2873882094163321,0.276850174960997,0.2601078121349889,0.25399152311738965,0.2333163721185058,0.21469704021160957,7.417034886715577,7.417034886715577,7.417034886715577,7.417034886715577,7.417034886715577,7.417034886715577,0.03875,0.03733,0.03507,0.03424,0.03146,0.02895
AGO,AGO.5_1,AGO.5.1_1,ORTS,0.03317694289562633,0.02868190995763367,0.02423277456815433,0.019888057158718,0.015399221239981062,0.010893165392785608,384.3533426264337,384.3533426264337,384.3533426264337,384.3533426264337,384.3533426264337,384.3533426264337,8.632e-5,7.462e-5,6.305e-5,5.174e-5,4.007e-5,2.834e-5
AGO,AGO.5_1,AGO.5.2_1,ORTS,0.7774754718987126,0.6678269829307071,0.5584837671457006,0.44915000335292377,0.33997201733401056,0.23224526607183021,396.33979676848986,396.33979676848986,396.33979676848986,396.33979676848986,396.33979676848986,396.33979676848986,0.001962,0.001685,0.001409,0.001133,8.578e-4,5.86e-4
AGO,AGO.5_1,AGO.5.5_1,ORTS,0.1322021993463148,0.11553424365000724,0.09905247833653513,0.08271919413402842,0.06639705075376097,0.05008479129603394,166.72140511302982,166.72140511302982,166.72140511302982,166.72140511302982,166.72140511302982,166.72140511302982,7.93e-4,6.93e-4,5.941e-4,4.962e-4,3.983e-4,3.004e-4
ARG,ARG.17_1,ARG.17.18_1,ORTS,0.0012114681873268921,0.001058275009233947,9.05386777910875e-4,7.448800752512929e-4,5.87507210696649e-4,4.4163121601598234e-4,0.1034878396966772,0.1034878396966772,0.1034878396966772,0.1034878396966772,0.1034878396966772,0.1034878396966772,0.01171,0.01023,0.008749,0.007198,0.005677,0.004267
ARG,ARG.17_1,ARG.17.23_1,ORTS,0.0011938441639570891,0.0010146585383502185,8.354729127433478e-4,6.562872871364769e-4,4.7710166152960633e-4,2.9791603592273556e-4,0.002391882700389806,0.002391882700389806,0.002391882700389806,0.002391882700389806,0.002391882700389806,0.002391882700389806,0.4991,0.4242,0.3493,0.2744,0.1995,0.1246
ARG,ARG.17_1,ARG.17.8_1,ORTS,0.04485009904898993,0.03895328129968956,0.03327678201731671,0.027691564643121638,0.021799562690267477,0.015876078316736566,1.2597362511113468,1.2597362511113468,1.2597362511113468,1.2597362511113468,1.2597362511113468,1.2597362511113468,0.0356,0.03092,0.02642,0.02198,0.0173,0.0126
ATG,ATG.1_1,NA,ORTS,2.6764365865177236e-4,2.2953708727606643e-4,1.9143051590036052e-4,1.533239445246546e-4,1.152173731489487e-4,7.71108017732428e-5,0.01996642673450949,0.01996642673450949,0.01996642673450949,0.01996642673450949,0.01996642673450949,0.01996642673450949,0.0134,0.0115,0.009588,0.007679,0.005771,0.003862
ATG,ATG.3_1,NA,ORTS,8.042725463085312e-4,7.002572999425214e-4,5.962420535765116e-4,4.922268072105019e-4,3.882115608444921e-4,2.8419631447848233e-4,0.5152696137119669,0.5152696137119669,0.5152696137119669,0.5152696137119669,0.5152696137119669,0.5152696137119669,0.001561,0.001359,0.001157,9.553e-4,7.534e-4,5.515e-4
ATG,ATG.4_1,NA,ORTS,4.1442343351496885e-4,2.5434184162512197e-4,1.6583824898963335e-4,9.657384337782344e-5,4.789672804624226e-5,1.6375084411379052e-5,0.7749584641811166,0.7749584641811166,0.7749584641811166,0.7749584641811166,0.7749584641811166,0.7749584641811166,5.348e-4,3.282e-4,2.14e-4,1.246e-4,6.181e-5,2.113e-5
ATG,ATG.5_1,NA,ORTS,0.002089701515037573,0.00146000397651747,8.714304635186161e-4,3.84499565036668e-4,9.117645373465211e-5,0,2.3786962484373175,2.3786962484373175,2.3786962484373175,2.3786962484373175,2.3786962484373175,2.3786962484373175,8.785e-4,6.138e-4,3.663e-4,1.616e-4,3.833e-5,0
ATG,ATG.6_1,NA,ORTS,4.4142709354510725e-4,3.01903178422932e-4,2.026803716207402e-4,1.1950644667075002e-4,6.940333775351401e-5,3.632216301683056e-5,1.8408683297661224,1.8408683297661224,1.8408683297661224,1.8408683297661224,1.8408683297661224,1.8408683297661224,2.398e-4,1.64e-4,1.101e-4,6.492e-5,3.77e-5,1.973e-5
ATG,ATG.7_1,NA,ORTS,0.011874862292907348,0.01001858906426557,0.008361001664692017,0.00671802550400541,0.0050840624805444865,0.0034626486186651135,2.7007613238550707,2.7007613238550707,2.7007613238550707,2.7007613238550707,2.7007613238550707,2.7007613238550707,0.004397,0.00371,0.003096,0.002487,0.001882,0.001282
ATG,ATG.8_1,NA,ORTS,0.0013187431575527,0.00112979189341434,9.408406292759792e-4,7.51889365137615e-4,5.629381009992508e-4,3.739868368608866e-4,1.6521505755068435,1.6521505755068435,1.6521505755068435,1.6521505755068435,1.6521505755068435,1.6521505755068435,7.982e-4,6.838e-4,5.695e-4,4.551e-4,3.407e-4,2.264e-4
BDI,BDI.10_1,BDI.10.1_1,ORTS,9.346951692466123e-4,4.698787077490695e-4,2.4436563249914173e-4,1.1432942760575901e-4,2.6897522711553868e-5,0,225.2483422971804,225.2483422971804,225.2483422971804,225.2483422971804,225.2483422971804,225.2483422971804,4.15e-6,2.086e-6,1.085e-6,5.076e-7,1.194e-7,0
BDI,BDI.10_1,BDI.10.2_1,ORTS,0.005583834800960146,0.0032396390622121225,0.001832760691127772,8.577942448400091e-4,2.517361994588306e-4,1.2278412072639767e-5,282.5509249206264,282.5509249206264,282.5509249206264,282.5509249206264,282.5509249206264,282.5509249206264,1.976e-5,1.147e-5,6.486e-6,3.036e-6,8.909e-7,4.346e-8
BDI,BDI.10_1,BDI.10.3_1,ORTS,0.002242472723166878,0.0014426706692805974,9.126232660368528e-4,5.173775771766288e-4,2.298192994205145e-4,9.900264572599112e-5,88.48804227998073,88.48804227998073,88.48804227998073,88.48804227998073,88.48804227998073,88.48804227998073,2.534e-5,1.63e-5,1.031e-5,5.847e-6,2.597e-6,1.119e-6
BDI,BDI.10_1,BDI.10.4_1,ORTS,0.002496150216562245,0.0014765416461130889,8.912855473216887e-4,4.4034408774034945e-4,1.30463034920215e-4,1.934836663477031e-5,127.02553308339402,127.02553308339402,127.02553308339402,127.02553308339402,127.02553308339402,127.02553308339402,1.965e-5,1.162e-5,7.017e-6,3.467e-6,1.027e-6,1.523e-7
BDI,BDI.10_1,BDI.10.5_1,ORTS,0.0014027455656437655,7.385876600030367e-4,4.132971887087742e-4,1.8170554844432543e-4,5.333833060205133e-5,0,234.44240674604694,234.44240674604694,234.44240674604694,234.44240674604694,234.44240674604694,234.44240674604694,5.983e-6,3.15e-6,1.763e-6,7.751e-7,2.275e-7,0
BDI,BDI.10_1,BDI.10.6_1,ORTS,2.8448519132296584e-4,1.7287956957107097e-4,8.994339386864872e-5,3.7831766202887796e-5,1.0786269544819404e-5,0,116.68105637318153,116.68105637318153,116.68105637318153,116.68105637318153,116.68105637318153,116.68105637318153,2.438e-6,1.482e-6,7.708e-7,3.242e-7,9.244e-8,0
BDI,BDI.10_1,BDI.10.7_1,ORTS,0.0013179245114028541,8.411968836535806e-4,5.22955906990603e-4,2.9256927480945634e-4,1.3032274891770508e-4,4.6040490902495045e-5,169.17560011352768,169.17560011352768,169.17560011352768,169.17560011352768,169.17560011352768,169.17560011352768,7.79e-6,4.972e-6,3.091e-6,1.729e-6,7.703e-7,2.721e-7
BDI,BDI.11_1,BDI.11.1_1,ORTS,0.07194968236781149,0.04629972955332156,0.02802764186110922,0.016772596858696004,0.007834149222467737,0.003198321245741403,435.1827187107165,435.1827187107165,435.1827187107165,435.1827187107165,435.1827187107165,435.1827187107165,1.653e-4,1.064e-4,6.44e-5,3.854e-5,1.8e-5,7.349e-6
BDI,BDI.11_1,BDI.11.2_1,ORTS,0.009980429530991236,0.005996451227468861,0.003087479323056138,0.0012594649069985733,2.915797951119867e-4,1.4294149331411697e-5,223.8763580889093,223.8763580889093,223.8763580889093,223.8763580889093,223.8763580889093,223.8763580889093,4.458e-5,2.678e-5,1.379e-5,5.626e-6,1.302e-6,6.385e-8
BDI,BDI.11_1,BDI.11.3_1,ORTS,0,0,0,0,0,0,22.134245461071615,22.134245461071615,22.134245461071615,22.134245461071615,22.134245461071615,22.134245461071615,0,0,0,0,0,0
BDI,BDI.11_1,BDI.11.4_1,ORTS,0.11597033569224494,0.06629976558954818,0.03469516416663382,0.015685056542616118,0.005725857826803858,0.00377251172708258,374.4592804421441,374.4592804421441,374.4592804421441,374.4592804421441,374.4592804421441,374.4592804421441,3.097e-4,1.771e-4,9.265e-5,4.189e-5,1.529e-5,1.007e-5
BDI,BDI.11_1,BDI.11.5_1,ORTS,0.00912623805669324,0.006483639059421314,0.004311499532808483,0.003087628128819688,0.002778404049244173,0.002490125431210822,121.32606810395397,121.32606810395397,121.32606810395397,121.32606810395397,121.32606810395397,121.32606810395397,7.522e-5,5.344e-5,3.554e-5,2.545e-5,2.29e-5,2.052e-5
BDI,BDI.11_1,BDI.11.6_1,ORTS,0.33914015017327015,0.22080052352188378,0.13777202539080866,0.07931825367536728,0.041087073994821414,0.02652820631359614,1042.395038062777,1042.395038062777,1042.395038062777,1042.395038062777,1042.395038062777,1042.395038062777,3.253e-4,2.118e-4,1.322e-4,7.609e-5,3.942e-5,2.545e-5
BDI,BDI.11_1,BDI.11.7_1,ORTS,0.030447668282593793,0.019793363620428696,0.01185895034211698,0.006991487425104484,0.004373784836336311,0.002772681840814409,238.17010744729083,238.17010744729083,238.17010744729083,238.17010744729083,238.17010744729083,238.17010744729083,1.278e-4,8.311e-5,4.979e-5,2.936e-5,1.836e-5,1.164e-5
BDI,BDI.12_1,BDI.12.1_1,ORTS,0.09520595255524596,0.0948489030856253,0.08864813805116162,0.0820307981544189,0.075547023605270755,0.06883635912017386,95.4515209738401,95.4515209738401,95.4515209738401,95.4515209738401,95.4515209738401,95.4515209738401,9.974e-4,9.937e-4,9.287e-4,8.594e-4,7.915e-4,7.212e-4
BDI,BDI.12_1,BDI.12.2_1,ORTS,0.0015797218103340207,0.001184716957887849,0.0010289759763288174,8.30490894631071e-4,7.055701427100993e-4,6.034948412319808e-4,72.3400581863563,72.3400581863563,72.3400581863563,72.3400581863563,72.3400581863563,72.3400581863563,2.184e-5,1.638e-5,1.422e-5,1.148e-5,9.754e-6,8.342e-6
BDI,BDI.12_1,BDI.12.3_1,ORTS,0.0013829022469137586,0.0011257753080053284,9.972656654529083e-4,8.386512343666978e-4,7.240111793957094e-4,6.489642027358482e-4,22.504636164715116,22.504636164715116,22.504636164715116,22.504636164715116,22.504636164715116,22.504636164715116,6.145e-5,5.002e-5,4.431e-5,3.727e-5,3.217e-5,2.884e-5
BDI,BDI.12_1,BDI.12.4_1,ORTS,0.0841352628391083,0.08148937421479562,0.07606485563228067,0.0704943567366031,0.06491023917371895,0.05881670348342211,138.40599975219277,138.40599975219277,138.40599975219277,138.40599975219277,138.40599975219277,138.40599975219277,6.079e-4,5.888e-4,5.496e-4,5.093e-4,4.69e-4,4.25e-4
BDI,BDI.12_1,BDI.12.5_1,ORTS,7.256224625713141e-4,5.215173806634235e-4,3.8417199616966574e-4,2.792472080246029e-4,1.9025363623514046e-4,1.4229712329539085e-4,16.170064328468264,16.170064328468264,16.170064328468264,16.170064328468264,16.170064328468264,16.170064328468264,4.487e-5,3.225e-5,2.376e-5,1.727e-5,1.177e-5,8.8e-6
BDI,BDI.13_1,BDI.13.1_1,ORTS,0.0076176575124249045,0.004405496324581188,0.0022718727563780833,0.0011846334440008602,4.606952329291327e-4,1.6883671397294636e-4,161.60195268585252,161.60195268585252,161.60195268585252,161.60195268585252,161.60195268585252,161.60195268585252,4.714e-5,2.726e-5,1.406e-5,7.331e-6,2.851e-6,1.045e-6
BDI,BDI.13_1,BDI.13.2_1,ORTS,0.0029574669974079424,0.001974589992656991,0.0014025673065725074,0.001009056285771823,6.520460737183993e-4,4.5587620419172144e-4,136.41314345560852,136.41314345560852,136.41314345560852,136.41314345560852,136.41314345560852,136.41314345560852,2.168e-5,1.448e-5,1.028e-5,7.397e-6,4.78e-6,3.342e-6
BDI,BDI.13_1,BDI.13.3_1,ORTS,0.001132327355562722,9.93856515068704e-4,8.495971988648036e-4,7.577383971643767e-4,6.593858616550966e-4,5.738724996082179e-4,111.53413253395816,111.53413253395816,111.53413253395816,111.53413253395816,111.53413253395816,111.53413253395816,1.015e-5,8.911e-6,7.617e-6,6.794e-6,5.912e-6,5.145e-6
BDI,BDI.13_1,BDI.13.4_1,ORTS,0.002834548212210621,0.0023004969829965374,0.001811659144782462,0.001463139621542451,0.001256864564289311,0.0011368572281933778,130.93116429902585,130.93116429902585,130.93116429902585,130.93116429902585,130.93116429902585,130.93116429902585,2.165e-5,1.757e-5,1.384e-5,1.117e-5,9.599e-6,8.683e-6
BDI,BDI.13_1,BDI.13.5_1,ORTS,0.03617867114425378,0.02413926472585435,0.01668346853835212,0.010588473290771012,0.006148889949287857,0.0038853581475934884,257.9240387190331,257.9240387190331,257.9240387190331,257.9240387190331,257.9240387190331,257.9240387190331,1.403e-4,9.359e-5,6.468e-5,4.105e-5,2.384e-5,1.506e-5
BDI,BDI.13_1,BDI.13.6_1,ORTS,0.0037692317685707817,0.002363460392484397,0.0016424350129887403,0.0010562952980398845,5.996581224873483e-4,4.0561016415380333e-4,298.3393278575486,298.3393278575486,298.3393278575486,298.3393278575486,298.3393278575486,298.3393278575486,1.263e-5,7.922e-6,5.505e-6,3.541e-6,2.01e-6,1.36e-6
BDI,BDI.13_1,BDI.13.7_1,ORTS,0.002559750691661596,0.0016611382974311137,8.446677007618578e-4,3.893738324366151e-4,2.826086564025305e-4,2.292904424042521e-4,17.988661643059547,17.988661643059547,17.988661643059547,17.988661643059547,17.988661643059547,17.988661643059547,1.423e-4,9.234e-5,4.696e-5,2.165e-5,1.571e-5,1.275e-5
BDI,BDI.14_1,BDI.14.1_1,ORTS,0.004244244666727112,0.003494857557650221,0.002798444859639625,0.002365803082110165,0.002049654092871502,0.00181308498962145,144.52885926771296,144.52885926771296,144.52885926771296,144.52885926771296,144.52885926771296,144.52885926771296,2.937e-5,2.418e-5,1.936e-5,1.637e-5,1.418e-5,1.254e-5
BDI,BDI.14_1,BDI.14.2_1,ORTS,0.0034504568686656513,0.00212475084992391,0.0011885016212130905,5.865961229479311e-4,1.919348436102309e-4,0,186.7602576832548,186.7602576832548,186.7602576832548,186.7602576832548,186.7602576832548,186.7602576832548,1.848e-5,1.138e-5,6.364e-6,3.141e-6,1.028e-6,0
BDI,BDI.14_1,BDI.14.3_1,ORTS,0.0013787493286920387,8.065732936678512e-4,4.447380691462552e-4,2.002982831565251e-4,5.505670058304487e-5,0,89.83872769008003,89.83872769008003,89.83872769008003,89.83872769008003,89.83872769008003,89.83872769008003,1.535e-5,8.978e-6,4.95e-6,2.23e-6,6.128e-7,0
BDI,BDI.14_1,BDI.14.4_1,ORTS,0.0016722895969758199,9.970973461617592e-4,5.242581655313308e-4,2.48486786374286e-4,8.394795807203428e-5,1.697603289876782e-5,154.75502628451045,154.75502628451045,154.75502628451045,154.75502628451045,154.75502628451045,154.75502628451045,1.081e-5,6.443e-6,3.388e-6,1.606e-6,5.425e-7,1.097e-7
BDI,BDI.14_1,BDI.14.5_1,ORTS,3.4068888166441933e-4,2.1333651105313832e-4,1.2708786209962662e-4,8.915442431352657e-5,6.848209889357215e-5,5.658743012373289e-5,100.18363333231183,100.18363333231183,100.18363333231183,100.18363333231183,100.18363333231183,100.18363333231183,3.401e-6,2.129e-6,1.269e-6,8.899e-7,6.836e-7,5.648e-7
BDI,BDI.14_1,BDI.14.6_1,ORTS,0.004691528859812774,0.002863744984002579,0.0015736329485025748,7.588186939192023e-4,2.436826024751092e-4,0,277.2126221077106,277.2126221077106,277.2126221077106,277.2126221077106,277.2126221077106,277.2126221077106,1.692e-5,1.033e-5,5.677e-6,2.737e-6,8.79e-7,0
