GID_0,GID_1,GID_2,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AGO,AGO.17_1,AGO.17.7_1,PIGE,0.7499971733093909,0.646248620767217,0.5439925082641536,0.4424599945502543,0.34214718588466414,0.24315496382424942,0.0854225166986897,0.08704495219824272,0.08870601711445181,0.09039283497509823,0.0921182822524007,0.09078748811820711,8.78,7.424,6.133,4.895,3.714,2.678
AGO,AGO.18_1,AGO.18.1_1,PIGE,0.0385393164769633,0.03073991232449031,0.024308814509232283,0.018432896922632946,0.01317787927385542,0.0085372171800446,0.03423315539519773,0.03488334797581197,0.03554902133215514,0.0362250152056509,0.036916489854875584,0.03638317283079913,1.126,0.8812,0.6838,0.5088,0.357,0.2346
AGO,AGO.18_1,AGO.18.5_1,PIGE,0,0,0,0,0,0,0.0013420261084954189,0.0013675152989793536,0.001393611374951001,0.0014201120412477904,0.0014472195930322923,0.0014263122194012867,0,0,0,0,0,0
AGO,AGO.4_1,AGO.4.3_1,PIGE,0.5052477079594646,0.43485047067113847,0.366175141730855,0.29971621124981,0.23578818342410235,0.17379304889162367,0.029660563646707144,0.030223908690343727,0.030800666711209755,0.03138636671689542,0.03198547969981051,0.03152339890842921,17.03,14.39,11.89,9.549,7.372,5.513
BDI,BDI.10_1,BDI.10.2_1,PIGE,0.05621192146183118,0.04905894297245581,0.04198168456268937,0.03494655764824375,0.027917008780460176,0.020899703495154263,0.044342188555435605,0.040425891107430126,0.04353938917019205,0.04276921064578732,0.04224483030780317,0.04234653269184907,1.268,1.214,0.9642,0.8171,0.6608,0.4935
BDI,BDI.10_1,BDI.10.3_1,PIGE,0.006356998613160957,0.005491608992528874,0.004667083089456425,0.0038568263997392463,0.003048361332117857,0.0022517991159804835,0.3144437268354503,0.28667208982192155,0.3087508361861401,0.30328926982164534,0.2995707319432357,0.3002919339792484,0.02022,0.01916,0.01512,0.01272,0.01018,0.007499
BDI,BDI.10_1,BDI.10.4_1,PIGE,0.01600748945813895,0.013978472057741123,0.011949454657343286,0.009920437256945448,0.00789141985654762,0.005862402456149782,0.027149720729784006,0.02475186023908703,0.026658184794787113,0.02618662187624681,0.025865555636706988,0.025927825709843935,0.5896,0.5647,0.4482,0.3788,0.3051,0.2261
BDI,BDI.10_1,BDI.10.6_1,PIGE,0.0027677033938214436,0.0024071701055631382,0.002041163666099669,0.0016751572266362048,0.0013091507871727337,9.431443477092624e-4,0.02996417579623256,0.027317742928904265,0.029421685163897805,0.028901238035518133,0.028546888709440072,0.028615613962155943,0.09237,0.08812,0.06938,0.05796,0.04586,0.03296
BDI,BDI.10_1,BDI.10.7_1,PIGE,0.002795616225175913,0.002444860949582879,0.0021286268357115787,0.0017846315203747846,0.0014367466171910377,0.0010853095271005186,0.4112539908577876,0.3749320814674809,0.40380838517626294,0.3966653234070309,0.391801930016925,0.3927451741977199,0.006798,0.006521,0.005271,0.004499,0.003667,0.002763
BDI,BDI.11_1,BDI.11.1_1,PIGE,0.09499917697739854,0.08247345022026466,0.07264166264489247,0.061275293744324714,0.049898923121213974,0.03910836048254415,24.259921729250685,18.667081208230083,11.854973075297385,29.074581370039784,24.432581972188245,25.71547270757874,0.003916,0.004418,0.006128,0.002108,0.002042,0.001521
