GID_0,GID_1,GID_2,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,LD_2025,production_2020,production_2021,production_2022,production_2023,production_2024,production_2025,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024,EF_2025
AGO,AGO.12_1,AGO.12.4_1,PLNT,0,0,0,0,0,0,0.023052090201253296,0.02313444078170455,0.023150199460018207,0.02319941750220554,0.023248735013056708,0.023208793908697265,0,0,0,0,0,0
AGO,AGO.17_1,AGO.17.7_1,PLNT,0.4079088190588663,0.4032996987937537,0.36028043492198397,0.33774452219070966,0.2955587695112124,0.26185090283454715,22.295282155191043,22.374929137775926,22.39017045326309,22.43777265020543,22.48547105022118,22.44684122604865,0.0183,0.01802,0.01609,0.01505,0.01314,0.01167
AGO,AGO.18_1,AGO.18.1_1,PLNT,0.03293945013357043,0.020436619841322813,0.013606773843520168,0.007762039854619925,0.004322552598684708,0.00320305878431016,10.205679136184202,10.242137591509797,10.249114313059794,10.270904248024033,10.292738220004368,10.275055394200782,0.003228,0.001995,0.001328,7.557e-4,4.2e-4,3.117e-4
AGO,AGO.4_1,AGO.4.1_1,PLNT,1.1203166428890179,1.0849304131634252,1.0229533382120117,1.0019498689476392,0.9227803948784197,0.8514763400060527,32.529894786119385,32.50823870300359,32.51444319004902,32.52239401132795,32.530344832606865,32.52383935870178,0.03444,0.03337,0.03146,0.03081,0.02837,0.02618
ARG,ARG.17_1,ARG.17.18_1,PLNT,9.319212953695464e-4,8.193671500591137e-4,7.068130047486808e-4,5.942588594382479e-4,4.8170471412781505e-4,3.691505688173822e-4,0.008568800316837641,0.008568800316837641,0.008568800316837641,0.008568800316837641,0.008568800316837641,0.008568800316837641,0.1088,0.09562,0.08249,0.06935,0.05622,0.04308
ARG,ARG.17_1,ARG.17.8_1,PLNT,0.19311866004696263,0.16773907793614976,0.14235949582533688,0.11697991371452399,0.09160033160371112,0.06622074949289823,0.09144161149375417,0.09144161149375417,0.09144161149375417,0.09144161149375417,0.09144161149375417,0.09144161149375417,2.112,1.834,1.557,1.279,1.002,0.7242
BDI,BDI.10_1,BDI.10.1_1,PLNT,0.015619718016784679,0.010032364055911921,0.00745293216010916,0.0056849154848469,0.004473228932594958,0.00401476780154759,1867.5299837757639,1867.5299837757639,1867.5299837757639,1867.5299837757639,1867.5299837757639,1867.5299837757639,8.364e-6,5.372e-6,3.991e-6,3.044e-6,2.395e-6,2.15e-6
BDI,BDI.10_1,BDI.10.2_1,PLNT,0.055500726531915796,0.05362300512014694,0.05023994260509226,0.04900045017065293,0.049263831123380314,0.04650845150687421,1793.9799789450606,1793.9799789450606,1793.9799789450606,1793.9799789450606,1793.9799789450606,1793.9799789450606,3.094e-5,2.989e-5,2.8e-5,2.731e-5,2.746e-5,2.592e-5
BDI,BDI.10_1,BDI.10.3_1,PLNT,0.02436426095277891,0.02311806089621467,0.02141744636716945,0.02027191299874971,0.01960227425223274,0.01781886369017734,545.1158052252948,545.1158052252948,545.1158052252948,545.1158052252948,545.1158052252948,545.1158052252948,4.47e-5,4.241e-5,3.929e-5,3.719e-5,3.596e-5,3.269e-5
BDI,BDI.10_1,BDI.10.4_1,PLNT,0.08703030097302085,0.0804209886391863,0.07429824882908853,0.06766398405813928,0.061326114440058914,0.05913274087853533,892.0161186480724,892.0161186480724,892.0161186480724,892.0161186480724,892.0161186480724,892.0161186480724,9.757e-5,9.016e-5,8.329e-5,7.586e-5,6.875e-5,6.629e-5
BDI,BDI.10_1,BDI.10.5_1,PLNT,0.048632229935057926,0.04833928321199088,0.0489718986094793,0.04925018930671796,0.045727244889894256,0.04178474425346187,2062.5887432728537,2062.5887432728537,2062.5887432728537,2062.5887432728537,2062.5887432728537,2062.5887432728537,2.358e-5,2.344e-5,2.374e-5,2.388e-5,2.217e-5,2.026e-5
BDI,BDI.10_1,BDI.10.6_1,PLNT,0.04189034856143974,0.039932266073707125,0.03738204567807637,0.038029785236292774,0.03515186390397072,0.03201383846431063,1229.207949093156,1229.207949093156,1229.207949093156,1229.207949093156,1229.207949093156,1229.207949093156,3.408e-5,3.249e-5,3.041e-5,3.094e-5,2.86e-5,2.604e-5
BDI,BDI.10_1,BDI.10.7_1,PLNT,0.03018526807419702,0.02872943682541719,0.030056058883503378,0.02873195339699269,0.0282659380070599,0.02576077018274808,1220.9817298947587,1220.9817298947587,1220.9817298947587,1220.9817298947587,1220.9817298947587,1220.9817298947587,2.472e-5,2.353e-5,2.462e-5,2.353e-5,2.315e-5,2.11e-5
BDI,BDI.11_1,BDI.11.1_1,PLNT,0.9839916278832597,0.8408894853857997,0.6988874598843441,0.5572668471142764,0.4159371166167441,0.27593183922631487,599.2311257233853,599.2680888618969,599.3078868058265,599.3019816706167,599.2960765354069,599.2994416878,0.001642,0.001403,0.001166,9.299e-4,6.94e-4,4.604e-4
BDI,BDI.11_1,BDI.11.2_1,PLNT,0.12513506512370662,0.10859998131483924,0.0920191206990713,0.0754594807571452,0.058992305131399345,0.04257212760728155,362.60055840160044,362.6315719068846,362.66496392374387,362.66000928651863,362.65505464929333,362.6578781425282,3.451e-4,2.995e-4,2.537e-4,2.081e-4,1.627e-4,1.174e-4
BDI,BDI.11_1,BDI.11.3_1,PLNT,0,0,0,0,0,0,40.02104483733916,40.02104483733916,40.02104483733916,40.02104483733916,40.02104483733916,40.02104483733916,0,0,0,0,0,0
BDI,BDI.11_1,BDI.11.4_1,PLNT,0.3301184884898312,0.2894839650475055,0.24982597877795146,0.20968702442734016,0.17556688702891454,0.13415422799355967,1049.6429556880048,1049.678094097144,1049.7159273681536,1049.7103137469792,1049.7047001258047,1049.7078991534406,3.145e-4,2.758e-4,2.38e-4,1.998e-4,1.673e-4,1.278e-4
BDI,BDI.11_1,BDI.11.5_1,PLNT,0.007913577331713068,0.007687040219928817,0.007762391350734634,0.007733367147891889,0.0076254754864210714,0.007009894618708673,304.71267166392556,304.71267166392556,304.71267166392556,304.71267166392556,304.71267166392556,304.71267166392556,2.597e-5,2.523e-5,2.547e-5,2.538e-5,2.503e-5,2.3e-5
BDI,BDI.11_1,BDI.11.6_1,PLNT,0.3689914315674868,0.3323585529946042,0.2938879971176364,0.25434051973277777,0.21434451810804814,0.17386286627189443,1770.986578876522,1770.986578876522,1770.986578876522,1770.986578876522,1770.986578876522,1770.986578876522,2.084e-4,1.877e-4,1.659e-4,1.436e-4,1.21e-4,9.817e-5
