GID_0,GID_1,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AFG,AFG.14_1,SUNF,0,0,0,0,0,0.012932776065565078,0.023176069397908762,0.025395026324920446,0.03568844669627796,0.03171499951477515,0,0,0,0,0
AFG,AFG.16_1,SUNF,0,0,0,0,0,0.004309192756521123,0.007722251577525916,0.008461606613786903,0.011891367732297596,0.010567417659540878,0,0,0,0,0
AFG,AFG.18_1,SUNF,0.001343994886906162,8.063969321436971e-4,2.6879897738123237e-4,0,0,0.0014360065845601447,0.002573383169313053,0.0028197677615993417,0.0039627102633466695,0.0035215137029861636,0.9359,0.3134,0.09533,0,0
AFG,AFG.19_1,SUNF,0.005516898139012502,0.003187535718370536,0.0016702930321629006,7.90334395256489e-4,2.594322341976178e-4,4.78293804271877,6.029140827829355,6.533258723867307,7.485186874509288,7.083649542726641,0.001153,5.287e-4,2.557e-4,1.056e-4,3.662e-5
AFG,AFG.1_1,SUNF,0,0,0,0,0,0.01724673927125616,0.03090686981757512,0.03386600027651933,0.04759297864947107,0.04229411572939372,0,0,0,0,0
AFG,AFG.21_1,SUNF,0,0,0,0,0,0.014364280046209543,0.025741383714850755,0.02820595269435544,0.03963873186705173,0.03522547149862251,0,0,0,0,0
AFG,AFG.22_1,SUNF,0,0,0,0,0,0.10373675208403636,0.18590054859256047,0.2036993091568499,0.28626518609980833,0.25439325828656195,0,0,0,0,0
AFG,AFG.23_1,SUNF,0,0,0,0,0,0.021598000360518683,0.03870450958663286,0.042410213007662415,0.059600435413468544,0.05296469740768177,0,0,0,0,0
AFG,AFG.27_1,SUNF,0,0,0,0,0,0.004311743855816522,0.0077268232529350755,0.008466615997188865,0.011898407579795083,0.010573673711026308,0,0,0,0,0
AFG,AFG.30_1,SUNF,0,0,0,0,0,0.04060366828495943,0.07276345227127923,0.07973007649381489,0.11204723903937874,0.09957222744963018,0,0,0,0,0
AFG,AFG.31_1,SUNF,5.43731895399822e-4,3.338948350297377e-4,1.9540091085930612e-4,8.01189186142428e-5,1.5078316695697846e-5,4.355726219923253,5.135920433512977,5.550846287798001,6.01940350932488,5.80274517254838,1.248e-4,6.501e-5,3.52e-5,1.331e-5,2.598e-6
AFG,AFG.32_1,SUNF,0,0,0,0,0,0.007182124285929073,0.012870663655755893,0.014102945445382998,0.019819322506240557,0.01761269715709276,0,0,0,0,0
AFG,AFG.33_1,SUNF,0,0,0,0,0,0.002873406892353824,0.005149263948282232,0.005642272262629245,0.00792926655457453,0.007046445228368013,0,0,0,0,0
AFG,AFG.34_1,SUNF,0,0,0,0,0,0.002872164433180374,0.005147037410075589,0.005639832547964935,0.007925837945143795,0.007043398350274453,0,0,0,0,0
AFG,AFG.3_1,SUNF,0,0,0,0,0,0.1231324858389059,0.2206585053720879,0.24178511276150225,0.33978838999173433,0.30195734533994106,0,0,0,0,0
AFG,AFG.4_1,SUNF,0,0,0,0,0,0.17671696443351753,0.3166841063925919,0.3470045364659396,0.4876566278995626,0.433362366505699,0,0,0,0,0
AGO,AGO.10_1,SUNF,0.21724697014202773,0.24480173545273853,0.23476010820447843,0.22728982573086873,0.22346532958135648,596.28800806465,599.0209385073597,601.9168824080249,605.0008809906085,603.3543522654306,3.643e-4,4.087e-4,3.9e-4,3.757e-4,3.704e-4
