GID_0,GID_1,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AFG,AFG.14_1,TEMF,0,0,0,0,0,53.77064166427776,53.77064166427776,53.77064166427776,53.77064166427776,53.77064166427776,0,0,0,0,0
AFG,AFG.18_1,TEMF,0.07024474872437844,0.04214684923462706,0.01404894974487568,0,0,1.6721520462414425,1.6721520462414425,1.6721520462414425,1.6721520462414425,1.6721520462414425,0.04201,0.02521,0.008402,0,0
AFG,AFG.19_1,TEMF,0.05174008370411972,0.04182110083499069,0.03214872417891738,0.022620221867942814,0.013169674757797714,109.06371028345525,109.06371028345525,109.06371028345525,109.06371028345525,109.06371028345525,4.744e-4,3.835e-4,2.948e-4,2.074e-4,1.208e-4
AFG,AFG.1_1,TEMF,0,0,0,0,0,9.813049917308359,9.813049917308359,9.813049917308359,9.813049917308359,9.813049917308359,0,0,0,0,0
AFG,AFG.21_1,TEMF,0,0,0,0,0,8.974363790717746,8.974363790717746,8.974363790717746,8.974363790717746,8.974363790717746,0,0,0,0,0
AFG,AFG.22_1,TEMF,0,0,0,0.12822592472609393,0.12165023627860193,43.597167861733595,43.597167861733595,43.597167861733595,43.597167861733595,43.597167861733595,0,0,0,0.002941,0.00279
AFG,AFG.23_1,TEMF,0,0,0,0,0,0.756858871280575,0.756858871280575,0.756858871280575,0.756858871280575,0.756858871280575,0,0,0,0,0
AFG,AFG.24_1,TEMF,0.00332321474099509,0.00288851833445023,0.00245382192790537,0.00201912552136051,0.00158442911481566,1.3613939059005926,1.3613939059005926,1.3613939059005926,1.3613939059005926,1.3613939059005926,0.002441,0.002122,0.001802,0.001483,0.001164
AFG,AFG.2_1,TEMF,0.01595668679779365,0.00788262691151803,0.00695525903957473,0.00602789116763144,0.00510052329568814,55.56064985808095,55.56064985808095,55.56064985808095,55.56064985808095,55.56064985808095,2.872e-4,1.419e-4,1.252e-4,1.085e-4,9.18e-5
AFG,AFG.30_1,TEMF,0,0,0,0,0,5.8617506915319355,5.8617506915319355,5.8617506915319355,5.8617506915319355,5.8617506915319355,0,0,0,0,0
AFG,AFG.31_1,TEMF,0.004288264597151166,0.0035588676486803046,0.0028867284557386732,0.0022770829256730323,0.00257496154834787,59.80201528133747,59.80201528133747,59.80201528133747,59.80201528133747,59.80201528133747,7.171e-5,5.951e-5,4.827e-5,3.808e-5,4.306e-5
AFG,AFG.32_1,TEMF,0,0,0,0,5.676120351204748e-5,0.12209611286079423,0.12209611286079423,0.12209611286079423,0.12209611286079423,0.12209611286079423,0,0,0,0,4.649e-4
AFG,AFG.33_1,TEMF,0,0,0,0,0,40.0088646282857,40.0088646282857,40.0088646282857,40.0088646282857,40.0088646282857,0,0,0,0,0
AFG,AFG.34_1,TEMF,0,0,0,0,0,1.3010904882307093,1.3010904882307093,1.3010904882307093,1.3010904882307093,1.3010904882307093,0,0,0,0,0
AFG,AFG.3_1,TEMF,2.469125366478256e-4,2.2092174331647552e-4,1.949309499851255e-4,1.6894015665377542e-4,0.0393624853336039,75.64080034070419,75.64080034070419,75.64080034070419,75.64080034070419,75.64080034070419,3.264e-6,2.921e-6,2.577e-6,2.233e-6,5.204e-4
AFG,AFG.4_1,TEMF,0,0,0,0,0,11.159752703384395,11.159752703384395,11.159752703384395,11.159752703384395,11.159752703384395,0,0,0,0,0
AFG,AFG.8_1,TEMF,0,0,0,0,0,12.68401473343896,12.68401473343896,12.68401473343896,12.68401473343896,12.68401473343896,0,0,0,0,0
AGO,AGO.10_1,TEMF,0.09917273903511199,0.11199628116711877,0.1063349973209572,0.10201010128716007,0.09991728500050971,2047.7630593542801,2047.7630593542801,2047.7630593542801,2047.7630593542801,2047.7630593542801,4.843e-5,5.469e-5,5.193e-5,4.982e-5,4.879e-5
AGO,AGO.11_1,TEMF,0.9761732286180562,0.8993709959044898,0.8229870129023478,0.746787116522782,0.67074823716294385,480.10180542767756,480.10180542767756,480.10180542767756,480.10180542767756,480.10180542767756,0.002033,0.001873,0.001714,0.001555,0.001397
AGO,AGO.12_1,TEMF,0.08242139770631877,0.24261622965104854,0.31904544506444976,0.4814720183736423,0.46538364558927364,476.15398824438967,476.15398824438967,476.15398824438967,476.15398824438967,476.15398824438967,1.731e-4,5.095e-4,6.7e-4,0.001011,9.774e-4
AGO,AGO.13_1,TEMF,0.07849207012917714,0.0838073604470291,0.08193034562040462,0.0926418031906234,0.1314282830124131,92.19654634953218,92.19654634953218,92.19654634953218,92.19654634953218,92.19654634953218,8.514e-4,9.09e-4,8.886e-4,0.001005,0.001426
AGO,AGO.14_1,TEMF,0.11361922721853206,0.10585841595877923,0.09250672165942157,0.07984918321694187,0.07562708452926796,949.6283351853643,949.6283351853643,949.6283351853643,949.6283351853643,949.6283351853643,1.196e-4,1.115e-4,9.741e-5,8.408e-5,7.964e-5
AGO,AGO.15_1,TEMF,5.142680563388531,5.148000348549328,5.52378598570205,6.005289041708788,9.276482777414362,1074.6669001680852,1074.6669001680852,1074.6669001680852,1074.6669001680852,1074.6669001680852,0.004785,0.00479,0.00514,0.005588,0.008632
AGO,AGO.16_1,TEMF,0.1775444226290526,0.2290252939196555,0.23188292022551674,0.2219583891042017,0.28963327853518295,1232.0520152503598,1232.0520152503598,1232.0520152503598,1232.0520152503598,1232.0520152503598,1.441e-4,1.859e-4,1.882e-4,1.802e-4,2.351e-4
AGO,AGO.17_1,TEMF,1.9719163071734316,2.429964298241398,2.439977780524535,2.902221307060341,3.283646867220333,402.39799086413916,402.39799086413916,402.39799086413916,402.39799086413916,402.39799086413916,0.0049,0.006039,0.006064,0.007212,0.00816
