GID_0,GID_1,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AFG,AFG.14_1,TROF,0,0,0,0,0,0.0028737069827913073,0.0028737069827913073,0.0028737069827913073,0.0028737069827913073,0.0028737069827913073,0,0,0,0,0
AFG,AFG.16_1,TROF,0,0,0,0,0,0.1536945416492534,0.1536945416492534,0.1536945416492534,0.1536945416492534,0.1536945416492534,0,0,0,0,0
AFG,AFG.18_1,TROF,6.320582867868102e-4,3.7923497207208607e-4,1.2641165735736203e-4,0,0,19.57895744136184,19.57895744136184,19.57895744136184,19.57895744136184,19.57895744136184,3.228e-5,1.937e-5,6.457e-6,0,0
AFG,AFG.19_1,TROF,0.00396375888505212,0.00307126960246679,0.00219376400176199,0.00131625840105719,4.3875280035239925e-4,143.7985894890982,143.7985894890982,143.7985894890982,143.7985894890982,143.7985894890982,2.756e-5,2.136e-5,1.526e-5,9.153e-6,3.051e-6
AFG,AFG.1_1,TROF,0,0,0,0,0,28.743244009664135,28.743244009664135,28.743244009664135,28.743244009664135,28.743244009664135,0,0,0,0,0
AFG,AFG.20_1,TROF,0,0,0,0,0,1.29051103082778,1.29051103082778,1.29051103082778,1.29051103082778,1.29051103082778,0,0,0,0,0
AFG,AFG.21_1,TROF,0,0,0,0,0,5.5677255949299695,5.5677255949299695,5.5677255949299695,5.5677255949299695,5.5677255949299695,0,0,0,0,0
AFG,AFG.24_1,TROF,0.03275740244695162,0.0284725378681523,0.02418767328935299,0.01990280871055368,0.01561794413175437,1.0791256805937233,1.0791256805937233,1.0791256805937233,1.0791256805937233,1.0791256805937233,0.03036,0.02638,0.02241,0.01844,0.01447
AFG,AFG.28_1,TROF,0,0,0,0,0,3.6516422047398542,3.6516422047398542,3.6516422047398542,3.6516422047398542,3.6516422047398542,0,0,0,0,0
AFG,AFG.2_1,TROF,0.0011497911715011074,1.5360300447599364e-4,1.355320627729356e-4,1.1746112106987748e-4,9.93901793668194e-5,6.38761753975692,6.38761753975692,6.38761753975692,6.38761753975692,6.38761753975692,1.8e-4,2.405e-5,2.122e-5,1.839e-5,1.556e-5
AFG,AFG.30_1,TROF,0,0,0,0,0,1.775419038166973,1.775419038166973,1.775419038166973,1.775419038166973,1.775419038166973,0,0,0,0,0
AFG,AFG.31_1,TROF,0.0029560814543637664,0.002615576225982956,0.0022750709976021464,0.001934565769221346,0.018685743757155367,1543.848065180378,1543.848065180378,1543.848065180378,1543.848065180378,1543.848065180378,1.915e-6,1.694e-6,1.474e-6,1.253e-6,1.21e-5
AFG,AFG.33_1,TROF,0,0,0,0,0,0.12211979292503751,0.12211979292503751,0.12211979292503751,0.12211979292503751,0.12211979292503751,0,0,0,0,0
AFG,AFG.3_1,TROF,1.6544666212940922e-4,1.439202516574131e-4,1.22393841185417e-4,1.008674307134209e-4,0.055100923036801336,102.68301394893402,102.68301394893402,102.68301394893402,102.68301394893402,102.68301394893402,1.611e-6,1.402e-6,1.192e-6,9.823e-7,5.366e-4
AFG,AFG.8_1,TROF,0,0,0,0,0,10.20549779306817,10.20549779306817,10.20549779306817,10.20549779306817,10.20549779306817,0,0,0,0,0
AGO,AGO.10_1,TROF,1.6738810986074766,2.1937355552951217,2.1031461945537604,2.008386703941249,1.96963977094618,15790.298228924032,15790.298228924032,15790.298228924032,15790.298228924032,15790.298228924032,1.06e-4,1.389e-4,1.332e-4,1.272e-4,1.247e-4
AGO,AGO.11_1,TROF,2.083961504423898,1.7835298350433562,1.4865733388657412,1.1913235170743441,0.8968891477264397,1277.7047944524866,1277.7047944524866,1277.7047944524866,1277.7047944524866,1277.7047944524866,0.001631,0.001396,0.001163,9.324e-4,7.02e-4
AGO,AGO.12_1,TROF,2.6059301253519527,4.925750706269596,6.909508421865716,11.237529765441941,10.869044843811677,20045.053683003247,20045.053683003247,20045.053683003247,20045.053683003247,20045.053683003247,1.3e-4,2.457e-4,3.447e-4,5.606e-4,5.422e-4
AGO,AGO.13_1,TROF,3.2796153535753336,3.521591261285756,3.5594579048940687,4.561882644723299,5.800278835154467,6133.692039358012,6133.692039358012,6133.692039358012,6133.692039358012,6133.692039358012,5.347e-4,5.741e-4,5.803e-4,7.437e-4,9.456e-4
