GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AGO,AGO.10_1,BANA,0.2255,0.224,0.2087,0.194,0.1936
AGO,AGO.11_1,BANA,0.03115,0.02794,0.02496,0.02113,0.01956
AGO,AGO.12_1,BANA,1.296,1.144,0.9811,0.8514,0.8189
AGO,AGO.13_1,BANA,2.02,1.742,1.44,1.168,1.021
AGO,AGO.14_1,BANA,0.6825,0.6768,0.6384,0.6139,0.6652
AGO,AGO.15_1,BANA,1.553,1.628,1.714,1.723,1.92
AGO,AGO.16_1,BANA,0.1368,0.1892,0.2166,0.208,0.2211
AGO,AGO.17_1,BANA,1.082,1.15,1.107,1.065,1.11
AGO,AGO.18_1,BANA,0.8045,0.7737,0.7827,0.7583,0.7878
AGO,AGO.1_1,BANA,0.1904,0.2043,0.2003,0.1962,0.2138
AGO,AGO.2_1,BANA,0.1786,0.1829,0.1667,0.1539,0.1626
AGO,AGO.3_1,BANA,0.9933,0.946,0.8736,0.7977,0.8095
AGO,AGO.4_1,BANA,0.6418,0.6283,0.5904,0.6081,0.6166
AGO,AGO.5_1,BANA,1.504,1.586,1.593,1.551,1.7
AGO,AGO.6_1,BANA,1.31,1.537,1.525,1.456,1.531
AGO,AGO.7_1,BANA,0.08092,0.0832,0.08254,0.08242,0.09339
AGO,AGO.8_1,BANA,0.2643,0.2254,0.1832,0.1443,0.1201
AGO,AGO.9_1,BANA,0.2862,0.3037,0.3103,0.3165,0.3484
ALB,ALB.7_1,BANA,0,0,0,0,0
ARE,ARE.1_1,BANA,0,0,0,0,0
ARG,ARG.10_1,BANA,0.1224,0.1245,0.1232,0.1222,0.1179
ARG,ARG.14_1,BANA,0.3471,0.38,0.3902,0.4019,0.4121
ARG,ARG.17_1,BANA,1.323,1.187,1.054,0.8981,0.7515
ARG,ARG.22_1,BANA,3.667,3.215,2.755,2.299,1.846
ARG,ARG.24_1,BANA,3.575,3.28,3.048,2.762,2.736
ARG,ARG.3_1,BANA,3.058,3.712,3.485,3.238,3.09
ARG,ARG.7_1,BANA,0.02793,0.03175,0.03182,0.03295,0.03367
ARG,ARG.8_1,BANA,0,0,0,0,0
ARG,ARG.9_1,BANA,3.418,3.588,3.704,3.628,3.478
ATG,ATG.1_1,BANA,3.944,1.752,2.222,2.819,1.752
ATG,ATG.3_1,BANA,4.317,1.754,2.145,2.589,1.499
ATG,ATG.4_1,BANA,1.234,0.4886,0.5853,0.6885,0.3857
ATG,ATG.5_1,BANA,0.4153,0.1367,0.1185,0.07657,0.01309
ATG,ATG.6_1,BANA,20.76,10.54,14,18.8,26.71
ATG,ATG.7_1,BANA,26.86,18.47,24.47,32.76,37.28
ATG,ATG.8_1,BANA,208.3,111.4,180.4,243.8,178.7
AUS,AUS.11_1,BANA,0.04231,0.04866,0.0707,0.1144,0.2523
AUS,AUS.5_1,BANA,1.174,1.319,1.675,1.262,1.454
AUS,AUS.6_1,BANA,0.7147,0.7054,0.7634,0.5713,0.9671
AUS,AUS.7_1,BANA,0.09074,0.0929,0.1071,0.09249,0.09344
AZE,AZE.2_1,BANA,9.972e-4,9.136e-4,8.301e-4,7.465e-4,6.629e-4
AZE,AZE.5_1,BANA,0,0,0,0,0
AZE,AZE.6_1,BANA,0,0,0,0,0
BDI,BDI.10_1,BANA,0.02416,0.01786,0.01942,0.01882,0.02049
BDI,BDI.11_1,BANA,0.07463,0.05611,0.06171,0.05618,0.05399
BDI,BDI.12_1,BANA,0.05832,0.03734,0.04299,0.03682,0.03712
BDI,BDI.13_1,BANA,0.02815,0.01708,0.01691,0.01354,0.01084
BDI,BDI.14_1,BANA,0.04992,0.04087,0.04814,0.04252,0.042
BDI,BDI.15_1,BANA,0.03138,0.02832,0.04315,0.04111,0.04182
BDI,BDI.16_1,BANA,0.08027,0.06026,0.07219,0.07598,0.08048
BDI,BDI.17_1,BANA,0.03709,0.02756,0.03385,0.03484,0.04011
BDI,BDI.1_1,BANA,0.04648,0.02542,0.0231,0.01539,0.01053
BDI,BDI.2_1,BANA,0.003793,0.001967,0.00207,0.00164,0.001336
BDI,BDI.3_1,BANA,0.02886,0.01285,0.007967,0.003063,0.001233
BDI,BDI.4_1,BANA,0.2391,0.1929,0.2247,0.2186,0.2068
BDI,BDI.5_1,BANA,0.09705,0.074,0.08962,0.09563,0.1154
BDI,BDI.6_1,BANA,0.03801,0.02539,0.02177,0.02135,0.02092
BDI,BDI.7_1,BANA,0.06176,0.04971,0.06158,0.05946,0.05948
BDI,BDI.8_1,BANA,0.06886,0.06522,0.08957,0.09384,0.09923
BDI,BDI.9_1,BANA,0.04107,0.02859,0.03299,0.02827,0.02582
BEN,BEN.10_1,BANA,0.2221,0.218,0.2183,0.2314,0.2304
BEN,BEN.11_1,BANA,0.1005,0.1032,0.1059,0.1257,0.1252
BEN,BEN.12_1,BANA,0.07623,0.07337,0.08406,0.08562,0.08363
BEN,BEN.1_1,BANA,0.171,0.2003,0.2579,0.3074,0.3449
BEN,BEN.2_1,BANA,0.4881,0.4875,0.5236,0.5787,0.6285
BEN,BEN.3_1,BANA,2.075,2.054,1.995,2.001,2.004
BEN,BEN.4_1,BANA,0.7087,0.6675,0.6894,0.7538,0.7918
BEN,BEN.5_1,BANA,0.7715,0.8549,0.9266,1.282,1.328
BEN,BEN.6_1,BANA,0.5484,0.5698,0.6816,0.7686,0.8625
BEN,BEN.7_1,BANA,0.109,0.1304,0.1304,0.1333,0.131
BEN,BEN.8_1,BANA,0.1285,0.1497,0.1411,0.1331,0.1246
BEN,BEN.9_1,BANA,1.12,1.29,1.345,1.455,1.506
BFA,BFA.10_1,BANA,7.006e-4,6.333e-4,5.628e-4,4.887e-4,4.259e-4
BFA,BFA.11_1,BANA,0,0,0,0,0
BFA,BFA.13_1,BANA,0.02641,0.0282,0.02896,0.0303,0.03428
BFA,BFA.1_1,BANA,0.008646,0.007797,0.007463,0.00727,0.007149
BFA,BFA.2_1,BANA,0.03924,0.03111,0.03188,0.0333,0.03838
BFA,BFA.3_1,BANA,0.001695,0.001802,0.00183,0.004528,0.01411
BFA,BFA.4_1,BANA,0,0,0,0,1.112e-4
BFA,BFA.5_1,BANA,0.01167,0.01139,0.0116,0.01397,0.01788
BFA,BFA.6_1,BANA,0.004957,0.004534,0.004099,0.003632,0.003309
BFA,BFA.7_1,BANA,0,0,0,0,0
BFA,BFA.8_1,BANA,0.008124,0.008317,0.008374,0.008384,0.01163
BFA,BFA.9_1,BANA,0.01671,0.01542,0.01579,0.01583,0.01795
BGD,BGD.1_1,BANA,6.731e-4,0.02522,0.0588,0.07602,0.07886
BGD,BGD.2_1,BANA,1.5,1.569,1.596,1.637,1.686
BGD,BGD.3_1,BANA,0.01342,0.01346,0.01491,0.01754,0.02077
BGD,BGD.4_1,BANA,0.002054,0.003227,0.003346,0.005649,0.009306
BGD,BGD.5_1,BANA,0.01249,0.01054,0.008993,0.007698,0.0086
BGD,BGD.6_1,BANA,0.007672,0.007412,0.007189,0.006818,0.007344
BGD,BGD.7_1,BANA,0.1692,0.1667,0.1758,0.179,0.1868
BGD,BGD.8_1,BANA,0.0809,0.085,0.08293,0.082170000000000007,0.07722
BGR,BGR.6_1,BANA,0.00146,0.003976,0.003175,0.002575,0.001672
BHS,BHS.16_1,BANA,0.009429,0.008695,0.007884,0.007085,0.006358
BLZ,BLZ.1_1,BANA,2222,1787,1739,1830,1305
BLZ,BLZ.2_1,BANA,3.534,3.053,3.252,4.123,3.698
BLZ,BLZ.3_1,BANA,0.2308,0.1574,0.135,0.1315,0.09018
BLZ,BLZ.4_1,BANA,68.28,46.18,37.65,34.02,21.52
BLZ,BLZ.5_1,BANA,0.5054,0.4884,0.5751,0.7629,0.7385
