GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AFG,AFG.19_1,BEAN,0.007239,0.004048,0.003361,0.001962,0.001023
AFG,AFG.2_1,BEAN,0.4161,0.4174,0.265,0.2414,0.2158
AFG,AFG.31_1,BEAN,0.01656,0.01102,0.01086,0.008515,0.00709
AGO,AGO.10_1,BEAN,10.76,10.85,9.828,9.247,8.845
AGO,AGO.11_1,BEAN,5.514,5.122,4.483,3.959,3.599
AGO,AGO.12_1,BEAN,16.39,17.53,17.22,18.54,20.43
AGO,AGO.13_1,BEAN,15.32,13.93,11.71,10.65,10.33
AGO,AGO.14_1,BEAN,14.45,14.95,14.07,14.08,15
AGO,AGO.15_1,BEAN,54.79,58.87,60.64,62.56,66.76
AGO,AGO.16_1,BEAN,3.186,4.031,4.367,4.505,4.733
AGO,AGO.17_1,BEAN,48.95,59.17,59.32,61.92,65.35
AGO,AGO.18_1,BEAN,27.45,27,26.33,26.26,26.39
AGO,AGO.1_1,BEAN,9.881,9.624,8.711,8.528,9.077
AGO,AGO.2_1,BEAN,8.104,8.382,7.833,7.762,8.289
AGO,AGO.3_1,BEAN,23.22,25.65,26.33,26.68,28.8
AGO,AGO.4_1,BEAN,18.41,18.8,17.46,18.02,17.64
AGO,AGO.5_1,BEAN,27.6,30.87,32.08,32.45,35.94
AGO,AGO.6_1,BEAN,7.696,7.988,7.299,6.79,6.692
AGO,AGO.7_1,BEAN,10.26,11.11,11.17,11.55,12.6
AGO,AGO.8_1,BEAN,80.42,71.23,57.68,46.73,37.78
AGO,AGO.9_1,BEAN,7.463,8.039,8.16,8.667,9.346
ALB,ALB.10_1,BEAN,1.336e-4,0,0,0,0
ALB,ALB.11_1,BEAN,0.1164,0.1174,0.1012,0.07782,0.06525
ALB,ALB.12_1,BEAN,0.1116,0.1144,0.1074,0.09232,0.08977
ALB,ALB.1_1,BEAN,0.04075,0.04231,0.03895,0.03242,0.02969
ALB,ALB.2_1,BEAN,0.5258,0.4807,0.429,0.3835,0.3383
ALB,ALB.3_1,BEAN,0.04225,0.03491,0.02191,0.007343,4.811e-4
ALB,ALB.4_1,BEAN,0.2045,0.2196,0.1924,0.1581,0.1577
ALB,ALB.5_1,BEAN,0.01287,0.01149,0.009564,0.007098,0.005768
ALB,ALB.6_1,BEAN,0.05805,0.0631,0.06127,0.05376,0.05171
