GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AGO,AGO.10_1,CASS,1.467,1.55,1.459,1.39,1.445
AGO,AGO.11_1,CASS,0.164,0.1458,0.125,0.1056,0.0972
AGO,AGO.12_1,CASS,1.11,1.084,1,0.9742,1.043
AGO,AGO.13_1,CASS,0.9632,0.9197,0.8233,0.765,0.7863
AGO,AGO.14_1,CASS,1.133,1.131,1.048,1.002,1.081
AGO,AGO.15_1,CASS,3.338,3.447,3.482,3.457,3.751
AGO,AGO.16_1,CASS,0.1653,0.2002,0.2141,0.2119,0.2237
AGO,AGO.17_1,CASS,2.302,2.552,2.481,2.425,2.575
AGO,AGO.18_1,CASS,1.577,1.518,1.462,1.406,1.449
AGO,AGO.1_1,CASS,0.7166,0.678,0.6089,0.5839,0.6631
AGO,AGO.2_1,CASS,1.552,1.606,1.485,1.378,1.477
AGO,AGO.3_1,CASS,4.323,4.514,4.492,4.362,4.712
AGO,AGO.4_1,CASS,1.943,1.902,1.789,1.839,1.862
AGO,AGO.5_1,CASS,1.785,1.802,1.715,1.601,1.69
AGO,AGO.6_1,CASS,2.284,2.573,2.458,2.313,2.446
AGO,AGO.7_1,CASS,0.5523,0.5576,0.5504,0.5474,0.6132
AGO,AGO.8_1,CASS,2.742,2.36,1.891,1.489,1.241
AGO,AGO.9_1,CASS,1.334,1.4,1.4,1.416,1.549
ARG,ARG.10_1,CASS,0,0,0,0,0
ARG,ARG.14_1,CASS,6.191,6.384,6.441,6.255,6.364
ARG,ARG.17_1,CASS,0.1408,0.144,0.1323,0.1168,0.1062
ARG,ARG.21_1,CASS,1.09,0.9408,0.8008,1.054,0.8957
ARG,ARG.22_1,CASS,0.2744,0.2546,0.2376,0.2146,0.1924
ARG,ARG.24_1,CASS,0,0,0,0,0
ARG,ARG.3_1,CASS,1.16,1.033,0.918,0.8136,0.7031
ARG,ARG.7_1,CASS,0.23,0.217,0.197,0.1785,0.1853
ARG,ARG.8_1,CASS,0.0153,0.01429,0.05451,0.0642,0.09774
ARG,ARG.9_1,CASS,0.5822,0.5724,0.5555,0.5235,0.4912
ATG,ATG.1_1,CASS,1.488,1.263,0.3842,0.7011,0.3483
ATG,ATG.3_1,CASS,1.835,1.58,0.4906,0.9214,0.4791
ATG,ATG.4_1,CASS,0.5399,0.4515,0.1369,0.2499,0.1255
ATG,ATG.5_1,CASS,0.2188,0.1526,0.03357,0.03374,0.005181
ATG,ATG.6_1,CASS,0.04503,0.03152,0.007647,0.01008,0.003486
ATG,ATG.7_1,CASS,0.8571,0.7218,0.2205,0.4051,0.2038
ATG,ATG.8_1,CASS,0.2117,0.1799,0.05488,0.1005,0.05019
BDI,BDI.10_1,CASS,0.01594,0.01624,0.01744,0.01952,0.02353
BDI,BDI.11_1,CASS,0.07854,0.07882,0.07211,0.07132,0.06864
BDI,BDI.12_1,CASS,0.03534,0.03927,0.0413,0.03681,0.03264
BDI,BDI.13_1,CASS,0.01219,0.01415,0.0159,0.02194,0.0287
BDI,BDI.14_1,CASS,0.05267,0.06221,0.06358,0.06301,0.06247
BDI,BDI.15_1,CASS,0.03408,0.04844,0.05391,0.0562,0.05892
BDI,BDI.16_1,CASS,0.03124,0.03427,0.03284,0.03467,0.03856
BDI,BDI.17_1,CASS,0.04334,0.04762,0.04905,0.05506,0.06689
BDI,BDI.1_1,CASS,0.05554,0.06496,0.06561,0.06419,0.06926
