GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AFG,AFG.18_1,COTT,5.209,4.494,4.308,4.026,3.406
AFG,AFG.19_1,COTT,0.1701,0.139,0.1253,0.1127,0.09299
AFG,AFG.22_1,COTT,0,0,0,0.0417,0.105
AFG,AFG.23_1,COTT,0,0,0,0,0
AFG,AFG.30_1,COTT,0,0,0,0,0
AFG,AFG.31_1,COTT,0.1173,0.09637,0.0813,0.06863,0.05214
AFG,AFG.32_1,COTT,0,0,0,0,0.2432
AFG,AFG.3_1,COTT,0.08755,0.06777,0.05693,0.04486,0.03346
AFG,AFG.4_1,COTT,0,0.004184,0.004253,0.004821,0.02784
AGO,AGO.10_1,COTT,2.895,3.619,3.932,4.837,5.436
AGO,AGO.11_1,COTT,1.247,1.169,1.127,1.025,0.9265
AGO,AGO.12_1,COTT,1256,1070,889.2,713,541.8
AGO,AGO.14_1,COTT,8.151,8.275,8.125,8.337,8.761
AGO,AGO.16_1,COTT,0.7891,0.9074,0.8466,0.7858,0.7277
AGO,AGO.17_1,COTT,3229,2481,1880,1352,951.4
AGO,AGO.18_1,COTT,139.2,83.92,49.46,20.24,4.949
AGO,AGO.1_1,COTT,4.405,4.322,4.159,4.263,4.635
AGO,AGO.2_1,COTT,4.756,4.926,4.757,4.761,4.968
AGO,AGO.3_1,COTT,6.606,9.392,10.99,12.8,15.37
AGO,AGO.5_1,COTT,382.7,260.8,157.4,75.23,21.62
AGO,AGO.6_1,COTT,15.35,13.89,12.56,11.65,13.07
AGO,AGO.7_1,COTT,41.85,27.12,17.21,11.83,8.945
AGO,AGO.8_1,COTT,0.8343,1.059,1.073,1.17,1.206
AGO,AGO.9_1,COTT,7.748,7.945,8.989,9.998,14.02
ALB,ALB.10_1,COTT,0.1317,0.1249,0.1181,0.1098,0.1025
ALB,ALB.11_1,COTT,2.536,2.497,2.587,2.402,2.449
ALB,ALB.12_1,COTT,0.1119,0.1116,0.1526,0.1505,0.1577
ALB,ALB.1_1,COTT,0.7822,0.8377,0.8251,0.7808,0.805
ALB,ALB.3_1,COTT,3.52,4.304,4.14,3.829,3.681
ALB,ALB.4_1,COTT,0.9015,0.9362,0.8977,0.8348,0.8744
ALB,ALB.5_1,COTT,0.04218,0.03015,0.02256,0.01563,0.02445
ALB,ALB.6_1,COTT,0.7467,0.6968,0.6474,0.5896,0.5372
ALB,ALB.9_1,COTT,0,0,0.03178,0.02997,0.02842
ARG,ARG.10_1,COTT,519.7,358,188.4,82.24,8.669
ARG,ARG.12_1,COTT,65.44,57.47,46.02,49.35,37.9
ARG,ARG.14_1,COTT,22.81,18.08,14.49,8.444,6.633
ARG,ARG.17_1,COTT,3.496,3.134,2.551,2.69,2.076
ARG,ARG.19_1,COTT,0.06137,0.05672,0.04816,0.05414,0.04544
ARG,ARG.21_1,COTT,0.6632,0.5715,0.4516,0.4706,0.3565
ARG,ARG.22_1,COTT,0.9143,0.8661,0.734,0.8368,0.7259
ARG,ARG.24_1,COTT,1.216,1.152,1.815,2.19,1.941
ARG,ARG.3_1,COTT,1.584,1.474,1.288,1.549,1.348
ARG,ARG.6_1,COTT,0.1251,0.1212,0.09922,0.1058,0.08531
ARG,ARG.7_1,COTT,14.82,11.69,8.251,7.592,5.336
ARG,ARG.8_1,COTT,1.458,1.128,0.7817,0.6826,0.4448
ARG,ARG.9_1,COTT,9.718,9.148,7.76,8.658,7.115
ARM,ARM.2_1,COTT,0.09169,0.08296,0.07423,0.0655,0.05676
ATG,ATG.1_1,COTT,22.28,21.07,18.56,16.06,13.59
ATG,ATG.3_1,COTT,29.7,63.84,81.31,78.25,87.09
ATG,ATG.4_1,COTT,28.29,25.94,23.35,20.82,18.38
ATG,ATG.5_1,COTT,98.64,69.59,42.02,18.6,4.357
ATG,ATG.6_1,COTT,16.3,16.06,14.04,12.21,22.18
ATG,ATG.7_1,COTT,268.7,274.4,260.2,245.5,248.7
ATG,ATG.8_1,COTT,18.63,20.77,22.94,21.07,20.87
AUS,AUS.10_1,COTT,23.81,3.992,1.691,1.314,1.077
AUS,AUS.11_1,COTT,0.1396,0.02849,0.01632,0.02921,0.05866
AUS,AUS.5_1,COTT,0.3688,0.06957,0.03298,0.02835,0.02574
AUS,AUS.6_1,COTT,7.828,1.902,0.9605,1.479,5.461
AUS,AUS.7_1,COTT,0.775,0.1333,0.05783,0.04521,0.03664
AZE,AZE.10_1,COTT,0.2029,0.1757,0.1094,0.6282,0.5487
AZE,AZE.1_1,COTT,0.0547,0.02139,0,0,0
AZE,AZE.2_1,COTT,0.02451,0.02107,0.01428,0.01275,0.01107
AZE,AZE.3_1,COTT,0.01162,0.005129,5.321e-4,1.672e-4,0
AZE,AZE.4_1,COTT,0.05437,0.05501,0.04135,0.03953,0.02956
AZE,AZE.5_1,COTT,0.1643,0.173,0.1386,0.1416,0.118
AZE,AZE.6_1,COTT,0.05536,0.05824,0.04682,0.04763,0.03976
AZE,AZE.7_1,COTT,0,0,0,0,0
AZE,AZE.9_1,COTT,0.06274,0.04958,0.02584,0.01005,0
BDI,BDI.11_1,COTT,0.5887,0.4879,0.3937,0.4639,0.4392
BDI,BDI.12_1,COTT,0.09063,0.346,0.2824,0.2943,0.2676
BDI,BDI.14_1,COTT,0.1377,0.1264,0.1351,0.1797,0.1667
BDI,BDI.15_1,COTT,0.6816,0.4339,0.3586,0.3224,0.3521
BDI,BDI.16_1,COTT,0.2785,0.1564,0.09483,0.08145,0.06115
BDI,BDI.17_1,COTT,0.7075,0.56,0.5046,0.6244,0.7251
BDI,BDI.1_1,COTT,0.6242,0.3296,0.1685,0.08314,0.02462
BDI,BDI.2_1,COTT,2.068,1.48,1.194,1.227,1.099
