GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AFG,AFG.19_1,LENT,0.081,0.05383,0.03574,0.01917,0.005906
AFG,AFG.31_1,LENT,0.06801,0.04388,0.02954,0.01911,0.01274
ALB,ALB.2_1,LENT,1.891,2.093,1.506,2.237,1.67
ARG,ARG.10_1,LENT,77.83,125,32.72,353.2,78.13
ARG,ARG.16_1,LENT,0.1033,0.1607,0.04062,0.4213,0.08952
ARG,ARG.17_1,LENT,82.48,138.8,39.59,442.7,100.7
ARG,ARG.1_1,LENT,0.06418,0.1089,0.02883,0.4512,0.099
ARG,ARG.21_1,LENT,0.4546,0.6314,0.1423,1.323,0.2616
ARG,ARG.22_1,LENT,17,23.06,5.022,43.62,7.365
ARG,ARG.24_1,LENT,0.1171,0.1918,0.05543,0.6031,0.1377
ARG,ARG.3_1,LENT,6.385,10.29,2.788,32.23,7.554
ARG,ARG.6_1,LENT,0.3123,0.49370000000000003,0.1264,1.36,0.2963
ARG,ARG.8_1,LENT,0.916,1.447,0.3803,4.496,1.005
ARM,ARM.10_1,LENT,0.3022,0.5587,0.311,0.3557,0.3004
ARM,ARM.1_1,LENT,0.1915,0.3436,0.1854,0.2055,0.1664
ARM,ARM.2_1,LENT,0.3244,0.3082,0.2502,0.2205,0.1757
ARM,ARM.3_1,LENT,0.002072,8.597e-4,0,0,0.01925
ARM,ARM.7_1,LENT,6.072,11.14,6.146,6.963,5.82
AUS,AUS.10_1,LENT,0.1403,0.07945,0.06144,0.03314,0.03514
AUS,AUS.11_1,LENT,1.915,1.112,0.8982,0.468,0.6115
AUS,AUS.5_1,LENT,0.5302,0.3272,0.2816,0.1496,0.1821
AUS,AUS.7_1,LENT,0.5836,0.3786,0.3279,0.1765,0.2008
AUS,AUS.8_1,LENT,0.8359,0.5014,0.4064,0.2066,0.2375
AZE,AZE.10_1,LENT,2.42,2.361,1.883,1.724,1.082
AZE,AZE.2_1,LENT,0.1568,0.1374,0.1162,0.09854,0.0774
AZE,AZE.3_1,LENT,958.2,620.6,272,135.7,33.65
AZE,AZE.5_1,LENT,0,0,0,0,0
AZE,AZE.6_1,LENT,1.724,1.396,0.9368,0.8107,0.5568
AZE,AZE.8_1,LENT,33.47,32.1,25.7,24.35,16.73
AZE,AZE.9_1,LENT,1197,1163,925.1,845.5,562.7
BGD,BGD.1_1,LENT,0.005941,0.007495,0.05167,0.09618,0.118
BGD,BGD.2_1,LENT,60.1,50.24,41.81,33.96,27.68
BGD,BGD.3_1,LENT,0.06286,0.06043,0.06663,0.09453,0.1129
BGD,BGD.4_1,LENT,0.03633,0.05647,0.05612,0.08319,0.1187
BGD,BGD.5_1,LENT,0.1895,0.1412,0.1173,0.09609,0.08628
BGD,BGD.6_1,LENT,0.054,0.05612,0.06081,0.06332,0.08856
BGD,BGD.7_1,LENT,1.393,1.307,1.417,1.47,1.659
BGD,BGD.8_1,LENT,0.67,0.6081,0.5363,0.4876,0.4431
BGR,BGR.28_1,LENT,3.117,2.886,2.687,2.491,2.298
BGR,BGR.6_1,LENT,3.975,3.615,3.279,2.955,3.14
BLR,BLR.2_1,LENT,23.57,9.558,25.2,9.698,10.67
BLR,BLR.4_1,LENT,3.677,2.269,1.451,2.096,1.626
BOL,BOL.4_1,LENT,24.26,22.11,21.27,14.37,15.29
BOL,BOL.9_1,LENT,1339,2403,695.4,8342,1962
BTN,BTN.11_1,LENT,1.432,0.8879,1.058,0.7201,0.6133
BTN,BTN.12_1,LENT,1.362,1.236,1.108,0.7143,0.7043
BTN,BTN.13_1,LENT,3.857,5.117,7.707,5.959,6.188
BTN,BTN.2_1,LENT,0.1115,0.1893,0.3588,0.2756,0.2729
BTN,BTN.3_1,LENT,0,0,0,0,0
BTN,BTN.9_1,LENT,0,0,0,0,0
CAN,CAN.11_1,LENT,0.8076,1.691,1.193,1.555,1.386
CAN,CAN.12_1,LENT,0.789,1.618,1.105,1.486,1.412
CAN,CAN.1_1,LENT,4.67,8.3,5.702,7.578,6.727
CAN,CAN.2_1,LENT,1.207,2.164,1.497,2.003,1.807
CAN,CAN.3_1,LENT,1.087,2.31,1.544,2.284,2.124
CAN,CAN.9_1,LENT,0.758,1.472,1.054,1.485,1.314
CHL,CHL.10_1,LENT,1192,1052,497.4,2228,743.2
CHL,CHL.12_1,LENT,1.619,1.708,0.9402,5.057,2.105
CHL,CHL.13_1,LENT,6.87,6.223,3.09,15.4,6.088
CHL,CHL.14_1,LENT,3.173,3.176,1.798,9.498,3.844
CHL,CHL.3_1,LENT,108.5,114.9,67.57,362.4,148.4
CHL,CHL.6_1,LENT,17.73,17.67,9.87,55.08,22.59
CHL,CHL.8_1,LENT,6.103,4.807,2.121,9.347,3.456
CHN,CHN.10_1,LENT,0.05783,0.06819,0.06833,0.07607,0.0996
CHN,CHN.11_1,LENT,0.4505,0.4125,0.373,0.3442,0.3221
CHN,CHN.12_1,LENT,0.04724,0.05917,0.06644,0.07997,0.09471
CHN,CHN.13_1,LENT,0.507,0.5155,0.5104,0.5747,0.6958
CHN,CHN.14_1,LENT,1.473,1.452,1.438,1.424,1.47
CHN,CHN.15_1,LENT,0.05299,0.05968,0.06026,0.06753,0.08306
CHN,CHN.16_1,LENT,3.356,3.274,3.156,3.031,2.971
CHN,CHN.17_1,LENT,0.5222,0.5362,0.5286,0.5465,0.5816
CHN,CHN.18_1,LENT,4.59,4.294,3.957,3.87,3.62
CHN,CHN.19_1,LENT,0.07122,0.05452,0.04496,0.043,0.04204
CHN,CHN.1_1,LENT,1.351,1.388,1.411,1.411,1.438
CHN,CHN.20_1,LENT,0.02878,0.009929,0.004873,0.003183,0.002589
CHN,CHN.22_1,LENT,0.1774,0.1673,0.1972,0.2155,0.2426
CHN,CHN.23_1,LENT,0.03566,0.03842,0.038,0.04832,0.07034
CHN,CHN.24_1,LENT,0.1579,0.1783,0.2392,0.3618,0.3697
CHN,CHN.25_1,LENT,0.9925,0.9416,0.8488,0.838,1.14
CHN,CHN.26_1,LENT,0.3945,0.4038,0.4445,0.4825,0.5395
CHN,CHN.27_1,LENT,0.04485,0.05342,0.05286,0.073,0.1124
CHN,CHN.28_1,LENT,0.006029,0.0042,0.002741,0.003576,0.006235
CHN,CHN.29_1,LENT,0.9951,0.9277,0.9897,0.9651,1.068
CHN,CHN.2_1,LENT,0.1808,0.3065,0.3698,0.4838,0.4948
CHN,CHN.30_1,LENT,2.097,2.005,1.985,2.033,2.131
CHN,CHN.31_1,LENT,1.435,1.41,1.433,1.473,1.451
CHN,CHN.3_1,LENT,0.1487,0.162,0.1732,0.1967,0.2377
CHN,CHN.4_1,LENT,3.723,3.584,3.713,3.595,3.601
CHN,CHN.5_1,LENT,0.5152,0.324,0.2261,0.1675,0.1386
CHN,CHN.6_1,LENT,0.9389,0.8834,0.846,0.8275,0.8376
CHN,CHN.7_1,LENT,1.678,1.667,1.677,1.7,1.784
CHN,CHN.8_1,LENT,0.5144,0.5057,0.5026,0.5275,0.5507
CHN,CHN.9_1,LENT,4.711,4.632,4.437,4.269,4.646
COL,COL.10_2,LENT,57.91,55.44,60.46,62.88,62.51
COL,COL.15_2,LENT,17.83,14.95,12.3,10.29,8.295
COL,COL.21_2,LENT,44.77,31.46,21.26,12.93,7.417
COL,COL.22_2,LENT,49.81,49.07,46,43.17,39.91
COL,COL.28_2,LENT,10.87,10.24,9.883,9.482,8.867
COL,COL.7_2,LENT,18.79,17.83,18.01,18.07,16.86
DZA,DZA.10_1,LENT,1.829,3.081,5.632,2.357,3.15
DZA,DZA.11_1,LENT,0,0,0.9817,0.3183,0.3657
DZA,DZA.12_1,LENT,9.925,14.88,23.18,10.23,11.57
DZA,DZA.13_1,LENT,3.58,5.583,8.675,2.869,3.36
DZA,DZA.14_1,LENT,4.936,15.78,22.93,7.497,8.782
DZA,DZA.15_1,LENT,2.496,3.353,4.442,1.289,1.309
DZA,DZA.16_1,LENT,0,0,0,0,0
DZA,DZA.19_1,LENT,6.036,8.926,12.45,4.257,5.376
DZA,DZA.21_1,LENT,3.701,4.921,5.965,1.716,1.707
DZA,DZA.23_1,LENT,158.5,230.7,304.3,100.6,120.8
