GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AGO,AGO.10_1,PMIL,14.66,24.59,24.93,29.58,26.42
AGO,AGO.12_1,PMIL,28.77,40.65,35.59,37.14,29.69
AGO,AGO.13_1,PMIL,25.2,37.25,34.4,37.76,32.16
AGO,AGO.15_1,PMIL,62.23,103.2,110.9,136,130.2
AGO,AGO.16_1,PMIL,5.944,10.98,12.28,14.7,13.52
AGO,AGO.18_1,PMIL,12870,7728,4340,1585,175.5
AGO,AGO.2_1,PMIL,13.62,20.82,18.97,20.28,18.36
AGO,AGO.3_1,PMIL,47.9,69.09,58.97,57.36,44.5
AGO,AGO.4_1,PMIL,5604,4350,3191,2344,1771
AGO,AGO.5_1,PMIL,39.9,66.87,69.52,82.83,79.71
AGO,AGO.7_1,PMIL,394.3,549,476.3,476,361.1
AGO,AGO.8_1,PMIL,20.41,37.4,38.23,54.05,55.26
AGO,AGO.9_1,PMIL,1681,2312,1982,1928,1412
ALB,ALB.2_1,PMIL,2.091,1.787,1.493,1.19,0.8899
AZE,AZE.10_1,PMIL,0.06184,0.08891,0.07112,0.2836,0.348
AZE,AZE.2_1,PMIL,0.004021,0.005707,0.004512,0.00107,0.001522
AZE,AZE.3_1,PMIL,0,0,0,0,0
AZE,AZE.6_1,PMIL,0,0,0,0,0
AZE,AZE.8_1,PMIL,69.93,96.63,73.5,16.46,17.11
AZE,AZE.9_1,PMIL,0.08617,0.1164,0.08589,0.0184,0.01783
BDI,BDI.11_1,PMIL,0.4977,0.4689,0.5013,0.6747,0.7107
BDI,BDI.13_1,PMIL,0.9313,0.8395,0.7754,1.211,1.243
BDI,BDI.16_1,PMIL,0.4411,0.4012,0.3672,0.5369,0.5051
BDI,BDI.17_1,PMIL,0.1614,0.1582,0.1464,0.16,0.1952
BDI,BDI.1_1,PMIL,0.7472,0.5859,0.4121,0.2853,0.2041
BDI,BDI.5_1,PMIL,1.73,1.845,1.708,2.038,2.662
BDI,BDI.6_1,PMIL,0.1975,0.1618,0.1277,0.09219,0.0844
BEN,BEN.1_1,PMIL,0.2587,0.3298,0.1863,0.1745,0.1505
BEN,BEN.4_1,PMIL,1.806,1.71,1.729,2.178,2.044
BEN,BEN.5_1,PMIL,0.7137,0.6403,0.5707,0.638,0.5316
BFA,BFA.10_1,PMIL,0.002076,0.002192,0.001216,7.695e-4,2.617e-4
BFA,BFA.11_1,PMIL,0,0,0,0,0
BFA,BFA.13_1,PMIL,3.399,3.934,2.571,2.186,1.723
BFA,BFA.1_1,PMIL,0.0674,0.08535,0.06325,0.06199,0.05742
BFA,BFA.2_1,PMIL,0.9924,1.195,0.8216,0.747,0.6512
BFA,BFA.3_1,PMIL,0.03367,0.03922,0.02589,0.02181,0.01752
BFA,BFA.4_1,PMIL,0,0,0,0,9.757e-5
BFA,BFA.5_1,PMIL,0.08603,0.1009,0.06869,0.06891,0.06693
BFA,BFA.6_1,PMIL,0.04871,0.05592,0.0359,0.02974,0.02309
BFA,BFA.7_1,PMIL,0,0,0,0,0
BFA,BFA.8_1,PMIL,0.151,0.2099,0.1761,0.1983,0.2806
BFA,BFA.9_1,PMIL,0.2348,0.2967,0.216,0.2139,0.2216
BLR,BLR.2_1,PMIL,2.471,2.686,2.189,1.98,1.94
BWA,BWA.11_1,PMIL,15.82,44.88,43.76,40.59,38.91
BWA,BWA.12_1,PMIL,254.6,922.9,954.4,1198,698.1
BWA,BWA.14_1,PMIL,13000,46110,46330,55740,30350
BWA,BWA.15_1,PMIL,0,0,0,0,0
BWA,BWA.1_1,PMIL,7.878,33.51,38.88,52.16,39.27
BWA,BWA.2_1,PMIL,27.93,36.96,29.03,15.13,13.48
BWA,BWA.3_1,PMIL,2.897,7.094,6.304,6.078,2.363
BWA,BWA.8_1,PMIL,11.57,45,50.26,68.28,47.55
BWA,BWA.9_1,PMIL,0.3886,1.469,1.601,2.155,1.385
CAF,CAF.10_1,PMIL,31.49,30.29,28.74,27.19,27
CAF,CAF.11_1,PMIL,8.052,8.395,8.669,8.815,10.63
CAF,CAF.12_1,PMIL,3235,3712,3888,4024,4271
CAF,CAF.13_1,PMIL,42.53,45.26,44.3,44.95,43.77
CAF,CAF.14_1,PMIL,6.912,7.614,8.409,9.015,10.21
CAF,CAF.15_1,PMIL,4.95,5.013,5.346,5.774,6.439
CAF,CAF.16_1,PMIL,11.95,12.97,13.01,13.11,14.18
CAF,CAF.17_1,PMIL,1.251,1.195,0.9528,1.056,1.14
CAF,CAF.1_1,PMIL,17.02,18.88,20.79,24.11,29.7
CAF,CAF.2_1,PMIL,65600,64180,65180,65320,73140
CAF,CAF.3_1,PMIL,33.08,29.74,26.74,23.18,25.51
CAF,CAF.4_1,PMIL,1422,954.1,729.2,548.6,370.8
CAF,CAF.5_1,PMIL,42.02,37.03,32.05,27.19,22.49
CAF,CAF.6_1,PMIL,70.42,76.28,82.74,79.78,82.98
CAF,CAF.7_1,PMIL,436.6,448.8,460.5,442.7,440.7
CAF,CAF.8_1,PMIL,163.5,196.7,211.5,279.8,266.3
CAF,CAF.9_1,PMIL,21540,17530,13840,10670,8005
CIV,CIV.10_1,PMIL,2.026,1.953,1.828,1.833,1.782
CIV,CIV.11_1,PMIL,8.556,10.54,11.53,12.4,12.79
CIV,CIV.12_1,PMIL,7.399,7.829,8.163,8.353,8.534
CIV,CIV.13_1,PMIL,68.3,73.23,79.83,83.46,110.1
CIV,CIV.14_1,PMIL,1.773,1.623,1.458,1.392,1.317
CIV,CIV.3_1,PMIL,28.16,28.52,29.8,31.6,33.36
CIV,CIV.4_1,PMIL,5.352,5.604,5.456,5.581,5.68
CIV,CIV.5_1,PMIL,16.88,17.71,18.52,19.61,20.18
CIV,CIV.6_1,PMIL,190.4,201,204.9,220.2,227.4
CIV,CIV.7_1,PMIL,81.49,84.34,82.48,85.28,84.83
CIV,CIV.8_1,PMIL,232.2,273.8,304.5,317.7,327.3
CIV,CIV.9_1,PMIL,74.28,83.3,91.09,103.6,107.8
CMR,CMR.10_1,PMIL,1341,1563,2001,2170,2416
CMR,CMR.1_1,PMIL,6.964,8.275,8.875,10.54,11.14
CMR,CMR.2_1,PMIL,673.5,732.8,773,850.7,898.4
CMR,CMR.3_1,PMIL,366.6,437.4,465.2,586,622.3
CMR,CMR.4_1,PMIL,0.03572,0.02994,0.02567,0.02302,0.02003
CMR,CMR.5_1,PMIL,335,376.8,408.6,470.7,509.9
CMR,CMR.6_1,PMIL,38.04,44.54,47.93,54.24,55.41
CMR,CMR.7_1,PMIL,0.3745,0.3482,0.3288,0.3145,0.3021
CMR,CMR.8_1,PMIL,127.9,143.8,161.3,207.2,251.2
CMR,CMR.9_1,PMIL,260.1,277.6,292.8,316.5,321.7
COD,COD.11_1,PMIL,159.2,115.8,81.75,60.4,44.5
COD,COD.12_1,PMIL,41240,38050,34300,32180,37390
COD,COD.13_1,PMIL,57310,65420,72360,78430,83900
COD,COD.14_1,PMIL,23.93,21.57,18.63,16.72,17.59
COD,COD.15_1,PMIL,28.13,30.6,31.71,32.64,36
COD,COD.16_1,PMIL,4730,5077,6026,6435,6698
COD,COD.17_1,PMIL,50.37,51.81,50.43,50.97,55.81
COD,COD.18_1,PMIL,145.7,163.1,172.5,182,197.5
COD,COD.1_1,PMIL,214.8,221.1,225.5,236.2,242.7
COD,COD.20_1,PMIL,45.14,50.91,52.13,53.38,57.27
COD,COD.22_1,PMIL,19.86,13.85,8.568,4.563,1.82
COD,COD.23_1,PMIL,115.1,124.5,127.2,131.5,138.4
COD,COD.24_1,PMIL,15.49,13.94,12.24,12.21,12.38
COD,COD.25_1,PMIL,304.1,264.5,272.7,265.2,339.4
COD,COD.3_1,PMIL,18.32,19.84,20.22,21.03,22.72
COD,COD.4_1,PMIL,13.27,13.47,12.89,12.42,13.18
COD,COD.5_1,PMIL,230.3,189.5,149.8,116,87.71
COD,COD.6_1,PMIL,10.1,9.696,9.44,9.057,9.038
COD,COD.9_1,PMIL,174.9,195.4,218.3,235.4,243.5
COG,COG.12_1,PMIL,338.6,346.1,369.2,373.3,392.7
COG,COG.7_1,PMIL,262.5,259.3,280.5,279.8,284.1
DZA,DZA.48_1,PMIL,0,0,0,0,0
ERI,ERI.4_1,PMIL,0.01622,0.008778,0.01359,0.1247,0.1442
ERI,ERI.6_1,PMIL,0,0,0,0,0
ETH,ETH.10_1,PMIL,45.07,28.29,22.74,18.44,12.23
ETH,ETH.11_1,PMIL,0,0,0,0,0
ETH,ETH.4_1,PMIL,2.101,1.365,1.152,1.007,0.7604
ETH,ETH.6_1,PMIL,22.39,15.15,13.48,12.77,10.71
ETH,ETH.8_1,PMIL,92.47,52.95,36.66,22.6,7.083
GAB,GAB.9_1,PMIL,96.06,96.25,91.5,88.45,89.81
GHA,GHA10_2,PMIL,0.9916,1.186,1.078,0.8398,0.876
GHA,GHA11_2,PMIL,0.3216,0.375,0.3413,0.2716,0.2813
GHA,GHA12_2,PMIL,0.5103,0.5548,0.464,0.3297,0.3001
GHA,GHA13_2,PMIL,0.3278,0.3662,0.3087,0.2459,0.2453
GHA,GHA16_2,PMIL,5.572,5.323,5.474,5.201,5.476
GHA,GHA3_2,PMIL,9.906,9.751,9.724,9.838,9.832
GHA,GHA4_2,PMIL,0.4213,0.5071,0.4643,0.3546,0.3466
GHA,GHA8_2,PMIL,0.1164,0.1315,0.1157,0.08746,0.08627
GHA,GHA9_2,PMIL,0.191,0.2282,0.208,0.1658,0.1794
GIN,GIN.1_1,PMIL,4.081,4.329,4.344,4.616,4.752
GIN,GIN.2_1,PMIL,1.108,1.004,5.432,14.17,13.42
