GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AFG,AFG.14_1,POTA,0,0,0,0,0
AFG,AFG.16_1,POTA,0,0,0,0,0
AFG,AFG.18_1,POTA,0.1418,0.1248,0.1104,0.09744,0.08467
AFG,AFG.19_1,POTA,0.005185,0.003335,0.00214,0.001242,7.042e-4
AFG,AFG.1_1,POTA,0,0,0,0,0.0232
AFG,AFG.20_1,POTA,0,0,0,0,0
AFG,AFG.21_1,POTA,0,0,0,0,0.009607
AFG,AFG.22_1,POTA,0,0,0,0,0
AFG,AFG.23_1,POTA,0,0,0,0,0
AFG,AFG.24_1,POTA,0.007507,0.005679,0.004013,0.002408,8.047e-4
AFG,AFG.27_1,POTA,0,0,0,0,0
AFG,AFG.28_1,POTA,0,0,0,0,0
AFG,AFG.2_1,POTA,0.02431,0.002139,3.718e-4,0,0
AFG,AFG.30_1,POTA,0,0,0,0.03376,0.03268
AFG,AFG.31_1,POTA,0.005185,0.004331,0.003628,0.003045,0.002652
AFG,AFG.32_1,POTA,0,0,0,0,0.008185
AFG,AFG.33_1,POTA,0,0,0,0,0
AFG,AFG.34_1,POTA,0,0,0,0,0
AFG,AFG.3_1,POTA,8.232e-4,0.002602,0.002381,0.002189,0.002783
AFG,AFG.4_1,POTA,0,5.554e-4,5.212e-4,5.379e-4,0.002508
AFG,AFG.8_1,POTA,0,0,0,0,0
AGO,AGO.10_1,POTA,0.489,0.4877,0.4504,0.4391,0.4225
AGO,AGO.11_1,POTA,0.231,0.2161,0.2033,0.1858,0.1683
AGO,AGO.12_1,POTA,6.765,7.127,7.172,7.575,8.056
AGO,AGO.13_1,POTA,5.137,4.691,4.067,3.628,3.162
AGO,AGO.14_1,POTA,1.374,1.316,1.192,1.13,1.087
AGO,AGO.15_1,POTA,3.787,4.077,4.33,4.621,4.837
AGO,AGO.16_1,POTA,0.1317,0.144,0.1468,0.1501,0.1639
AGO,AGO.17_1,POTA,2.829,2.858,2.643,2.519,2.328
AGO,AGO.18_1,POTA,1.48,1.79,1.747,1.815,1.821
AGO,AGO.1_1,POTA,3.68,3.368,2.858,3.053,2.948
AGO,AGO.2_1,POTA,0.7565,0.7395,0.6912,0.6869,0.7137
AGO,AGO.3_1,POTA,0.9535,1.012,1.04,1.084,1.127
AGO,AGO.4_1,POTA,3.554,3.6,3.456,3.754,3.674
AGO,AGO.5_1,POTA,2.585,2.652,2.625,2.594,2.655
AGO,AGO.6_1,POTA,1.994,1.965,1.795,1.671,1.554
AGO,AGO.7_1,POTA,0.9939,1.019,1.019,1.066,1.137
AGO,AGO.8_1,POTA,298.3,256.6,210.6,173.4,136.1
AGO,AGO.9_1,POTA,1.092,1.167,1.214,1.324,1.414
ALA,ALA.2_2,POTA,0.534,0.5929,0.6464,0.6888,0.6185
ALB,ALB.10_1,POTA,0.001146,2.463e-4,2.663e-4,2.483e-4,2.286e-4
ALB,ALB.11_1,POTA,0.03725,0.03732,0.03604,0.03286,0.03273
ALB,ALB.12_1,POTA,0.0131,0.01234,0.01176,0.01079,0.0111
ALB,ALB.1_1,POTA,0.02165,0.02252,0.02177,0.01979,0.02025
ALB,ALB.2_1,POTA,0.008654,0.007772,0.005694,0.00504,0.004354
ALB,ALB.3_1,POTA,0.09009,0.1077,0.1014,0.09039,0.08804
ALB,ALB.4_1,POTA,0.04318,0.04349,0.03985,0.0355,0.03649
ALB,ALB.5_1,POTA,0.004929,0.004533,0.004258,0.003721,0.004046
ALB,ALB.6_1,POTA,0.003258,0.003035,0.00282,0.002538,0.002411
ALB,ALB.7_1,POTA,0.02572,0.02211,0.0189,0.0267,0.02377
ALB,ALB.8_1,POTA,0.05068,0.04264,0.03507,0.02693,0.02059
ALB,ALB.9_1,POTA,0,0,0.001704,0.001549,0.001488
ARE,ARE.1_1,POTA,0,0,0,0,0
ARG,ARG.10_1,POTA,0.1212,0.1209,0.1492,0.1574,0.1564
ARG,ARG.11_1,POTA,2.103e-4,1.979e-4,2.235e-4,6.588e-4,6.399e-4
ARG,ARG.12_1,POTA,0.01947,0.01685,0.01647,0.01379,0.01001
ARG,ARG.13_1,POTA,0.0154,0.01305,0.01276,0.0103,0.007511
ARG,ARG.14_1,POTA,0.8258,0.8428,0.9051,0.8656,0.8355
ARG,ARG.15_1,POTA,0.05815,0.0506,0.05155,0.04478,0.0363
ARG,ARG.16_1,POTA,0.03391,0.02982,0.03232,0.03475,0.02989
ARG,ARG.17_1,POTA,0.04766,0.0463,0.05568,0.05434,0.05083
ARG,ARG.18_1,POTA,0.06267,0.05545,0.05619,0.04723,0.03661
ARG,ARG.19_1,POTA,0.01107,0.009695,0.009881,0.008414,0.006655
ARG,ARG.1_1,POTA,0.054,0.04484,0.04305,0.03411,0.02461
ARG,ARG.20_1,POTA,11.29,10.35,11.16,10.17,8.789
ARG,ARG.21_1,POTA,0.01929,0.01675,0.01729,0.01536,0.01313
ARG,ARG.22_1,POTA,0.2519,0.2111,0.1992,0.1574,0.1248
ARG,ARG.24_1,POTA,0.02844,0.02627,0.02911,0.02673,0.02243
ARG,ARG.2_1,POTA,0.2484,0.1727,0.127,0.06774,0.02894
ARG,ARG.3_1,POTA,0.3021,0.3101,0.3877,0.4379,0.4445
ARG,ARG.4_1,POTA,0.1257,0.1267,0.1459,0.1578,0.1597
ARG,ARG.6_1,POTA,0.01265,0.01066,0.01049,0.008619,0.006604
ARG,ARG.7_1,POTA,0.07227,0.06847,0.08002,0.103,0.137
ARG,ARG.8_1,POTA,0.05061,0.04458,0.04735,0.04277,0.03548
ARG,ARG.9_1,POTA,0.30620000000000003,0.28,0.3053,0.2912,0.2504
ARM,ARM.10_1,POTA,0.08003,0.06798,0.04148,0.0196,0.006935
ARM,ARM.1_1,POTA,5.758e-5,2.302e-5,0,0,0
ARM,ARM.2_1,POTA,0.002585,0.002677,0.002338,0.002151,0.001732
