GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AGO,AGO.10_1,RCOF,17.3,23.01,13.87,11.6,12.61
AGO,AGO.12_1,RCOF,152700,131700,47330,19080,6955
AGO,AGO.14_1,RCOF,114.8,151.4,93.46,82.91,99.66
AGO,AGO.16_1,RCOF,5.149,7.904,5.485,4.294,4.417
AGO,AGO.17_1,RCOF,135.7,200.3,129.2,114.5,130
AGO,AGO.18_1,RCOF,27.69,32.75,19.3,16.33,15.59
AGO,AGO.1_1,RCOF,44.32,57.76,34.87,30.39,37.57
AGO,AGO.2_1,RCOF,576.4,815.7,504.2,417,476.4
AGO,AGO.3_1,RCOF,204.7,289.4,192.5,171.9,205.2
AGO,AGO.4_1,RCOF,123.5,160.4,97.77,88.59,95.36
AGO,AGO.5_1,RCOF,442.8,687.5,526.5,471.4,676.2
AGO,AGO.6_1,RCOF,231.8,366.8,231.7,194.2,219.9
AGO,AGO.7_1,RCOF,12.54,16.84,10.99,9.768,11.72
AGO,AGO.9_1,RCOF,82.49,113.4,74.84,67.59,79.44
BDI,BDI.11_1,RCOF,1.804,1.444,1.908,2.575,2.536
BDI,BDI.13_1,RCOF,2.106,1.245,0.8953,0.5025,0.1328
BDI,BDI.16_1,RCOF,1.048,0.8158,0.8158,1.067,1.005
BDI,BDI.1_1,RCOF,0.08752,0.07124,0.05199,0.03674,0.02605
BDI,BDI.5_1,RCOF,0.3305,0.2137,0.1735,0.1276,0.067780000000000007
BDI,BDI.6_1,RCOF,0.225,0.2579,0.2529,0.2207,0.3196
BEN,BEN.10_1,RCOF,2.848,2.618,2.746,2.565,2.302
BEN,BEN.11_1,RCOF,2.915,2.864,2.616,2.592,2.362
BEN,BEN.12_1,RCOF,2.462,3.146,5.773,6.068,5.56
BEN,BEN.1_1,RCOF,0.3099,0.3374,0.8654,1.064,1.023
BEN,BEN.4_1,RCOF,69.19,56.72,45.26,33.96,24.9
BEN,BEN.5_1,RCOF,9.285,9.195,10.06,12.6,12.02
