GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AGO,AGO.17_1,TEAS,111.2,159.7,197.8,247.9,219.5
AGO,AGO.18_1,TEAS,21.58,16.63,17.71,12.07,7.925
ALB,ALB.10_1,TEAS,9.031,8.246,7.461,6.675,5.89
ARG,ARG.14_1,TEAS,1.891,2.024,2.008,1.95,2.034
ARG,ARG.7_1,TEAS,6.481,7.33,6.437,6.314,6.301
AZE,AZE.2_1,TEAS,0.009478,0.008682,0.007886,0.00709,0.006294
AZE,AZE.5_1,TEAS,0,0,0,0,0
AZE,AZE.6_1,TEAS,0.4469,0.1839,0.09572,0.04838,0.02738
BDI,BDI.10_1,TEAS,0.08747,0.06589,0.04972,0.03811,0.02948
BDI,BDI.11_1,TEAS,0.167,0.1801,0.1473,0.1523,0.1572
BDI,BDI.12_1,TEAS,0.5939,0.6971,0.5576,0.5687,0.6227
BDI,BDI.14_1,TEAS,0.2612,0.2947,0.2374,0.2646,0.2835
BDI,BDI.15_1,TEAS,0.06072,0.06633,0.05304,0.05297,0.0518
BDI,BDI.16_1,TEAS,0.1108,0.09075,0.05627,0.04409,0.03344
BDI,BDI.17_1,TEAS,0.06567,0.06111,0.04427,0.04356,0.04548
BDI,BDI.1_1,TEAS,0.5385,0.6159,0.4624,0.4534,0.4398
BDI,BDI.2_1,TEAS,1.657,1.594,1.168,1.095,1.015
BDI,BDI.3_1,TEAS,0.8636,0.9757,0.7807,0.8555,0.9424
BDI,BDI.4_1,TEAS,1.333,1.676,1.342,1.472,1.586
BDI,BDI.5_1,TEAS,0.09123,0.09174,0.07276,0.08124,0.0993
BDI,BDI.6_1,TEAS,1.24,1.62,1.524,1.684,1.974
BDI,BDI.7_1,TEAS,0.1228,0.1188,0.07885,0.07124,0.06408
BDI,BDI.8_1,TEAS,1.734,1.402,0.8706,0.6917,0.5237
BDI,BDI.9_1,TEAS,0.561,0.681,0.6038,0.6686,0.7486
BGD,BGD.2_1,TEAS,4.293,4.261,3.759,4.05,3.866
BGD,BGD.4_1,TEAS,0,0,0,0,0
BGD,BGD.5_1,TEAS,0.5957,0.2444,0.06214,0.02314,1.725e-4
BGD,BGD.6_1,TEAS,0.0111,0.00961,0.008633,0.008218,0.007304
BGD,BGD.7_1,TEAS,0.2056,0.2103,0.2098,0.2376,0.2375
BGD,BGD.8_1,TEAS,74.84,61.82,46.18,40.89,29.96
BIH,BIH.3_1,TEAS,0,0,0,0,0
BLZ,BLZ.2_1,TEAS,30.31,28.34,26.37,26.6,36.53
BLZ,BLZ.6_1,TEAS,45.23,44.72,44.35,43.74,60.56
