GID_0,GID_1,crop_type,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AFG,AFG.14_1,VEGE,0,0,0,0,0
AFG,AFG.16_1,VEGE,0,0,0,0,0
AFG,AFG.18_1,VEGE,0.1085,0.06512,0.02171,0,0
AFG,AFG.19_1,VEGE,0.06389,0.03438,0.01983,0.008649,0.001868
AFG,AFG.1_1,VEGE,0,0,0,0,0
AFG,AFG.21_1,VEGE,0,0,0,0,0.01887
AFG,AFG.23_1,VEGE,0,0,0,0,0
AFG,AFG.27_1,VEGE,0,0,0,0,0
AFG,AFG.30_1,VEGE,0,0,0,0.04502,0.04324
AFG,AFG.31_1,VEGE,0.01119,0.007705,0.005457,0.003663,0.002578
AFG,AFG.32_1,VEGE,0,0,0,0,0.02956
AFG,AFG.33_1,VEGE,0,0,0,0,0
AFG,AFG.34_1,VEGE,0,0,0,0,0
AFG,AFG.3_1,VEGE,0.007688,0.006509,0.004358,0.002474,0.001418
AFG,AFG.4_1,VEGE,0,0.0012979999999999999,0.001232,0.001266,0.005852
AGO,AGO.10_1,VEGE,81.81,79.48,74.63,70.5,65.21
AGO,AGO.11_1,VEGE,2.688,2.319,1.985,1.655,1.332
AGO,AGO.12_1,VEGE,2.656,2.105,1.619,1.248,0.978
AGO,AGO.13_1,VEGE,1.467,1.159,0.879,0.6717,0.5296
AGO,AGO.14_1,VEGE,1.223,1.164,1.08,1.014,0.9701
AGO,AGO.15_1,VEGE,1.784,1.878,2.016,2.124,2.222
AGO,AGO.16_1,VEGE,0.1341,0.1315,0.1267,0.1186,0.1183
AGO,AGO.17_1,VEGE,2.269,2.363,2.301,2.264,2.19
AGO,AGO.18_1,VEGE,1.685,1.55,1.491,1.454,1.406
AGO,AGO.1_1,VEGE,0.6041,0.5001,0.442,0.4214,0.4306
AGO,AGO.2_1,VEGE,209.4,196.7,180.9,168.8,161.1
AGO,AGO.3_1,VEGE,3.089,2.788,2.483,2.161,1.844
AGO,AGO.4_1,VEGE,63.15,50.79,41.93,40.12,35.18
AGO,AGO.5_1,VEGE,4.065,3.784,3.537,3.302,3.294
AGO,AGO.6_1,VEGE,72.89,65.36,57.33,49.17,41.26
AGO,AGO.7_1,VEGE,97.94,107.9,116.6,126.3,138.6
AGO,AGO.8_1,VEGE,3.903,3.325,2.763,2.24,1.755
AGO,AGO.9_1,VEGE,55.18,58.83,62.45,66.9,70.52
ALB,ALB.10_1,VEGE,0.01522,0.01367,0.01216,0.01064,0.009126
ALB,ALB.11_1,VEGE,0.3157,0.2788,0.242,0.2058,0.1706
ALB,ALB.12_1,VEGE,0.01849,0.01704,0.01571,0.01445,0.01328
ALB,ALB.1_1,VEGE,0.0124,0.01109,0.009593,0.008341,0.007486
ALB,ALB.2_1,VEGE,0.03384,0.03031,0.02678,0.02336,0.02006
ALB,ALB.3_1,VEGE,0.007171,0.005153,0.003134,0.001116,6.049e-5
ALB,ALB.4_1,VEGE,0.05587,0.03696,0.01865,0.0085,0.006404
ALB,ALB.5_1,VEGE,0.003866,0.002539,0.00172,0.001115,8.097e-4
ALB,ALB.6_1,VEGE,0.008065,0.007648,0.007211,0.006774,0.006337
ALB,ALB.7_1,VEGE,0.1721,0.1271,0.08841,0.05469,0.02787
