GID_0,GID_1,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AGO,AGO.10_1,BANA,8783.284165950345,9014.530690250973,8870.654381628041,8790.350655683282,8498.679795861743,38863.232979262415,40168.93152542458,42417.793251458344,45233.14075062581,43825.194447874324,0.226,0.2244,0.2091,0.1943,0.1939
AGO,AGO.11_1,BANA,252.62334296362053,234.18612907015734,220.90795066145253,199.40271121047044,178.80852594317136,8090.0626765718,8361.866699690441,8830.006659231758,9416.070555067392,9122.981870433641,0.03123,0.02801,0.02502,0.02118,0.0196
AGO,AGO.12_1,BANA,68248.98275514836,62269.148085785724,56364.75675707388,52133.803798912064,48549.66457108172,52397.41861211362,54157.82870477522,57189.86001417148,60985.65664379317,59087.39085851235,1.303,1.15,0.9856,0.8549,0.8217
AGO,AGO.13_1,BANA,59526.21745105125,53051.12795664489,46298.97527725724,40054.436096561534,33900.56956599174,29356.416586532345,30342.712051915256,32041.45187909801,34168.10238358676,33104.57125077813,2.028,1.748,1.445,1.172,1.024
AGO,AGO.14_1,BANA,44858.75234102678,45970.01913446081,45785.57464491473,46937.75988434426,49271.076131244,65543.41865709933,67745.49861521137,71538.2372607587,76286.3625621616,73911.8402465015,0.6844,0.6786,0.64,0.6153,0.6666
AGO,AGO.15_1,BANA,65095.23650260798,70541.65828004942,78419.81460994162,84039.27675357889,90745.77906589398,41829.24350201548,43234.59190565417,45655.08494057034,48685.29748486139,47169.89785851069,1.556,1.632,1.718,1.726,1.924
AGO,AGO.16_1,BANA,3336.3897414035514,4766.864228907203,5761.12414993839,5900.738253502874,6076.07520930252,24352.27614579858,25170.44615178536,26579.616145319203,28343.754496410416,27461.514535021826,0.137,0.1894,0.2167,0.2082,0.2213
AGO,AGO.17_1,BANA,357468.63345752197,392538.6754839473,399133.17584198224,409369.23081107193,413129.4172648307,329475.5054737323,340544.7766613535,359609.8592633263,383477.4124383523,371541.32490378333,1.085,1.153,1.11,1.068,1.112
AGO,AGO.18_1,BANA,138280.13213827097,137444.93291096773,146782.29911438646,151620.74348387803,152591.32029224458,171452.13741570376,177212.33996772088,187133.38446131095,199553.5275393285,193342.2534125301,0.8065,0.7756,0.7844,0.7598,0.7892
AGO,AGO.1_1,BANA,49136.947615362566,54481.528653580426,56391.16050234923,58900.798382056964,62182.94036027662,257485.0662155525,266135.8616034584,281035.50494364084,299688.3519064692,290360.1226470724,0.1908,0.2047,0.2007,0.1965,0.2142
