GID_0,GID_1,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AGO,AGO.17_1,PIGE,149.43991042049052,135.30060769050712,134.3326475476123,151.18228278483127,129.99122208603447,0.10217094807049765,0.10411148763288576,0.10609823051818787,0.10811577561876598,0.10703338577396726,1463,1300,1266,1398,1214
AGO,AGO.18_1,PIGE,18.58535568186625,14.394721547777706,11.17946008069601,8.210931467518117,5.8952124820556975,0.053618286706938974,0.05463666236643164,0.05567928506543603,0.05673807245744824,0.05617004514515343,346.6,263.5,200.8,144.7,105
AGO,AGO.4_1,PIGE,144.91130602718366,125.73632779933784,106.81407358511075,88.26700058655638,70.08400151134097,0.025789205562059728,0.02627902164599393,0.026780500017640856,0.027289753247762925,0.027016544720946292,5619,4785,3989,3234,2594
BDI,BDI.10_1,PIGE,17.636661893157708,15.43096556882448,13.368409347210838,11.222040106743364,9.152052056546951,0.8371439686014395,0.8174643232518095,0.8400754382263571,0.8315612433598688,0.8322857905655445,21.07,18.88,15.91,13.5,11
BDI,BDI.11_1,PIGE,53.2852553497836,48.68246212203686,44.925611694506436,43.698262952722246,42.073224989271274,54.04433363317276,44.45466480841412,32.339369804713215,62.73076906163348,52.630004289810586,0.986,1.095,1.389,0.6966,0.7994
BDI,BDI.12_1,PIGE,17.11778633865996,19.958774850150274,20.303829479231677,20.582312007062587,22.249544138327618,7.4132554909348025,7.238984105821053,7.439214864840027,7.363818153865295,7.370234318530365,2.309,2.757,2.729,2.795,3.019
BDI,BDI.13_1,PIGE,10.687251138291117,9.449521200852296,8.369850803433653,7.392022517023337,6.477465835454374,20.965851736394047,20.4683268386475,21.027010055527,20.831100629243394,20.843564804510784,0.5097,0.4617,0.3981,0.3549,0.3108
BDI,BDI.14_1,PIGE,85.76507063775642,95.18023239095648,97.78516579513531,107.66605741396938,117.47422605310884,53.96734060934367,52.69867218014998,54.156320791567495,53.607444527020384,53.65415320235322,1.589,1.806,1.806,2.008,2.189
BDI,BDI.15_1,PIGE,4.74742835323713,6.089239509365026,6.5852970564981375,6.900886996968037,7.16770878732714,12.595388301180735,12.299294935995032,12.639494213190874,12.511392483455548,12.522293778501925,0.3769,0.4951,0.521,0.5516,0.5724
BDI,BDI.16_1,PIGE,50.486224879366084,44.32117090374161,37.963225614100594,32.25212613412684,26.42779481348977,149.83543672055674,145.3692292266148,147.8760869944712,149.86263922400263,148.84101945343838,0.3369,0.3049,0.2567,0.2152,0.1776
BDI,BDI.17_1,PIGE,154.93746064711087,160.50526258539583,167.14322302214742,183.981481591232,215.31975530392614,376.4285299801259,361.9139862541465,362.83656112009436,380.07918356584736,373.49442924434186,0.4116,0.4435,0.4607,0.4841,0.5765
BDI,BDI.1_1,PIGE,28.449552966869994,31.54072404769807,31.98802628239779,31.361793386201533,32.921860063529415,59.04392655709958,57.66194193964696,59.255635983061936,58.65936897795204,58.70884704801403,0.4818,0.547,0.5398,0.5346,0.5608
BDI,BDI.2_1,PIGE,6.3796233891701135,6.044012146106044,5.6335332342585644,5.223054322411084,4.812575410563605,4.77359568135985,4.661377623803237,4.790311624216037,4.741761643126376,4.74589318506143,1.336,1.297,1.176,1.102,1.014
