GID_0,GID_1,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AGO,AGO.10_1,PMIL,208.64570755876295,199.61718270001214,185.40095934559045,169.7374492127292,152.26097873786668,7967.615426684813,5070.300726072154,5070.300726072154,4345.972050918989,4753.044766355071,0.02619,0.03937,0.03657,0.03906,0.03203
AGO,AGO.12_1,PMIL,0.021511713785136694,0.018954470521071475,0.016315035465829755,0.013712402620826963,0.011047743700030229,0.17201944489632057,0.10946691947947672,0.10946691947947672,0.09382878812526574,0.10261741794633239,0.1251,0.1732,0.149,0.1461,0.1077
AGO,AGO.13_1,PMIL,27.63864766260505,24.517843902821273,21.203168469209018,17.940148090136667,14.655360149401934,266.07129889109507,169.31809929433325,169.31809929433325,145.12979939514275,158.72362393848792,0.1039,0.1448,0.1252,0.1236,0.09233
AGO,AGO.15_1,PMIL,143.12453193687628,135.8147835207193,128.1499822829797,118.70440915726263,113.49633242887059,1241.1048745201124,789.7940110582533,789.7940110582533,676.9662951927885,740.3754715091802,0.1153,0.172,0.1623,0.1753,0.1533
AGO,AGO.16_1,PMIL,1.443319118065975,1.2604768756113043,1.0784601732028305,0.8845432548820119,0.740675034637024,168.9738435934587,107.52880955947371,107.52880955947371,92.16755105097747,100.80057833275242,0.008542,0.01172,0.01003,0.009597,0.007348
AGO,AGO.18_1,PMIL,0.5279615682607582,0.29978783971966816,0.16943543340714554,0.06136422201036836,0.006042815256234592,0.004026078265493015,0.003977506951099412,0.00405580552222769,0.004095609815143609,0.0040760639255047765,131.1,75.37,41.78,14.98,1.483
AGO,AGO.2_1,PMIL,53.812651128602134,43.851565102979336,33.81817131359591,24.68933806434116,18.580663747640994,1430.843935876306,910.5370501031039,910.5370501031039,780.4603286598033,853.5634461109388,0.03761,0.04816,0.03714,0.03163,0.02177
AGO,AGO.3_1,PMIL,4.181640881407353,3.64639580738237,3.1107465044819564,2.5893186739834166,2.08187686680716,23.909119371414373,15.214894145445513,15.214894145445513,13.041337838953295,14.26287648320193,0.1749,0.2397,0.2045,0.1985,0.146
AGO,AGO.4_1,PMIL,0.7629662877989707,0.55626905610434,0.38986307110062984,0.2686581359299018,0.18948355955572038,0.025789205562059728,0.025478080062575015,0.025979624695561785,0.026234592687878092,0.026109390709041874,29.58,21.83,15.01,10.24,7.257
AGO,AGO.5_1,PMIL,193.19224815264897,181.12085289387844,166.219558253167,149.73033567015798,132.93268772224843,2556.6642325663915,1628.4654147435704,1621.189901816872,1393.9394876177234,1523.8550765446475,0.07556,0.1112,0.1025,0.1074,0.08723
AGO,AGO.7_1,PMIL,6.575487105272194,5.777304469861026,4.975559741390924,4.175719737896266,3.372859388323909,4.177425335206478,2.658361576949577,2.658361576949577,2.2785956373853518,2.4920240954204482,1.574,2.173,1.872,1.833,1.353
AGO,AGO.8_1,PMIL,94.04029347029149,88.3254561446348,79.47542332645058,73.3170570013166,65.98506389925824,2535.4649756435783,1613.4777117731862,1613.4777117731862,1382.980895805588,1512.5201063793793,0.03709,0.05474,0.04926,0.05301,0.04363
AGO,AGO.9_1,PMIL,917.3396283177887,800.4295125737517,683.5752010729883,566.7518449669403,449.9656204909712,131.4593849567769,83.65597224522166,83.65597224522166,71.70511906733284,78.4214985533064,6.978,9.568,8.171,7.904,5.738
ALB,ALB.2_1,PMIL,6.419718948919798e-5,5.467532376311678e-5,4.515345803703558e-5,3.563159231095438e-5,2.6109726584873177e-5,0.00196656664539185,0.0019713427635348786,0.0019635815715524575,0.001967163660159729,0.0019665348046042346,0.03264,0.02774,0.023,0.01811,0.01328
AZE,AZE.10_1,PMIL,4.013874997943925e-4,3.6612588329028317e-4,3.308642667861738e-4,4.313259124149224e-4,3.891041286219486e-4,0.34253266263193904,0.21691793976536103,0.24447363999943886,0.9096958659099729,0.7002075319807275,0.001172,0.001688,0.001353,4.741e-4,5.557e-4
