GID_0,GID_1,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AFG,AFG.14_1,REST,0,0,0,0,0,2.701332728116013,2.701332728116013,2.701332728116013,2.701332728116013,2.701332728116013,0,0,0,0,0
AFG,AFG.16_1,REST,0,0,0,0,0,2.391601979869223,2.391601979869223,2.391601979869223,2.391601979869223,2.391601979869223,0,0,0,0,0
AFG,AFG.18_1,REST,0.03863920253123435,0.033192476241099375,0.027745749950964342,0.0234584876305283,0.0203306892797912,1.369950281670378,1.369950281670378,1.369950281670378,1.369950281670378,1.369950281670378,0.0282,0.02423,0.02025,0.01712,0.01484
AFG,AFG.19_1,REST,0.3299974026596797,0.1865688029079101,0.11141391302425148,0.05460601016141074,0.016005914966527222,338.0412171517855,338.0412171517855,338.0412171517855,338.0412171517855,338.0412171517855,9.762e-4,5.519e-4,3.296e-4,1.615e-4,4.735e-5
AFG,AFG.1_1,REST,0,0,0,0,0,15.228891538821784,15.228891538821784,15.228891538821784,15.228891538821784,15.228891538821784,0,0,0,0,0
AFG,AFG.20_1,REST,0,0,0,0,0,0.07472892383412535,0.07472892383412535,0.07472892383412535,0.07472892383412535,0.07472892383412535,0,0,0,0,0
AFG,AFG.21_1,REST,0,0,0,0,0,13.592726545605379,13.592726545605379,13.592726545605379,13.592726545605379,13.592726545605379,0,0,0,0,0
AFG,AFG.22_1,REST,0,0,0,0,0,0.3753024722564054,0.3753024722564054,0.3753024722564054,0.3753024722564054,0.3753024722564054,0,0,0,0,0
AFG,AFG.23_1,REST,0,0,0,0,0,22.996041756279457,22.996041756279457,22.996041756279457,22.996041756279457,22.996041756279457,0,0,0,0,0
AFG,AFG.27_1,REST,0,0,0,0,0,2.2492930447842854,2.2492930447842854,2.2492930447842854,2.2492930447842854,2.2492930447842854,0,0,0,0,0
AFG,AFG.30_1,REST,0,0,0,0.0051239970007304,0.004861227923769869,36.161036545174234,36.161036545174234,36.161036545174234,36.161036545174234,36.161036545174234,0,0,0,1.417e-4,1.344e-4
AFG,AFG.31_1,REST,0.693757196462265,0.5719461834940978,0.46684600808152077,0.36891904473342213,0.2813374393634279,988.7424280641106,988.7424280641106,988.7424280641106,988.7424280641106,988.7424280641106,7.017e-4,5.785e-4,4.722e-4,3.731e-4,2.845e-4
AFG,AFG.32_1,REST,0,0,0,0,0.00512025602616815,5.573328445880961,5.573328445880961,5.573328445880961,5.573328445880961,5.573328445880961,0,0,0,0,9.187e-4
AFG,AFG.33_1,REST,0,0,0,0,0,1.9510432799082462,1.9510432799082462,1.9510432799082462,1.9510432799082462,1.9510432799082462,0,0,0,0,0
AFG,AFG.34_1,REST,0,0,0,0,0,1.4935255052537943,1.4935255052537943,1.4935255052537943,1.4935255052537943,1.4935255052537943,0,0,0,0,0
AFG,AFG.3_1,REST,0.2214177973514337,0.19225943612891105,0.16373956999493783,0.1358581989495139,0.10946823526785035,99.03652732629614,99.03652732629614,99.03652732629614,99.03652732629614,99.03652732629614,0.002236,0.001941,0.001653,0.001372,0.001105
AFG,AFG.4_1,REST,0,0.0255282572593778,0.024219115861461,0.02349760920368969,0.022158332690893637,226.4464728331747,226.4464728331747,226.4464728331747,226.4464728331747,226.4464728331747,0,1.127e-4,1.07e-4,1.038e-4,9.785e-5
AGO,AGO.10_1,REST,12.315911258150319,10.360499047761893,8.408804882406073,6.6110283532600045,5.1017312165067485,105943.42797520878,105943.42797520878,105943.42797520878,105943.42797520878,105943.42797520878,1.162e-4,9.779e-5,7.937e-5,6.24e-5,4.816e-5
AGO,AGO.11_1,REST,0.014148521398187347,0.01133387396643037,0.009814912233194466,0.008529968118546517,0.0074602707789421935,1138.6983800241517,1138.6983800241517,1138.6983800241517,1138.6983800241517,1138.6983800241517,1.243e-5,9.953e-6,8.619e-6,7.491e-6,6.552e-6
AGO,AGO.12_1,REST,133.518329035331,115.93827375475391,98.28774124068565,80.61142426598909,62.87172563141269,1441.3556525919516,1441.3556525919516,1441.3556525919516,1441.3556525919516,1441.3556525919516,0.09263,0.08044,0.06819,0.05593,0.04362
AGO,AGO.13_1,REST,4.007925916619006,3.887640245504737,3.6257290174900474,3.3737025422112685,3.0999889940152237,2781.765651907584,2781.765651907584,2781.765651907584,2781.765651907584,2781.765651907584,0.001441,0.001398,0.001303,0.001213,0.001114
AGO,AGO.14_1,REST,16.72198459962976,15.459113682753895,14.139887396872677,12.971437676932718,11.608782928778183,24057.824779715735,24057.824779715735,24057.824779715735,24057.824779715735,24057.824779715735,6.951e-4,6.426e-4,5.877e-4,5.392e-4,4.825e-4
AGO,AGO.15_1,REST,9.122459638191645,8.4078968742127,7.767279626857123,7.111554434904271,6.790068403336148,4273.58775365223,4273.58775365223,4273.58775365223,4273.58775365223,4273.58775365223,0.002135,0.001967,0.001818,0.001664,0.001589
AGO,AGO.16_1,REST,0.27261500858690535,0.2712044333477133,0.25907114413068943,0.27745953139133067,0.2616218546991164,8549.384300137317,8549.384300137317,8549.384300137317,8549.384300137317,8549.384300137317,3.189e-5,3.172e-5,3.03e-5,3.245e-5,3.06e-5
AGO,AGO.17_1,REST,104.58658405176261,83.64904123886282,66.50146181848763,54.00315165139084,44.463477641458184,8750.167796755662,8750.167796755662,8750.167796755662,8750.167796755662,8750.167796755662,0.01195,0.00956,0.0076,0.006172,0.005081
AGO,AGO.18_1,REST,9.15634417361777,8.95461161469283,8.330048268624424,7.863740622049586,7.202551811192192,791.6809820365428,791.6809820365428,791.6809820365428,791.6809820365428,791.6809820365428,0.01157,0.01131,0.01052,0.009933,0.009098
AGO,AGO.1_1,REST,2.577301601898441,2.0494541561959885,1.749392011762653,1.5160863456169071,1.3473092512517015,27240.509656124104,27240.509656124104,27240.509656124104,27240.509656124104,27240.509656124104,9.461e-5,7.524e-5,6.422e-5,5.566e-5,4.946e-5
AGO,AGO.2_1,REST,6.344693119098281,5.883380942585812,5.303290215073769,4.7172137074481775,4.146957762210634,9851.69860929397,9851.69860929397,9851.69860929397,9851.69860929397,9851.69860929397,6.44e-4,5.972e-4,5.383e-4,4.788e-4,4.209e-4
AGO,AGO.3_1,REST,54.658603769450366,46.20861036564661,38.444734334802355,31.220602110297133,24.335661645263958,12822.578997574974,12822.578997574974,12822.578997574974,12822.578997574974,12822.578997574974,0.004263,0.003604,0.002998,0.002435,0.001898
AGO,AGO.4_1,REST,12.300884376176692,11.231952315856603,10.232925473619543,9.44540641929365,8.430525747173354,14459.94063974598,14459.94063974598,14459.94063974598,14459.94063974598,14459.94063974598,8.507e-4,7.768e-4,7.077e-4,6.532e-4,5.83e-4
AGO,AGO.5_1,REST,5.922413184078381,5.8045767362486105,5.494741536570559,5.067883726171906,4.64083156081871,5524.722577931722,5524.722577931722,5524.722577931722,5524.722577931722,5524.722577931722,0.001072,0.001051,9.946e-4,9.173e-4,8.4e-4
AGO,AGO.6_1,REST,63.084909662147226,64.01405531725726,60.88410949855825,56.77451408017682,53.206650333964305,5011.7820464850975,5011.7820464850975,5011.7820464850975,5011.7820464850975,5011.7820464850975,0.01259,0.01277,0.01215,0.01133,0.01062
AGO,AGO.7_1,REST,4.665739800606266,4.149076833993726,3.6164278186541154,3.084517791619659,2.543130637184122,13148.288453057328,13148.288453057328,13148.288453057328,13148.288453057328,13148.288453057328,3.549e-4,3.156e-4,2.75e-4,2.346e-4,1.934e-4
AGO,AGO.8_1,REST,1.8457581292943197,1.6616658324036455,1.41426627214538,1.179032096050312,0.9519184320182228,3817.376597144252,3817.376597144252,3817.376597144252,3817.376597144252,3817.376597144252,4.835e-4,4.353e-4,3.705e-4,3.089e-4,2.494e-4
AGO,AGO.9_1,REST,3.584998404163815,3.2799870630388903,2.959763726098428,2.6122570261395426,2.2404247587477206,32374.522347807873,32374.522347807873,32374.522347807873,32374.522347807873,32374.522347807873,1.107e-4,1.013e-4,9.142e-5,8.069e-5,6.92e-5
ALB,ALB.10_1,REST,0.0015774617538119576,0.0013600720027225257,0.0012000635318139931,0.0010400550609054606,8.800465899969283e-4,86.97090511713026,86.97090511713026,86.97090511713026,86.97090511713026,86.97090511713026,1.814e-5,1.564e-5,1.38e-5,1.196e-5,1.012e-5
ALB,ALB.11_1,REST,0.3014422039437148,0.26324581911643435,0.2253015999232673,0.18964016536797776,0.15657610512951578,447.12497295440573,447.12497295440573,447.12497295440573,447.12497295440573,447.12497295440573,6.742e-4,5.888e-4,5.039e-4,4.241e-4,3.502e-4
ALB,ALB.12_1,REST,1.2243973584074666,1.0397954221911536,0.8590910934400616,0.6830251159646705,0.5115699705401376,2596.1973289619427,2596.1973289619427,2596.1973289619427,2596.1973289619427,2596.1973289619427,4.716e-4,4.005e-4,3.309e-4,2.631e-4,1.97e-4
ALB,ALB.1_1,REST,0.032516864439281624,0.018880617324892053,0.006511914552040241,1.6903309241763178e-4,9.977868259832919e-6,477.5250500896685,477.5250500896685,477.5250500896685,477.5250500896685,477.5250500896685,6.809e-5,3.954e-5,1.364e-5,3.54e-7,2.089e-8
ALB,ALB.2_1,REST,0.023552278966021398,0.019465142874273148,0.01537800678252485,0.0116676338945694,0.0083340242104067,8.086522045851288,8.086522045851288,8.086522045851288,8.086522045851288,8.086522045851288,0.002913,0.002407,0.001902,0.001443,0.001031
ALB,ALB.3_1,REST,0.0154808949882896,0.011251724090760699,0.007022553193231751,0.002793382295702865,4.8052177245598e-4,229.84601296611245,229.84601296611245,229.84601296611245,229.84601296611245,229.84601296611245,6.735e-5,4.895e-5,3.055e-5,1.215e-5,2.091e-6
ALB,ALB.4_1,REST,0.09655584744293298,0.05803746282328065,0.02066075326230917,0.0018695255620079078,0.0010870246554134677,198.58654477500417,198.58654477500417,198.58654477500417,198.58654477500417,198.58654477500417,4.862e-4,2.923e-4,1.04e-4,9.414e-6,5.474e-6
