GID_0,GID_1,crop_type,LD_2020,LD_2021,LD_2022,LD_2023,LD_2024,production_2020,production_2021,production_2022,production_2023,production_2024,EF_2020,EF_2021,EF_2022,EF_2023,EF_2024
AFG,AFG.22_1,SUGC,0,0,0,0,0.003934891643786417,33.46040778666947,34.40877931680886,48.49317612168115,46.505083789672646,46.63388792370739,0,0,0,0,8.438e-5
AFG,AFG.23_1,SUGC,0,0,0,0,0,5.75630902800805,5.919460643961221,8.34244786512216,8.000429503833287,8.022588121992277,0,0,0,0,0
AGO,AGO.10_1,SUGC,0.9680194597782373,0.9317982957850269,0.8871219879358894,0.8372510362451008,0.7673874935075482,3237.5838166301496,3750.3572072409365,3791.5287933483714,3793.184040824749,3782.907010479753,2.99e-4,2.485e-4,2.34e-4,2.207e-4,2.029e-4
AGO,AGO.12_1,SUGC,3.528391476203187e-5,2.120188767206486e-5,9.12745098358953e-6,2.3347566874981627e-6,5.723899690393389e-7,0.44831273722616494,0.5184306586067631,0.5236813235956691,0.5240017106929794,0.5225789290842817,7.87e-5,4.09e-5,1.743e-5,4.456e-6,1.095e-6
AGO,AGO.14_1,SUGC,264.26808791998997,255.21551588907852,241.58386964984564,227.95768674194616,210.55469335380383,221675.2304292453,256784.48657815467,259603.47794777513,259716.81165171159,259013.1501563231,0.001192,9.939e-4,9.306e-4,8.777e-4,8.129e-4
AGO,AGO.15_1,SUGC,0.017914994964125155,0.012209222412307884,0.007564058753974687,0.003887399220170772,0.0010803077242697644,0.48078124524829885,0.4557739302531373,0.4879462076827705,0.4989780247757016,0.4915973233242117,0.03726,0.02679,0.0155,0.007791,0.002198
AGO,AGO.17_1,SUGC,0.16688758644607152,0.1543743696525215,0.14249237617619176,0.13090220205796524,0.11980481522387483,4.8588694532771335,5.542221679993093,5.56021314624933,5.571563613378116,5.55616865091184,0.03435,0.02785,0.02563,0.02349,0.02156
AGO,AGO.18_1,SUGC,0.02763998898328349,0.015729340935759967,0.008934942730251914,0.003247347090089381,3.449747752218575e-4,0.26835517598747066,0.25925644565331457,0.2364516854141071,0.24189628692695753,0.24106150923616032,0.103,0.06067,0.03779,0.01342,0.001431
AGO,AGO.2_1,SUGC,0.059129618917925134,0.05537877584822642,0.05194666667022655,0.048141175291494046,0.0436629971785327,131.847389310398,152.72957698152464,154.4062489843158,154.4736572958171,154.0551354296367,4.485e-4,3.626e-4,3.364e-4,3.116e-4,2.834e-4
AGO,AGO.3_1,SUGC,0.09443689480336627,0.09923592225742314,0.09661081475237333,0.0922146087774197,0.08396896736648916,278.36388137860484,322.4515712616902,325.9914587705511,326.1337751207255,325.2501674003062,3.393e-4,3.078e-4,2.964e-4,2.828e-4,2.582e-4
AGO,AGO.4_1,SUGC,2.001212500008881,1.9306055088766712,1.8046531431236341,1.7160371296301071,1.5628957645664487,295.9317330154367,310.6135340141911,310.2427405935662,313.76704911918733,312.03947352151937,0.006762,0.006215,0.005817,0.005469,0.005009
AGO,AGO.6_1,SUGC,0.22780977983277367,0.2121436189164272,0.19617453355968956,0.18022789358253222,0.16379810317355312,190.628491696048,220.820518704555,223.24469605560304,223.34215680030553,222.7370466611585,0.001195,9.607e-4,8.787e-4,8.07e-4,7.354e-4
AGO,AGO.7_1,SUGC,0.4907830572467149,0.4130819288870386,0.35458434184745946,0.3059016181963112,0.2670621051729127,562.3879983771283,651.4598547674942,658.6116096601513,658.8991362132176,657.1139535423333,8.727e-4,6.341e-4,5.384e-4,4.643e-4,4.064e-4
AGO,AGO.8_1,SUGC,2.8488449234616566,3.06916549615504,2.725574261213868,2.3855394333882054,2.0967837094200865,77587.75680740687,89876.22233644125,90862.88745191116,90902.5549774262,90656.2689270036,3.672e-5,3.415e-5,3e-5,2.624e-5,2.313e-5
AGO,AGO.9_1,SUGC,41.71931503881495,41.25257222655384,39.93624727858594,37.77698884065874,34.80609502516308,236292.00776664563,273716.2910776635,276721.1605405919,276841.9672197997,276091.90783241816,1.766e-4,1.507e-4,1.443e-4,1.365e-4,1.261e-4
ARE,ARE.1_1,SUGC,0,0,0,0,0,0.008025425070548996,0.008552749000517867,0.00900607851133628,0.009034916538756453,0.008940635432278401,0,0,0,0,0
ARG,ARG.10_1,SUGC,541.4693948440269,469.68432874614456,403.231841137526,343.19906834959295,284.69043694872516,934022.4579115586,882250.927387318,827277.0341502376,823879.2979569231,832589.1658240712,5.797e-4,5.324e-4,4.874e-4,4.166e-4,3.419e-4
ARG,ARG.14_1,SUGC,400.0539519214912,364.2936358773737,330.80378749549794,287.5237886002898,243.91379597588036,245268.2227187025,231720.20105292872,217607.4084181161,217627.05741143774,219491.24856441395,0.001631,0.001572,0.00152,0.001321,0.001111
ARG,ARG.17_1,SUGC,819.8997315340309,748.906756765302,678.5164565655019,599.9845459698306,520.282486242781,1141471.7120445552,1078297.8458467426,1011216.2917711779,1007070.2511191511,1017698.3993422041,7.183e-4,6.945e-4,6.71e-4,5.958e-4,5.112e-4
ARG,ARG.19_1,SUGC,0,0,0,0,0,0.5919131837113495,0.5591042815284919,0.5242659627157666,0.5221127330684915,0.5276323922322296,0,0,0,0,0
ARG,ARG.1_1,SUGC,0.03975950103638499,0.036215270595041496,0.03266640216645865,0.02911753373787581,0.048001899028206674,126.73860521492502,119.71366538301203,112.25419319036214,111.793150372407,112.97500258135373,3.137e-4,3.025e-4,2.91e-4,2.605e-4,4.249e-4
ARG,ARG.21_1,SUGC,127.18455791467927,114.6383250029188,106.13917055809,102.15070487735815,93.19998365147006,36446.44532598229,34426.27092791356,32281.137288727172,32148.55438844163,32488.421722816365,0.00349,0.00333,0.003288,0.003177,0.002869
ARG,ARG.22_1,SUGC,480.96455870215595,473.60234137565186,464.7500989778034,441.4325782051487,410.07035820931213,137927.81499283668,130282.67324751944,122164.63613651248,121662.8898186415,122949.08270791973,0.003487,0.003635,0.003804,0.003628,0.003335
ARG,ARG.24_1,SUGC,1490.8790933672067,1495.041135012027,1509.9544495450361,1430.7541053413454,1399.1778587894457,1227798.7884371693,1159743.6555923661,1087478.9269014928,1083012.50712085,1094461.8733798193,0.001214,0.001289,0.001388,0.001321,0.001278
ARG,ARG.2_1,SUGC,4.877931342621591,4.788004400040508,5.004264953571162,4.665028982769803,4.329619111880483,4213.320807558717,3979.7824542254634,3731.7984295520064,3716.471439841399,3755.761145570527,0.001158,0.001203,0.001341,0.001255,0.001153
ARG,ARG.3_1,SUGC,583.0526035966689,591.8629625884006,599.2629165510386,581.7175802124154,545.4068259964977,11743.434919326177,11092.574084319653,10400.865321254378,10358.700129403716,10467.968770760563,0.04965,0.05336,0.05762,0.05616,0.0521
ARG,ARG.6_1,SUGC,0.9408409616044427,0.8914231175209927,0.8168772288907449,0.7419043221826891,0.6669314154746333,239.35745235332809,226.09021070860078,212.00231494151916,211.13159339503846,213.3636294294569,0.003931,0.003943,0.003853,0.003514,0.003126
ARG,ARG.7_1,SUGC,20.047279823517943,21.91199916118776,24.032682073477282,27.344618183429557,25.41156454879128,2207.5914297708337,2085.2788386360985,1956.9015026408704,1950.670752406606,1970.4003705770992,0.009081,0.01051,0.01228,0.01402,0.0129
ARG,ARG.8_1,SUGC,0.10016148103958916,0.09369663833137434,0.09423354286908737,0.09560679692846878,0.10048615286669325,848.2473765601467,801.2302362593842,751.304819238987,748.2191109802511,756.1291162546569,1.181e-4,1.169e-4,1.254e-4,1.278e-4,1.329e-4
ARG,ARG.9_1,SUGC,136.0976326326224,175.99768175227567,189.3372130270149,227.9451035016172,220.68229475032967,5386.97689179225,5091.233088488486,4749.707610885765,4756.008630984821,4795.020754782937,0.02526,0.03457,0.03986,0.04793,0.04602
AUS,AUS.10_1,SUGC,0,0,0,0,0,2.060702394159678,2.1185445657720514,1.950862266613344,2.217614589308805,2.14018447054244,0,0,0,0,0
AUS,AUS.5_1,SUGC,132.0204373805402,126.01508103641456,121.20463888352566,118.92508643771535,112.25315808485782,628991.1526032201,646646.4017525648,595464.4926530692,676885.6873812989,653251.5809780207,2.099e-4,1.949e-4,2.035e-4,1.757e-4,1.718e-4
AUS,AUS.7_1,SUGC,184.46835731364118,149.61294222847457,120.03579045041043,99.47120198781009,87.97166856128632,5456095.430097244,5609243.409686924,5165273.12618507,5871549.84666223,5666539.109376546,3.381e-5,2.667e-5,2.324e-5,1.694e-5,1.552e-5
BDI,BDI.10_1,SUGC,0.03504010557268354,0.030583749968730072,0.026127394364776575,0.021671038760823103,0.017214683156869602,131.30248628579577,132.18794507949332,133.1774704598863,131.0036593582918,131.62211797510884,2.669e-4,2.314e-4,1.962e-4,1.654e-4,1.308e-4
BDI,BDI.11_1,SUGC,0.10294295132393767,0.08828246018613554,0.07407498111307552,0.06022105893943027,0.04649493103345036,1034.997690111054,861.3694420225256,1010.892437503622,1059.9518793143163,1014.0467842560672,9.946e-5,1.025e-4,7.328e-5,5.681e-5,4.585e-5
BDI,BDI.15_1,SUGC,2.2819538075924832e-4,1.9870324219547358e-4,1.7112757465747113e-4,1.4813365757853543e-4,1.2241415128838473e-4,1.4156594488745973,1.42520616914887,1.4358749005208375,1.4124375969853775,1.419105610740496,1.612e-4,1.394e-4,1.192e-4,1.049e-4,8.626e-5
BDI,BDI.16_1,SUGC,0.07556466597147922,0.05704728565824764,0.04060447242778222,0.027268311512590206,0.015795126227648858,1408.1713148994854,1165.405258124299,1374.7058468378943,1442.8538352910418,1378.724258219836,5.366e-5,4.895e-5,2.954e-5,1.89e-5,1.146e-5
BDI,BDI.17_1,SUGC,0.0010769496776181153,9.50330341161102e-4,8.208730860197254e-4,6.965077611231653e-4,5.753662120459937e-4,21.87031587607145,21.536604476745552,21.702340467590435,22.024575120020728,21.908444372209285,4.924e-5,4.413e-5,3.782e-5,3.162e-5,2.626e-5
BDI,BDI.5_1,SUGC,0.0018678950101148465,0.0017583934201059663,0.0016141666138495179,0.0014729642739349852,0.0013285823668404897,18.554827213837328,18.27170568103155,18.412316483850613,18.68570111770936,18.5871755192651,1.007e-4,9.624e-5,8.767e-5,7.883e-5,7.148e-5
BDI,BDI.6_1,SUGC,1.763023659182448,1.664517986711192,1.5195209192674863,1.3779390530507765,1.191459339538337,84915.488343392135,70793.31147191685,83012.81003191492,86927.32013138653,83206.46369929369,2.076e-5,2.351e-5,1.83e-5,1.585e-5,1.432e-5
BDI,BDI.9_1,SUGC,0,0,0,0,0,0.006758949983508081,0.006804530016821636,0.006855467000139154,0.006743567515789014,0.006775403400821969,0,0,0,0,0
BEN,BEN.1_1,SUGC,3.189328038365206e-5,2.9530815170048203e-5,2.716834995644435e-5,2.4805884742840497e-5,2.2443419529236636e-5,120.37539063268827,179.97416309496663,179.04995680102468,172.9867027208153,176.11126537471858,2.649e-7,1.641e-7,1.517e-7,1.434e-7,1.274e-7
BEN,BEN.3_1,SUGC,0.5243651518184189,0.4527350019859044,0.38112345763914823,0.3095587068630237,0.2380474584039261,4007.1952491325915,4007.1952491325915,4007.1952491325915,4290.120217860156,4209.203676804069,1.309e-4,1.13e-4,9.511e-5,7.216e-5,5.655e-5
BEN,BEN.4_1,SUGC,1.9246158271517,1.8159518307010099,1.6981067135985213,1.5699457083465247,1.420732499661582,24769.38952802099,24769.38952802099,24769.38952802099,26518.213411542307,26018.049780855185,7.77e-5,7.331e-5,6.856e-5,5.92e-5,5.461e-5
BEN,BEN.5_1,SUGC,5.850963556591689,5.646507807756284,5.268750890796892,5.220871206916335,4.775769153662848,24901.698044641576,24901.698044641576,24901.698044641576,26659.863470214124,26157.028158500347,2.35e-4,2.268e-4,2.116e-4,1.958e-4,1.826e-4
